county,precinct,precinct_name,office,district,candidate,party,early_voting,election_day,votes
Schleicher,1,Methodist Church-Edu Room,U.S. House,23,Gina Ortiz  Jones,DEM,43,28,71
Schleicher,1,Methodist Church-Edu Room,U.S. House,23,Ruben Corvalan,LIB,3,3,6
Schleicher,1,Methodist Church-Edu Room,U.S. House,23,Will  Hurd,REP,151,61,212
Schleicher,2,Memorial Bldg-Election Rm,U.S. House,23,Gina Ortiz  Jones,DEM,28,18,46
Schleicher,2,Memorial Bldg-Election Rm,U.S. House,23,Ruben Corvalan,LIB,6,4,10
Schleicher,2,Memorial Bldg-Election Rm,U.S. House,23,Will  Hurd,REP,122,65,187
Schleicher,3,OLG-ROOM B,U.S. House,23,Gina Ortiz  Jones,DEM,19,20,39
Schleicher,3,OLG-ROOM B,U.S. House,23,Ruben Corvalan,LIB,1,2,3
Schleicher,3,OLG-ROOM B,U.S. House,23,Will  Hurd,REP,36,9,45
Schleicher,4,OLG-ROOM A,U.S. House,23,Gina Ortiz  Jones,DEM,21,17,38
Schleicher,4,OLG-ROOM A,U.S. House,23,Ruben Corvalan,LIB,4,1,5
Schleicher,4,OLG-ROOM A,U.S. House,23,Will  Hurd,REP,208,78,286
Schleicher,1,Methodist Church-Edu Room,Comptroller of Public Accounts,,Ben Sanders,LIB,4,4,8
Schleicher,1,Methodist Church-Edu Room,Comptroller of Public Accounts,,Glenn  Hegar,REP,141,57,198
Schleicher,1,Methodist Church-Edu Room,Comptroller of Public Accounts,,Joi  Chevalier,DEM,39,27,66
Schleicher,2,Memorial Bldg-Election Rm,Comptroller of Public Accounts,,Ben Sanders,LIB,7,3,10
Schleicher,2,Memorial Bldg-Election Rm,Comptroller of Public Accounts,,Glenn  Hegar,REP,115,64,179
Schleicher,2,Memorial Bldg-Election Rm,Comptroller of Public Accounts,,Joi  Chevalier,DEM,29,18,47
Schleicher,3,OLG-ROOM B,Comptroller of Public Accounts,,Ben Sanders,LIB,1,3,4
Schleicher,3,OLG-ROOM B,Comptroller of Public Accounts,,Glenn  Hegar,REP,39,10,49
Schleicher,3,OLG-ROOM B,Comptroller of Public Accounts,,Joi  Chevalier,DEM,18,17,35
Schleicher,4,OLG-ROOM A,Comptroller of Public Accounts,,Ben Sanders,LIB,3,3,6
Schleicher,4,OLG-ROOM A,Comptroller of Public Accounts,,Glenn  Hegar,REP,201,73,274
Schleicher,4,OLG-ROOM A,Comptroller of Public Accounts,,Joi  Chevalier,DEM,23,18,41
Schleicher,1,Methodist Church-Edu Room,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri)  Jackson,DEM,38,28,66
Schleicher,1,Methodist Church-Edu Room,"Presiding Judge, Court of Criminal Appeals",,Sharon  Keller,REP,143,60,203
Schleicher,1,Methodist Church-Edu Room,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,6,1,7
Schleicher,2,Memorial Bldg-Election Rm,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri)  Jackson,DEM,34,21,55
Schleicher,2,Memorial Bldg-Election Rm,"Presiding Judge, Court of Criminal Appeals",,Sharon  Keller,REP,113,62,175
Schleicher,2,Memorial Bldg-Election Rm,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,4,3,7
Schleicher,3,OLG-ROOM B,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri)  Jackson,DEM,17,20,37
Schleicher,3,OLG-ROOM B,"Presiding Judge, Court of Criminal Appeals",,Sharon  Keller,REP,39,10,49
Schleicher,3,OLG-ROOM B,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,2,0,2
Schleicher,4,OLG-ROOM A,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri)  Jackson,DEM,24,20,44
Schleicher,4,OLG-ROOM A,"Presiding Judge, Court of Criminal Appeals",,Sharon  Keller,REP,198,73,271
