county,precinct,office,district,candidate,party,absentee,early_voting,election_day,votes
Sterling,1,Straight Party,,Republican Party,REP,0,42,29,71
Sterling,2,Straight Party,,Republican Party,REP,0,23,24,47
Sterling,3,Straight Party,,Republican Party,REP,0,50,29,79
Sterling,4,Straight Party,,Republican Party,REP,0,50,25,75
Sterling,Total,Straight Party,,Republican Party,REP,0,165,107,272
Sterling,1,Straight Party,,Democratic Party,DEM,0,1,1,2
Sterling,2,Straight Party,,Democratic Party,DEM,0,6,0,6
Sterling,3,Straight Party,,Democratic Party,DEM,0,1,1,2
Sterling,4,Straight Party,,Democratic Party,DEM,0,1,7,8
Sterling,Total,Straight Party,,Democratic Party,DEM,0,9,9,18
Sterling,1,Straight Party,,Libertarian Party  ,LIB,0,0,0,0
Sterling,2,Straight Party,,Libertarian Party  ,LIB,0,0,0,0
Sterling,3,Straight Party,,Libertarian Party  ,LIB,0,0,0,0
Sterling,4,Straight Party,,Libertarian Party  ,LIB,0,0,0,0
Sterling,Total,Straight Party,,Libertarian Party  ,LIB,0,0,0,0
Sterling,1,Straight Party,,Cast Votes,,0,43,30,73
Sterling,2,Straight Party,,Cast Votes,,0,24,30,54
Sterling,3,Straight Party,,Cast Votes,,0,51,30,81
Sterling,4,Straight Party,,Cast Votes,,0,51,32,83
Sterling,Total,Straight Party,,Cast Votes,,0,169,122,291
Sterling,1,Straight Party,,Under Votes,,10,29,25,64
Sterling,2,Straight Party,,Under Votes,,5,27,12,44
Sterling,3,Straight Party,,Under Votes,,13,34,16,63
Sterling,4,Straight Party,,Under Votes,,4,17,9,30
Sterling,Total,Straight Party,,Under Votes,,32,107,62,201
Sterling,1,Straight Party,,Over Votes,,0,0,0,0
Sterling,2,Straight Party,,Over Votes,,0,11,0,11
Sterling,3,Straight Party,,Over Votes,,0,0,0,0
Sterling,4,Straight Party,,Over Votes,,0,0,0,0
Sterling,Total,Straight Party,,Over Votes,,0,11,0,11
Sterling,1,U.S. Senate,,Ted Cruz,REP,9,66,50,125
Sterling,2,U.S. Senate,,Ted Cruz,REP,5,42,34,81
Sterling,3,U.S. Senate,,Ted Cruz,REP,12,80,43,135
Sterling,4,U.S. Senate,,Ted Cruz,REP,3,65,33,101
Sterling,Total,U.S. Senate,,Ted Cruz,REP,29,253,160,442
Sterling,1,U.S. Senate,,Beto O'Rourke,DEM,1,6,5,12
Sterling,2,U.S. Senate,,Beto O'Rourke,DEM,0,6,8,14
Sterling,3,U.S. Senate,,Beto O'Rourke,DEM,1,2,3,6
Sterling,4,U.S. Senate,,Beto O'Rourke,DEM,1,3,12,16
Sterling,Total,U.S. Senate,,Beto O'Rourke,DEM,3,17,28,48
Sterling,1,U.S. Senate,,Neal M Dikeman,LIB,0,0,0,0
Sterling,2,U.S. Senate,,Neal M Dikeman,LIB,0,0,0,0
Sterling,3,U.S. Senate,,Neal M Dikeman,LIB,0,0,0,0
Sterling,4,U.S. Senate,,Neal M Dikeman,LIB,0,0,0,0
Sterling,Total,U.S. Senate,,Neal M Dikeman,LIB,0,0,0,0
Sterling,1,U.S. Senate,,Cast Votes,,10,72,55,131
Sterling,2,U.S. Senate,,Cast Votes,,5,48,42,95
