county,office,district,candidate,party,precinct,early_voting,election_day,votes
Brewster,U.S. Senate,,Edward Wayne Kimbrough,DEM,1,16,6,22
Brewster,U.S. Senate,,Irasema Ramirez-Hernandez,DEM,1,12,11,23
Brewster,U.S. Senate,,Robert Francis O'Rourke,DEM,1,102,76,178
Brewster,U.S. Senate,,Edward Wayne Kimbrough,DEM,2,6,7,13
Brewster,U.S. Senate,,Irasema Ramirez-Hernandez,DEM,2,20,12,32
Brewster,U.S. Senate,,Robert Francis O'Rourke,DEM,2,110,68,178
Brewster,U.S. Senate,,Edward Wayne Kimbrough,DEM,3,0,11,11
Brewster,U.S. Senate,,Irasema Ramirez-Hernandez,DEM,3,1,11,12
Brewster,U.S. Senate,,Robert Francis O'Rourke,DEM,3,8,28,36
Brewster,U.S. Senate,,Edward Wayne Kimbrough,DEM,4,6,4,10
Brewster,U.S. Senate,,Irasema Ramirez-Hernandez,DEM,4,19,19,38
Brewster,U.S. Senate,,Robert Francis O'Rourke,DEM,4,75,67,142
Brewster,U.S. Senate,,Edward Wayne Kimbrough,DEM,5,0,0,0
Brewster,U.S. Senate,,Irasema Ramirez-Hernandez,DEM,5,1,2,3
Brewster,U.S. Senate,,Robert Francis O'Rourke,DEM,5,2,11,13
Brewster,U.S. Senate,,Edward Wayne Kimbrough,DEM,6,0,9,9
Brewster,U.S. Senate,,Irasema Ramirez-Hernandez,DEM,6,5,17,22
Brewster,U.S. Senate,,Robert Francis O'Rourke,DEM,6,40,70,110
Brewster,U.S. Senate,,Edward Wayne Kimbrough,DEM,7,0,0,0
Brewster,U.S. Senate,,Irasema Ramirez-Hernandez,DEM,7,2,2,4
Brewster,U.S. Senate,,Robert Francis O'Rourke,DEM,7,9,20,29
Brewster,U.S. Senate,,Edward Wayne Kimbrough,DEM,8,3,1,4
Brewster,U.S. Senate,,Irasema Ramirez-Hernandez,DEM,8,17,11,28
Brewster,U.S. Senate,,Robert Francis O'Rourke,DEM,8,27,40,67
Brewster,Lieutenant Governor,,Michael Cooper,DEM,1,39,27,66
Brewster,Lieutenant Governor,,Michael Edward Collier,DEM,1,81,53,134
Brewster,Lieutenant Governor,,Michael Cooper,DEM,2,49,24,73
Brewster,Lieutenant Governor,,Michael Edward Collier,DEM,2,77,52,129
Brewster,Lieutenant Governor,,Michael Cooper,DEM,3,3,14,17
Brewster,Lieutenant Governor,,Michael Edward Collier,DEM,3,5,26,31
Brewster,Lieutenant Governor,,Michael Cooper,DEM,4,34,41,75
Brewster,Lieutenant Governor,,Michael Edward Collier,DEM,4,51,41,92
Brewster,Lieutenant Governor,,Michael Cooper,DEM,5,1,6,7
Brewster,Lieutenant Governor,,Michael Edward Collier,DEM,5,1,4,5
Brewster,Lieutenant Governor,,Michael Cooper,DEM,6,17,34,51
Brewster,Lieutenant Governor,,Michael Edward Collier,DEM,6,18,41,59
Brewster,Lieutenant Governor,,Michael Cooper,DEM,7,2,4,6
Brewster,Lieutenant Governor,,Michael Edward Collier,DEM,7,6,12,18
Brewster,Lieutenant Governor,,Michael Cooper,DEM,8,9,11,20
Brewster,Lieutenant Governor,,Michael Edward Collier,DEM,8,29,29,58
Brewster,Attorney General,,Justin Adatto Nelson,DEM,1,106,73,179
Brewster,Attorney General,,Justin Adatto Nelson,DEM,2,116,69,185
Brewster,Attorney General,,Justin Adatto Nelson,DEM,3,6,33,39
Brewster,Attorney General,,Justin Adatto Nelson,DEM,4,79,75,154
Brewster,Attorney General,,Justin Adatto Nelson,DEM,5,2,9,11
Brewster,Attorney General,,Justin Adatto Nelson,DEM,6,35,68,103
Brewster,Attorney General,,Justin Adatto Nelson,DEM,7,8,15,23
Brewster,Attorney General,,Justin Adatto Nelson,DEM,8,39,40,79
Brewster,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,1,42,30,72
Brewster,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,1,77,51,128
Brewster,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,2,31,17,48
Brewster,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,2,95,62,157
Brewster,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,3,3,15,18
Brewster,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,3,4,30,34
Brewster,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,4,18,18,36
Brewster,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,4,67,62,129
Brewster,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,5,1,1,2
Brewster,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,5,2,8,10
