county,precinct,office,district,party,candidate,votes,early_voting,election_day,election_day_paper,absentee
El Paso,1,U.S. Senate,,REP,Mary Miller,2,0,2,0,0
El Paso,1,U.S. Senate,,REP,Stefano De Stefano,1,0,1,0,0
El Paso,1,U.S. Senate,,REP,Ted Cruz,52,21,29,0,2
El Paso,1,U.S. Senate,,REP,Geraldine Sam,0,0,0,0,0
El Paso,1,U.S. Senate,,REP,Bruce Jacobson Jr,3,2,1,0,0
El Paso,1,U.S. House,16,REP,Alia Garcia-Ureste,28,15,13,0,0
El Paso,1,U.S. House,16,REP,Rick Seeberger,27,9,16,0,2
El Paso,1,Governor,,REP,Greg Abbott,52,20,30,0,2
El Paso,1,Governor,,REP,Barbara Krueger,5,3,2,0,0
El Paso,1,Governor,,REP,Secede Kilgore,1,1,0,0,0
El Paso,1,Lieutenant Governor,,REP,Dan Patrick,47,19,26,0,2
El Paso,1,Lieutenant Governor,,REP,Scott Milder,9,3,6,0,0
El Paso,1,Attorney General,,REP,Ken Paxton,50,21,29,0,0
El Paso,1,Comptroller Of Public Accounts,,REP,Glenn Hegar,48,20,28,0,0
El Paso,1,Commissioner of the General Land Office,,REP,Jerry Patterson,7,4,3,0,0
El Paso,1,Commissioner of the General Land Office,,REP,Rick Range,6,2,4,0,0
El Paso,1,Commissioner of the General Land Office,,REP,Davey Edwards,4,1,3,0,0
El Paso,1,Commissioner of the General Land Office,,REP,George P Bush,38,16,22,0,0
El Paso,1,Commissioner of Agriculture,,REP,Trey Blocker,13,8,5,0,0
El Paso,1,Commissioner of Agriculture,,REP,Jim Hogan,21,7,14,0,0
El Paso,1,Commissioner of Agriculture,,REP,Sid Miller,16,7,9,0,0
El Paso,1,Railroad Commissioner,,REP,Christi Craddick,37,17,20,0,0
El Paso,1,Railroad Commissioner,,REP,Weston Martinez,14,6,8,0,0
El Paso,1,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,44,19,25,0,0
El Paso,1,"Justice, Supreme Court, Place 4",,REP,John Devine,43,20,23,0,0
El Paso,1,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,43,20,23,0,0
El Paso,1,"Presiding Judge, Court Of Criminal Appeals",,REP,Sharon Keller,31,13,17,0,1
El Paso,1,"Presiding Judge, Court Of Criminal Appeals",,REP,David Bridges,20,10,10,0,0
El Paso,1,"Judge, Court Of Criminal Appeals, Place 7",,REP,Barbara Parker Herve,44,19,24,0,1
El Paso,1,"Judge, Court Of Criminal Appeals, Place 8",,REP,Jay Brandon,17,4,13,0,0
El Paso,1,"Judge, Court Of Criminal Appeals, Place 8",,REP,Michelle Slaughter,25,13,11,0,1
El Paso,1,"Judge, Court Of Criminal Appeals, Place 8",,REP,Dib Waldrip,9,6,3,0,0
El Paso,1,State Representative,78,REP,Jeffrey Lane,40,18,22,0,0
El Paso,1,County Commissioner 4,,REP,Andrew R Haggerty,41,17,24,0,0
El Paso,1,Justice Of The Peace 7,,REP,Crystal Urquidi,13,5,8,0,0
El Paso,1,Justice Of The Peace 7,,REP,Ida Gardner,23,13,10,0,0
El Paso,1,Justice Of The Peace 7,,REP,Kelly Dickson,18,4,12,0,2
El Paso,1,County Chairman,,REP,Adolpho R Telles,41,18,23,0,0
El Paso,1,Proposition 1,,REP,For (A Favor),41,14,25,0,2
El Paso,1,Proposition 1,,REP,Against (En Contra),18,10,8,0,0
El Paso,1,Proposition 2,,REP,For (A Favor),49,20,27,0,2
El Paso,1,Proposition 2,,REP,Against (En Contra),11,5,6,0,0
El Paso,1,Proposition 3,,REP,For (A Favor),51,20,29,0,2
El Paso,1,Proposition 3,,REP,Against (En Contra),8,4,4,0,0
El Paso,1,Proposition 4,,REP,For (A Favor),58,23,33,0,2
El Paso,1,Proposition 4,,REP,Against (En Contra),3,2,1,0,0
El Paso,1,Proposition 5,,REP,For (A Favor),50,20,28,0,2
El Paso,1,Proposition 5,,REP,Against (En Contra),10,4,6,0,0
El Paso,1,Proposition 6,,REP,For (A Favor),60,25,33,0,2
El Paso,1,Proposition 6,,REP,Against (En Contra),1,0,1,0,0
El Paso,1,Proposition 7,,REP,For (A Favor),44,18,26,0,0
El Paso,1,Proposition 7,,REP,Against (En Contra),15,6,7,0,2
El Paso,1,Proposition 8,,REP,For (A Favor),59,24,33,0,2
El Paso,1,Proposition 8,,REP,Against (En Contra),1,0,1,0,0
El Paso,1,Proposition 9,,REP,For (A Favor),54,20,32,0,2
El Paso,1,Proposition 9,,REP,Against (En Contra),6,4,2,0,0
El Paso,1,Proposition 10,,REP,For (A Favor),57,23,32,0,2
El Paso,1,Proposition 10,,REP,Against (En Contra),2,1,1,0,0
El Paso,1,Proposition 11,,REP,For (A Favor),52,22,28,0,2
El Paso,1,Proposition 11,,REP,Against (En Contra),8,2,6,0,0
El Paso,1,U.S. Senate,,DEM,Sema Hernandez,6,2,4,0,0
