county,precinct,office,district,candidate,party,early_voting,election_day,votes
Shelby,1N,Registered Voters,,,,,,1385
Shelby,1N,Ballots Cast,,,,453,259,712
Shelby,1N,Straight Party,,,REP,215,107,322
Shelby,1N,Straight Party,,,DEM,42,18,60
Shelby,1N,Straight Party,,,LIB,1,1,2
Shelby,1N,U.S. Senate,,Ted Cruz,,373,211,584
Shelby,1N,U.S. Senate,,Beto O'Rourke,,78,46,124
Shelby,1N,U.S. Senate,,Neal M. Dikeman,,0,1,1
Shelby,1N,U.S. House,1,Louie Gohmert,,376,217,593
Shelby,1N,U.S. House,1,Shirley J. McKellar,,71,36,107
Shelby,1N,U.S. House,1,Jeff Callaway,,2,4,6
Shelby,1N,Governor,,Greg Abbott,,378,217,595
Shelby,1N,Governor,,Lupe Valdez,,73,40,113
Shelby,1N,Governor,,Mark Jay Tippetts,,0,2,2
Shelby,1N,Lieutenant Governor,,Dan Patrick,,355,196,551
Shelby,1N,Lieutenant Governor,,Mike Collier,,86,48,134
Shelby,1N,Lieutenant Governor,,Kerry Douglas McKennon,,4,7,11
Shelby,1N,Attorney General,,Ken Paxton,,366,212,578
Shelby,1N,Attorney General,,Justin Nelson,,77,39,116
Shelby,1N,Attorney General,,Michael Ray Harris,,2,4,6
Shelby,1N,Comptroller of Public Accounts,,Glenn Hegar,,367,208,575
Shelby,1N,Comptroller of Public Accounts,,Joi Chevalier,,66,35,101
Shelby,1N,Comptroller of Public Accounts,,Ben Sanders,,8,7,15
Shelby,1N,Commissioner of the General Land Office,,George P. Bush,,358,207,565
Shelby,1N,Commissioner of the General Land Office,,Miguel Suazo,,77,36,113
Shelby,1N,Commissioner of the General Land Office,,Matt Pina,,11,9,20
Shelby,1N,Commissioner of Agriculture,,Sid Miller,,366,212,578
Shelby,1N,Commissioner of Agriculture,,Kim Olson,,75,36,111
Shelby,1N,Commissioner of Agriculture,,Richard Carpenter,,4,4,8
Shelby,1N,Railroad Commissioner,,Christi Craddick,,361,209,570
Shelby,1N,Railroad Commissioner,,Roman McAllen,,69,35,104
Shelby,1N,Railroad Commissioner,,Mike Wright,,12,8,20
Shelby,1N,State Senate,3,Robert Nichols,,367,213,580
Shelby,1N,State Senate,3,Shirey Layton,,69,35,104
Shelby,1N,State Representative,9,Chris Paddie,,373,217,590
Shelby,1S,Registered Voters,,,,,,1789
Shelby,1S,Ballots Cast,,,,544,352,896
Shelby,1S,Straight Party,,,REP,263,141,404
Shelby,1S,Straight Party,,,DEM,58,34,92
Shelby,1S,Straight Party,,,LIB,1,1,2
Shelby,1S,U.S. Senate,,Ted Cruz,,442,272,714
Shelby,1S,U.S. Senate,,Beto O'Rourke,,101,76,177
Shelby,1S,U.S. Senate,,Neal M. Dikeman,,1,3,4
Shelby,1S,U.S. House,1,Louie Gohmert,,440,272,712
Shelby,1S,U.S. House,1,Shirley J. McKellar,,94,73,167
Shelby,1S,U.S. House,1,Jeff Callaway,,6,0,6
Shelby,1S,Governor,,Greg Abbott,,446,277,723
Shelby,1S,Governor,,Lupe Valdez,,92,70,162
Shelby,1S,Governor,,Mark Jay Tippetts,,4,0,4
Shelby,1S,Lieutenant Governor,,Dan Patrick,,425,259,684
Shelby,1S,Lieutenant Governor,,Mike Collier,,103,85,188
Shelby,1S,Lieutenant Governor,,Kerry Douglas McKennon,,5,3,8
Shelby,1S,Attorney General,,Ken Paxton,,432,267,699
Shelby,1S,Attorney General,,Justin Nelson,,98,78,176
Shelby,1S,Attorney General,,Michael Ray Harris,,6,1,7
Shelby,1S,Comptroller of Public Accounts,,Glenn Hegar,,433,269,702
Shelby,1S,Comptroller of Public Accounts,,Joi Chevalier,,88,70,158
Shelby,1S,Comptroller of Public Accounts,,Ben Sanders,,10,2,12
Shelby,1S,Commissioner of the General Land Office,,George P. Bush,,432,263,695
Shelby,1S,Commissioner of the General Land Office,,Miguel Suazo,,92,71,163
Shelby,1S,Commissioner of the General Land Office,,Matt Pina,,11,6,17
Shelby,1S,Commissioner of Agriculture,,Sid Miller,,431,259,690
Shelby,1S,Commissioner of Agriculture,,Kim Olson,,93,75,168
Shelby,1S,Commissioner of Agriculture,,Richard Carpenter,,8,5,13
Shelby,1S,Railroad Commissioner,,Christi Craddick,,439,264,703
Shelby,1S,Railroad Commissioner,,Roman McAllen,,87,70,157
Shelby,1S,Railroad Commissioner,,Mike Wright,,7,4,11
Shelby,1S,State Senate,3,Robert Nichols,,434,270,704
Shelby,1S,State Senate,3,Shirey Layton,,89,66,155
Shelby,1S,State Representative,9,Chris Paddie,,447,290,737
Shelby,1SE,Registered Voters,,,,,,1707
Shelby,1SE,Ballots Cast,,,,383,248,631
Shelby,1SE,Straight Party,,,REP,111,48,159
Shelby,1SE,Straight Party,,,DEM,131,105,236
Shelby,1SE,Straight Party,,,LIB,0,1,1
Shelby,1SE,U.S. Senate,,Ted Cruz,,185,81,266
Shelby,1SE,U.S. Senate,,Beto O'Rourke,,197,163,360
Shelby,1SE,U.S. Senate,,Neal M. Dikeman,,0,2,2
Shelby,1SE,U.S. House,1,Louie Gohmert,,186,83,269
Shelby,1SE,U.S. House,1,Shirley J. McKellar,,191,156,347
Shelby,1SE,U.S. House,1,Jeff Callaway,,1,6,7
Shelby,1SE,Governor,,Greg Abbott,,192,95,287
Shelby,1SE,Governor,,Lupe Valdez,,183,146,329
Shelby,1SE,Governor,,Mark Jay Tippetts,,4,5,9
Shelby,1SE,Lieutenant Governor,,Dan Patrick,,174,76,250
Shelby,1SE,Lieutenant Governor,,Mike Collier,,195,164,359
Shelby,1SE,Lieutenant Governor,,Kerry Douglas McKennon,,5,4,9
Shelby,1SE,Attorney General,,Ken Paxton,,177,78,255
Shelby,1SE,Attorney General,,Justin Nelson,,190,159,349
Shelby,1SE,Attorney General,,Michael Ray Harris,,6,6,12
Shelby,1SE,Comptroller of Public Accounts,,Glenn Hegar,,176,80,256
Shelby,1SE,Comptroller of Public Accounts,,Joi Chevalier,,187,156,343
Shelby,1SE,Comptroller of Public Accounts,,Ben Sanders,,5,6,11
Shelby,1SE,Commissioner of the General Land Office,,George P. Bush,,172,80,252
Shelby,1SE,Commissioner of the General Land Office,,Miguel Suazo,,188,160,348
Shelby,1SE,Commissioner of the General Land Office,,Matt Pina,,10,4,14
Shelby,1SE,Commissioner of Agriculture,,Sid Miller,,173,76,249
Shelby,1SE,Commissioner of Agriculture,,Kim Olson,,193,166,359
Shelby,1SE,Commissioner of Agriculture,,Richard Carpenter,,7,2,9
