county,precinct,office,district,candidate,party,votes,election day,early_voting,
Bosque,1,Registerd Voters,,,,674,,,
Bosque,2,Registerd Voters,,,,950,,,
Bosque,3,Registerd Voters,,,,1035,,,
Bosque,4,Registerd Voters,,,,539,,,
Bosque,5,Registerd Voters,,,,1550,,,
Bosque,6,Registerd Voters,,,,1145,,,
Bosque,7,Registerd Voters,,,,650,,,
Bosque,8,Registerd Voters,,,,2197,,,
Bosque,9,Registerd Voters,,,,900,,,
Bosque,10,Registerd Voters,,,,1483,,,
Bosque,11,Registerd Voters,,,,869,,,
Bosque,Total,Registerd Voters,,,,11992,,,
Bosque,1,Ballots Cast,,,,476,269,207,
Bosque,2,Ballots Cast,,,,565,332,233,
Bosque,3,Ballots Cast,,,,677,212,465,
Bosque,4,Ballots Cast,,,,342,102,240,
Bosque,5,Ballots Cast,,,,1444,632,812,
Bosque,6,Ballots Cast,,,,780,435,345,
Bosque,7,Ballots Cast,,,,493,221,272,
Bosque,8,Ballots Cast,,,,1477,697,362,
Bosque,9,Ballots Cast,,,,584,278,306,
Bosque,10,Ballots Cast,,,,934,670,264,
Bosque,11,Ballots Cast,,,,603,334,269,
Bosque,Total,Ballots Cast,,,,8375,,,
Bosque,1,Straight Party,,,REP,450,225,118,107
Bosque,2,Straight Party,,,REP,424,212,120,92
Bosque,3,Straight Party,,,REP,494,247,76,171
Bosque,4,Straight Party,,,REP,296,148,44,104
Bosque,5,Straight Party,,,REP,1012,506,203,303
Bosque,6,Straight Party,,,REP,766,383,196,187
Bosque,7,Straight Party,,,REP,396,198,82,116
Bosque,8,Straight Party,,,REP,1292,646,284,362
Bosque,9,Straight Party,,,REP,498,249,107,142
Bosque,10,Straight Party,,,REP,822,411,296,115
Bosque,11,Straight Party,,,REP,604,302,166,136
Bosque,Total,Straight Party,,,REP,3527,,,
Bosque,1,Straight Party,,,DEM,74,37,16,21
Bosque,2,Straight Party,,,DEM,142,71,41,30
Bosque,3,Straight Party,,,DEM,84,42,15,27
Bosque,4,Straight Party,,,DEM,30,15,7,8
Bosque,5,Straight Party,,,DEM,190,95,31,64
Bosque,6,Straight Party,,,DEM,168,84,48,36
Bosque,7,Straight Party,,,DEM,60,30,8,22
Bosque,8,Straight Party,,,DEM,226,113,53,60
Bosque,9,Straight Party,,,DEM,106,53,26,27
Bosque,10,Straight Party,,,DEM,166,83,62,21
Bosque,11,Straight Party,,,DEM,92,46,22,24
Bosque,Total,Straight Party,,,DEM,669,,,
Bosque,1,Straight Party,,,LIB,2,1,1,0
Bosque,2,Straight Party,,,LIB,2,1,1,0
Bosque,3,Straight Party,,,LIB,2,1,1,0
Bosque,4,Straight Party,,,LIB,0,0,0,0
Bosque,5,Straight Party,,,LIB,6,3,1,2
Bosque,6,Straight Party,,,LIB,10,5,3,2
Bosque,7,Straight Party,,,LIB,4,2,2,0
Bosque,8,Straight Party,,,LIB,13,7,4,2
Bosque,9,Straight Party,,,LIB,0,0,0,0
Bosque,10,Straight Party,,,LIB,12,6,6,0
Bosque,11,Straight Party,,,LIB,6,3,3,0
Bosque,Total,Straight Party,,,LIB,29,,,
Bosque,1,Straight Party,,,GRN,0,0,0,0
Bosque,2,Straight Party,,,GRN,4,2,1,1
Bosque,3,Straight Party,,,GRN,6,3,2,1
Bosque,4,Straight Party,,,GRN,0,0,0,0
Bosque,5,Straight Party,,,GRN,0,0,0,0
Bosque,6,Straight Party,,,GRN,8,4,4,0
Bosque,7,Straight Party,,,GRN,2,1,1,0
Bosque,8,Straight Party,,,GRN,2,1,1,0
Bosque,9,Straight Party,,,GRN,0,0,0,0
Bosque,10,Straight Party,,,GRN,4,2,2,0
Bosque,11,Straight Party,,,GRN,2,1,1,0
Bosque,Total,Straight Party,,,GRN,14,,,
Bosque,1,President,,Donald Trump,REP,804,402,230,172
Bosque,2,President,,Donald Trump,REP,800,400,232,168
Bosque,3,President,,Donald Trump,REP,1072,536,167,369
Bosque,4,President,,Donald Trump,REP,586,293,88,205
Bosque,5,President,,Donald Trump,REP,1596,798,361,437
Bosque,6,President,,Donald Trump,REP,1220,610,343,267
Bosque,7,President,,Donald Trump,REP,842,421,199,222
Bosque,8,President,,Donald Trump,REP,2376,1188,563,625
Bosque,9,President,,Donald Trump,REP,924,462,220,242
Bosque,10,President,,Donald Trump,REP,1482,741,530,211
Bosque,11,President,,Donald Trump,REP,976,488,273,215
Bosque,Total,President,,Donald Trump,REP,6339,,,
Bosque,1,President,,Hillary Clinton,DEM,122,61,30,31
Bosque,2,President,,Hillary Clinton,DEM,226,113,71,42
Bosque,3,President,,Hillary Clinton,DEM,196,98,32,66
Bosque,4,President,,Hillary Clinton,DEM,74,37,12,25
Bosque,5,President,,Hillary Clinton,DEM,364,182,60,122
Bosque,6,President,,Hillary Clinton,DEM,268,134,75,59
Bosque,7,President,,Hillary Clinton,DEM,126,63,18,45
Bosque,8,President,,Hillary Clinton,DEM,464,232,106,126
Bosque,9,President,,Hillary Clinton,DEM,214,107,46,61
Bosque,10,President,,Hillary Clinton,DEM,318,159,114,45
Bosque,11,President,,Hillary Clinton,DEM,184,92,43,49
Bosque,Total,President,,Hillary Clinton,DEM,1278,,,
Bosque,1,President,,Gary Johnson,LIB,12,6,6,0
Bosque,2,President,,Gary Johnson,LIB,30,15,10,5
Bosque,3,President,,Gary Johnson,LIB,36,18,5,13
Bosque,4,President,,Gary Johnson,LIB,10,5,1,4
Bosque,5,President,,Gary Johnson,LIB,30,15,8,7
Bosque,6,President,,Gary Johnson,LIB,22,11,6,5
Bosque,7,President,,Gary Johnson,LIB,8,4,3,1
Bosque,8,President,,Gary Johnson,LIB,66,33,17,16
Bosque,9,President,,Gary Johnson,LIB,14,7,6,1
Bosque,10,President,,Gary Johnson,LIB,44,22,15,7
Bosque,11,President,,Gary Johnson,LIB,38,19,16,3
Bosque,Total,President,,Gary Johnson,LIB,155,,,
Bosque,1,President,,Jill Stein,GRN,4,2,0,2
Bosque,2,President,,Jill Stein,GRN,6,3,2,1
Bosque,3,President,,Jill Stein,GRN,8,4,2,2
Bosque,4,President,,Jill Stein,GRN,2,1,0,1
Bosque,5,President,,Jill Stein,GRN,30,15,8,7
Bosque,6,President,,Jill Stein,GRN,10,5,5,0
Bosque,7,President,,Jill Stein,GRN,6,3,1,2
Bosque,8,President,,Jill Stein,GRN,14,7,2,5
Bosque,9,President,,Jill Stein,GRN,2,1,1,0
Bosque,10,President,,Jill Stein,GRN,8,4,4,0
Bosque,11,President,,Jill Stein,GRN,0,0,0,0
Bosque,Total,President,,Jill Stein,GRN,45,,,
Bosque,1,President,,Write-in,,4,2,1,1
Bosque,2,President,,Write-in,,10,5,2,3
Bosque,3,President,,Write-in,,18,9,4,5
Bosque,4,President,,Write-in,,4,2,0,2
Bosque,5,President,,Write-in,,20,10,2,8
Bosque,6,President,,Write-in,,22,11,4,7
Bosque,7,President,,Write-in,,4,2,0,2
Bosque,8,President,,Write-in,,12,6,3,3
Bosque,9,President,,Write-in,,10,5,4,1
Bosque,10,President,,Write-in,,8,4,4,0
Bosque,11,President,,Write-in,,8,4,2,2
Bosque,Total,President,,Write-in,,60,,,
Bosque,1,U.S House,25,Roger Williams,REP,770,385,218,167
Bosque,2,U.S House,25,Roger Williams,REP,782,391,226,165
Bosque,3,U.S House,25,Roger Williams,REP,1064,532,157,375
Bosque,4,U.S House,25,Roger Williams,REP,566,283,85,198
