county,precinct,office,district,candidate,party,votes,absentee,ev_paper,ev_ivo,early_voting,ed_paper,ed_ivo,election_day
Hill,2,,,Registered Voters,,1136,,,,,,,
Hill,3,,,Registered Voters,,1650,,,,,,,
Hill,4,,,Registered Voters,,2372,,,,,,,
Hill,5,,,Registered Voters,,554,,,,,,,
Hill,6,,,Registered Voters,,402,,,,,,,
Hill,7,,,Registered Voters,,544,,,,,,,
Hill,8,,,Registered Voters,,347,,,,,,,
Hill,9,,,Registered Voters,,556,,,,,,,
Hill,10,,,Registered Voters,,1919,,,,,,,
Hill,12,,,Registered Voters,,816,,,,,,,
Hill,13,,,Registered Voters,,2940,,,,,,,
Hill,14,,,Registered Voters,,1028,,,,,,,
Hill,15,,,Registered Voters,,449,,,,,,,
Hill,16,,,Registered Voters,,391,,,,,,,
Hill,18,,,Registered Voters,,200,,,,,,,
Hill,19,,,Registered Voters,,404,,,,,,,
Hill,20,,,Registered Voters,,1008,,,,,,,
Hill,21,,,Registered Voters,,1893,,,,,,,
Hill,22,,,Registered Voters,,1667,,,,,,,
Hill,23,,,Registered Voters,,454,,,,,,,
Hill,24,,,Registered Voters,,1361,,,,,,,
Hill,27,,,Registered Voters,,734,,,,,,,
Hill,2,,,Ballots Cast,,600,37,178,201,379,87,97,184
Hill,3,,,Ballots Cast,,631,47,164,201,365,85,134,219
Hill,4,,,Ballots Cast,,1389,103,406,514,920,180,186,366
Hill,5,,,Ballots Cast,,359,25,77,101,178,108,48,156
Hill,6,,,Ballots Cast,,256,10,58,61,119,80,47,127
Hill,7,,,Ballots Cast,,379,12,48,58,106,161,100,261
Hill,8,,,Ballots Cast,,220,9,43,53,96,69,46,115
Hill,9,,,Ballots Cast,,288,11,72,89,161,66,50,116
Hill,10,,,Ballots Cast,,1008,30,172,290,462,258,258,516
Hill,12,,,Ballots Cast,,478,26,107,166,273,83,96,179
Hill,13,,,Ballots Cast,,1675,131,273,464,737,296,511,807
Hill,14,,,Ballots Cast,,664,23,70,156,226,201,214,415
Hill,15,,,Ballots Cast,,241,16,19,31,50,66,109,175
Hill,16,,,Ballots Cast,,229,4,26,36,62,132,31,163
Hill,18,,,Ballots Cast,,109,2,26,14,40,52,15,67
Hill,19,,,Ballots Cast,,251,6,45,44,89,87,69,156
Hill,20,,,Ballots Cast,,610,20,81,82,163,330,97,427
Hill,21,,,Ballots Cast,,1192,111,182,443,625,160,296,456
Hill,22,,,Ballots Cast,,1034,104,192,279,471,253,206,459
Hill,23,,,Ballots Cast,,308,12,29,36,65,144,87,231
Hill,24,,,Ballots Cast,,737,44,70,99,169,155,369,524
Hill,27,,,Ballots Cast,,455,20,101,91,192,174,69,243
Hill,2,,,Straight Party,REP,268,18,71,113,184,24,42,66
Hill,3,,,Straight Party,REP,193,18,56,66,122,17,36,53
Hill,4,,,Straight Party,REP,606,52,170,240,410,70,74,144
Hill,5,,,Straight Party,REP,194,15,50,49,99,52,28,80
Hill,6,,,Straight Party,REP,133,4,32,37,69,30,30,60
Hill,7,,,Straight Party,REP,164,6,22,22,44,73,41,114
Hill,8,,,Straight Party,REP,103,6,19,29,48,27,22,49
Hill,9,,,Straight Party,REP,117,6,28,47,75,18,18,36
Hill,10,,,Straight Party,REP,493,19,75,152,227,132,115,247
Hill,12,,,Straight Party,REP,256,13,56,87,143,44,56,100
Hill,13,,,Straight Party,REP,893,68,140,269,409,149,267,416
Hill,14,,,Straight Party,REP,385,16,31,90,121,116,132,248
Hill,15,,,Straight Party,REP,118,8,9,14,23,27,60,87
Hill,16,,,Straight Party,REP,102,0,9,16,25,59,18,77
Hill,18,,,Straight Party,REP,66,0,13,6,19,37,10,47
Hill,19,,,Straight Party,REP,118,3,19,21,40,40,35,75
Hill,20,,,Straight Party,REP,341,17,39,46,85,183,56,239
Hill,21,,,Straight Party,REP,643,69,88,241,329,75,170,245
Hill,22,,,Straight Party,REP,545,60,100,153,253,113,119,232
Hill,23,,,Straight Party,REP,132,3,15,17,32,64,33,97
Hill,24,,,Straight Party,REP,352,23,29,44,73,77,179,256
Hill,27,,,Straight Party,REP,242,7,57,62,119,78,38,116
Hill,2,,,Straight Party,DEM,83,3,22,21,43,14,23,37
Hill,3,,,Straight Party,DEM,213,17,49,62,111,33,52,85
Hill,4,,,Straight Party,DEM,197,21,65,67,132,19,25,44
Hill,5,,,Straight Party,DEM,34,5,7,8,15,8,6,14
Hill,6,,,Straight Party,DEM,17,2,3,9,12,2,1,3
Hill,7,,,Straight Party,DEM,37,3,9,5,14,14,6,20
Hill,8,,,Straight Party,DEM,19,0,0,7,7,4,8,12
Hill,9,,,Straight Party,DEM,48,2,8,16,24,10,12,22
Hill,10,,,Straight Party,DEM,182,1,23,43,66,46,69,115
Hill,12,,,Straight Party,DEM,40,6,10,17,27,3,4,7
Hill,13,,,Straight Party,DEM,173,23,22,50,72,33,45,78
Hill,14,,,Straight Party,DEM,35,3,4,6,10,15,7,22
Hill,15,,,Straight Party,DEM,19,4,0,3,3,4,8,12
Hill,16,,,Straight Party,DEM,20,1,2,3,5,12,2,14
Hill,18,,,Straight Party,DEM,5,0,4,0,4,0,1,1
Hill,19,,,Straight Party,DEM,26,0,4,8,12,6,8,14
Hill,20,,,Straight Party,DEM,64,1,12,11,23,27,13,40
Hill,21,,,Straight Party,DEM,108,12,14,42,56,17,23,40
Hill,22,,,Straight Party,DEM,95,9,15,27,42,20,24,44
Hill,23,,,Straight Party,DEM,46,1,3,10,13,15,17,32
Hill,24,,,Straight Party,DEM,112,10,4,16,20,21,61,82
Hill,27,,,Straight Party,DEM,56,8,10,9,19,18,11,29
Hill,2,,,Straight Party,LIB,6,1,1,3,4,0,1,1
Hill,3,,,Straight Party,LIB,11,0,2,4,6,0,5,5
Hill,4,,,Straight Party,LIB,6,0,0,3,3,3,0,3
Hill,5,,,Straight Party,LIB,2,0,0,2,2,0,0,0
Hill,6,,,Straight Party,LIB,1,0,1,0,1,0,0,0
Hill,7,,,Straight Party,LIB,2,0,0,1,1,1,0,1
Hill,8,,,Straight Party,LIB,0,0,0,0,0,0,0,0
Hill,9,,,Straight Party,LIB,4,1,0,2,2,0,1,1
Hill,10,,,Straight Party,LIB,6,0,1,2,3,2,1,3
Hill,12,,,Straight Party,LIB,1,0,0,1,1,0,0,0
Hill,13,,,Straight Party,LIB,12,0,2,1,3,3,6,9
Hill,14,,,Straight Party,LIB,7,0,1,0,1,3,3,6
Hill,15,,,Straight Party,LIB,3,0,0,2,2,1,0,1
Hill,16,,,Straight Party,LIB,2,0,0,0,0,2,0,2
Hill,18,,,Straight Party,LIB,0,0,0,0,0,0,0,0
Hill,19,,,Straight Party,LIB,2,0,0,0,0,1,1,2
Hill,20,,,Straight Party,LIB,1,0,0,1,1,0,0,0
Hill,21,,,Straight Party,LIB,7,0,0,3,3,2,2,4
Hill,22,,,Straight Party,LIB,4,0,0,0,0,4,0,4
Hill,23,,,Straight Party,LIB,1,0,0,0,0,1,0,1
Hill,24,,,Straight Party,LIB,4,0,2,0,2,1,1,2
Hill,27,,,Straight Party,LIB,5,0,0,0,0,2,3,5
Hill,2,,,Straight Party,GRN,1,0,1,0,1,0,0,0
Hill,3,,,Straight Party,GRN,1,0,0,0,0,0,1,1
Hill,4,,,Straight Party,GRN,2,0,1,0,1,0,1,1
Hill,5,,,Straight Party,GRN,0,0,0,0,0,0,0,0
Hill,6,,,Straight Party,GRN,0,0,0,0,0,0,0,0
Hill,7,,,Straight Party,GRN,0,0,0,0,0,0,0,0
Hill,8,,,Straight Party,GRN,0,0,0,0,0,0,0,0
Hill,9,,,Straight Party,GRN,1,0,1,0,1,0,0,0
Hill,10,,,Straight Party,GRN,0,0,0,0,0,0,0,0
Hill,12,,,Straight Party,GRN,2,0,0,2,2,0,0,0
Hill,13,,,Straight Party,GRN,2,0,0,0,0,1,1,2
Hill,14,,,Straight Party,GRN,0,0,0,0,0,0,0,0
Hill,15,,,Straight Party,GRN,0,0,0,0,0,0,0,0
Hill,16,,,Straight Party,GRN,0,0,0,0,0,0,0,0
Hill,18,,,Straight Party,GRN,0,0,0,0,0,0,0,0
Hill,19,,,Straight Party,GRN,0,0,0,0,0,0,0,0
Hill,20,,,Straight Party,GRN,2,0,2,0,2,0,0,0
Hill,21,,,Straight Party,GRN,1,0,0,1,1,0,0,0
Hill,22,,,Straight Party,GRN,2,0,0,0,0,0,2,2
Hill,23,,,Straight Party,GRN,0,0,0,0,0,0,0,0
Hill,24,,,Straight Party,GRN,1,0,0,0,0,0,1,1
Hill,27,,,Straight Party,GRN,0,0,0,0,0,0,0,0
Hill,2,President,,Donald J. Trump / Mike Pence,REP,437,27,134,160,294,52,64,116
Hill,3,President,,Donald J. Trump / Mike Pence,REP,288,21,85,103,188,28,51,79
Hill,4,President,,Donald J. Trump / Mike Pence,REP,999,70,291,381,672,137,120,257
Hill,5,President,,Donald J. Trump / Mike Pence,REP,303,19,68,83,151,93,40,133
Hill,6,President,,Donald J. Trump / Mike Pence,REP,216,5,53,49,102,65,44,109
Hill,7,President,,Donald J. Trump / Mike Pence,REP,318,8,37,47,84,141,85,226
