county,precinct,office,district,party,candidate,early_voting,election_day,mail,votes
Armstrong,201,President,,,Cherunda Fox/Roger Kushner,0,0,,0
Armstrong,202,President,,,Cherunda Fox/Roger Kushner,0,0,,0
Armstrong,301,President,,,Cherunda Fox/Roger Kushner,0,0,,0
Armstrong,303,President,,,Cherunda Fox/Roger Kushner,0,0,,0
Armstrong,401,President,,,Cherunda Fox/Roger Kushner,0,0,,0
Armstrong,402,President,,,Cherunda Fox/Roger Kushner,0,0,,0
Armstrong,404,President,,,Cherunda Fox/Roger Kushner,0,0,,0
Armstrong,Total Votes,President,,,Cherunda Fox/Roger Kushner,0,0,1,1
Armstrong,101,President,,,Evan McMullin/Nathan Johnson,0,0,,0
Armstrong,201,President,,,Evan McMullin/Nathan Johnson,0,0,,0
Armstrong,202,President,,,Evan McMullin/Nathan Johnson,1,0,,1
Armstrong,301,President,,,Evan McMullin/Nathan Johnson,1,0,,1
Armstrong,303,President,,,Evan McMullin/Nathan Johnson,0,0,,0
Armstrong,401,President,,,Evan McMullin/Nathan Johnson,0,1,,1
Armstrong,402,President,,,Evan McMullin/Nathan Johnson,0,0,,0
Armstrong,404,President,,,Evan McMullin/Nathan Johnson,0,0,,0
Armstrong,Total Votes,President,,,Evan McMullin/Nathan Johnson,2,1,,3
Armstrong,101,U.S. House,13,Republican,Mac Thornberry,125,80,,205
Armstrong,201,U.S. House,13,Republican,Mac Thornberry,77,32,,109
Armstrong,202,U.S. House,13,Republican,Mac Thornberry,29,19,,48
Armstrong,301,U.S. House,13,Republican,Mac Thornberry,116,66,,182
Armstrong,303,U.S. House,13,Republican,Mac Thornberry,3,32,,35
Armstrong,401,U.S. House,13,Republican,Mac Thornberry,74,41,,115
Armstrong,402,U.S. House,13,Republican,Mac Thornberry,38,77,,115
Armstrong,404,U.S. House,13,Republican,Mac Thornberry,13,5,,18
Armstrong,Total Votes,U.S. House,13,Republican,Mac Thornberry,475,352,46,873
Armstrong,101,U.S. House,13,Libertarian,Calvin DeWeese,9,8,,17
Armstrong,201,U.S. House,13,Libertarian,Calvin DeWeese,8,2,,10
Armstrong,202,U.S. House,13,Libertarian,Calvin DeWeese,1,0,,1
Armstrong,301,U.S. House,13,Libertarian,Calvin DeWeese,9,5,,14
Armstrong,303,U.S. House,13,Libertarian,Calvin DeWeese,1,2,,3
Armstrong,401,U.S. House,13,Libertarian,Calvin DeWeese,3,2,,5
Armstrong,402,U.S. House,13,Libertarian,Calvin DeWeese,5,3,,8
Armstrong,404,U.S. House,13,Libertarian,Calvin DeWeese,0,0,,0
Armstrong,Total Votes,U.S. House,13,Libertarian,Calvin DeWeese,36,22,6,64
Armstrong,101,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",6,6,,12
Armstrong,201,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",1,1,,2
Armstrong,202,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",6,6,,12
Armstrong,301,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",5,5,,10
Armstrong,303,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",0,0,,0
Armstrong,401,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",4,4,,8
Armstrong,402,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",0,0,,0
Armstrong,404,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",2,2,,4
Armstrong,Total Votes,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",24,24,2,50
Armstrong,101,Railroad Commissioner,,Republican,Wayne Christian,119,81,,200
Armstrong,201,Railroad Commissioner,,Republican,Wayne Christian,69,33,,102
Armstrong,202,Railroad Commissioner,,Republican,Wayne Christian,28,17,,45
Armstrong,301,Railroad Commissioner,,Republican,Wayne Christian,109,65,,174
Armstrong,303,Railroad Commissioner,,Republican,Wayne Christian,5,30,,35
Armstrong,401,Railroad Commissioner,,Republican,Wayne Christian,66,44,,110
Armstrong,402,Railroad Commissioner,,Republican,Wayne Christian,39,74,,113
Armstrong,404,Railroad Commissioner,,Republican,Wayne Christian,13,5,,18
Armstrong,Total Votes,Railroad Commissioner,,Republican,Wayne Christian,448,349,48,845
Armstrong,101,Railroad Commissioner,,Democratic,Grady Yarbrough,10,2,,12
Armstrong,201,Railroad Commissioner,,Democratic,Grady Yarbrough,11,0,,11
Armstrong,202,Railroad Commissioner,,Democratic,Grady Yarbrough,4,4,,8
Armstrong,301,Railroad Commissioner,,Democratic,Grady Yarbrough,10,0,,10
Armstrong,303,Railroad Commissioner,,Democratic,Grady Yarbrough,0,3,,3
Armstrong,401,Railroad Commissioner,,Democratic,Grady Yarbrough,11,0,,11
Armstrong,402,Railroad Commissioner,,Democratic,Grady Yarbrough,4,2,,6
Armstrong,404,Railroad Commissioner,,Democratic,Grady Yarbrough,1,0,,1
Armstrong,Total Votes,Railroad Commissioner,,Democratic,Grady Yarbrough,51,11,8,70
Armstrong,101,Railroad Commissioner,,Libertarian,Mark Miller,10,5,,15
Armstrong,201,Railroad Commissioner,,Libertarian,Mark Miller,6,1,,7
Armstrong,202,Railroad Commissioner,,Libertarian,Mark Miller,1,0,,1
Armstrong,301,Railroad Commissioner,,Libertarian,Mark Miller,4,5,,9
Armstrong,303,Railroad Commissioner,,Libertarian,Mark Miller,0,1,,1
Armstrong,401,Railroad Commissioner,,Libertarian,Mark Miller,1,1,,2
Armstrong,402,Railroad Commissioner,,Libertarian,Mark Miller,2,4,,6
Armstrong,404,Railroad Commissioner,,Libertarian,Mark Miller,0,0,,0
Armstrong,Total Votes,Railroad Commissioner,,Libertarian,Mark Miller,24,17,0,41
Armstrong,101,Railroad Commissioner,,Green,Martina Salinas,2,0,,2
Armstrong,201,Railroad Commissioner,,Green,Martina Salinas,1,0,,1
Armstrong,202,Railroad Commissioner,,Green,Martina Salinas,2,0,,2
