county,precinct,office,district,candidate,party,early_voting,election day,total,registered,votes
Mills,1,Ballots Cast,,,REP,190,193,383,847,
Mills,1,President,,Ben Carson,REP,,,,,27
Mills,1,President,,Carly Fiorina,REP,,,,,0
Mills,1,President,,Chris Christie,REP,,,,,0
Mills,1,President,,Donald J Trump,REP,,,,,101
Mills,1,President,,Elizabeth Gray,REP,,,,,1
Mills,1,President,,Jeb Bush,REP,,,,,3
Mills,1,President,,John R. Kasich,REP,,,,,10
Mills,1,President,,Lindsey Graham,REP,,,,,0
Mills,1,President,,Marco Rubio,REP,,,,,31
Mills,1,President,,Mike Huckabee,REP,,,,,5
Mills,1,President,,Rand Paul,REP,,,,,0
Mills,1,President,,Rick Santorum,REP,,,,,0
Mills,1,President,,Ted Cruz,REP,,,,,189
Mills,1,President,,Uncommitted,REP,,,,,11
Mills,1,President,,Totals,REP,,,,,378
Mills,1,U.S. House,11,Mike Conaway,REP,,,,,301
Mills,1,U.S. House,11,Totals,REP,,,,,301
Mills,1,Railroad Commissioner,,Doug Jeffrey,REP,,,,,44
Mills,1,Railroad Commissioner,,Gary Gates,REP,,,,,75
Mills,1,Railroad Commissioner,,John Greytok,REP,,,,,12
Mills,1,Railroad Commissioner,,Lance N. Christian,REP,,,,,38
Mills,1,Railroad Commissioner,,Ron Hale,REP,,,,,51
Mills,1,Railroad Commissioner,,Wayne Christian,REP,,,,,23
Mills,1,Railroad Commissioner,,Weston Martinez,REP,,,,,18
Mills,1,Railroad Commissioner,,Totals,REP,,,,,261
Mills,1,State Senate,24,Brent Mayes,REP,,,,,35
Mills,1,State Senate,24,Dawn Buckingham,REP,,,,,77
Mills,1,State Senate,24,Jon Cobb,REP,,,,,87
Mills,1,State Senate,24,Reed Williams,REP,,,,,21
Mills,1,State Senate,24,Ryan Downton,REP,,,,,5
Mills,1,State Senate,24,Susan King,REP,,,,,102
Mills,1,State Senate,24,Totals,REP,,,,,327
Mills,1,State Representative,59,Brent Graves,REP,,,,,89
Mills,1,State Representative,59,J.D. Sheffield,REP,,,,,268
Mills,1,State Representative,59,Totals,REP,,,,,357
Mills,2,Ballots Cast,,,REP,92,95,187,412,
Mills,2,President,,Ben Carson,REP,,,,,10
Mills,2,President,,Carly Fiorina,REP,,,,,0
Mills,2,President,,Chris Christie,REP,,,,,0
Mills,2,President,,Donald J Trump,REP,,,,,47
Mills,2,President,,Elizabeth Gray,REP,,,,,0
Mills,2,President,,Jeb Bush,REP,,,,,3
Mills,2,President,,John R. Kasich,REP,,,,,9
Mills,2,President,,Lindsey Graham,REP,,,,,0
Mills,2,President,,Marco Rubio,REP,,,,,30
Mills,2,President,,Mike Huckabee,REP,,,,,0
Mills,2,President,,Rand Paul,REP,,,,,0
Mills,2,President,,Rick Santorum,REP,,,,,0
Mills,2,President,,Ted Cruz,REP,,,,,81
Mills,2,President,,Uncommitted,REP,,,,,0
Mills,2,President,,Totals,REP,,,,,180
Mills,2,U.S. House,11,Mike Conaway,REP,,,,,162
Mills,2,U.S. House,11,Totals,REP,,,,,162
Mills,2,Railroad Commissioner,,Doug Jeffrey,REP,,,,,19
Mills,2,Railroad Commissioner,,Gary Gates,REP,,,,,45
Mills,2,Railroad Commissioner,,John Greytok,REP,,,,,3
Mills,2,Railroad Commissioner,,Lance N. Christian,REP,,,,,13
Mills,2,Railroad Commissioner,,Ron Hale,REP,,,,,35
Mills,2,Railroad Commissioner,,Wayne Christian,REP,,,,,13
Mills,2,Railroad Commissioner,,Weston Martinez,REP,,,,,9
Mills,2,Railroad Commissioner,,Totals,REP,,,,,137
Mills,2,State Senate,24,Brent Mayes,REP,,,,,21
Mills,2,State Senate,24,Dawn Buckingham,REP,,,,,39
Mills,2,State Senate,24,Jon Cobb,REP,,,,,59
Mills,2,State Senate,24,Reed Williams,REP,,,,,8
Mills,2,State Senate,24,Ryan Downton,REP,,,,,4
Mills,2,State Senate,24,Susan King,REP,,,,,40
Mills,2,State Senate,24,Totals,REP,,,,,171
Mills,2,State Representative,59,Brent Graves,REP,,,,,38
Mills,2,State Representative,59,J.D. Sheffield,REP,,,,,140
Mills,2,State Representative,59,Totals,REP,,,,,178
Mills,3,Ballots Cast,,,REP,11,10,21,55,
Mills,3,President,,Ben Carson,REP,,,,,2
Mills,3,President,,Carly Fiorina,REP,,,,,0
Mills,3,President,,Chris Christie,REP,,,,,0
Mills,3,President,,Donald J Trump,REP,,,,,9
Mills,3,President,,Elizabeth Gray,REP,,,,,0
Mills,3,President,,Jeb Bush,REP,,,,,0
Mills,3,President,,John R. Kasich,REP,,,,,1
Mills,3,President,,Lindsey Graham,REP,,,,,0
Mills,3,President,,Marco Rubio,REP,,,,,0
Mills,3,President,,Mike Huckabee,REP,,,,,0
Mills,3,President,,Rand Paul,REP,,,,,0
Mills,3,President,,Rick Santorum,REP,,,,,0
Mills,3,President,,Ted Cruz,REP,,,,,9
Mills,3,President,,Uncommitted,REP,,,,,0
Mills,3,President,,Totals,REP,,,,,21
Mills,3,U.S. House,11,Mike Conaway,REP,,,,,11
Mills,3,U.S. House,11,Totals,REP,,,,,11
Mills,3,Railroad Commissioner,,Doug Jeffrey,REP,,,,,3
Mills,3,Railroad Commissioner,,Gary Gates,REP,,,,,7
Mills,3,Railroad Commissioner,,John Greytok,REP,,,,,0
Mills,3,Railroad Commissioner,,Lance N. Christian,REP,,,,,0
Mills,3,Railroad Commissioner,,Ron Hale,REP,,,,,5
Mills,3,Railroad Commissioner,,Wayne Christian,REP,,,,,2
Mills,3,Railroad Commissioner,,Weston Martinez,REP,,,,,1
Mills,3,Railroad Commissioner,,Totals,REP,,,,,18
Mills,3,State Senate,24,Brent Mayes,REP,,,,,3
Mills,3,State Senate,24,Dawn Buckingham,REP,,,,,3
Mills,3,State Senate,24,Jon Cobb,REP,,,,,8
Mills,3,State Senate,24,Reed Williams,REP,,,,,0
Mills,3,State Senate,24,Ryan Downton,REP,,,,,0
Mills,3,State Senate,24,Susan King,REP,,,,,5
Mills,3,State Senate,24,Totals,REP,,,,,19
Mills,3,State Representative,59,Brent Graves,REP,,,,,4
Mills,3,State Representative,59,J.D. Sheffield,REP,,,,,11
Mills,3,State Representative,59,Totals,REP,,,,,15
Mills,4,Ballots Cast,,,REP,38,55,93,298,
Mills,4,President,,Ben Carson,REP,,,,,2
Mills,4,President,,Carly Fiorina,REP,,,,,0
