county,precinct,office,district,candidate,party,Absentee,early_voting,election day,Total,Registered,votes
Delta,1,Ballots Cast,,,,0,6,17,23,751,
Delta,1,President,,Calvis L. Hawes,,,,,,,0
Delta,1,President,,Bernie Sanders,,,,,,,5
Delta,1,President,,Hillary Clinton,,,,,,,17
Delta,1,President,,Star Locke,,,,,,,0
Delta,1,President,,"Roque ""Rocky"" De La Fuente",,,,,,,0
Delta,1,President,,Willie L. Wilson,,,,,,,0
Delta,1,President,,Martin J. O'Malley,,,,,,,0
Delta,1,President,,Keith Judd,,,,,,,0
Delta,1,President,,Totals,,,,,,,22
Delta,1,Railroad Commissioner,,Cody Garrett,,,,,,,11
Delta,1,Railroad Commissioner,,Lon Burnam,,,,,,,4
Delta,1,Railroad Commissioner,,Grady Yarbrough,,,,,,,6
Delta,1,Railroad Commissioner,,Totals,,,,,,,21
Delta,3,Ballots Cast,,,,3,10,19,32,618,
Delta,3,President,,Calvis L. Hawes,,,,,,,0
Delta,3,President,,Bernie Sanders,,,,,,,6
Delta,3,President,,Hillary Clinton,,,,,,,26
Delta,3,President,,Star Locke,,,,,,,0
Delta,3,President,,"Roque ""Rocky"" De La Fuente",,,,,,,0
Delta,3,President,,Willie L. Wilson,,,,,,,0
Delta,3,President,,Martin J. O'Malley,,,,,,,0
Delta,3,President,,Keith Judd,,,,,,,0
Delta,3,President,,Totals,,,,,,,32
Delta,3,Railroad Commissioner,,Cody Garrett,,,,,,,10
Delta,3,Railroad Commissioner,,Lon Burnam,,,,,,,5
Delta,3,Railroad Commissioner,,Grady Yarbrough,,,,,,,10
Delta,3,Railroad Commissioner,,Totals,,,,,,,25
Delta,4,Ballots Cast,,,,0,7,24,31,599,
Delta,4,President,,Calvis L. Hawes,,,,,,,0
Delta,4,President,,Bernie Sanders,,,,,,,14
Delta,4,President,,Hillary Clinton,,,,,,,14
Delta,4,President,,Star Locke,,,,,,,0
Delta,4,President,,"Roque ""Rocky"" De La Fuente",,,,,,,1
Delta,4,President,,Willie L. Wilson,,,,,,,0
Delta,4,President,,Martin J. O'Malley,,,,,,,0
Delta,4,President,,Keith Judd,,,,,,,0
Delta,4,President,,Totals,,,,,,,29
Delta,4,Railroad Commissioner,,Cody Garrett,,,,,,,7
Delta,4,Railroad Commissioner,,Lon Burnam,,,,,,,5
Delta,4,Railroad Commissioner,,Grady Yarbrough,,,,,,,9
Delta,4,Railroad Commissioner,,Totals,,,,,,,21
Delta,5,Ballots Cast,,,,6,5,21,32,791,
Delta,5,President,,Calvis L. Hawes,,,,,,,0
Delta,5,President,,Bernie Sanders,,,,,,,10
Delta,5,President,,Hillary Clinton,,,,,,,22
Delta,5,President,,Star Locke,,,,,,,0
Delta,5,President,,"Roque ""Rocky"" De La Fuente",,,,,,,0
Delta,5,President,,Willie L. Wilson,,,,,,,0
Delta,5,President,,Martin J. O'Malley,,,,,,,0
Delta,5,President,,Keith Judd,,,,,,,0
Delta,5,President,,Totals,,,,,,,32
Delta,5,Railroad Commissioner,,Cody Garrett,,,,,,,11
Delta,5,Railroad Commissioner,,Lon Burnam,,,,,,,3
Delta,5,Railroad Commissioner,,Grady Yarbrough,,,,,,,7
Delta,5,Railroad Commissioner,,Totals,,,,,,,21
Delta,7,Ballots Cast,,,,7,3,11,21,258,
Delta,7,President,,Calvis L. Hawes,,,,,,,0
Delta,7,President,,Bernie Sanders,,,,,,,6
Delta,7,President,,Hillary Clinton,,,,,,,14
Delta,7,President,,Star Locke,,,,,,,0
Delta,7,President,,"Roque ""Rocky"" De La Fuente",,,,,,,0
Delta,7,President,,Willie L. Wilson,,,,,,,0
Delta,7,President,,Martin J. O'Malley,,,,,,,0
Delta,7,President,,Keith Judd,,,,,,,0
Delta,7,President,,Totals,,,,,,,20
Delta,7,Railroad Commissioner,,Cody Garrett,,,,,,,13
Delta,7,Railroad Commissioner,,Lon Burnam,,,,,,,2
Delta,7,Railroad Commissioner,,Grady Yarbrough,,,,,,,4
Delta,7,Railroad Commissioner,,Totals,,,,,,,19
Delta,9,Ballots Cast,,,,4,0,3,7,248,
Delta,9,President,,Calvis L. Hawes,,,,,,,0
Delta,9,President,,Bernie Sanders,,,,,,,2
Delta,9,President,,Hillary Clinton,,,,,,,4
Delta,9,President,,Star Locke,,,,,,,0
Delta,9,President,,"Roque ""Rocky"" De La Fuente",,,,,,,0
Delta,9,President,,Willie L. Wilson,,,,,,,0
Delta,9,President,,Martin J. O'Malley,,,,,,,0
Delta,9,President,,Keith Judd,,,,,,,0
Delta,9,President,,Totals,,,,,,,6
Delta,9,Railroad Commissioner,,Cody Garrett,,,,,,,2
Delta,9,Railroad Commissioner,,Lon Burnam,,,,,,,1
Delta,9,Railroad Commissioner,,Grady Yarbrough,,,,,,,3
Delta,9,Railroad Commissioner,,Totals,,,,,,,6
Delta,10,Ballots Cast,,,,2,6,14,22,355,
Delta,10,President,,Calvis L. Hawes,,,,,,,0
Delta,10,President,,Bernie Sanders,,,,,,,8
Delta,10,President,,Hillary Clinton,,,,,,,14
Delta,10,President,,Star Locke,,,,,,,0
Delta,10,President,,"Roque ""Rocky"" De La Fuente",,,,,,,0
Delta,10,President,,Willie L. Wilson,,,,,,,0
Delta,10,President,,Martin J. O'Malley,,,,,,,0
Delta,10,President,,Keith Judd,,,,,,,0
Delta,10,President,,Totals,,,,,,,22
Delta,10,Railroad Commissioner,,Cody Garrett,,,,,,,7
Delta,10,Railroad Commissioner,,Lon Burnam,,,,,,,2
Delta,10,Railroad Commissioner,,Grady Yarbrough,,,,,,,10
Delta,10,Railroad Commissioner,,Totals,,,,,,,19
Delta,1,Ballots Cast,,,,18,111,187,316,751,
Delta,1,President,,Rand Paul,,,,,,,0
Delta,1,President,,Jeb Bush,,,,,,,7
Delta,1,President,,Elizabeth Gray,,,,,,,0
Delta,1,President,,Ted Cruz,,,,,,,145
Delta,1,President,,Marco Rubio,,,,,,,34
Delta,1,President,,Chris Christie,,,,,,,0
Delta,1,President,,Ben Carson,,,,,,,12
Delta,1,President,,Carly Fiorina,,,,,,,0
Delta,1,President,,John R. Kasich,,,,,,,6
Delta,1,President,,Rick Santorum,,,,,,,0
Delta,1,President,,Donald J. Trump,,,,,,,100
Delta,1,President,,Mike Huckabee,,,,,,,1
Delta,1,President,,Lindsey Graham,,,,,,,0
Delta,1,President,,Uncommitted,,,,,,,1
Delta,1,President,,Totals,,,,,,,306
Delta,1,U.S. House,4,John Ratcliffe,,,,,,,175
Delta,1,U.S. House,4,Ray Hall,,,,,,,32
Delta,1,U.S. House,4,Lou Gigliotti,,,,,,,63
Delta,1,U.S. House,4,Totals,,,,,,,270
Delta,1,Railroad Commissioner,,Wayne Christian,,,,,,,56
Delta,1,Railroad Commissioner,,Gary Gates,,,,,,,46
Delta,1,Railroad Commissioner,,Weston Martinez,,,,,,,12
Delta,1,Railroad Commissioner,,John Greytok,,,,,,,8
Delta,1,Railroad Commissioner,,Doug Jeffrey,,,,,,,30
Delta,1,Railroad Commissioner,,Lance N. Christian,,,,,,,31
