county,precinct,office,district,party,candidate,election_day,early_voting_person,early_voting_mail,early_voting,votes
Victoria,24,Straight Party,,,DEMOCRATIC,13,36,7,43,56
Victoria,24,Straight Party,,,LIBERTARIAN,0,0,0,0,0
Victoria,24,Straight Party,,,GREEN,0,1,0,1,1
Victoria,25,Straight Party,,,REPUBLICAN,203,572,121,693,896
Victoria,25,Straight Party,,,DEMOCRATIC,90,235,35,270,360
Victoria,25,Straight Party,,,LIBERTARIAN,9,9,0,9,18
Victoria,25,Straight Party,,,GREEN,2,3,0,3,5
Victoria,26,Straight Party,,,REPUBLICAN,122,141,15,156,278
Victoria,26,Straight Party,,,DEMOCRATIC,50,37,6,43,93
Victoria,26,Straight Party,,,LIBERTARIAN,2,1,0,1,3
Victoria,26,Straight Party,,,GREEN,0,0,0,0,0
Victoria,27,Straight Party,,,REPUBLICAN,248,248,25,273,521
Victoria,27,Straight Party,,,DEMOCRATIC,19,23,1,24,43
Victoria,27,Straight Party,,,LIBERTARIAN,1,2,0,2,3
Victoria,27,Straight Party,,,GREEN,0,0,0,0,0
Victoria,28,Straight Party,,,REPUBLICAN,78,63,9,72,150
Victoria,28,Straight Party,,,DEMOCRATIC,13,13,4,17,30
Victoria,28,Straight Party,,,LIBERTARIAN,1,0,0,0,1
Victoria,28,Straight Party,,,GREEN,0,0,0,0,0
Victoria,29,Straight Party,,,REPUBLICAN,182,479,87,566,748
Victoria,29,Straight Party,,,DEMOCRATIC,59,119,15,134,193
Victoria,29,Straight Party,,,LIBERTARIAN,2,1,0,1,3
Victoria,29,Straight Party,,,GREEN,1,0,0,0,1
Victoria,30,Straight Party,,,REPUBLICAN,47,56,13,69,116
Victoria,30,Straight Party,,,DEMOCRATIC,17,33,5,38,55
Victoria,30,Straight Party,,,LIBERTARIAN,1,1,0,1,2
Victoria,30,Straight Party,,,GREEN,0,0,0,0,0
Victoria,31,Straight Party,,,REPUBLICAN,47,93,16,109,156
Victoria,31,Straight Party,,,DEMOCRATIC,14,54,28,82,96
Victoria,31,Straight Party,,,LIBERTARIAN,0,4,0,4,4
Victoria,31,Straight Party,,,GREEN,2,0,0,0,2
Victoria,32,Straight Party,,,REPUBLICAN,43,86,13,99,142
Victoria,32,Straight Party,,,DEMOCRATIC,100,113,17,130,230
Victoria,32,Straight Party,,,LIBERTARIAN,5,3,1,4,9
Victoria,32,Straight Party,,,GREEN,1,0,0,0,1
Victoria,33,Straight Party,,,REPUBLICAN,248,830,181,1011,1259
Victoria,33,Straight Party,,,DEMOCRATIC,66,170,25,195,261
Victoria,33,Straight Party,,,LIBERTARIAN,5,7,3,10,15
Victoria,33,Straight Party,,,GREEN,1,0,0,0,1
Victoria,34,Straight Party,,,REPUBLICAN,39,30,4,34,73
Victoria,34,Straight Party,,,DEMOCRATIC,101,90,24,114,215
Victoria,34,Straight Party,,,LIBERTARIAN,1,3,0,3,4
Victoria,34,Straight Party,,,GREEN,2,1,0,1,3
Victoria,35,Straight Party,,,REPUBLICAN,13,21,3,24,37
Victoria,35,Straight Party,,,DEMOCRATIC,38,28,8,36,74
Victoria,35,Straight Party,,,LIBERTARIAN,2,0,0,0,2
Victoria,35,Straight Party,,,GREEN,0,0,0,0,0
Victoria,1,President,,,Donald J. Trump,34,42,16,58,92
Victoria,1,President,,,Hillary Clinton,42,69,25,94,136
Victoria,1,President,,,Gary Johnson,8,4,4,8,16
Victoria,1,President,,,Jill Stein,1,2,1,3,4
Victoria,1,President,,,WRITE-IN,0,1,1,2,2
Victoria,2,President,,,Donald J. Trump,82,209,17,226,308
Victoria,2,President,,,Hillary Clinton,48,139,22,161,209
Victoria,2,President,,,Gary Johnson,8,7,0,7,15
Victoria,2,President,,,Jill Stein,4,2,1,3,7
Victoria,2,President,,,WRITE-IN,4,2,1,3,7
Victoria,3,President,,,Donald J. Trump,114,259,46,305,419
Victoria,3,President,,,Hillary Clinton,65,136,20,156,221
Victoria,3,President,,,Gary Johnson,7,10,3,13,20
Victoria,3,President,,,Jill Stein,1,1,1,2,3
Victoria,3,President,,,WRITE-IN,1,5,1,6,7
Victoria,4,President,,,Donald J. Trump,88,105,21,126,214
Victoria,4,President,,,Hillary Clinton,134,153,37,190,324
Victoria,4,President,,,Gary Johnson,14,2,0,2,16
Victoria,4,President,,,Jill Stein,3,5,0,5,8
Victoria,4,President,,,WRITE-IN,0,2,0,2,2
Victoria,5,President,,,Donald J. Trump,136,335,76,411,547
Victoria,5,President,,,Hillary Clinton,196,294,55,349,545
Victoria,5,President,,,Gary Johnson,18,18,5,23,41
Victoria,5,President,,,Jill Stein,4,6,0,6,10
Victoria,5,President,,,WRITE-IN,3,8,1,9,12
Victoria,6,President,,,Donald J. Trump,14,24,4,28,42
Victoria,6,President,,,Hillary Clinton,17,43,16,59,76
Victoria,6,President,,,Gary Johnson,3,1,0,1,4
Victoria,6,President,,,Jill Stein,0,0,0,0,0
Victoria,6,President,,,WRITE-IN,1,1,0,1,2
Victoria,7,President,,,Donald J. Trump,128,155,30,185,313
Victoria,7,President,,,Hillary Clinton,237,288,78,366,603
Victoria,7,President,,,Gary Johnson,14,9,1,10,24
Victoria,7,President,,,Jill Stein,3,1,0,1,4
Victoria,7,President,,,WRITE-IN,0,2,0,2,2
Victoria,8,President,,,Donald J. Trump,161,279,45,324,485
Victoria,8,President,,,Hillary Clinton,155,228,57,285,440
Victoria,8,President,,,Gary Johnson,17,17,1,18,35
Victoria,8,President,,,Jill Stein,5,5,0,5,10
Victoria,8,President,,,WRITE-IN,6,7,0,7,13
Victoria,9,President,,,Donald J. Trump,108,237,29,266,374
Victoria,9,President,,,Hillary Clinton,68,122,18,140,208
Victoria,9,President,,,Gary Johnson,11,12,2,14,25
Victoria,9,President,,,Jill Stein,3,0,0,0,3
Victoria,9,President,,,WRITE-IN,0,2,0,2,2
Victoria,10,President,,,Donald J. Trump,167,442,74,516,683
Victoria,10,President,,,Hillary Clinton,84,206,23,229,313
Victoria,10,President,,,Gary Johnson,11,9,2,11,22
Victoria,10,President,,,Jill Stein,4,2,0,2,6
Victoria,10,President,,,WRITE-IN,2,7,1,8,10
Victoria,11,President,,,Donald J. Trump,83,106,14,120,203
Victoria,11,President,,,Hillary Clinton,23,31,4,35,58
Victoria,11,President,,,Gary Johnson,1,2,0,2,3
Victoria,11,President,,,Jill Stein,1,0,0,0,1
Victoria,11,President,,,WRITE-IN,1,1,0,1,2
Victoria,12,President,,,Donald J. Trump,83,76,4,80,163
Victoria,12,President,,,Hillary Clinton,120,68,4,72,192
Victoria,12,President,,,Gary Johnson,6,3,0,3,9
Victoria,12,President,,,Jill Stein,1,0,1,1,2
Victoria,12,President,,,WRITE-IN,1,0,0,0,1
Victoria,13,President,,,Donald J. Trump,138,185,21,206,344
Victoria,13,President,,,Hillary Clinton,132,213,24,237,369
Victoria,13,President,,,Gary Johnson,7,7,0,7,14
Victoria,13,President,,,Jill Stein,2,1,0,1,3
Victoria,13,President,,,WRITE-IN,3,1,0,1,4
Victoria,14,President,,,Donald J. Trump,245,317,46,363,608
Victoria,14,President,,,Hillary Clinton,69,108,15,123,192
Victoria,14,President,,,Gary Johnson,8,3,2,5,13
Victoria,14,President,,,Jill Stein,4,2,0,2,6
Victoria,14,President,,,WRITE-IN,5,2,0,2,7
Victoria,15,President,,,Donald J. Trump,20,52,8,60,80
Victoria,15,President,,,Hillary Clinton,7,11,4,15,22
Victoria,15,President,,,Gary Johnson,1,0,0,0,1
Victoria,15,President,,,Jill Stein,0,0,0,0,0
Victoria,15,President,,,WRITE-IN,0,0,0,0,0
Victoria,16,President,,,Donald J. Trump,71,137,13,150,221
Victoria,16,President,,,Hillary Clinton,9,36,5,41,50
Victoria,16,President,,,Gary Johnson,6,1,0,1,7
Victoria,16,President,,,Jill Stein,1,0,0,0,1
Victoria,16,President,,,WRITE-IN,0,0,1,1,1
Victoria,17,President,,,Donald J. Trump,70,129,14,143,213
Victoria,17,President,,,Hillary Clinton,41,55,8,63,104
Victoria,17,President,,,Gary Johnson,7,5,0,5,12
Victoria,17,President,,,Jill Stein,2,1,0,1,3
Victoria,17,President,,,WRITE-IN,2,3,0,3,5
Victoria,18,President,,,Donald J. Trump,554,1190,160,1350,1904
Victoria,18,President,,,Hillary Clinton,107,253,45,298,405
Victoria,18,President,,,Gary Johnson,14,17,6,23,37
Victoria,18,President,,,Jill Stein,4,4,0,4,8
Victoria,18,President,,,WRITE-IN,3,7,0,7,10
Victoria,19,President,,,Donald J. Trump,264,616,92,708,972
Victoria,19,President,,,Hillary Clinton,150,292,47,339,489
Victoria,19,President,,,Gary Johnson,18,29,3,32,50
Victoria,19,President,,,Jill Stein,2,2,0,2,4
Victoria,19,President,,,WRITE-IN,5,7,0,7,12
Victoria,20,President,,,Donald J. Trump,148,503,46,549,697
Victoria,20,President,,,Hillary Clinton,39,84,22,106,145
Victoria,20,President,,,Gary Johnson,7,7,1,8,15
Victoria,20,President,,,Jill Stein,3,1,0,1,4
Victoria,20,President,,,WRITE-IN,1,1,1,2,3
Victoria,21,President,,,Donald J. Trump,436,1261,207,1468,1904
Victoria,21,President,,,Hillary Clinton,118,307,65,372,490
Victoria,21,President,,,Gary Johnson,27,43,6,49,76
Victoria,21,President,,,Jill Stein,5,4,0,4,9
Victoria,21,President,,,WRITE-IN,10,13,4,17,27
Victoria,22,President,,,Donald J. Trump,400,569,64,633,1033
Victoria,22,President,,,Hillary Clinton,38,49,12,61,99
Victoria,22,President,,,Gary Johnson,12,5,3,8,20
Victoria,22,President,,,Jill Stein,1,0,0,0,1
Victoria,22,President,,,WRITE-IN,1,1,0,1,2
Victoria,23,President,,,Donald J. Trump,287,485,52,537,824
Victoria,23,President,,,Hillary Clinton,60,84,14,98,158
Victoria,23,President,,,Gary Johnson,11,12,1,13,24
Victoria,23,President,,,Jill Stein,1,3,1,4,5
Victoria,23,President,,,WRITE-IN,4,5,0,5,9
Victoria,24,President,,,Donald J. Trump,209,566,70,636,845
Victoria,24,President,,,Hillary Clinton,21,73,13,86,107
Victoria,24,President,,,Gary Johnson,2,9,0,9,11
Victoria,24,President,,,Jill Stein,0,2,1,3,3
Victoria,24,President,,,WRITE-IN,3,3,2,5,8
Victoria,25,President,,,Donald J. Trump,343,1029,189,1218,1561
Victoria,25,President,,,Hillary Clinton,146,417,67,484,630
Victoria,25,President,,,Gary Johnson,25,30,4,34,59
Victoria,25,President,,,Jill Stein,5,5,0,5,10
Victoria,25,President,,,WRITE-IN,4,13,1,14,18
Victoria,26,President,,,Donald J. Trump,218,262,28,290,508
Victoria,26,President,,,Hillary Clinton,72,64,15,79,151
Victoria,26,President,,,Gary Johnson,11,4,1,5,16
Victoria,26,President,,,Jill Stein,2,1,0,1,3
Victoria,26,President,,,WRITE-IN,4,4,0,4,8
Victoria,27,President,,,Donald J. Trump,431,443,50,493,924
Victoria,27,President,,,Hillary Clinton,32,40,7,47,79
Victoria,27,President,,,Gary Johnson,5,8,1,9,14
Victoria,27,President,,,Jill Stein,1,3,2,5,6
Victoria,27,President,,,WRITE-IN,0,1,0,1,1
Victoria,28,President,,,Donald J. Trump,149,110,25,135,284
Victoria,28,President,,,Hillary Clinton,23,16,5,21,44
Victoria,28,President,,,Gary Johnson,5,3,0,3,8
Victoria,28,President,,,Jill Stein,0,0,0,0,0
