county,precinct,office,district,candidate,party,votes,early_voting,election_day,provisional_early,provisional_election_day
Live oak,Argenta,Registered Voters,,,,0,,,,
Live oak,Lagarto,Registered Voters,,,,0,,,,
Live oak,E. Geo. West,Registered Voters,,,,0,,,,
Live oak,W. Geo. West,Registered Voters,,,,0,,,,
Live oak,Oakville,Registered Voters,,,,0,,,,
Live oak,Ray Point,Registered Voters,,,,0,,,,
Live oak,Nell,Registered Voters,,,,0,,,,
Live oak,Whitsett,Registered Voters,,,,0,,,,
Live oak,W. Three Rivers,Registered Voters,,,,0,,,,
Live oak,E. Three Rivers,Registered Voters,,,,0,,,,
Live oak,Simmons,Registered Voters,,,,0,,,,
Live oak,Anna Rose,Registered Voters,,,,0,,,,
Live oak,Swinney Switch,Registered Voters,,,,0,,,,
Live oak,S.W. Geo West,Registered Voters,,,,0,,,,
Live oak,Argenta,Ballots Cast,,,,290,114,174,0,2
Live oak,Lagarto,Ballots Cast,,,,624,261,362,0,1
Live oak,E. Geo. West,Ballots Cast,,,,453,309,144,0,0
Live oak,W. Geo. West,Ballots Cast,,,,559,389,170,0,0
Live oak,Oakville,Ballots Cast,,,,180,99,80,0,0
Live oak,Ray Point,Ballots Cast,,,,164,59,104,0,0
Live oak,Nell,Ballots Cast,,,,21,11,9,1,0
Live oak,Whitsett,Ballots Cast,,,,89,33,54,2,0
Live oak,W. Three Rivers,Ballots Cast,,,,297,171,126,0,0
Live oak,E. Three Rivers,Ballots Cast,,,,538,276,261,1,0
Live oak,Simmons,Ballots Cast,,,,59,26,33,0,0
Live oak,Anna Rose,Ballots Cast,,,,92,57,35,0,0
Live oak,Swinney Switch,Ballots Cast,,,,326,157,164,2,3
Live oak,S.W. Geo West,Ballots Cast,,,,660,465,194,0,1
Live oak,Argenta,Straight Party,,Republican,,142,65,77,0,0
Live oak,Lagarto,Straight Party,,Republican,,275,113,161,0,1
Live oak,E. Geo. West,Straight Party,,Republican,,104,67,37,0,0
Live oak,W. Geo. West,Straight Party,,Republican,,195,138,57,0,0
Live oak,Oakville,Straight Party,,Republican,,73,39,34,0,0
Live oak,Ray Point,Straight Party,,Republican,,66,26,40,0,0
Live oak,Nell,Straight Party,,Republican,,3,1,2,0,0
Live oak,Whitsett,Straight Party,,Republican,,43,15,26,2,0
Live oak,W. Three Rivers,Straight Party,,Republican,,118,76,42,0,0
Live oak,E. Three Rivers,Straight Party,,Republican,,168,88,80,0,0
Live oak,Simmons,Straight Party,,Republican,,28,11,17,0,0
