county,precinct,office,district,party,candidate,early_voting,election_day,paper,votes
Kendall,1010,,,,Registered Voters,,,,2885
Kendall,1110,,,,Registered Voters,,,,4172
Kendall,2020,,,,Registered Voters,,,,2071
Kendall,2080,,,,Registered Voters,,,,3306
Kendall,2120,,,,Registered Voters,,,,3541
Kendall,3030,,,,Registered Voters,,,,2354
Kendall,3040,,,,Registered Voters,,,,3861
Kendall,3060,,,,Registered Voters,,,,587
Kendall,4050,,,,Registered Voters,,,,2774
Kendall,4070,,,,Registered Voters,,,,357
Kendall,4100,,,,Registered Voters,,,,3310
Kendall,Total,,,,Registered Voters,,,,29218
Kendall,1010,,,,Ballots Cast,,,,1882
Kendall,1110,,,,Ballots Cast,,,,2918
Kendall,2020,,,,Ballots Cast,,,,1555
Kendall,2080,,,,Ballots Cast,,,,2330
Kendall,2120,,,,Ballots Cast,,,,2618
Kendall,3030,,,,Ballots Cast,,,,1720
Kendall,3040,,,,Ballots Cast,,,,2551
Kendall,3060,,,,Ballots Cast,,,,449
Kendall,4050,,,,Ballots Cast,,,,1796
Kendall,4070,,,,Ballots Cast,,,,261
Kendall,4100,,,,Ballots Cast,,,,2355
Kendall,Total,,,,Ballots Cast,,,,20435
Kendall,1010,,,Republican,Straight Party,684,103,80,867
Kendall,1110,,,Republican,Straight Party,1182,174,141,1497
Kendall,2020,,,Republican,Straight Party,599,132,59,790
Kendall,2080,,,Republican,Straight Party,923,118,62,1103
Kendall,2120,,,Republican,Straight Party,1112,174,65,1351
Kendall,3030,,,Republican,Straight Party,611,216,55,882
Kendall,3040,,,Republican,Straight Party,971,188,81,1240
Kendall,3060,,,Republican,Straight Party,136,88,10,234
Kendall,4050,,,Republican,Straight Party,477,249,71,797
Kendall,4070,,,Republican,Straight Party,71,40,11,122
Kendall,4100,,,Republican,Straight Party,864,137,73,1074
Kendall,Total,,,Republican,Straight Party,7630,1619,708,9957
Kendall,1010,,,Democratic,Straight Party,169,31,21,221
Kendall,1110,,,Democratic,Straight Party,188,45,21,254
Kendall,2020,,,Democratic,Straight Party,71,16,8,95
Kendall,2080,,,Democratic,Straight Party,150,27,14,191
Kendall,2120,,,Democratic,Straight Party,169,27,13,209
Kendall,3030,,,Democratic,Straight Party,75,26,6,107
Kendall,3040,,,Democratic,Straight Party,177,53,23,253
Kendall,3060,,,Democratic,Straight Party,13,13,3,29
