county,precinct,office,district,party,candidate,votes,early_voting_paper,early_voting,election_day_paper,election_day,absentee/provisional
Rockwall,0001,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,2005,317,595,339,652,102
Rockwall,001A,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1123,135,237,370,313,68
Rockwall,001B,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1769,290,520,267,614,78
Rockwall,001C,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1414,241,364,316,441,52
Rockwall,0002,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1711,280,554,250,498,129
Rockwall,002A,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1605,287,400,270,539,109
Rockwall,002B,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,708,74,171,186,245,32
Rockwall,002C,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,2179,327,725,743,322,62
Rockwall,0003,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,166,27,54,24,39,22
Rockwall,003A,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,384,42,74,123,126,19
Rockwall,003B,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,898,98,208,344,229,19
Rockwall,003C,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1269,185,417,322,286,59
Rockwall,003D,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1647,244,448,286,600,69
Rockwall,0004,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,907,152,232,214,239,70
Rockwall,004A,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1623,189,329,443,591,71
Rockwall,004B,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,435,87,34,188,104,22
Rockwall,004C,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,686,90,54,320,198,24
Rockwall,0001,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,314,42,70,67,116,19
Rockwall,001A,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,236,18,37,80,79,22
Rockwall,001B,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,208,24,53,47,68,16
Rockwall,001C,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,182,18,47,34,76,7
Rockwall,0002,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,269,37,75,55,79,23
Rockwall,002A,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,295,46,57,75,96,21
Rockwall,002B,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,167,11,40,40,66,10
Rockwall,002C,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,224,33,68,55,55,13
Rockwall,0003,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,58,9,14,9,16,10
Rockwall,003A,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,104,14,22,20,47,1
Rockwall,003B,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,225,25,50,58,85,7
Rockwall,003C,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,99,7,34,26,28,4
Rockwall,003D,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,154,21,39,28,56,10
Rockwall,0004,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,98,11,31,22,27,7
Rockwall,004A,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,321,34,66,86,117,18
Rockwall,004B,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,79,10,10,26,26,7
Rockwall,004C,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,128,17,10,39,54,8
Rockwall,0001,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,1691,275,525,272,536,83
Rockwall,001A,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,887,117,200,290,234,46
Rockwall,001B,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,1561,266,467,220,546,62
Rockwall,001C,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,1232,223,317,282,365,45
Rockwall,0002,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,1442,243,479,195,419,106
