county,precinct,office,district,candidate,party,early_voting,election_day,provisional,absentee,votes
Wilson,101,Ballots Cast,,,,462,854,0,60,1376
Wilson,102,Ballots Cast,,,,464,624,0,109,1197
Wilson,103,Ballots Cast,,,,594,442,0,88,1124
Wilson,104,Ballots Cast,,,,376,233,0,17,626
Wilson,205,Ballots Cast,,,,713,409,0,61,1183
Wilson,206,Ballots Cast,,,,499,915,3,106,1523
Wilson,207,Ballots Cast,,,,436,759,0,51,1246
Wilson,208,Ballots Cast,,,,272,120,0,8,400
Wilson,209,Ballots Cast,,,,256,44,0,5,305
Wilson,310,Ballots Cast,,,,244,194,0,38,476
Wilson,311,Ballots Cast,,,,652,530,0,54,1236
Wilson,312,Ballots Cast,,,,811,822,1,68,1702
Wilson,313,Ballots Cast,,,,769,782,3,47,1601
Wilson,414,Ballots Cast,,,,838,543,0,62,1443
Wilson,415,Ballots Cast,,,,919,1387,1,85,2392
Wilson,416,Ballots Cast,,,,576,979,0,91,1646
Wilson,Total,Ballots Cast,,,,8881,9637,950,8,19476
Wilson,101,Straight Party,,,REP,136,249,0,17,402
Wilson,102,Straight Party,,,REP,218,240,0,62,520
Wilson,103,Straight Party,,,REP,265,178,0,37,480
Wilson,104,Straight Party,,,REP,134,85,0,8,227
Wilson,205,Straight Party,,,REP,272,163,0,40,475
Wilson,206,Straight Party,,,REP,166,330,1,41,538
Wilson,207,Straight Party,,,REP,436,759,0,51,1246
Wilson,208,Straight Party,,,REP,272,120,0,8,400
Wilson,209,Straight Party,,,REP,256,44,0,5,305
Wilson,310,Straight Party,,,REP,244,194,0,38,476
Wilson,311,Straight Party,,,REP,652,530,0,54,1236
Wilson,312,Straight Party,,,REP,811,822,1,68,1702
Wilson,313,Straight Party,,,REP,769,782,3,47,1601
Wilson,414,Straight Party,,,REP,838,543,0,62,1443
Wilson,415,Straight Party,,,REP,919,1387,1,85,2392
Wilson,416,Straight Party,,,REP,576,979,0,91,1646
Wilson,Total,Straight Party,,,REP,8881,9637,950,8,19476
Wilson,101,Straight Party,,,DEM,81,141,0,11,233
Wilson,102,Straight Party,,,DEM,147,164,0,58,369
Wilson,103,Straight Party,,,DEM,115,65,0,21,201
Wilson,104,Straight Party,,,DEM,49,27,0,2,78
Wilson,205,Straight Party,,,DEM,96,43,0,18,157
Wilson,206,Straight Party,,,DEM,81,145,0,28,254
Wilson,207,Straight Party,,,DEM,52,101,0,5,158
Wilson,208,Straight Party,,,DEM,8,5,0,0,13
Wilson,209,Straight Party,,,DEM,6,0,0,0,6
Wilson,310,Straight Party,,,DEM,19,12,0,2,33
Wilson,311,Straight Party,,,DEM,30,26,0,4,60
Wilson,312,Straight Party,,,DEM,42,34,0,3,79
Wilson,313,Straight Party,,,DEM,77,66,0,11,154
Wilson,414,Straight Party,,,DEM,66,45,0,6,117
Wilson,415,Straight Party,,,DEM,66,105,0,10,181
Wilson,416,Straight Party,,,DEM,70,125,0,11,206
Wilson,Total,Straight Party,,,DEM,1005,1104,190,0,2299
Wilson,101,Straight Party,,,LIB,4,4,0,0,8
Wilson,102,Straight Party,,,LIB,2,1,0,0,3
Wilson,103,Straight Party,,,LIB,2,2,0,1,5
Wilson,104,Straight Party,,,LIB,3,0,0,0,3
Wilson,205,Straight Party,,,LIB,3,2,0,0,5
Wilson,206,Straight Party,,,LIB,4,3,0,1,8
Wilson,207,Straight Party,,,LIB,4,1,0,0,5
