county,precinct,office,district,party,candidate,early_voting_paper,early_voting_ivo,early_voting,election_day_paper,election_day_ivo,election_day,mail_provisional,votes
Rockwall,1,Registered Voters,,,,,,,,,,,0
Rockwall,1,Ballots Cast,,,,,,,,,,,3551
Rockwall,1A,Registered Voters,,,,,,,,,,,0
Rockwall,1A,Ballots Cast,,,,,,,,,,,2430
Rockwall,1B,Registered Voters,,,,,,,,,,,0
Rockwall,1B,Ballots Cast,,,,,,,,,,,3402
Rockwall,1C,Registered Voters,,,,,,,,,,,0
Rockwall,1C,Ballots Cast,,,,,,,,,,,2209
Rockwall,2,Registered Voters,,,,,,,,,,,0
Rockwall,2,Ballots Cast,,,,,,,,,,,2942
Rockwall,2A,Registered Voters,,,,,,,,,,,0
Rockwall,2A,Ballots Cast,,,,,,,,,,,2951
Rockwall,2B,Registered Voters,,,,,,,,,,,0
Rockwall,2B,Ballots Cast,,,,,,,,,,,1314
Rockwall,2C,Registered Voters,,,,,,,,,,,0
Rockwall,2C,Ballots Cast,,,,,,,,,,,3414
Rockwall,3,Registered Voters,,,,,,,,,,,0
Rockwall,3,Ballots Cast,,,,,,,,,,,325
Rockwall,3A,Registered Voters,,,,,,,,,,,0
Rockwall,3A,Ballots Cast,,,,,,,,,,,823
Rockwall,3B,Registered Voters,,,,,,,,,,,0
Rockwall,3B,Ballots Cast,,,,,,,,,,,1970
Rockwall,3C,Registered Voters,,,,,,,,,,,0
Rockwall,3C,Ballots Cast,,,,,,,,,,,1931
Rockwall,3D,Registered Voters,,,,,,,,,,,0
Rockwall,3D,Ballots Cast,,,,,,,,,,,3882
Rockwall,4,Registered Voters,,,,,,,,,,,0
Rockwall,4,Ballots Cast,,,,,,,,,,,1705
Rockwall,4A,Registered Voters,,,,,,,,,,,0
Rockwall,4A,Ballots Cast,,,,,,,,,,,4365
Rockwall,4B,Registered Voters,,,,,,,,,,,0
Rockwall,4B,Ballots Cast,,,,,,,,,,,984
Rockwall,4C,Registered Voters,,,,,,,,,,,0
Rockwall,4C,Ballots Cast,,,,,,,,,,,2046
Rockwall,1,Straight Party,,,Republican Party,422,872,1294,58,153,211,107,1612
Rockwall,1,Straight Party,,,Democratic Party,69,244,313,6,52,58,32,403
Rockwall,1,Straight Party,,,Libertarian Party,2,7,9,0,4,4,0,13
Rockwall,1,Straight Party,,,Green Party,0,2,2,0,0,0,0,2
Rockwall,1A,Straight Party,,,Republican Party,343,466,809,75,102,177,68,1054
Rockwall,1A,Straight Party,,,Democratic Party,75,203,278,23,66,89,50,417
Rockwall,1A,Straight Party,,,Libertarian Party,3,7,10,1,4,5,0,15
Rockwall,1A,Straight Party,,,Green Party,1,2,3,1,0,1,0,4
Rockwall,1B,Straight Party,,,Republican Party,473,865,1338,91,186,277,88,1703
Rockwall,1B,Straight Party,,,Democratic Party,42,193,235,16,35,51,19,305
Rockwall,1B,Straight Party,,,Libertarian Party,2,14,16,3,4,7,0,23
Rockwall,1B,Straight Party,,,Green Party,0,3,3,0,1,1,0,4
Rockwall,1C,Straight Party,,,Republican Party,307,524,831,56,126,182,69,1082
Rockwall,1C,Straight Party,,,Democratic Party,30,125,155,7,18,25,14,194
Rockwall,1C,Straight Party,,,Libertarian Party,4,8,12,0,4,4,2,18
Rockwall,1C,Straight Party,,,Green Party,0,1,1,0,1,1,0,2
Rockwall,2,Straight Party,,,Republican Party,435,692,1127,50,125,175,145,1447
Rockwall,2,Straight Party,,,Democratic Party,78,175,253,14,37,51,30,334
Rockwall,2,Straight Party,,,Libertarian Party,2,11,13,0,6,6,1,20
Rockwall,2,Straight Party,,,Green Party,5,3,8,1,0,1,1,10
Rockwall,2A,Straight Party,,,Republican Party,394,686,1080,68,140,208,95,1383
Rockwall,2A,Straight Party,,,Democratic Party,86,234,320,14,52,66,34,420
Rockwall,2A,Straight Party,,,Libertarian Party,2,6,8,1,6,7,0,15
Rockwall,2A,Straight Party,,,Green Party,0,2,2,2,1,3,0,5
Rockwall,2B,Straight Party,,,Republican Party,154,289,443,44,73,117,23,583
Rockwall,2B,Straight Party,,,Democratic Party,30,143,173,6,30,36,15,224
Rockwall,2B,Straight Party,,,Libertarian Party,2,10,12,1,3,4,1,17
Rockwall,2B,Straight Party,,,Green Party,0,1,1,1,1,2,0,3
Rockwall,2C,Straight Party,,,Republican Party,510,801,1311,102,186,288,84,1683
Rockwall,2C,Straight Party,,,Democratic Party,53,150,203,8,27,35,19,257
Rockwall,2C,Straight Party,,,Libertarian Party,2,8,10,2,6,8,1,19
Rockwall,2C,Straight Party,,,Green Party,0,2,2,0,0,0,0,2
Rockwall,3,Straight Party,,,Republican Party,39,53,92,4,8,12,12,116
Rockwall,3,Straight Party,,,Democratic Party,29,38,67,20,16,36,12,115
Rockwall,3,Straight Party,,,Libertarian Party,0,0,0,1,2,3,0,3
Rockwall,3,Straight Party,,,Green Party,0,0,0,0,1,1,0,1
Rockwall,3A,Straight Party,,,Republican Party,75,119,194,23,49,72,19,285
Rockwall,3A,Straight Party,,,Democratic Party,61,113,174,36,56,92,6,272
Rockwall,3A,Straight Party,,,Libertarian Party,5,4,9,0,5,5,0,14
Rockwall,3A,Straight Party,,,Green Party,0,1,1,1,2,3,0,4
Rockwall,3B,Straight Party,,,Republican Party,217,372,589,84,87,171,24,784
Rockwall,3B,Straight Party,,,Democratic Party,82,273,355,43,62,105,17,477
Rockwall,3B,Straight Party,,,Libertarian Party,2,7,9,1,5,6,0,15
Rockwall,3B,Straight Party,,,Green Party,1,2,3,0,0,0,0,3
Rockwall,3C,Straight Party,,,Republican Party,253,556,809,43,95,138,56,1003
Rockwall,3C,Straight Party,,,Democratic Party,33,67,100,2,19,21,9,130
Rockwall,3C,Straight Party,,,Libertarian Party,3,6,9,0,3,3,0,12
Rockwall,3C,Straight Party,,,Green Party,0,0,0,0,0,0,0,0
Rockwall,3D,Straight Party,,,Republican Party,611,979,1590,98,200,298,92,1980
Rockwall,3D,Straight Party,,,Democratic Party,73,230,303,22,61,83,18,404
Rockwall,3D,Straight Party,,,Libertarian Party,3,9,12,2,2,4,0,16
Rockwall,3D,Straight Party,,,Green Party,1,1,2,0,0,0,0,2
Rockwall,4,Straight Party,,,Republican Party,290,399,689,51,86,137,70,896
Rockwall,4,Straight Party,,,Democratic Party,36,103,139,8,24,32,22,193
Rockwall,4,Straight Party,,,Libertarian Party,2,8,10,1,2,3,0,13
Rockwall,4,Straight Party,,,Green Party,0,0,0,0,2,2,0,2
Rockwall,4A,Straight Party,,,Republican Party,583,1001,1584,95,252,347,86,2017
Rockwall,4A,Straight Party,,,Democratic Party,95,386,481,32,137,169,40,690
Rockwall,4A,Straight Party,,,Libertarian Party,6,19,25,4,16,20,0,45
Rockwall,4A,Straight Party,,,Green Party,3,4,7,1,3,4,1,12
Rockwall,4B,Straight Party,,,Republican Party,154,195,349,40,48,88,15,452
Rockwall,4B,Straight Party,,,Democratic Party,34,68,102,12,28,40,8,150
Rockwall,4B,Straight Party,,,Libertarian Party,2,3,5,1,1,2,0,7
Rockwall,4B,Straight Party,,,Green Party,2,1,3,1,2,3,0,6
Rockwall,4C,Straight Party,,,Republican Party,265,479,744,69,156,225,29,998
Rockwall,4C,Straight Party,,,Democratic Party,56,178,234,19,56,75,10,319
Rockwall,4C,Straight Party,,,Libertarian Party,0,11,11,2,5,7,1,19
Rockwall,4C,Straight Party,,,Green Party,1,5,6,0,2,2,0,8
Rockwall,1,President,,,Donald J. Trump / Mike Pence,768,1233,2001,105,235,340,138,2479
Rockwall,1,President,,,Hillary Clinton / Tim Kaine,202,493,695,18,103,121,57,873
Rockwall,1,President,,,Gary Johnson / William Weld,15,64,79,3,31,34,2,115
Rockwall,1,President,,,Jill Stein / Ajamu Baraka,5,7,12,1,2,3,0,15
Rockwall,1,President,,,WRITE-IN,20,24,44,4,6,10,2,56
Rockwall,1A,President,,,Donald J. Trump / Mike Pence,545,652,1197,122,147,269,97,1563
Rockwall,1A,President,,,Hillary Clinton / Tim Kaine,154,322,476,50,99,149,79,704
Rockwall,1A,President,,,Gary Johnson / William Weld,21,45,66,15,11,26,3,95
Rockwall,1A,President,,,Jill Stein / Ajamu Baraka,3,2,5,3,1,4,3,12
Rockwall,1A,President,,,WRITE-IN,15,18,33,5,3,8,3,44
Rockwall,1B,President,,,Donald J. Trump / Mike Pence,817,1204,2021,147,268,415,127,2563
Rockwall,1B,President,,,Hillary Clinton / Tim Kaine,124,396,520,27,70,97,39,656
Rockwall,1B,President,,,Gary Johnson / William Weld,21,62,83,12,17,29,4,116
Rockwall,1B,President,,,Jill Stein / Ajamu Baraka,1,7,8,0,4,4,1,13
