county,precinct,office,district,party,candidate,votes,early_voting,election_day
Henderson,1A,President,,REP,Jeb Bush,4,4,0
Henderson,1A,President,,REP,Rick Santorum,0,0,0
Henderson,1A,President,,REP,Chris Christie,0,0,0
Henderson,1A,President,,REP,Elizabeth Gray,0,0,0
Henderson,1A,President,,REP,Marco Rubio,29,15,14
Henderson,1A,President,,REP,Donald J. Trump,156,76,80
Henderson,1A,President,,REP,Rand Paul,0,0,0
Henderson,1A,President,,REP,Ted Cruz,200,92,108
Henderson,1A,President,,REP,Lindsey Graham,0,0,0
Henderson,1A,President,,REP,Mike Huckabee,1,0,1
Henderson,1A,President,,REP,Carly Fiorina,0,0,0
Henderson,1A,President,,REP,John R. Kasich,4,3,1
Henderson,1A,President,,REP,Ben Carson,16,10,6
Henderson,1A,President,,REP,Over Votes,0,0,0
Henderson,1A,President,,REP,Under Votes,11,6,5
Henderson,1A,President,,REP,Uncommitted,5,4,1
Henderson,1A,U.S. House,5,REP,Jeb Hensarling,315,165,150
Henderson,1A,U.S. House,5,REP,Over Votes,0,0,0
Henderson,1A,U.S. House,5,REP,Under Votes,111,45,66
Henderson,1A,Railroad Commissioner,,REP,Ron Hale,81,33,48
Henderson,1A,Railroad Commissioner,,REP,Weston Martinez,24,15,9
Henderson,1A,Railroad Commissioner,,REP,Doug Jeffrey,31,19,12
Henderson,1A,Railroad Commissioner,,REP,Gary Gates,75,44,31
Henderson,1A,Railroad Commissioner,,REP,Wayne Christian,69,39,30
Henderson,1A,Railroad Commissioner,,REP,Lance N. Christian,34,16,18
Henderson,1A,Railroad Commissioner,,REP,John Greytok,18,5,13
Henderson,1A,"Justice, Supreme Court, Place 3",,REP,Michael Massengale,193,93,100
Henderson,1A,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,146,82,64
Henderson,1A,"Justice, Supreme Court, Place 3",,REP,Over Votes,0,0,0
Henderson,1A,"Justice, Supreme Court, Place 3",,REP,Under Votes,87,35,52
Henderson,1A,"Justice, Supreme Court, Place 5",,REP,Rick Green,212,113,99
Henderson,1A,"Justice, Supreme Court, Place 5",,REP,Paul Green,115,58,57
Henderson,1A,"Justice, Supreme Court, Place 5",,REP,Over Votes,0,0,0
Henderson,1A,"Justice, Supreme Court, Place 5",,REP,Under Votes,99,39,60
Henderson,1A,"Justice, Supreme Court, Place 9",,REP,Joe Pool,204,101,103
Henderson,1A,"Justice, Supreme Court, Place 9",,REP,Eva Guzman,131,72,59
Henderson,1A,"Justice, Supreme Court, Place 9",,REP,Over Votes,0,0,0
Henderson,1A,"Justice, Supreme Court, Place 9",,REP,Under Votes,91,37,54
Henderson,1A,"Judge, Court of Criminal Appeals, Place 2",,REP,Mary Lou Keel,130,69,61
Henderson,1A,"Judge, Court of Criminal Appeals, Place 2",,REP,Over Votes,0,0,0
Henderson,1A,"Judge, Court of Criminal Appeals, Place 2",,REP,Under Votes,108,45,63
Henderson,1A,"Judge, Court of Criminal Appeals, Place 2",,REP,Chris Oldner,103,51,52
Henderson,1A,"Judge, Court of Criminal Appeals, Place 2",,REP,Ray Wheless,85,45,40
Henderson,1A,"Judge, Court of Criminal Appeals, Place 5",,REP,Steve Smith,82,39,43
Henderson,1A,"Judge, Court of Criminal Appeals, Place 5",,REP,Brent Webster,64,26,38
Henderson,1A,"Judge, Court of Criminal Appeals, Place 5",,REP,Over Votes,0,0,0
Henderson,1A,"Judge, Court of Criminal Appeals, Place 5",,REP,Under Votes,106,45,61
Henderson,1A,"Judge, Court of Criminal Appeals, Place 5",,REP,Sid Harle,29,19,10
Henderson,1A,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,145,81,64
Henderson,1A,"Judge, Court of Criminal Appeals, Place 6",,REP,Michael E. Keasler,176,92,84
