county,precinct,office,district,candidate,party,votes,early_voting,election_day
Washington,101,Straight Party,,,REP,260,153,107
Washington,104,Straight Party,,,REP,131,102,29
Washington,109,Straight Party,,,REP,344,223,121
Washington,115,Straight Party,,,REP,220,164,56
Washington,117,Straight Party,,,REP,5,2,3
Washington,121,Straight Party,,,REP,18,14,4
Washington,202,Straight Party,,,REP,68,51,17
Washington,203,Straight Party,,,REP,536,390,146
Washington,205,Straight Party,,,REP,665,543,122
Washington,208,Straight Party,,,REP,476,354,122
Washington,307,Straight Party,,,REP,404,300,104
Washington,311,Straight Party,,,REP,342,223,119
Washington,312,Straight Party,,,REP,359,241,118
Washington,316,Straight Party,,,REP,48,34,14
Washington,320,Straight Party,,,REP,619,500,119
Washington,406,Straight Party,,,REP,447,341,106
Washington,410,Straight Party,,,REP,367,199,168
Washington,413,Straight Party,,,REP,314,200,114
Washington,414,Straight Party,,,REP,281,223,58
Washington,418,Straight Party,,,REP,147,113,34
Washington,419,Straight Party,,,REP,143,124,19
Washington,Total,Straight Party,,,REP,6194,,
Washington,101,Straight Party,,,DEM,196,93,103
Washington,104,Straight Party,,,DEM,527,386,141
Washington,109,Straight Party,,,DEM,89,57,32
Washington,115,Straight Party,,,DEM,81,59,22
Washington,117,Straight Party,,,DEM,17,12,5
Washington,121,Straight Party,,,DEM,4,2,2
Washington,202,Straight Party,,,DEM,33,24,9
Washington,203,Straight Party,,,DEM,141,71,70
Washington,205,Straight Party,,,DEM,142,112,30
Washington,208,Straight Party,,,DEM,55,39,16
Washington,307,Straight Party,,,DEM,112,78,34
Washington,311,Straight Party,,,DEM,61,38,23
Washington,312,Straight Party,,,DEM,55,40,15
Washington,316,Straight Party,,,DEM,19,15,4
Washington,320,Straight Party,,,DEM,47,33,14
Washington,406,Straight Party,,,DEM,182,83,99
Washington,410,Straight Party,,,DEM,68,32,36
Washington,413,Straight Party,,,DEM,38,33,5
Washington,414,Straight Party,,,DEM,26,16,10
Washington,418,Straight Party,,,DEM,47,38,9
Washington,419,Straight Party,,,DEM,62,46,16
Washington,Total,Straight Party,,,DEM,2002,,
Washington,101,Straight Party,,,LIB,1,1,0
Washington,104,Straight Party,,,LIB,6,5,1
Washington,109,Straight Party,,,LIB,1,1,0
Washington,115,Straight Party,,,LIB,2,1,1
Washington,117,Straight Party,,,LIB,0,0,0
Washington,121,Straight Party,,,LIB,3,2,1
Washington,202,Straight Party,,,LIB,0,0,0
Washington,203,Straight Party,,,LIB,3,2,1
Washington,205,Straight Party,,,LIB,5,3,2
Washington,208,Straight Party,,,LIB,3,0,3
Washington,307,Straight Party,,,LIB,9,6,3
Washington,311,Straight Party,,,LIB,8,3,5
Washington,312,Straight Party,,,LIB,5,3,2
Washington,316,Straight Party,,,LIB,0,0,0
Washington,320,Straight Party,,,LIB,3,2,1
Washington,406,Straight Party,,,LIB,14,4,10
Washington,410,Straight Party,,,LIB,2,0,2
Washington,413,Straight Party,,,LIB,1,1,0
Washington,414,Straight Party,,,LIB,0,0,0
Washington,418,Straight Party,,,LIB,2,2,0
Washington,419,Straight Party,,,LIB,0,0,0
Washington,Total,Straight Party,,,LIB,68,,
Washington,101,Straight Party,,,GRN,0,0,0
Washington,104,Straight Party,,,GRN,0,0,0
Washington,109,Straight Party,,,GRN,1,0,1
Washington,115,Straight Party,,,GRN,1,1,0
Washington,117,Straight Party,,,GRN,1,1,0
Washington,121,Straight Party,,,GRN,1,1,0
Washington,202,Straight Party,,,GRN,0,0,0
Washington,203,Straight Party,,,GRN,1,0,1
Washington,205,Straight Party,,,GRN,1,1,0
Washington,208,Straight Party,,,GRN,2,1,1
Washington,307,Straight Party,,,GRN,2,1,1
Washington,311,Straight Party,,,GRN,1,1,0
Washington,312,Straight Party,,,GRN,0,0,0
Washington,316,Straight Party,,,GRN,0,0,0
Washington,320,Straight Party,,,GRN,0,0,0
Washington,406,Straight Party,,,GRN,2,1,1
Washington,410,Straight Party,,,GRN,0,0,0
Washington,413,Straight Party,,,GRN,0,0,0
Washington,414,Straight Party,,,GRN,0,0,0
Washington,418,Straight Party,,,GRN,0,0,0
Washington,419,Straight Party,,,GRN,2,1,1
Washington,Total,Straight Party,,,GRN,15,,
Washington,101,President,,Donald J. Trump,REP,456,256,200
Washington,104,President,,Donald J. Trump,REP,232,178,54
Washington,109,President,,Donald J. Trump,REP,578,377,201
Washington,115,President,,Donald J. Trump,REP,421,311,110
