county,precinct,office,district,candidate,party,votes,early_voting_650,early_voting_ivo,early_voting,election_day_650,election_day_ivo,election_day
Polk,1,Registered Voters,,,,402,,,,,,
Polk,2,Registered Voters,,,,544,,,,,,
Polk,3,Registered Voters,,,,1856,,,,,,
Polk,4,Registered Voters,,,,574,,,,,,
Polk,5,Registered Voters,,,,722,,,,,,
Polk,6,Registered Voters,,,,4745,,,,,,
Polk,7,Registered Voters,,,,743,,,,,,
Polk,8,Registered Voters,,,,1138,,,,,,
Polk,9,Registered Voters,,,,817,,,,,,
Polk,10,Registered Voters,,,,2422,,,,,,
Polk,11,Registered Voters,,,,385,,,,,,
Polk,12,Registered Voters,,,,335,,,,,,
Polk,13,Registered Voters,,,,408,,,,,,
Polk,14,Registered Voters,,,,1024,,,,,,
Polk,15,Registered Voters,,,,1155,,,,,,
Polk,16,Registered Voters,,,,4351,,,,,,
Polk,17,Registered Voters,,,,1239,,,,,,
Polk,18,Registered Voters,,,,761,,,,,,
Polk,19,Registered Voters,,,,5291,,,,,,
Polk,20,Registered Voters,,,,5333,,,,,,
Polk,21,Registered Voters,,,,1288,,,,,,
Polk,1,Ballots Cast,,,,209,88,12,100,103,6,109
Polk,2,Ballots Cast,,,,283,16,119,135,37,111,148
Polk,3,Ballots Cast,,,,943,60,492,552,75,316,391
Polk,4,Ballots Cast,,,,875,62,609,671,11,193,204
Polk,5,Ballots Cast,,,,1557,135,1027,1162,14,381,395
Polk,6,Ballots Cast,,,,2646,144,2020,2164,27,455,482
Polk,7,Ballots Cast,,,,404,37,274,311,7,86,93
Polk,8,Ballots Cast,,,,558,66,253,319,87,152,239
Polk,9,Ballots Cast,,,,448,36,227,263,28,157,185
Polk,10,Ballots Cast,,,,1196,176,624,800,86,310,396
Polk,11,Ballots Cast,,,,207,14,110,124,40,43,83
Polk,12,Ballots Cast,,,,109,1,7,8,52,49,101
Polk,13,Ballots Cast,,,,268,20,80,100,27,141,168
Polk,14,Ballots Cast,,,,539,51,175,226,155,158,313
Polk,15,Ballots Cast,,,,608,37,330,367,16,225,241
Polk,16,Ballots Cast,,,,2409,257,1555,1812,137,460,597
Polk,17,Ballots Cast,,,,678,31,466,497,26,155,181
Polk,18,Ballots Cast,,,,325,34,156,190,91,44,135
Polk,19,Ballots Cast,,,,2497,195,327,522,97,123,220
Polk,20,Ballots Cast,,,,2568,1932,375,2307,49,212,261
Polk,21,Ballots Cast,,,,699,49,464,513,3,183,186
Polk,1,Straight Party,,,REP,95,43,4,47,45,3,48
Polk,2,Straight Party,,,REP,154,11,68,79,18,57,75
Polk,3,Straight Party,,,REP,391,23,220,243,23,125,148
Polk,4,Straight Party,,,REP,364,20,262,282,0,82,82
Polk,5,Straight Party,,,REP,699,73,458,531,0,168,168
Polk,6,Straight Party,,,REP,1412,75,1092,1167,4,241,245
Polk,7,Straight Party,,,REP,125,12,82,94,0,31,31
Polk,8,Straight Party,,,REP,195,21,98,119,21,55,76
Polk,9,Straight Party,,,REP,204,20,113,133,5,66,71
Polk,10,Straight Party,,,REP,468,65,269,334,24,110,134
Polk,11,Straight Party,,,REP,82,4,48,52,12,18,30
Polk,12,Straight Party,,,REP,14,0,0,0,9,5,14
Polk,13,Straight Party,,,REP,136,6,45,51,12,73,85
Polk,14,Straight Party,,,REP,237,23,95,118,57,62,119
Polk,15,Straight Party,,,REP,292,18,148,166,7,119,126
Polk,16,Straight Party,,,REP,903,94,605,699,46,158,204
Polk,17,Straight Party,,,REP,307,9,209,218,8,81,89
Polk,18,Straight Party,,,REP,57,8,34,42,7,8,15
Polk,19,Straight Party,,,REP,1113,903,142,1045,23,45,68
Polk,20,Straight Party,,,REP,1214,913,198,1111,8,95,103
Polk,21,Straight Party,,,REP,255,28,168,196,0,59,59
Polk,1,Straight Party,,,DEM,9,1,3,4,5,0,5
Polk,2,Straight Party,,,DEM,20,0,4,4,7,9,16
Polk,3,Straight Party,,,DEM,139,3,59,62,20,57,77
Polk,4,Straight Party,,,DEM,96,11,61,72,1,23,24
Polk,5,Straight Party,,,DEM,146,8,99,107,0,39,39
Polk,6,Straight Party,,,DEM,233,13,187,200,1,32,33
Polk,7,Straight Party,,,DEM,42,2,28,30,0,12,12
Polk,8,Straight Party,,,DEM,115,20,29,49,30,36,66
Polk,9,Straight Party,,,DEM,83,6,23,29,9,45,54
Polk,10,Straight Party,,,DEM,294,40,118,158,25,111,136
Polk,11,Straight Party,,,DEM,30,4,16,20,5,5,10
Polk,12,Straight Party,,,DEM,23,1,0,1,11,11,22
Polk,13,Straight Party,,,DEM,8,1,4,5,0,3,3
Polk,14,Straight Party,,,DEM,47,3,10,13,12,22,34
Polk,15,Straight Party,,,DEM,33,3,20,23,1,9,10
Polk,16,Straight Party,,,DEM,141,23,71,94,11,36,47
Polk,17,Straight Party,,,DEM,64,2,39,41,3,20,23
Polk,18,Straight Party,,,DEM,135,11,53,64,50,21,71
Polk,19,Straight Party,,,DEM,307,240,50,290,8,9,17
Polk,20,Straight Party,,,DEM,289,240,36,276,0,13,13
Polk,21,Straight Party,,,DEM,73,4,33,37,0,36,36
Polk,1,Straight Party,,,LIB,1,1,0,1,0,0,0
Polk,2,Straight Party,,,LIB,1,0,0,0,0,1,1
Polk,3,Straight Party,,,LIB,2,0,1,1,0,1,1
Polk,4,Straight Party,,,LIB,5,1,1,2,0,3,3
Polk,5,Straight Party,,,LIB,3,0,1,1,0,2,2
Polk,6,Straight Party,,,LIB,8,0,5,5,0,3,3
Polk,7,Straight Party,,,LIB,1,0,1,1,0,0,0
Polk,8,Straight Party,,,LIB,4,0,2,2,0,2,2
Polk,9,Straight Party,,,LIB,0,0,0,0,0,0,0
Polk,10,Straight Party,,,LIB,2,1,0,1,1,0,1
Polk,11,Straight Party,,,LIB,0,0,0,0,0,0,0
Polk,12,Straight Party,,,LIB,1,0,0,0,1,0,1
Polk,13,Straight Party,,,LIB,3,0,0,0,0,3,3
Polk,14,Straight Party,,,LIB,3,0,2,2,1,0,1
Polk,15,Straight Party,,,LIB,3,0,3,3,0,0,0
Polk,16,Straight Party,,,LIB,7,1,5,6,0,1,1
Polk,17,Straight Party,,,LIB,5,0,4,4,0,1,1
Polk,18,Straight Party,,,LIB,4,0,0,0,1,3,4
Polk,19,Straight Party,,,LIB,12,8,2,10,1,1,2
Polk,20,Straight Party,,,LIB,11,7,1,8,0,3,3
Polk,21,Straight Party,,,LIB,3,0,2,2,0,1,1
Polk,1,Straight Party,,,GRN,0,0,0,0,0,0,0
Polk,2,Straight Party,,,GRN,0,0,0,0,0,0,0
Polk,3,Straight Party,,,GRN,4,0,0,0,1,3,4
Polk,4,Straight Party,,,GRN,2,0,2,2,0,0,0
Polk,5,Straight Party,,,GRN,3,1,0,1,0,2,2
Polk,6,Straight Party,,,GRN,6,0,3,3,0,3,3
Polk,7,Straight Party,,,GRN,1,0,1,1,0,0,0
Polk,8,Straight Party,,,GRN,1,0,0,0,0,1,1
Polk,9,Straight Party,,,GRN,1,0,1,1,0,0,0
Polk,10,Straight Party,,,GRN,4,0,2,2,1,1,2
Polk,11,Straight Party,,,GRN,0,0,0,0,0,0,0
Polk,12,Straight Party,,,GRN,1,0,0,0,0,1,1
Polk,13,Straight Party,,,GRN,1,0,1,1,0,0,0
Polk,14,Straight Party,,,GRN,3,0,0,0,2,1,3
Polk,15,Straight Party,,,GRN,1,1,0,1,0,0,0
Polk,16,Straight Party,,,GRN,5,0,3,3,0,2,2
Polk,17,Straight Party,,,GRN,0,0,0,0,0,0,0
Polk,18,Straight Party,,,GRN,0,0,0,0,0,0,0
Polk,19,Straight Party,,,GRN,4,4,0,4,0,0,0
Polk,20,Straight Party,,,GRN,3,3,0,3,0,0,0
Polk,21,Straight Party,,,GRN,2,0,0,0,0,2,2
