county,precinct,office,district,party,candidate,votes,absentee,election_day,early_voting,provisional
Kleberg,0011,Registered Voters - Total,,,,1557,,,,
Kleberg,0011,Ballots Cast - Total,,REP,,314,4,201,109,0
Kleberg,0011,Ballots Cast - Total,,DEM,,159,7,100,52,0
Kleberg,0011,President,,DEM,Bernie Sanders,35,0,25,10,0
Kleberg,0011,President,,DEM,Star Locke,0,0,0,0,0
Kleberg,0011,President,,DEM,Martin J. O'Malley,0,0,0,0,0
Kleberg,0011,President,,DEM,Willie L. Wilson,1,0,0,1,0
Kleberg,0011,President,,DEM,Calvis L. Hawes,1,0,1,0,0
Kleberg,0011,President,,DEM,Hillary Clinton,113,7,68,38,0
Kleberg,0011,President,,DEM,"Roque ""Rocky"" De La Fuente",2,0,2,0,0
Kleberg,0011,President,,DEM,Keith Judd,1,0,0,1,0
Kleberg,0011,U.S. House,34,DEM,Filemon B. Vela,126,6,82,38,0
Kleberg,0011,Railroad Commissioner,,DEM,Grady Yarbrough,57,3,34,20,0
Kleberg,0011,Railroad Commissioner,,DEM,Cody Garrett,44,0,33,11,0
Kleberg,0011,Railroad Commissioner,,DEM,Lon Burnam,22,1,17,4,0
Kleberg,0011,"Justice, Supreme Court, Place 3",,DEM,Mike Westergren,117,6,76,35,0
Kleberg,0011,"Justice, Supreme Court, Place 5",,DEM,Dori Contreras Garza,117,6,78,33,0
Kleberg,0011,"Justice, Supreme Court, Place 9",,DEM,Savannah Robinson,107,6,70,31,0
Kleberg,0011,"Judge, Court of Criminal Appeals, Pl 2",,DEM,"Lawrence ""Larry"" Meyers",106,6,69,31,0
Kleberg,0011,"Judge, Court of Criminal Appeals, Pl 5",,DEM,Betsy Johnson,107,6,71,30,0
Kleberg,0011,"Judge, Court of Criminal Appeals, Pl 6",,DEM,Robert Burns,104,6,68,30,0
Kleberg,0011,State Senator,27,DEM,Eddie Lucio Jr,119,5,79,35,0
Kleberg,0011,State Senator,27,DEM,O. Rodriguez Haro III,19,1,11,7,0
Kleberg,0011,State Representative,43,DEM,Marisa Yvette Garcia-Utley,117,6,78,33,0
Kleberg,0011,"Justice, 13th Court of Appeals Dist, P3",,DEM,Leticia Hinojosa,80,3,54,23,0
Kleberg,0011,"Justice, 13th Court of Appeals Dist, P3",,DEM,Carlos Valdez,66,3,39,24,0
Kleberg,0011,District Attorney,,DEM,Nathan P. Fugate,122,6,80,36,0
Kleberg,0011,County Attorney,,DEM,Kira Talip,118,6,76,36,0
Kleberg,0011,Sheriff,,DEM,Alex Perez,37,0,22,15,0
Kleberg,0011,Sheriff,,DEM,Juan J. Gonzalez,62,4,44,14,0
Kleberg,0011,Sheriff,,DEM,Tim Camarillo,40,3,22,15,0
Kleberg,0011,County Tax Assessor-Collector,,DEM,Melissa T. De La Garza,120,6,77,37,0
Kleberg,0011,"County Commissioner, Precinct No. 1",,DEM,Mario A. Mendietta,116,6,75,35,0
Kleberg,0011,"Constable, Precinct No. 1",,DEM,Bill Hack,44,3,21,20,0
Kleberg,0011,"Constable, Precinct No. 1",,DEM,Albert Rene Cavazos,97,4,68,25,0
Kleberg,0011,County Chairman,,DEM,Kyle Benson,113,6,72,35,0
Kleberg,0011,Referenda Item #1,,DEM,For,114,6,80,28,0
Kleberg,0011,Referenda Item #1,,DEM,Against,20,0,10,10,0
Kleberg,0011,Referenda Item #2,,DEM,For,124,6,87,31,0
Kleberg,0011,Referenda Item #2,,DEM,Against,11,0,6,5,0
Kleberg,0011,Referenda Item #3,,DEM,For,123,7,83,33,0
Kleberg,0011,Referenda Item #3,,DEM,Against,20,0,11,9,0
Kleberg,0011,Referenda Item #4,,DEM,For,122,7,81,34,0
Kleberg,0011,Referenda Item #4,,DEM,Against,10,0,5,5,0
Kleberg,0011,Referenda Item #5,,DEM,For,103,6,67,30,0
Kleberg,0011,Referenda Item #5,,DEM,Against,40,1,27,12,0
Kleberg,0011,Referenda Item #6,,DEM,For,112,7,73,32,0
Kleberg,0011,Referenda Item #6,,DEM,Against,28,0,18,10,0
Kleberg,0012,Registered Voters - Total,,,,1261,,,,
Kleberg,0012,Ballots Cast - Total,,REP,,218,3,148,67,0
Kleberg,0012,Ballots Cast - Total,,DEM,,160,16,99,45,0
Kleberg,0012,President,,DEM,Bernie Sanders,48,2,33,13,0
Kleberg,0012,President,,DEM,Star Locke,1,1,0,0,0
Kleberg,0012,President,,DEM,Martin J. O'Malley,1,0,1,0,0
Kleberg,0012,President,,DEM,Willie L. Wilson,1,0,1,0,0
Kleberg,0012,President,,DEM,Calvis L. Hawes,0,0,0,0,0
Kleberg,0012,President,,DEM,Hillary Clinton,103,13,61,29,0
Kleberg,0012,President,,DEM,"Roque ""Rocky"" De La Fuente",4,0,2,2,0
Kleberg,0012,President,,DEM,Keith Judd,0,0,0,0,0
Kleberg,0012,U.S. House,34,DEM,Filemon B. Vela,113,11,70,32,0
Kleberg,0012,Railroad Commissioner,,DEM,Grady Yarbrough,67,9,42,16,0
Kleberg,0012,Railroad Commissioner,,DEM,Cody Garrett,50,2,30,18,0
Kleberg,0012,Railroad Commissioner,,DEM,Lon Burnam,12,3,3,6,0
Kleberg,0012,"Justice, Supreme Court, Place 3",,DEM,Mike Westergren,109,13,61,35,0
Kleberg,0012,"Justice, Supreme Court, Place 5",,DEM,Dori Contreras Garza,120,13,72,35,0
Kleberg,0012,"Justice, Supreme Court, Place 9",,DEM,Savannah Robinson,107,13,60,34,0
Kleberg,0012,"Judge, Court of Criminal Appeals, Pl 2",,DEM,"Lawrence ""Larry"" Meyers",101,12,54,35,0
Kleberg,0012,"Judge, Court of Criminal Appeals, Pl 5",,DEM,Betsy Johnson,104,12,58,34,0
Kleberg,0012,"Judge, Court of Criminal Appeals, Pl 6",,DEM,Robert Burns,99,11,54,34,0
Kleberg,0012,State Senator,27,DEM,Eddie Lucio Jr,119,13,68,38,0
Kleberg,0012,State Senator,27,DEM,O. Rodriguez Haro III,21,2,13,6,0
Kleberg,0012,State Representative,43,DEM,Marisa Yvette Garcia-Utley,108,13,61,34,0
Kleberg,0012,"Justice, 13th Court of Appeals Dist, P3",,DEM,Leticia Hinojosa,81,7,49,25,0
Kleberg,0012,"Justice, 13th Court of Appeals Dist, P3",,DEM,Carlos Valdez,66,8,39,19,0
Kleberg,0012,District Attorney,,DEM,Nathan P. Fugate,119,11,74,34,0
Kleberg,0012,County Attorney,,DEM,Kira Talip,115,12,65,38,0
Kleberg,0012,Sheriff,,DEM,Alex Perez,40,5,25,10,0
Kleberg,0012,Sheriff,,DEM,Juan J. Gonzalez,60,5,39,16,0
Kleberg,0012,Sheriff,,DEM,Tim Camarillo,43,4,25,14,0
Kleberg,0012,County Tax Assessor-Collector,,DEM,Melissa T. De La Garza,126,13,78,35,0
Kleberg,0012,"County Commissioner, Precinct No. 1",,DEM,Mario A. Mendietta,117,14,70,33,0
Kleberg,0012,"Constable, Precinct No. 1",,DEM,Bill Hack,40,3,19,18,0
Kleberg,0012,"Constable, Precinct No. 1",,DEM,Albert Rene Cavazos,103,13,65,25,0
Kleberg,0012,County Chairman,,DEM,Kyle Benson,102,12,57,33,0
Kleberg,0012,Referenda Item #1,,DEM,For,114,14,64,36,0
Kleberg,0012,Referenda Item #1,,DEM,Against,21,2,13,6,0
Kleberg,0012,Referenda Item #2,,DEM,For,120,12,73,35,0
Kleberg,0012,Referenda Item #2,,DEM,Against,11,2,4,5,0
Kleberg,0012,Referenda Item #3,,DEM,For,115,13,70,32,0
Kleberg,0012,Referenda Item #3,,DEM,Against,19,3,8,8,0
Kleberg,0012,Referenda Item #4,,DEM,For,121,12,77,32,0
Kleberg,0012,Referenda Item #4,,DEM,Against,15,3,4,8,0
