office,district,candidate,incumbent,party,votes,pct
U. S. Representative,1,Louie Gohmert,True,REP,129398,89.73
U. S. Representative,1,"Charles F. Parkes, III",False,LIB,14811,10.27
U. S. Representative,1,Total,,,144209,
U. S. Representative,2,Ted Poe,True,REP,130020,88.61
U. S. Representative,2,David W. Smith,False,LIB,16711,11.39
U. S. Representative,2,Total,,,146731,
U. S. Representative,3,Sam Johnson,True,REP,101180,66.28
U. S. Representative,3,John Lingenfelder,False,DEM,47848,31.34
U. S. Representative,3,Christopher J. Claytor,False,LIB,3602,2.36
U. S. Representative,3,Harry Pierce,False,WI,22,0.01
U. S. Representative,3,Total,,,152652,
U. S. Representative,4,Ralph M. Hall,True,REP,136338,73.19
U. S. Representative,4,VaLinda Hathcox,False,DEM,40975,22.00
U. S. Representative,4,Jim D. Prindle,False,LIB,4729,2.54
U. S. Representative,4,Shane Shepard,False,IND,4244,2.28
U. S. Representative,4,Total,,,186286,
U. S. Representative,5,Jeb Hensarling,True,REP,106742,70.53
U. S. Representative,5,Tom Berry,False,DEM,41649,27.52
U. S. Representative,5,Ken Ashby,False,LIB,2958,1.95
U. S. Representative,5,Total,,,151349,
U. S. Representative,6,Joe L. Barton,True,REP,107140,65.91
U. S. Representative,6,David E. Cozad,False,DEM,50717,31.20
U. S. Representative,6,Byron Severns,False,LIB,4700,2.89
U. S. Representative,6,Total,,,162557,
U. S. Representative,7,John Culberson,True,REP,143655,81.45
U. S. Representative,7,Bob Townsend,False,LIB,31704,17.98
U. S. Representative,7,Lissa Squiers,False,WI,1019,0.58
U. S. Representative,7,Total,,,176378,
U. S. Representative,8,Kevin Brady,True,REP,161417,80.27
U. S. Representative,8,Kent Hargett,False,DEM,34694,17.25
U. S. Representative,8,Bruce West,False,LIB,4988,2.48
U. S. Representative,8,Total,,,201099,
U. S. Representative,9,Steve Mueller,False,REP,24201,22.88
U. S. Representative,9,Al Green,True,DEM,80107,75.74
U. S. Representative,9,Michael W. Hope,False,LIB,1459,1.38
U. S. Representative,9,Total,,,105767,
U. S. Representative,10,Michael McCaul,True,REP,144980,64.67
U. S. Representative,10,Ted Ankrum,False,DEM,74086,33.05
U. S. Representative,10,"Jeremiah ""JP"" Perkins",False,LIB,5105,2.28
U. S. Representative,10,Total,,,224171,
