county,office,district,candidate,incumbent,party,votes,pct
ARANSAS,U. S. Representative,14,Winston Cochran,FALSE,DEM,24,61.54
ARANSAS,U. S. Representative,14,Robert Pruett,FALSE,DEM,15,38.46
ARANSAS,U. S. Representative,14,Total,,,39,
BEXAR,District Judge,290th Judicial District,Norma Gonzales,FALSE,DEM,5703,73.54
BEXAR,District Judge,290th Judicial District,Sylvia Marie Lopez,FALSE,DEM,2052,26.46
BEXAR,District Judge,290th Judicial District,Total,,,7755,
BRAZORIA,U. S. Representative,14,Winston Cochran,FALSE,DEM,52,19.62
BRAZORIA,U. S. Representative,14,Robert Pruett,FALSE,DEM,213,80.38
BRAZORIA,U. S. Representative,14,Total,,,265,
CALHOUN,U. S. Representative,14,Winston Cochran,FALSE,DEM,53,51.96
CALHOUN,U. S. Representative,14,Robert Pruett,FALSE,DEM,49,48.04
CALHOUN,U. S. Representative,14,Total,,,102,
CHAMBERS,U. S. Representative,14,Winston Cochran,FALSE,DEM,31,63.27
CHAMBERS,U. S. Representative,14,Robert Pruett,FALSE,DEM,18,36.73
CHAMBERS,U. S. Representative,14,Total,,,49,
DALLAS,District Judge,134th Judicial District,David Kelton,FALSE,DEM,5792,32.37
DALLAS,District Judge,134th Judicial District,Dale B. Tillery,FALSE,DEM,12101,67.63
DALLAS,District Judge,134th Judicial District,Total,,,17893,
DALLAS,District Judge,203rd Judicial District,Susan Anderson,FALSE,DEM,7798,46.87
DALLAS,District Judge,203rd Judicial District,Teresa Hawthorne,FALSE,DEM,8841,53.13
DALLAS,District Judge,203rd Judicial District,Total,,,16639,
EL PASO,State Representative,76,Norma Chavez,TRUE,DEM,3264,47.39
EL PASO,State Representative,76,Naomi R. Gonzalez,FALSE,DEM,3624,52.61
EL PASO,State Representative,76,Total,,,6888,
FORT BEND,U. S. Representative,14,Winston Cochran,FALSE,DEM,50,45.87
FORT BEND,U. S. Representative,14,Robert Pruett,FALSE,DEM,59,54.13
FORT BEND,U. S. Representative,14,Total,,,109,
GALVESTON,U. S. Representative,14,Winston Cochran,FALSE,DEM,371,67.33
GALVESTON,U. S. Representative,14,Robert Pruett,FALSE,DEM,180,32.67
GALVESTON,U. S. Representative,14,Total,,,551,
HARRIS,District Judge,234th Judicial District,Tanner Garth,FALSE,DEM,10864,75.81
HARRIS,District Judge,234th Judicial District,Jim Peacock,FALSE,DEM,3466,24.19
HARRIS,District Judge,234th Judicial District,Total,,,14330,
HARRIS,District Judge,270th Judicial District,Lee Arellano,FALSE,DEM,6090,42.63
HARRIS,District Judge,270th Judicial District,Bob Thomas,FALSE,DEM,8197,57.37
HARRIS,District Judge,270th Judicial District,Total,,,14287,
HARRIS,District Judge,308th Judicial District,Bruce Kessler,FALSE,DEM,8438,58.43
HARRIS,District Judge,308th Judicial District,Julia Maldonado,FALSE,DEM,6002,41.57
HARRIS,District Judge,308th Judicial District,Total,,,14440,
HARRIS,District Judge,311th Judicial District,Brad Morris,FALSE,DEM,5870,40.75
HARRIS,District Judge,311th Judicial District,Deborah Wright,FALSE,DEM,8535,59.25
HARRIS,District Judge,311th Judicial District,Total,,,14405,
JACKSON,U. S. Representative,14,Winston Cochran,FALSE,DEM,26,68.42
JACKSON,U. S. Representative,14,Robert Pruett,FALSE,DEM,12,31.58
JACKSON,U. S. Representative,14,Total,,,38,
MATAGORDA,U. S. Representative,14,Winston Cochran,FALSE,DEM,189,21.21
MATAGORDA,U. S. Representative,14,Robert Pruett,FALSE,DEM,702,78.79
MATAGORDA,U. S. Representative,14,Total,,,891,
TRAVIS,District Judge,299th Judicial District,Mindy Montford,FALSE,DEM,4798,41.23
TRAVIS,District Judge,299th Judicial District,Karen Sage,FALSE,DEM,6839,58.77
TRAVIS,District Judge,299th Judicial District,Total,,,11637,
VICTORIA,U. S. Representative,14,Winston Cochran,FALSE,DEM,261,55.06
VICTORIA,U. S. Representative,14,Robert Pruett,FALSE,DEM,213,44.94
VICTORIA,U. S. Representative,14,Total,,,474,
WEBB,District Judge,111th Judicial District,"Jesus ""Chuy"" Dominguez",FALSE,DEM,11764,42.77
WEBB,District Judge,111th Judicial District,Monica Zapata Notzon,FALSE,DEM,15741,57.23
WEBB,District Judge,111th Judicial District,Total,,,27505,
WHARTON,U. S. Representative,14,Winston Cochran,FALSE,DEM,252,68.85
WHARTON,U. S. Representative,14,Robert Pruett,FALSE,DEM,114,31.15
WHARTON,U. S. Representative,14,Total,,,366,
ANDERSON,Justice Supreme Court,3,Rick Green,FALSE,REP,123,69.89
ANDERSON,Justice Supreme Court,3,Debra Lehrmann,FALSE,REP,53,30.11
ANDERSON,Justice Supreme Court,3,Total,,,176,
ANDREWS,Justice Supreme Court,3,Rick Green,FALSE,REP,29,54.72
ANDREWS,Justice Supreme Court,3,Debra Lehrmann,FALSE,REP,24,45.28
ANDREWS,Justice Supreme Court,3,Total,,,53,
ANGELINA,Justice Supreme Court,3,Rick Green,FALSE,REP,117,71.34
ANGELINA,Justice Supreme Court,3,Debra Lehrmann,FALSE,REP,47,28.66
ANGELINA,Justice Supreme Court,3,Total,,,164,
ARANSAS,Justice Supreme Court,3,Rick Green,FALSE,REP,38,24.52
ARANSAS,Justice Supreme Court,3,Debra Lehrmann,FALSE,REP,117,75.48
ARANSAS,Justice Supreme Court,3,Total,,,155,
ARCHER,Justice Supreme Court,3,Rick Green,FALSE,REP,25,60.98
ARCHER,Justice Supreme Court,3,Debra Lehrmann,FALSE,REP,16,39.02
ARCHER,Justice Supreme Court,3,Total,,,41,
ARMSTRONG,Justice Supreme Court,3,Rick Green,FALSE,REP,6,50
