office,district,candidate,incumbent,party,votes,pct
U. S. Representative,3,John Lingenfelder,FALSE,DEM,5306,100
U. S. Representative,3,Total,,,5306,
U. S. Representative,4,VaLinda Hathcox,FALSE,DEM,13783,100
U. S. Representative,4,Total,,,13783,
U. S. Representative,5,Tom Berry,FALSE,DEM,17262,100
U. S. Representative,5,Total,,,17262,
U. S. Representative,6,David E. Cozad,FALSE,DEM,8743,100
U. S. Representative,6,Total,,,8743,
U. S. Representative,8,Kent Hargett,FALSE,DEM,15030,100
U. S. Representative,8,Total,,,15030,
U. S. Representative,9,Al Green,TRUE,DEM,21465,100
U. S. Representative,9,Total,,,21465,
U. S. Representative,10,Ted Ankrum,FALSE,DEM,15373,100
U. S. Representative,10,Total,,,15373,
U. S. Representative,11,James Quillian,FALSE,DEM,8378,100
U. S. Representative,11,Total,,,8378,
U. S. Representative,12,Tracey Smith,FALSE,DEM,6849,100
U. S. Representative,12,Total,,,6849,
U. S. Representative,14,Jeff Cherry,FALSE,DEM,4498,27.34
U. S. Representative,14,Winston Cochran,FALSE,DEM,5112,31.07
U. S. Representative,14,Robert Pruett,FALSE,DEM,6842,41.59
U. S. Representative,14,Total,,,16452,
U. S. Representative,15,Rub̩n Hinojosa,TRUE,DEM,37430,83.71
U. S. Representative,15,"Doug ""La Perla"" Purl",FALSE,DEM,7282,16.29
U. S. Representative,15,Total,,,44712,
U. S. Representative,16,Silvestre  Reyes,TRUE,DEM,26066,100
U. S. Representative,16,Total,,,26066,
U. S. Representative,17,Chet Edwards,TRUE,DEM,11244,100
U. S. Representative,17,Total,,,11244,
U. S. Representative,18,Sheila  Jackson Lee,TRUE,DEM,21570,66.96
U. S. Representative,18,Jarvis  Johnson,FALSE,DEM,9133,28.35
U. S. Representative,18,Sean  Roberts,FALSE,DEM,1508,4.68
U. S. Representative,18,Total,,,32211,
U. S. Representative,19,Andy Wilson,FALSE,DEM,8256,100
U. S. Representative,19,Total,,,8256,
U. S. Representative,20,Charles A Gonzalez,TRUE,DEM,16935,100
U. S. Representative,20,Total,,,16935,
U. S. Representative,21,Lainey Melnick,FALSE,DEM,14773,100
U. S. Representative,21,Total,,,14773,
U. S. Representative,22,Doug Blatt,FALSE,DEM,3956,27.7
U. S. Representative,22,Kesha Rogers,FALSE,DEM,7467,52.29
U. S. Representative,22,Freddie John Wieder Jr.,FALSE,DEM,2858,20.01
U. S. Representative,22,Total,,,14281,
U. S. Representative,23,Miguel Ortiz,FALSE,DEM,6799,16.62
U. S. Representative,23,Ciro D. Rodriguez,TRUE,DEM,34104,83.38
U. S. Representative,23,Total,,,40903,
U. S. Representative,25,Lloyd Doggett,TRUE,DEM,29949,100
U. S. Representative,25,Total,,,29949,
U. S. Representative,26,Neil L. Durrance,FALSE,DEM,7450,100
U. S. Representative,26,Total,,,7450,
U. S. Representative,27,Solomon P. Ortiz,TRUE,DEM,21948,100
U. S. Representative,27,Total,,,21948,
U. S. Representative,28,Henry Cuellar,TRUE,DEM,48634,100
U. S. Representative,28,Total,,,48634,
U. S. Representative,29,Gene  Green,TRUE,DEM,9567,100
U. S. Representative,29,Total,,,9567,
U. S. Representative,30,Eddie Bernice Johnson,TRUE,DEM,23725,100
U. S. Representative,30,Total,,,23725,
U. S. Representative,32,Grier Raggio,FALSE,DEM,7461,100
U. S. Representative,32,Total,,,7461,
Governor,,Alma Ludivina Aguado,FALSE,DEM,19273,2.83
Governor,,Felix (Rodriguez) Alvarado,FALSE,DEM,33714,4.95
Governor,,Bill Dear,FALSE,DEM,6551,0.96
Governor,,Clement E.  Glenn,FALSE,DEM,9836,1.45
Governor,,Star Locke,FALSE,DEM,6276,0.92
Governor,,Farouk Shami,FALSE,DEM,87411,12.84
Governor,,Bill White,FALSE,DEM,517487,76.04
Governor,,Total,,,680548,
Lieutenant Governor,,Linda ChavezThompson,FALSE,DEM,314972,53.14
Lieutenant Governor,,Ronnie Earle,FALSE,DEM,205516,34.67
Lieutenant Governor,,Marc Katz,FALSE,DEM,72235,12.19
Lieutenant Governor,,Total,,,592723,
Attorney General,,Barbara Ann Radnofsky,FALSE,DEM,483955,100
Attorney General,,Total,,,483955,
Commissioner of the General Land Office,,Bill Burton,FALSE,DEM,273349,48.29
Commissioner of the General Land Office,,Hector Uribe,FALSE,DEM,292729,51.71
Commissioner of the General Land Office,,Total,,,566078,
Commissioner of Agriculture,,"Richard ""Kinky"" Friedman",FALSE,DEM,283614,47.69
Commissioner of Agriculture,,Hank Gilbert,FALSE,DEM,311087,52.31
Commissioner of Agriculture,,Total,,,594701,
Railroad Commissioner,,Jeff Weems,FALSE,DEM,481549,100
Railroad Commissioner,,Total,,,481549,
Justice Supreme Court,3,Jim Sharp,FALSE,DEM,489937,100
Justice Supreme Court,3,Total,,,489937,
Justice Supreme Court,5,Bill Moody,FALSE,DEM,478576,100
Justice Supreme Court,5,Total,,,478576,
Justice Supreme Court,9,Blake Bailey,FALSE,DEM,472521,100
Justice Supreme Court,9,Total,,,472521,
Judge Court of Criminal Appeals,6,Keith Hampton,FALSE,DEM,469730,100
Judge Court of Criminal Appeals,6,Total,,,469730,
Member State Board of Education,1,Rene Nunez,TRUE,DEM,73022,100
Member State Board of Education,1,Total,,,73022,
Member State Board of Education,3,Michael Soto,FALSE,DEM,41155,100
Member State Board of Education,3,Total,,,41155,
Member State Board of Education,4,Lawrence A. Allen Jr.,FALSE,DEM,41027,100
Member State Board of Education,4,Total,,,41027,
Member State Board of Education,5,Rebecca BellMetereau,FALSE,DEM,23060,61.9
Member State Board of Education,5,Robert M. Bohmfalk,FALSE,DEM,2253,6.05
Member State Board of Education,5,Daniel Boone,FALSE,DEM,8365,22.45
Member State Board of Education,5,Josiah James Ingalls,FALSE,DEM,3576,9.6
Member State Board of Education,5,Total,,,37254,
Member State Board of Education,10,Judy Jennings,FALSE,DEM,41195,100
Member State Board of Education,10,Total,,,41195,
State Senate,2,Kathleen Maria Shaw,FALSE,DEM,9561,100
State Senate,2,Total,,,9561,
State Senate,5,Stephen M. Wyman,FALSE,DEM,14946,100
State Senate,5,Total,,,14946,
State Senate,13,Rodney Ellis,TRUE,DEM,35766,100
State Senate,13,Total,,,35766,
State Senate,14,Kirk Watson,TRUE,DEM,27463,100
State Senate,14,Total,,,27463,
State Senate,15,John  Whitmire,TRUE,DEM,17159,100
State Senate,15,Total,,,17159,
State Senate,18,"Patricia ""Pat"" Olney",FALSE,DEM,20706,100
State Senate,18,Total,,,20706,
State Senate,19,"Luis C. Juarez, Jr.",FALSE,DEM,8125,23.83
State Senate,19,Carlos Uresti,TRUE,DEM,25969,76.17
State Senate,19,Total,,,34094,
State Senate,29,Louis Irwin,FALSE,DEM,3382,10.56
State Senate,29,Liza Montelongo,FALSE,DEM,6388,19.95
State Senate,29,Jose R. Rodriguez,FALSE,DEM,22253,69.49
State Senate,29,Total,,,32023,
State Representative,1,Stephen J. Frost,TRUE,DEM,8274,100
State Representative,1,Total,,,8274,
State Representative,3,Mark Homer,TRUE,DEM,5868,100
State Representative,3,Total,,,5868,
State Representative,8,Charles E. Morgan,FALSE,DEM,3413,100
State Representative,8,Total,,,3413,
State Representative,9,Kenneth D. Franks,FALSE,DEM,4673,100
State Representative,9,Total,,,4673,
State Representative,11,Richard D. Hackney,FALSE,DEM,2481,100
State Representative,11,Total,,,2481,
State Representative,12,Jim McReynolds,TRUE,DEM,7464,100
State Representative,12,Total,,,7464,
State Representative,17,Pati Jacobs,FALSE,DEM,4992,100
State Representative,17,Total,,,4992,
State Representative,21,Allan B. Ritter,TRUE,DEM,7109,100
State Representative,21,Total,,,7109,
State Representative,22,Joe Deshotel,TRUE,DEM,7575,100
State Representative,22,Total,,,7575,
State Representative,23,Craig Eiland,TRUE,DEM,4343,100
State Representative,23,Total,,,4343,
State Representative,26,Phillip  Andrews,FALSE,DEM,2376,100
State Representative,26,Total,,,2376,
State Representative,27,Dora Olivo,TRUE,DEM,3791,42.36
State Representative,27,Ron Reynolds,FALSE,DEM,5159,57.64
State Representative,27,Total,,,8950,
State Representative,28,Wayne Raasch,FALSE,DEM,3116,100
State Representative,28,Total,,,3116,
State Representative,31,Ryan Guillen,TRUE,DEM,14089,100
State Representative,31,Total,,,14089,
State Representative,33,Solomon Ortiz Jr.,TRUE,DEM,3871,100
State Representative,33,Total,,,3871,
State Representative,34,Abel Herrero,TRUE,DEM,4038,100
State Representative,34,Total,,,4038,
State Representative,35,Yvonne Gonzalez Toureilles,TRUE,DEM,8523,100
State Representative,35,Total,,,8523,
State Representative,36,Sergio Munoz Jr.,FALSE,DEM,7071,58.13
State Representative,36,Sandra Rodriguez,FALSE,DEM,5094,41.87
State Representative,36,Total,,,12165,
State Representative,37,Rene O. Oliveira,TRUE,DEM,3632,100
State Representative,37,Total,,,3632,
State Representative,38,Eddie Lucio III,TRUE,DEM,5217,100
State Representative,38,Total,,,5217,
State Representative,39,Joel De Los Santos,FALSE,DEM,1446,19.52
State Representative,39,"Armando ""Mando"" Martinez",TRUE,DEM,5963,80.48
State Representative,39,Total,,,7409,
State Representative,40,Aaron Pena,TRUE,DEM,6696,100
State Representative,40,Total,,,6696,
State Representative,41,Veronica Gonzales,TRUE,DEM,5759,100
State Representative,41,Total,,,5759,
State Representative,42,Richard Pena Raymond,TRUE,DEM,17670,100
State Representative,42,Total,,,17670,
State Representative,43,J. M. Lozano,FALSE,DEM,8858,56.91
State Representative,43,Tara Rios Ybarra,TRUE,DEM,6708,43.09
State Representative,43,Total,,,15566,
State Representative,45,Andrew H. Backus,FALSE,DEM,1690,20.3
State Representative,45,Patrick M. Rose,TRUE,DEM,6635,79.7
State Representative,45,Total,,,8325,
State Representative,46,Dawnna Dukes,TRUE,DEM,4557,100
State Representative,46,Total,,,4557,
