county,office,district,candidate,incumbent,party,votes,pct
ANDERSON,U. S. Representative,5,Jeb Hensarling,True,REP,8293,76.27
ANDERSON,U. S. Representative,5,Tom Berry,False,DEM,2375,21.84
ANDERSON,U. S. Representative,5,Ken Ashby,False,LIB,205,1.89
ANDERSON,U. S. Representative,5,Total,,,10873,
ANDERSON,Governor,,Rick Perry,True,REP,6973,63.58
ANDERSON,Governor,,Bill White,False,DEM,3643,33.21
ANDERSON,Governor,,Kathie Glass,False,LIB,266,2.43
ANDERSON,Governor,,Deb Shafto,False,GRN,72,0.66
ANDERSON,Governor,,Andy Barron,False,WI,14,0.13
ANDERSON,Governor,,Total,,,10968,
ANDERSON,Lieutenant Governor,,David Dewhurst,True,REP,8155,74.63
ANDERSON,Lieutenant Governor,,Linda ChavezThompson,False,DEM,2466,22.57
ANDERSON,Lieutenant Governor,,Scott Jameson,False,LIB,251,2.30
ANDERSON,Lieutenant Governor,,"Herb Gonzales, Jr.",False,GRN,55,0.50
ANDERSON,Lieutenant Governor,,Total,,,10927,
ANDERSON,Attorney General,,Greg Abbott,True,REP,8377,76.66
ANDERSON,Attorney General,,Barbara Ann Radnofsky,False,DEM,2329,21.31
ANDERSON,Attorney General,,Jon Roland,False,LIB,221,2.02
ANDERSON,Attorney General,,Total,,,10927,
ANDERSON,Comptroller of Public Accounts,,Susan Combs,True,REP,8539,88.49
ANDERSON,Comptroller of Public Accounts,,Mary J. Ruwart,False,LIB,793,8.22
ANDERSON,Comptroller of Public Accounts,,Edward Lindsay,False,GRN,318,3.30
ANDERSON,Comptroller of Public Accounts,,Total,,,9650,
ANDERSON,Commissioner of the General Land Office,,Jerry Patterson,True,REP,8089,75.21
ANDERSON,Commissioner of the General Land Office,,Hector Uribe,False,DEM,2370,22.04
ANDERSON,Commissioner of the General Land Office,,James L. Holdar,False,LIB,296,2.75
ANDERSON,Commissioner of the General Land Office,,Total,,,10755,
ANDERSON,Commissioner of Agriculture,,Todd Staples,True,REP,8433,76.66
ANDERSON,Commissioner of Agriculture,,Hank Gilbert,False,DEM,2279,20.72
ANDERSON,Commissioner of Agriculture,,Rick Donaldson,False,LIB,288,2.62
ANDERSON,Commissioner of Agriculture,,Total,,,11000,
ANDERSON,Railroad Commissioner,,David Porter,False,REP,7604,70.81
ANDERSON,Railroad Commissioner,,Jeff Weems,False,DEM,2703,25.17
ANDERSON,Railroad Commissioner,,Roger Gary,False,LIB,299,2.78
ANDERSON,Railroad Commissioner,,Art Browning,False,GRN,133,1.24
ANDERSON,Railroad Commissioner,,Total,,,10739,
ANDERSON,Justice Supreme Court,3,Debra Lehrmann,False,REP,7522,70.27
ANDERSON,Justice Supreme Court,3,Jim Sharp,False,DEM,2887,26.97
ANDERSON,Justice Supreme Court,3,"William Bryan Strange, III",False,LIB,296,2.77
