office,district,candidate,incumbent,party,votes,pct
U. S. Representative,22,Pete Olson,FALSE,REP,15511,68.52
U. S. Representative,22,Shelley Sekula Gibbs,FALSE,REP,7125,31.48
U. S. Representative,22,Total,,,22636,
State Representative,52,Bryan Daniel,FALSE,REP,1657,53.62
State Representative,52,Dee Hobbs,FALSE,REP,1433,46.38
State Representative,52,Total,,,3090,
State Representative,55,Ralph Sheffield,FALSE,REP,4204,63.49
State Representative,55,Martha Tyroch,FALSE,REP,2418,36.51
State Representative,55,Total,,,6622,
State Representative,81,Tryon D. Lewis,FALSE,REP,5181,75.99
State Representative,81,"G.E. ""Buddy"" West",TRUE,REP,1637,24.01
State Representative,81,Total,,,6818,
State Representative,112,Angie Chen Button,FALSE,REP,3103,53.18
State Representative,112,Randy Dunning,FALSE,REP,2732,46.82
State Representative,112,Total,,,5835,
State Representative,144,Ken Legler,FALSE,REP,1593,51.62
State Representative,144,Fred Roberts,FALSE,REP,1493,48.38
State Representative,144,Total,,,3086,
District Judge,17th Judicial District,Mike Hrabal,FALSE,REP,5267,49.91
District Judge,17th Judicial District,Melody Wilkinson,FALSE,REP,5286,50.09
District Judge,17th Judicial District,Total,,,10553,
District Judge,174th Judicial District,Kevin Keating,FALSE,REP,11420,33.99
District Judge,174th Judicial District,Bill Moore,FALSE,REP,22176,66.01
District Judge,174th Judicial District,Total,,,33596,
District Judge,213th Judicial District,Lisa Callaghan,FALSE,REP,4646,43.57
District Judge,213th Judicial District,Louis Sturns,TRUE,REP,6018,56.43
District Judge,213th Judicial District,Total,,,10664,
District Judge,393rd Judicial District,Steve Burgess,FALSE,REP,1141,36.91
District Judge,393rd Judicial District,Doug Robison,FALSE,REP,1950,63.09
District Judge,393rd Judicial District,Total,,,3091,
District Judge,418th Judicial District,Tracy A. Gilbert,FALSE,REP,8037,68.89
District Judge,418th Judicial District,Robert Rosenquist,TRUE,REP,3630,31.11
District Judge,418th Judicial District,Total,,,11667,
District Judge,435th Judicial District,Scott Golemon,FALSE,REP,5495,46.34
District Judge,435th Judicial District,Mike Seiler,FALSE,REP,6363,53.66
District Judge,435th Judicial District,Total,,,11858,
District Attorney, 9th Judicial District,Brett Ligon,FALSE,REP,7164,56.94
District Attorney, 9th Judicial District,Michael McDougal,TRUE,REP,5417,43.06
District Attorney, 9th Judicial District,Total,,,12581,
District Attorney, 38th Judicial District,Daniel J. Kindred,TRUE,REP,1326,64.68
District Attorney, 38th Judicial District,Tony Reyes,FALSE,REP,724,35.32
District Attorney, 38th Judicial District,Total,,,2050,
Harris County,Attorney,Pat Lykos,FALSE,REP,21106,52.68
Harris County,Attorney,Kelly Siegler,FALSE,REP,18962,47.32
Harris County,Attorney,Total,,,40068,
District Attorney, 235th Judicial District,Cindy Stormer,TRUE,REP,981,32.28
District Attorney, 235th Judicial District,Janice Warder,FALSE,REP,2058,67.72
District Attorney, 235th Judicial District,Total,,,3039,
U. S. Representative,32,Steve Love,FALSE,DEM,753,27.54
U. S. Representative,32,Eric Roberson,FALSE,DEM,1981,72.46
U. S. Representative,32,Total,,,2734,
Railroad Commissioner,,Dale Henry,FALSE,DEM,76582,40.8
Railroad Commissioner,,Mark Thompson,FALSE,DEM,111126,59.2
Railroad Commissioner,,Total,,,187708,
District Judge,6th Judicial District,David Hamilton,FALSE,DEM,2357,34.45
District Judge,6th Judicial District,Dave Turner,FALSE,DEM,4484,65.55
District Judge,6th Judicial District,Total,,,6841,
District Judge,80th Judicial District,Marc Isenberg,FALSE,DEM,3835,40.91
District Judge,80th Judicial District,Larry Weiman,FALSE,DEM,5539,59.09
District Judge,80th Judicial District,Total,,,9374,
District Judge,448th Judicial District,Regina B. Arditti,FALSE,DEM,8138,69.17
District Judge,448th Judicial District,Edward Hernandez,FALSE,DEM,3627,30.83
District Judge,448th Judicial District,Total,,,11765,
"Criminal District Judge, Dallas County",3,David Jordan,FALSE,DEM,3338,32.02
"Criminal District Judge, Dallas County",3,Gracie Lewis,FALSE,DEM,7088,67.98
"Criminal District Judge, Dallas County",3,Total,,,10426,
District Judge,65th Judicial District,Alfredo Chavez,TRUE,DEM,4636,39.41
District Judge,65th Judicial District,Yahara Lisa Gutierrez,FALSE,DEM,7127,60.59
District Judge,65th Judicial District,Total,,,11763,
District Judge,444th Judicial District,Gilberto E. Rosas,FALSE,DEM,3517,48.51
District Judge,444th Judicial District,David A. Sanchez,FALSE,DEM,3733,51.49
District Judge,444th Judicial District,Total,,,7250,
District Attorney, 49th Judicial District,"Isidro R. ""Chilo"" Alaniz",FALSE,DEM,18914,71.08
District Attorney, 49th Judicial District,Maria Elena Morales,FALSE,DEM,7697,28.92
District Attorney, 49th Judicial District,Total,,,26611,
District Attorney, 53rd Judicial District,Rosemary Lehmberg,FALSE,DEM,19217,65.22
District Attorney, 53rd Judicial District,Mindy Montford,FALSE,DEM,10250,34.78
District Attorney, 53rd Judicial District,Total,,,29467,
