office,district,candidate,incumbent,party,votes,pct
President/VicePresident,,Joe Biden,FALSE,DEM,5290,0.18
President/VicePresident,,Hillary Clinton,FALSE,DEM,1462734,50.88
President/VicePresident,,Christopher J. Dodd,FALSE,DEM,3777,0.13
President/VicePresident,,John Edwards,FALSE,DEM,29936,1.04
President/VicePresident,,Barack Obama,FALSE,DEM,1362476,47.39
President/VicePresident,,Bill Richardson,FALSE,DEM,10773,0.37
President/VicePresident,,Total,,,2874986,
U. S. Senator,,Gene Kelly,FALSE,DEM,584966,26.87
U. S. Senator,,Ray McMurrey,FALSE,DEM,269402,12.37
U. S. Senator,,Richard J. (Rick) Noriega,FALSE,DEM,1110579,51.01
U. S. Senator,,Rhett R. Smith,FALSE,DEM,212305,9.75
U. S. Senator,,Total,,,2177252,
U. S. Representative,3,Tom Daley,FALSE,DEM,33592,71.63
U. S. Representative,3,Ronald E. (Ron) Minkow,FALSE,DEM,13305,28.37
U. S. Representative,3,Total,,,46897,
U. S. Representative,4,VaLinda Hathcox,FALSE,DEM,27766,42.6
U. S. Representative,4,Glenn Melancon,FALSE,DEM,37416,57.4
U. S. Representative,4,Total,,,65182,
U. S. Representative,6,Steve Bush,FALSE,DEM,31959,49.18
U. S. Representative,6,Ludwig Otto,FALSE,DEM,33021,50.82
U. S. Representative,6,Total,,,64980,
U. S. Representative,7,Michael Skelly,FALSE,DEM,55771,100
U. S. Representative,7,Total,,,55771,
U. S. Representative,8,Kent Hargett,FALSE,DEM,55817,100
U. S. Representative,8,Total,,,55817,
U. S. Representative,9,Al Green,TRUE,DEM,73657,100
U. S. Representative,9,Total,,,73657,
U. S. Representative,10,Larry Joe Doherty,FALSE,DEM,51977,61.11
U. S. Representative,10,Dan Grant,FALSE,DEM,33072,38.89
U. S. Representative,10,Total,,,85049,
U. S. Representative,12,Tracey Smith,FALSE,DEM,48975,100
U. S. Representative,12,Total,,,48975,
U. S. Representative,13,Roger James Waun,FALSE,DEM,35649,100
U. S. Representative,13,Total,,,35649,
U. S. Representative,15,Rub̩n Hinojosa,TRUE,DEM,77227,100
