office,district,candidate,incumbent,party,votes,pct
State Representative,55  Unexpired Term,"R. ""Danny"" Daniel",FALSE,IND,2473,5.05
State Representative,55  Unexpired Term,Sam Murphey,FALSE,DEM,22000,44.97
State Representative,55  Unexpired Term,Ralph Sheffield,FALSE,REP,24452,49.98
State Representative,55  Unexpired Term,Total,,,48925,
State Representative,81  Unexpired Term,Tryon D. Lewis,FALSE,REP,32280,100
State Representative,81  Unexpired Term,Total,,,32280,
State Senate,17  Unexpired Term,Chris Bell,FALSE,DEM,85725,38.39
State Senate,17  Unexpired Term,Austen Furse,FALSE,REP,22588,10.12
State Senate,17  Unexpired Term,Grant Harpold,FALSE,REP,9056,4.06
State Senate,17  Unexpired Term,Joan Huffman,FALSE,REP,58359,26.14
State Senate,17  Unexpired Term,Ken Sherman,FALSE,REP,16728,7.49
State Senate,17  Unexpired Term,Stephanie E. Simmons,FALSE,DEM,30839,13.81
State Senate,17  Unexpired Term,Total,,,223295,
