county,office,district,party,candidate,incumbent,votes,pct
ANDERSON,U. S. Representative,5,REP,Lance Gooden,False,2684,59.92
ANDERSON,U. S. Representative,5,REP,Bunni Pounds,False,1795,40.08
ANDERSON,U. S. Representative,5,,Total,,4479,
ANDERSON,State Representative,8,REP,Cody Harris,False,3185,69.98
ANDERSON,State Representative,8,REP,Thomas McNutt,False,1366,30.02
ANDERSON,State Representative,8,,Total,,4551,
ARANSAS,U. S. Representative,27,REP,Bech Bruun,False,777,48.44
ARANSAS,U. S. Representative,27,REP,Michael Cloud,False,827,51.56
ARANSAS,U. S. Representative,27,,Total,,1604,
AUSTIN,State Representative,13,REP,Ben Leman,False,971,46.11
AUSTIN,State Representative,13,REP,Jill Wolfskill,False,1135,53.89
AUSTIN,State Representative,13,,Total,,2106,
BANDERA,U. S. Representative,21,REP,Matt McCall,False,890,55.59
BANDERA,U. S. Representative,21,REP,Chip Roy,False,711,44.41
BANDERA,U. S. Representative,21,,Total,,1601,
BASTROP,U. S. Representative,27,REP,Bech Bruun,False,439,39.34
BASTROP,U. S. Representative,27,REP,Michael Cloud,False,677,60.66
BASTROP,U. S. Representative,27,,Total,,1116,
BASTROP,"Justice, 3rd Court of Appeals District, Place 6",,REP,Donna Davidson,False,1051,45.22
BASTROP,"Justice, 3rd Court of Appeals District, Place 6",,REP,"Michael (""Mike"") Toth",False,1273,54.78
BASTROP,"Justice, 3rd Court of Appeals District, Place 6",,,Total,,2324,
BELL,State Representative,54,REP,Brad Buckley,False,2897,57.67
BELL,State Representative,54,REP,Scott Cosper,True,2126,42.33
BELL,State Representative,54,,Total,,5023,
BELL,"Justice, 3rd Court of Appeals District, Place 6",,REP,Donna Davidson,False,3268,45.22
BELL,"Justice, 3rd Court of Appeals District, Place 6",,REP,"Michael (""Mike"") Toth",False,3959,54.78
BELL,"Justice, 3rd Court of Appeals District, Place 6",,,Total,,7227,
BELL,District Judge,264th Judicial District,REP,Paul LePak,False,4818,63.44
BELL,District Judge,264th Judicial District,REP,Jeff Parker,False,2776,36.56
BELL,District Judge,264th Judicial District,,Total,,7594,
BEXAR,U. S. Representative,21,REP,Matt McCall,False,5955,45.63
BEXAR,U. S. Representative,21,REP,Chip Roy,False,7096,54.37
BEXAR,U. S. Representative,21,,Total,,13051,
BEXAR,State Representative,121,REP,Steve Allison,False,6081,57.48
BEXAR,State Representative,121,REP,Matt Beebe,False,4499,42.52
BEXAR,State Representative,121,,Total,,10580,
BEXAR,District Judge,187th Judicial District,REP,Karl Alexander,False,13759,55.57
BEXAR,District Judge,187th Judicial District,REP,Joey Contreras,True,11002,44.43
BEXAR,District Judge,187th Judicial District,,Total,,24761,
BEXAR,District Judge,226th Judicial District,REP,Todd McCray,False,12417,50.49
BEXAR,District Judge,226th Judicial District,REP,Libby Wiedermann,False,12178,49.51
BEXAR,District Judge,226th Judicial District,,Total,,24595,
BLANCO,U. S. Representative,21,REP,Matt McCall,False,429,45.54
BLANCO,U. S. Representative,21,REP,Chip Roy,False,513,54.46
BLANCO,U. S. Representative,21,,Total,,942,
BLANCO,"Justice, 3rd Court of Appeals District, Place 6",,REP,Donna Davidson,False,361,39.98
BLANCO,"Justice, 3rd Court of Appeals District, Place 6",,REP,"Michael (""Mike"") Toth",False,542,60.02
BLANCO,"Justice, 3rd Court of Appeals District, Place 6",,,Total,,903,
BRAZORIA,District Judge,412th Judicial District,REP,Keith Allen,False,2679,29.02
BRAZORIA,District Judge,412th Judicial District,REP,Justin R Gilbert,False,6554,70.98
