county,precinct,precinct_name,office,district,party,candidate,votes,election_day,early_voting
Schleicher,1,Methodist Church-Edu Room,U.S. House,23,DEM,Gina Ortiz  Jones,71,28,43
Schleicher,1,Methodist Church-Edu Room,U.S. House,23,LIB,Ruben Corvalan,6,3,3
Schleicher,1,Methodist Church-Edu Room,U.S. House,23,REP,Will  Hurd,212,61,151
Schleicher,2,Memorial Bldg-Election Rm,U.S. House,23,DEM,Gina Ortiz  Jones,46,18,28
Schleicher,2,Memorial Bldg-Election Rm,U.S. House,23,LIB,Ruben Corvalan,10,4,6
Schleicher,2,Memorial Bldg-Election Rm,U.S. House,23,REP,Will  Hurd,187,65,122
Schleicher,3,OLG-ROOM B,U.S. House,23,DEM,Gina Ortiz  Jones,39,20,19
Schleicher,3,OLG-ROOM B,U.S. House,23,LIB,Ruben Corvalan,3,2,1
Schleicher,3,OLG-ROOM B,U.S. House,23,REP,Will  Hurd,45,9,36
Schleicher,4,OLG-ROOM A,U.S. House,23,DEM,Gina Ortiz  Jones,38,17,21
Schleicher,4,OLG-ROOM A,U.S. House,23,LIB,Ruben Corvalan,5,1,4
Schleicher,4,OLG-ROOM A,U.S. House,23,REP,Will  Hurd,286,78,208
Schleicher,1,Methodist Church-Edu Room,Comptroller of Public Accounts,,LIB,Ben Sanders,8,4,4
Schleicher,1,Methodist Church-Edu Room,Comptroller of Public Accounts,,REP,Glenn  Hegar,198,57,141
Schleicher,1,Methodist Church-Edu Room,Comptroller of Public Accounts,,DEM,Joi  Chevalier,66,27,39
Schleicher,2,Memorial Bldg-Election Rm,Comptroller of Public Accounts,,LIB,Ben Sanders,10,3,7
Schleicher,2,Memorial Bldg-Election Rm,Comptroller of Public Accounts,,REP,Glenn  Hegar,179,64,115
Schleicher,2,Memorial Bldg-Election Rm,Comptroller of Public Accounts,,DEM,Joi  Chevalier,47,18,29
Schleicher,3,OLG-ROOM B,Comptroller of Public Accounts,,LIB,Ben Sanders,4,3,1
Schleicher,3,OLG-ROOM B,Comptroller of Public Accounts,,REP,Glenn  Hegar,49,10,39
Schleicher,3,OLG-ROOM B,Comptroller of Public Accounts,,DEM,Joi  Chevalier,35,17,18
Schleicher,4,OLG-ROOM A,Comptroller of Public Accounts,,LIB,Ben Sanders,6,3,3
Schleicher,4,OLG-ROOM A,Comptroller of Public Accounts,,REP,Glenn  Hegar,274,73,201
Schleicher,4,OLG-ROOM A,Comptroller of Public Accounts,,DEM,Joi  Chevalier,41,18,23
Schleicher,1,Methodist Church-Edu Room,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri)  Jackson,66,28,38
Schleicher,1,Methodist Church-Edu Room,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon  Keller,203,60,143
Schleicher,1,Methodist Church-Edu Room,"Presiding Judge, Court of Criminal Appeals",,LIB,William Bryan Strange III,7,1,6
Schleicher,2,Memorial Bldg-Election Rm,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri)  Jackson,55,21,34
Schleicher,2,Memorial Bldg-Election Rm,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon  Keller,175,62,113
Schleicher,2,Memorial Bldg-Election Rm,"Presiding Judge, Court of Criminal Appeals",,LIB,William Bryan Strange III,7,3,4
Schleicher,3,OLG-ROOM B,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri)  Jackson,37,20,17
Schleicher,3,OLG-ROOM B,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon  Keller,49,10,39
Schleicher,3,OLG-ROOM B,"Presiding Judge, Court of Criminal Appeals",,LIB,William Bryan Strange III,2,0,2
Schleicher,4,OLG-ROOM A,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri)  Jackson,44,20,24
Schleicher,4,OLG-ROOM A,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon  Keller,271,73,198
Schleicher,4,OLG-ROOM A,"Presiding Judge, Court of Criminal Appeals",,LIB,William Bryan Strange III,4,1,3
Schleicher,1,Methodist Church-Edu Room,"Judge, Court of Criminal Appeals Place 7",,REP,Barbara Parker  Hervey,211,62,149
Schleicher,1,Methodist Church-Edu Room,"Judge, Court of Criminal Appeals Place 7",,DEM,Ramona  Franklin,65,27,38
Schleicher,2,Memorial Bldg-Election Rm,"Judge, Court of Criminal Appeals Place 7",,REP,Barbara Parker  Hervey,186,65,121
Schleicher,2,Memorial Bldg-Election Rm,"Judge, Court of Criminal Appeals Place 7",,DEM,Ramona  Franklin,52,21,31
Schleicher,3,OLG-ROOM B,"Judge, Court of Criminal Appeals Place 7",,REP,Barbara Parker  Hervey,50,10,40
Schleicher,3,OLG-ROOM B,"Judge, Court of Criminal Appeals Place 7",,DEM,Ramona  Franklin,38,20,18
Schleicher,4,OLG-ROOM A,"Judge, Court of Criminal Appeals Place 7",,REP,Barbara Parker  Hervey,272,73,199
Schleicher,4,OLG-ROOM A,"Judge, Court of Criminal Appeals Place 7",,DEM,Ramona  Franklin,46,21,25
Schleicher,1,Methodist Church-Edu Room,"Judge, Court of Criminal Appeals Place 8",,LIB,Mark Ash,28,15,13
Schleicher,1,Methodist Church-Edu Room,"Judge, Court of Criminal Appeals Place 8",,REP,Michelle  Slaughter,231,72,159
