candidate,office,district,party,county,precinct,votes,early_voting,election_day
,Registered Voters,,,Sabine,Precinct 1,1937,,
,Ballots Cast,,,Sabine,Precinct 1,1047,797,250
,Straight Party,,REP,Sabine,Precinct 1,670,533,137
,Straight Party,,DEM,Sabine,Precinct 1,49,33,16
,Straight Party,,LIB,Sabine,Precinct 1,3,2,1
Ted Cruz,U.S. Senate,,REP,Sabine,Precinct 1,943,731,212
Beto O'Rourke,U.S. Senate,,DEM,Sabine,Precinct 1,104,67,37
Neal M Dikeman,U.S. Senate,,LIB,Sabine,Precinct 1,3,3,0
Louie Gohmert,U.S. House,1,REP,Sabine,Precinct 1,918,707,211
Shirley J. McKellar ,U.S. House,1,DEM,Sabine,Precinct 1,96,62,34
Jeff Callaway ,U.S. House,1,LIB,Sabine,Precinct 1,7,4,3
Greg Abbott,Governor,,REP,Sabine,Precinct 1,940,724,216
Lupe Valdez,Governor,,DEM,Sabine,Precinct 1,91,59,32
Mark Jay Tippetts,Governor,,LIB,Sabine,Precinct 1,7,6,1
Dan Patrick,Lieutenant Governor,,REP,Sabine,Precinct 1,929,715,214
Mike Collier,Lieutenant Governor,,DEM,Sabine,Precinct 1,104,71,33
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Sabine,Precinct 1,6,3,3
Ken Paxton,Attorney General,,REP,Sabine,Precinct 1,925,713,212
Justin Nelson,Attorney General,,DEM,Sabine,Precinct 1,104,72,32
Michael Ray Harris,Attorney General,,LIB,Sabine,Precinct 1,7,4,3
Glenn Hegar,Comptroller of Public Accounts,,REP,Sabine,Precinct 1,930,719,211
Joi Chevalier,Comptroller of Public Accounts,,DEM,Sabine,Precinct 1,90,59,31
Ben Sanders,Comptroller of Public Accounts,,LIB,Sabine,Precinct 1,15,9,6
George P. Bush,Commissioner of the General Land Office,,REP,Sabine,Precinct 1,902,691,211
Miguel Suazo,Commissioner of the General Land Office,,DEM,Sabine,Precinct 1,95,68,27
Matt Pina,Commissioner of the General Land Office,,LIB,Sabine,Precinct 1,38,26,12
