county,precinct,office,district,party,candidate,votes,election_day,early_voting
Lipscomb,,Proposition #1 Right to a 21st Century Public Education:,,,Yes,0,0,0
Lipscomb,,Proposition #1 Right to a 21st Century Public Education:,,,No,0,0,0
Lipscomb,,Proposition #2 Student Loan Debt:,,,Yes,0,0,0
Lipscomb,,Proposition #2 Student Loan Debt:,,,No,0,0,0
Lipscomb,,Proposition #3 Right to Healthcare:,,,Yes,0,0,0
Lipscomb,,Proposition #3 Right to Healthcare:,,,No,0,0,0
Lipscomb,,Proposition #4 Right to Economic Security:,,,Yes,0,0,0
Lipscomb,,Proposition #4 Right to Economic Security:,,,No,0,0,0
Lipscomb,,Proposition #5 National Jobs Program:,,,Yes,0,0,0
Lipscomb,,Proposition #5 National Jobs Program:,,,No,0,0,0
Lipscomb,,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment:",,,Yes,0,0,0
Lipscomb,,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment:",,,No,0,0,0
Lipscomb,,Proposition #7 Right to Dignity & Respect:,,,Yes,0,0,0
Lipscomb,,Proposition #7 Right to Dignity & Respect:,,,No,0,0,0
Lipscomb,,Proposition #8 Right to Housing:,,,Yes,0,0,0
Lipscomb,,Proposition #8 Right to Housing:,,,No,0,0,0
Lipscomb,,Proposition #9 Right to Vote:,,,Yes,1,1,0
Lipscomb,,Proposition #9 Right to Vote:,,,No,0,0,0
Lipscomb,,Proposition #10 Right to a Fair Criminal Justice System:,,,Yes,1,1,0
Lipscomb,,Proposition #10 Right to a Fair Criminal Justice System:,,,No,0,0,0
Lipscomb,,Proposition #11 Immigrant Rights:,,,Yes,1,1,0
Lipscomb,,Proposition #11 Immigrant Rights:,,,No,0,0,0
Lipscomb,,Proposition #12 Right to Fair Taxation:,,,Yes,1,1,0
Lipscomb,,Proposition #12 Right to Fair Taxation:,,,No,0,0,0
Lipscomb,,Proposition 1,,,YES,46,31,11
Lipscomb,,Proposition 1,,,NO,34,19,10
Lipscomb,,Proposition 2,,,YES,79,46,22
Lipscomb,,Proposition 2,,,NO,11,8,3
Lipscomb,,Proposition 3,,,YES,74,45,22
Lipscomb,,Proposition 3,,,NO,11,5,3
Lipscomb,,Proposition 4,,,YES,75,45,21
Lipscomb,,Proposition 4,,,NO,14,8,4
Lipscomb,,Proposition 5,,,YES,60,37,14
Lipscomb,,Proposition 5,,,NO,27,14,11
Lipscomb,,Proposition 6,,,YES,83,52,22
Lipscomb,,Proposition 6,,,NO,7,2,3
Lipscomb,,Proposition 7,,,YES,64,41,18
Lipscomb,,Proposition 7,,,NO,20,10,6
Lipscomb,,Proposition 8,,,YES,88,53,24
Lipscomb,,Proposition 8,,,NO,2,1,1
Lipscomb,,Proposition 9,,,YES,81,53,23
Lipscomb,,Proposition 9,,,NO,6,1,1
Lipscomb,,Proposition 10,,,YES,78,47,23
Lipscomb,,Proposition 10,,,NO,10,6,2
Lipscomb,,Proposition 11,,,YES,80,48,23
Lipscomb,,Proposition 11,,,NO,7,5,1
Lipscomb,,U.S. Senate,,REP,"Bruce Jacobson, Jr.",6,6,0
Lipscomb,,U.S. Senate,,REP,Over Votes,0,0,0
Lipscomb,,U.S. Senate,,REP,Under Votes,0,0,0
Lipscomb,,Registered Voters,,REP,,306,,
Lipscomb,,Ballots Cast,,REP,,76,0,12
Lipscomb,,U.S. Senate,,REP,Geraldine Sam,0,0,0
Lipscomb,,U.S. Senate,,REP,Ted Cruz,60,46,10
Lipscomb,,U.S. Senate,,REP,Stefano de Stefano,0,0,0
Lipscomb,,U.S. Senate,,REP,Mary Miller,2,1,0
Lipscomb,,U.S. House,13,REP,Mac Thornberry,68,53,11
Lipscomb,,Governor,,REP,SECEDE Kilgore,0,0,0
Lipscomb,,Governor,,REP,Greg Abbott,58,45,10
Lipscomb,,Governor,,REP,Barbara Krueger,4,2,0
Lipscomb,,Lieutenant Governor,,REP,Scott Milder,46,32,10
Lipscomb,,Lieutenant Governor,,REP,Dan Patrick,25,22,2
Lipscomb,,Attorney General,,REP,Ken Paxton,59,45,10
Lipscomb,,Comptroller of Public Accounts,,REP,Glenn Hegar,59,45,10
Lipscomb,,Commissioner of the General Land Office,,REP,Davey Edwards,6,4,1
Lipscomb,,Commissioner of the General Land Office,,REP,George P. Bush,51,42,7
Lipscomb,,Commissioner of the General Land Office,,REP,Jerry Patterson,5,2,2
Lipscomb,,Commissioner of the General Land Office,,REP,Rick Range,4,2,1
Lipscomb,,Commissioner of Agriculture,,REP,Sid Miller,33,25,6
Lipscomb,,Commissioner of Agriculture,,REP,Jim Hogan,12,8,2
Lipscomb,,Commissioner of Agriculture,,REP,Trey Blocker,16,13,2
Lipscomb,,Railroad Commissioner,,REP,Weston Martinez,12,8,3
Lipscomb,,Railroad Commissioner,,REP,Christi Craddick,48,36,8
Lipscomb,,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,53,40,10
Lipscomb,,"Justice, Supreme Court, Place 4",,REP,John Devine,51,38,10
Lipscomb,,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,53,40,10
Lipscomb,,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,37,29,6
Lipscomb,,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,19,12,4
Lipscomb,,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,53,40,10
Lipscomb,,"Judge, Court of Criminal Appeals, Place 8",,REP,Dib Waldrip,8,7,1
Lipscomb,,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,24,18,3
Lipscomb,,"Judge, Court of Criminal Appeals, Place 8",,REP,Jay Brandon,20,12,6
Lipscomb,,State Senator,31,REP,Kel Seliger,58,42,11
Lipscomb,,State Senator,31,REP,Victor Leal,11,10,1
Lipscomb,,State Senator,31,REP,Mike Canon,5,5,0
Lipscomb,,State Representative,88,REP,Ken King,57,44,9
Lipscomb,,State Representative,88,REP,Richard Beyea,12,9,2
Lipscomb,,State Representative,88,REP,Jason Huddleston,5,4,1
Lipscomb,,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Judy Parker,54,41,10
Lipscomb,,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Pat Pirtle,46,34,9
Lipscomb,,"District Judge, 31st Judicial District",,REP,Steven R. Emmert,61,48,9
Lipscomb,,County Judge,,REP,Kevin Wynn,32,23,7
Lipscomb,,County Judge,,REP,Mickey Simpson,15,11,1
Lipscomb,,County Judge,,REP,Janice M. Albracht,8,5,3
Lipscomb,,County Judge,,REP,Andrew T. Copeland,20,20,0
Lipscomb,,District and County Clerk,,REP,Kim Blau,65,52,10
Lipscomb,,County Treasurer,,REP,Kimberly Long,67,54,10
Lipscomb,,"County Commissioner, Precinct No. 2",,REP,Merle L. Miller,62,48,9
Lipscomb,,Justice of the Peace,,REP,Nancy Shepherd,67,54,9
Lipscomb,,County Chairman,,REP,Diana Hoover,63,49,11
Lipscomb,,U.S. Senate,,DEM,Sema Hernandez,0,0,0
Lipscomb,,U.S. Senate,,DEM,Over Votes,0,0,0
Lipscomb,,U.S. Senate,,DEM,Under Votes,0,0,0
Lipscomb,,Registered Voters,,DEM,,306,,
Lipscomb,,Ballots Cast,,DEM,,76,0,12
Lipscomb,,U.S. Senate,,DEM,Beto O'Rourke,0,0,0
Lipscomb,,U.S. Senate,,DEM,Edward Kimbrough,0,0,0
Lipscomb,,U.S. House,13,DEM,Greg Sagan,0,0,0
Lipscomb,,Governor,,DEM,Joe Mumbach,0,0,0
Lipscomb,,Governor,,DEM,Tom Wakely,0,0,0
Lipscomb,,Governor,,DEM,Jeffrey Payne,0,0,0
Lipscomb,,Governor,,DEM,Andrew White,0,0,0
Lipscomb,,Governor,,DEM,Grady Yarbrough,0,0,0
Lipscomb,,Governor,,DEM,Lupe Valdez,0,0,0
Lipscomb,,Governor,,DEM,James Jolly Clark,0,0,0
Lipscomb,,Governor,,DEM,"Cedric Davis, Sr.",0,0,0
Lipscomb,,Governor,,DEM,Adrian Ocegueda,0,0,0
Lipscomb,,Lieutenant Governor,,DEM,Mike Collier,0,0,0
Lipscomb,,Lieutenant Governor,,DEM,Michael Cooper,0,0,0
Lipscomb,,Attorney General,,DEM,Justin Nelson,0,0,0
Lipscomb,,Comptroller of Public Accounts,,DEM,Joi Chevalier,0,0,0
Lipscomb,,Comptroller of Public Accounts,,DEM,Tim Mahoney,0,0,0
Lipscomb,,Commissioner of the General Land Office,,DEM,Tex Morgan,0,0,0
Lipscomb,,Commissioner of the General Land Office,,DEM,Miguel Suazo,0,0,0
Lipscomb,,Commissioner of Agriculture,,DEM,Kim Olson,0,0,0
Lipscomb,,Railroad Commissioner,,DEM,Chris Spellmon,0,0,0
Lipscomb,,Railroad Commissioner,,DEM,Roman McAllen,0,0,0
Lipscomb,,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,0,0,0
Lipscomb,,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,0,0,0
Lipscomb,,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,0,0,0
Lipscomb,,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,0,0,0
Lipscomb,,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,0,0,0
Lipscomb,,State Representative,88,DEM,Ezekiel Barron,0,0,0
Lipscomb,,County Chairman,,DEM,Virginia Scott,0,0,0
Lipscomb,,Proposition #1 Right to a 21st Century Public Education:,,,Yes,0,0,0
Lipscomb,,Proposition #1 Right to a 21st Century Public Education:,,,No,0,0,0
Lipscomb,,Proposition #2 Student Loan Debt:,,,Yes,0,0,0
Lipscomb,,Proposition #2 Student Loan Debt:,,,No,0,0,0
Lipscomb,,Proposition #3 Right to Healthcare:,,,Yes,0,0,0
Lipscomb,,Proposition #3 Right to Healthcare:,,,No,0,0,0
Lipscomb,,Proposition #4 Right to Economic Security:,,,Yes,0,0,0
Lipscomb,,Proposition #4 Right to Economic Security:,,,No,0,0,0
Lipscomb,,Proposition #5 National Jobs Program:,,,Yes,0,0,0
Lipscomb,,Proposition #5 National Jobs Program:,,,No,0,0,0
Lipscomb,,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment:",,,Yes,0,0,0
Lipscomb,,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment:",,,No,0,0,0
Lipscomb,,Proposition #7 Right to Dignity & Respect:,,,Yes,0,0,0
Lipscomb,,Proposition #7 Right to Dignity & Respect:,,,No,0,0,0
Lipscomb,,Proposition #8 Right to Housing:,,,Yes,0,0,0
Lipscomb,,Proposition #8 Right to Housing:,,,No,0,0,0
Lipscomb,,Proposition #9 Right to Vote:,,,Yes,0,0,0
Lipscomb,,Proposition #9 Right to Vote:,,,No,0,0,0
Lipscomb,,Proposition #10 Right to a Fair Criminal Justice System:,,,Yes,0,0,0
Lipscomb,,Proposition #10 Right to a Fair Criminal Justice System:,,,No,0,0,0
Lipscomb,,Proposition #11 Immigrant Rights:,,,Yes,0,0,0
Lipscomb,,Proposition #11 Immigrant Rights:,,,No,0,0,0
Lipscomb,,Proposition #12 Right to Fair Taxation:,,,Yes,0,0,0
Lipscomb,,Proposition #12 Right to Fair Taxation:,,,No,0,0,0
Lipscomb,,Proposition 1,,,YES,30,24,3
Lipscomb,,Proposition 1,,,NO,31,23,6
Lipscomb,,Proposition 2,,,YES,57,46,7
Lipscomb,,Proposition 2,,,NO,13,8,4
Lipscomb,,Proposition 3,,,YES,56,41,10
Lipscomb,,Proposition 3,,,NO,8,7,1
Lipscomb,,Proposition 4,,,YES,62,49,9
Lipscomb,,Proposition 4,,,NO,9,6,2
Lipscomb,,Proposition 5,,,YES,35,32,2
