county,precinct,office,district,candidate,party,early_voting,election_day,mail,early_voting_paper,votes
El Paso,001-ANTHONY CITY HALL,Straight Party,,REPUBLICAN,REP,74,74,0,10,158
El Paso,001-ANTHONY CITY HALL,Straight Party,,DEMOCRAT,DEM,177,224,2,24,427
El Paso,001-ANTHONY CITY HALL,Straight Party,,LIBERTARIAN,LIB,1,3,0,0,4
El Paso,001-ANTHONY CITY HALL,U.S. Senate,,TED CRUZ,REP,108,102,0,13,223
El Paso,001-ANTHONY CITY HALL,U.S. Senate,,BETO OROURKE,DEM,273,351,2,30,656
El Paso,001-ANTHONY CITY HALL,U.S. Senate,,NEAL M DIKEMAN,LIB,3,2,0,0,5
El Paso,001-ANTHONY CITY HALL,U.S. House,16,RICK SEEBERGER,REP,110,115,0,12,237
El Paso,001-ANTHONY CITY HALL,U.S. House,16,VERONICA ESCOBAR,DEM,244,307,2,30,583
El Paso,001-ANTHONY CITY HALL,U.S. House,16,BEN MENDOZA,IND,22,26,0,1,49
El Paso,001-ANTHONY CITY HALL,U.S. House,16,Write-In,NP,0,0,0,0,0
El Paso,001-ANTHONY CITY HALL,GOVERNOR,,GREG ABBOTT,REP,130,134,0,16,280
El Paso,001-ANTHONY CITY HALL,GOVERNOR,,LUPE VALDEZ,DEM,243,302,2,27,574
El Paso,001-ANTHONY CITY HALL,GOVERNOR,,MARK JAY TIPPETTS,LIB,8,11,0,0,19
El Paso,001-ANTHONY CITY HALL,Lieutenant Governor,,DAN PATRICK,REP,120,113,0,16,249
El Paso,001-ANTHONY CITY HALL,Lieutenant Governor,,MIKE COLLIER,DEM,238,312,2,27,579
El Paso,001-ANTHONY CITY HALL,Lieutenant Governor,,KERRY DOUGLAS MCKENN,LIB,17,13,0,0,30
El Paso,001-ANTHONY CITY HALL,Attorney General,,KEN PAXTON,REP,113,110,0,13,236
El Paso,001-ANTHONY CITY HALL,Attorney General,,JUSTIN NELSON,DEM,250,319,2,27,598
El Paso,001-ANTHONY CITY HALL,Attorney General,,MICHAEL RAY HARRIS,LIB,11,13,0,2,26
El Paso,001-ANTHONY CITY HALL,Comptroller	of Public Accounts,,GLENN HEGAR,REP,109,113,0,15,237
El Paso,001-ANTHONY CITY HALL,Comptroller	of Public Accounts,,JOI CHEVALIER,DEM,235,299,2,26,562
El Paso,001-ANTHONY CITY HALL,Comptroller	of Public Accounts,,BEN SANDERS,LIB,29,28,0,2,59
El Paso,001-ANTHONY CITY HALL,Commissioner of the General Land Office,,GEORGE P BUSH,REP,119,126,0,16,261
El Paso,001-ANTHONY CITY HALL,Commissioner of the General Land Office,,MIGUEL SUAZO,DEM,245,305,2,25,577
El Paso,001-ANTHONY CITY HALL,Commissioner of the General Land Office,,MATT PINA,LIB,11,9,0,2,22
El Paso,001-ANTHONY CITY HALL,COMMISSIONER OF AGRICULTURE,,SID MILLER,REP,107,106,0,15,228
El Paso,001-ANTHONY CITY HALL,COMMISSIONER OF AGRICULTURE,,KIM OLSON,DEM,247,312,2,26,587
El Paso,001-ANTHONY CITY HALL,COMMISSIONER OF AGRICULTURE,,RICHARD CARPENTER,LIB,16,15,0,2,33
