county,precinct,office,district,party,candidate,votes,election_day,early_voting,early_voting_ts,early_voting_os
Sherman,101,U.S. Senator,,REP,Stefano de Stefano,0,0,0,0,0
Sherman,101,U.S. Senator,,REP,"Bruce Jacobson, Jr.",1,1,0,0,0
Sherman,101,U.S. Senator,,REP,Geraldine Sam,0,0,0,0,0
Sherman,101,U.S. Senator,,REP,Ted Cruz,29,18,11,11,0
Sherman,101,U.S. Senator,,REP,Mary Miller,0,0,0,0,0
Sherman,101,U.S. House,13,REP,Mac Thornberry,30,20,10,10,0
Sherman,101,Governor,,REP,SECEDE Kilgore,2,2,0,0,0
Sherman,101,Governor,,REP,Greg Abbott,27,16,11,11,0
Sherman,101,Governor,,REP,Barbara Krueger,1,1,0,0,0
Sherman,101,Lt. Governor,,REP,Scott Milder,8,5,3,3,0
Sherman,101,Lt. Governor,,REP,Dan Patrick,21,14,7,7,0
Sherman,101,Attorney General,,REP,Ken Paxton,27,18,9,9,0
Sherman,101,Comptroller of Public Accounts,,REP,Glenn Hegar,24,17,7,7,0
Sherman,101,Comm of the General Land Office,,REP,Davey Edwards,0,0,0,0,0
Sherman,101,Comm of the General Land Office,,REP,Jerry Patterson,7,4,3,3,0
Sherman,101,Comm of the General Land Office,,REP,George P. Bush,21,16,5,5,0
Sherman,101,Comm of the General Land Office,,REP,Rick Range,0,0,0,0,0
Sherman,101,Comm of Agriculture,,REP,Jim Hogan,5,2,3,3,0
Sherman,101,Comm of Agriculture,,REP,Sid Miller,13,12,1,1,0
Sherman,101,Comm of Agriculture,,REP,Trey Blocker,8,4,4,4,0
Sherman,101,Railroad Comm,,REP,Weston Martinez,3,2,1,1,0
Sherman,101,Railroad Comm,,REP,Christi Craddick,21,15,6,6,0
Sherman,101,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,26,18,8,8,0
Sherman,101,"Justice, Supreme Court, Place 4",,REP,John Devine,26,18,8,8,0
Sherman,101,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,26,18,8,8,0
Sherman,101,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,11,9,2,2,0
Sherman,101,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,13,9,4,4,0
Sherman,101,"Judge, Court Of Criminal Appeals, Place 7",,REP,Barbara P. Hervey,25,18,7,7,0
Sherman,101,"Judge, Court of Criminal Apeals, Place 8",,REP,Jay Brandon,6,4,2,2,0
Sherman,101,"Judge, Court of Criminal Apeals, Place 8",,REP,Michelle Slaughter,11,9,2,2,0
Sherman,101,"Judge, Court of Criminal Apeals, Place 8",,REP,Dib Waldrip,5,3,2,2,0
Sherman,101,State Senator,31,REP,Victor Leal,17,10,7,7,0
Sherman,101,State Senator,31,REP,Mike Canon,1,0,1,1,0
Sherman,101,State Senator,31,REP,Kel Seliger,13,10,3,3,0
Sherman,101,State Representative,87,REP,Drew Brassfield,4,3,1,1,0
Sherman,101,State Representative,87,REP,Four Price,27,17,10,10,0
Sherman,101,"Justice, 7th Court of Appeals Dist, Place 2",,REP,Judy Parker,25,18,7,7,0
Sherman,101,"Justice, 7th Court Of Appeals Dist, Place 3",,REP,Pat Pirtle,25,18,7,7,0
Sherman,101,"District Judge, 69th Judicial Dist",,REP,Ron Enns,27,18,9,9,0
