county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee
Gray,1,Ballots Cast,,,,209,149,60,
Gray,1,Straight Party,,REP,Republican Party,109,71,38,
Gray,1,Straight Party,,,Over Votes,0,0,0,
Gray,1,Straight Party,,,Under Votes,92,73,19,
Gray,1,Straight Party,,DEM,Democratic Party,7,4,3,
Gray,1,Straight Party,,LIB,Libertarian Party,1,1,0,
Gray,1,U.S. Senate,,REP,Ted Cruz,189,140,49,
Gray,1,U.S. Senate,,,Over Votes,0,0,0,
Gray,1,U.S. Senate,,,Under Votes,6,2,4,
Gray,1,U.S. Senate,,DEM,Beto O'Rourke,14,7,7,
Gray,1,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,
Gray,1,U.S. House,13,REP,Mac Thornberry,197,142,55,
Gray,1,U.S. House,13,,Over Votes,0,0,0,
Gray,1,U.S. House,13,,Under Votes,4,2,2,
Gray,1,U.S. House,13,DEM,Greg Sagan,7,4,3,
Gray,1,U.S. House,13,LIB,Calvin DeWeese,1,1,0,
Gray,1,Governor,,REP,Greg Abbott,193,139,54,
Gray,1,Governor,,,Over Votes,0,0,0,
Gray,1,Governor,,,Under Votes,6,4,2,
Gray,1,Governor,,DEM,Lupe Valdez,10,6,4,
Gray,1,Governor,,LIB,Mark Jay Tippetts,0,0,0,
Gray,1,Lieutenant Governor,,REP,Dan Patrick,156,106,50,
Gray,1,Lieutenant Governor,,,Over Votes,0,0,0,
Gray,1,Lieutenant Governor,,,Under Votes,6,5,1,
Gray,1,Lieutenant Governor,,DEM,Mike Collier,44,36,8,
Gray,1,Lieutenant Governor,,LIB,Kerry Douglas McKennon,3,2,1,
Gray,1,Attorney General,,REP,Ken Paxton,186,132,54,
Gray,1,Attorney General,,,Over Votes,0,0,0,
Gray,1,Attorney General,,,Under Votes,6,5,1,
Gray,1,Attorney General,,DEM,Justin Nelson,16,11,5,
Gray,1,Attorney General,,LIB,Michael Ray Harris,1,1,0,
Gray,1,Comptroller of Public Accounts,,REP,Glenn Hegar,194,140,54,
Gray,1,Comptroller of Public Accounts,,,Over Votes,0,0,0,
Gray,1,Comptroller of Public Accounts,,,Under Votes,5,4,1,
Gray,1,Comptroller of Public Accounts,,DEM,Joi Chevalier,8,4,4,
Gray,1,Comptroller of Public Accounts,,LIB,Ben Sanders,2,1,1,
Gray,1,Commissioner of the General Land Office,,REP,George P. Bush,186,131,55,
Gray,1,Commissioner of the General Land Office,,,Over Votes,0,0,0,
Gray,1,Commissioner of the General Land Office,,,Under Votes,7,6,1,
Gray,1,Commissioner of the General Land Office,,DEM,Miguel Suazo,12,8,4,
Gray,1,Commissioner of the General Land Office,,LIB,Matt Piña,4,4,0,
Gray,1,Commissioner of Agriculture,,REP,Sid Miller,194,139,55,
Gray,1,Commissioner of Agriculture,,,Over Votes,0,0,0,
Gray,1,Commissioner of Agriculture,,,Under Votes,5,4,1,
Gray,1,Commissioner of Agriculture,,DEM,Kim Olson,8,4,4,
Gray,1,Commissioner of Agriculture,,LIB,Richard Carpenter,2,2,0,
Gray,1,Railroad Commissioner,,REP,Christi Craddick,189,137,52,
Gray,1,Railroad Commissioner,,,Over Votes,0,0,0,
Gray,1,Railroad Commissioner,,,Under Votes,6,5,1,
Gray,1,Railroad Commissioner,,DEM,Roman McAllen,11,6,5,
Gray,1,Railroad Commissioner,,LIB,Mike Wright,3,1,2,
Gray,1,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,188,136,52,
Gray,1,"Justice, Supreme Court, Place 2",,,Over Votes,0,0,0,
Gray,1,"Justice, Supreme Court, Place 2",,,Under Votes,7,5,2,
Gray,1,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,14,8,6,
Gray,1,"Justice, Supreme Court, Place 4",,REP,John Devine,191,138,53,
Gray,1,"Justice, Supreme Court, Place 4",,,Over Votes,0,0,0,
Gray,1,"Justice, Supreme Court, Place 4",,,Under Votes,7,5,2,
Gray,1,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,11,6,5,
Gray,1,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,191,139,52,
Gray,1,"Justice, Supreme Court, Place 6",,,Over Votes,0,0,0,
Gray,1,"Justice, Supreme Court, Place 6",,,Under Votes,8,5,3,
Gray,1,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,10,5,5,
Gray,1,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,186,137,49,
Gray,1,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0,
Gray,1,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,6,4,2,
Gray,1,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,14,5,9,
Gray,1,"Presiding Judge, Court of Criminal Appeals",,LIB,William Bryan Strange III,3,3,0,
Gray,1,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,190,138,52,
Gray,1,"Judge, Court of Criminal Appeals, Place 7",,,Over Votes,0,0,0,
Gray,1,"Judge, Court of Criminal Appeals, Place 7",,,Under Votes,7,5,2,
Gray,1,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,12,6,6,
Gray,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,189,137,52,
Gray,1,"Judge, Court of Criminal Appeals, Place 8",,,Over Votes,0,0,0,
Gray,1,"Judge, Court of Criminal Appeals, Place 8",,,Under Votes,13,9,4,
Gray,1,"Judge, Court of Criminal Appeals, Place 8",,LIB,Mark Ash,7,3,4,
Gray,1,State Senator,No. 31,REP,Kel Seliger,193,139,54,
Gray,1,State Senator,No. 31,,Over Votes,0,0,0,
Gray,1,State Senator,No. 31,,Under Votes,5,4,1,
Gray,1,State Senator,No. 31,DEM,Jack B. Westbrook,11,6,5,
Gray,1,State Representative,No. 88,REP,Ken King,196,142,54,
Gray,1,State Representative,No. 88,,Over Votes,0,0,0,
Gray,1,State Representative,No. 88,,Under Votes,4,3,1,
Gray,1,State Representative,No. 88,DEM,Ezekiel Barron,9,4,5,
Gray,1,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Judy Parker,194,139,55,
Gray,1,"Justice, 7th Court of Appeals District, Place No. 2",,,Over Votes,0,0,0,
Gray,1,"Justice, 7th Court of Appeals District, Place No. 2",,,Under Votes,15,10,5,
Gray,1,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Pat Pirtle,194,139,55,
Gray,1,"Justice, 7th Court of Appeals District, Place No. 3",,,Over Votes,0,0,0,
Gray,1,"Justice, 7th Court of Appeals District, Place No. 3",,,Under Votes,15,10,5,
Gray,1,"District Judge, 31st Judicial District",,REP,Steven R. Emmert,194,139,55,
Gray,1,"District Judge, 31st Judicial District",,,Over Votes,0,0,0,
Gray,1,"District Judge, 31st Judicial District",,,Under Votes,15,10,5,
Gray,1,"District Judge, 223rd Judicial District",,REP,Phil N. Vanderpool,196,141,55,
Gray,1,"District Judge, 223rd Judicial District",,,Over Votes,0,0,0,
Gray,1,"District Judge, 223rd Judicial District",,,Under Votes,13,8,5,
Gray,1,County Judge,,REP,Chris Porter,198,142,56,
Gray,1,County Judge,,,Over Votes,0,0,0,
Gray,1,County Judge,,,Under Votes,11,7,4,
Gray,1,District Clerk,,REP,Jo Mays,198,142,56,
Gray,1,District Clerk,,,Over Votes,0,0,0,
Gray,1,District Clerk,,,Under Votes,11,7,4,
Gray,1,County Clerk,,REP,Jeanne Horton,197,141,56,
Gray,1,County Clerk,,,Over Votes,0,0,0,
Gray,1,County Clerk,,,Under Votes,12,8,4,
Gray,1,County Treasurer,,REP,Scott Hahn,195,141,54,
Gray,1,County Treasurer,,,Over Votes,0,0,0,
Gray,1,County Treasurer,,,Under Votes,14,8,6,
Gray,1,"Justice of the Peace, Precinct 1 and  3",,REP,Joe Patrick Martinez,196,143,53,
Gray,1,"Justice of the Peace, Precinct 1 and  3",,,Over Votes,0,0,0,
Gray,1,"Justice of the Peace, Precinct 1 and  3",,,Under Votes,13,6,7,
Gray,2,Ballots Cast,,,,1216,392,824,
Gray,2,Straight Party,,REP,Republican Party,698,211,487,
Gray,2,Straight Party,,,Over Votes,0,0,0,
Gray,2,Straight Party,,,Under Votes,446,148,298,
Gray,2,Straight Party,,DEM,Democratic Party,69,31,38,
Gray,2,Straight Party,,LIB,Libertarian Party,3,2,1,
Gray,2,U.S. Senate,,REP,Ted Cruz,1067,330,737,
Gray,2,U.S. Senate,,,Over Votes,0,0,0,
Gray,2,U.S. Senate,,,Under Votes,23,10,13,
Gray,2,U.S. Senate,,DEM,Beto O'Rourke,116,46,70,
Gray,2,U.S. Senate,,LIB,Neal M. Dikeman,9,6,3,
Gray,2,U.S. House,13,REP,Mac Thornberry,1073,339,734,
Gray,2,U.S. House,13,,Over Votes,0,0,0,
Gray,2,U.S. House,13,,Under Votes,19,6,13,
Gray,2,U.S. House,13,DEM,Greg Sagan,102,40,62,
Gray,2,U.S. House,13,LIB,Calvin DeWeese,21,7,14,
Gray,2,Governor,,REP,Greg Abbott,1082,340,742,
Gray,2,Governor,,,Over Votes,0,0,0,
Gray,2,Governor,,,Under Votes,15,4,11,
Gray,2,Governor,,DEM,Lupe Valdez,103,42,61,
Gray,2,Governor,,LIB,Mark Jay Tippetts,15,6,9,
Gray,2,Lieutenant Governor,,REP,Dan Patrick,1020,325,695,
Gray,2,Lieutenant Governor,,,Over Votes,0,0,0,
Gray,2,Lieutenant Governor,,,Under Votes,18,3,15,
Gray,2,Lieutenant Governor,,DEM,Mike Collier,150,55,95,
Gray,2,Lieutenant Governor,,LIB,Kerry Douglas McKennon,27,9,18,
Gray,2,Attorney General,,REP,Ken Paxton,1043,332,711,
Gray,2,Attorney General,,,Over Votes,0,0,0,
Gray,2,Attorney General,,,Under Votes,19,5,14,
Gray,2,Attorney General,,DEM,Justin Nelson,127,44,83,
Gray,2,Attorney General,,LIB,Michael Ray Harris,26,11,15,
Gray,2,Comptroller of Public Accounts,,REP,Glenn Hegar,1057,332,725,
Gray,2,Comptroller of Public Accounts,,,Over Votes,0,0,0,
Gray,2,Comptroller of Public Accounts,,,Under Votes,24,5,19,
Gray,2,Comptroller of Public Accounts,,DEM,Joi Chevalier,105,43,62,
Gray,2,Comptroller of Public Accounts,,LIB,Ben Sanders,29,12,17,
Gray,2,Commissioner of the General Land Office,,REP,George P. Bush,1026,330,696,
Gray,2,Commissioner of the General Land Office,,,Over Votes,0,0,0,
Gray,2,Commissioner of the General Land Office,,,Under Votes,24,5,19,
Gray,2,Commissioner of the General Land Office,,DEM,Miguel Suazo,116,40,76,
Gray,2,Commissioner of the General Land Office,,LIB,Matt Piña,49,17,32,
Gray,2,Commissioner of Agriculture,,REP,Sid Miller,1058,332,726,
Gray,2,Commissioner of Agriculture,,,Over Votes,0,0,0,
Gray,2,Commissioner of Agriculture,,,Under Votes,21,5,16,
Gray,2,Commissioner of Agriculture,,DEM,Kim Olson,118,46,72,
Gray,2,Commissioner of Agriculture,,LIB,Richard Carpenter,18,9,9,
Gray,2,Railroad Commissioner,,REP,Christi Craddick,1064,340,724,
Gray,2,Railroad Commissioner,,,Over Votes,0,0,0,
Gray,2,Railroad Commissioner,,,Under Votes,21,5,16,
Gray,2,Railroad Commissioner,,DEM,Roman McAllen,102,37,65,
Gray,2,Railroad Commissioner,,LIB,Mike Wright,28,10,18,
Gray,2,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,1071,336,735,
Gray,2,"Justice, Supreme Court, Place 2",,,Over Votes,0,0,0,
Gray,2,"Justice, Supreme Court, Place 2",,,Under Votes,19,6,13,
Gray,2,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,125,50,75,
Gray,2,"Justice, Supreme Court, Place 4",,REP,John Devine,1077,341,736,
Gray,2,"Justice, Supreme Court, Place 4",,,Over Votes,0,0,0,
Gray,2,"Justice, Supreme Court, Place 4",,,Under Votes,23,5,18,
Gray,2,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,115,46,69,
Gray,2,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,1079,341,738,
Gray,2,"Justice, Supreme Court, Place 6",,,Over Votes,0,0,0,
Gray,2,"Justice, Supreme Court, Place 6",,,Under Votes,21,6,15,
Gray,2,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,115,45,70,
Gray,2,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,1062,335,727,
Gray,2,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0,
Gray,2,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,17,2,15,
Gray,2,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,113,45,68,
