county,precinct,office,district,candidate,party,votes,early_voting,early_voting_paper,election_day_machine,provisional
Williamson,0119,Registered Voters,,,,"3,705",,,,
Williamson,0122,Registered Voters,,,,"2,693",,,,
Williamson,0135,Registered Voters,,,,"3,411",,,,
Williamson,0138,Registered Voters,,,,"4,048",,,,
Williamson,0140,Registered Voters,,,,"1,935",,,,
Williamson,0145,Registered Voters,,,,"3,065",,,,
Williamson,0146,Registered Voters,,,,"5,029",,,,
Williamson,0147,Registered Voters,,,,"3,495",,,,
Williamson,0149,Registered Voters,,,,"2,358",,,,
Williamson,0150,Registered Voters,,,,"2,716",,,,
Williamson,0151,Registered Voters,,,,"2,612",,,,
Williamson,0152,Registered Voters,,,,"2,867",,,,
Williamson,0160,Registered Voters,,,,"4,582",,,,
Williamson,0162,Registered Voters,,,,"2,914",,,,
Williamson,0172,Registered Voters,,,,"2,178",,,,
Williamson,0182,Registered Voters,,,,"3,907",,,,
Williamson,0185,Registered Voters,,,,"1,624",,,,
Williamson,0186,Registered Voters,,,,"2,689",,,,
Williamson,0189,Registered Voters,,,,"2,827",,,,
Williamson,0190,Registered Voters,,,,"4,754",,,,
Williamson,0197,Registered Voters,,,,"2,665",,,,
Williamson,0198,Registered Voters,,,,"3,989",,,,
Williamson,0201,Registered Voters,,,,"5,288",,,,
Williamson,0202,Registered Voters,,,,"1,507",,,,
Williamson,0204,Registered Voters,,,,"4,942",,,,
Williamson,0206,Registered Voters,,,,"3,108",,,,
Williamson,0207,Registered Voters,,,,"5,029",,,,
Williamson,0216,Registered Voters,,,,"2,463",,,,
Williamson,0218,Registered Voters,,,,"3,147",,,,
Williamson,0253,Registered Voters,,,,"4,569",,,,
Williamson,0254,Registered Voters,,,,"3,493",,,,
Williamson,0259,Registered Voters,,,,"3,885",,,,
Williamson,0263,Registered Voters,,,,"4,007",,,,
Williamson,0264,Registered Voters,,,,"4,547",,,,
Williamson,0266,Registered Voters,,,,"4,142",,,,
Williamson,0267,Registered Voters,,,,"3,288",,,,
Williamson,0273,Registered Voters,,,,"2,947",,,,
Williamson,0274,Registered Voters,,,,"5,190",,,,
Williamson,0275,Registered Voters,,,,"3,023",,,,
Williamson,0277,Registered Voters,,,,"5,125",,,,
Williamson,0278,Registered Voters,,,,"4,939",,,,
Williamson,0283,Registered Voters,,,,"4,837",,,,
Williamson,0287,Registered Voters,,,,"4,897",,,,
Williamson,0305,Registered Voters,,,,"2,880",,,,
Williamson,0309,Registered Voters,,,,"1,389",,,,
Williamson,0310,Registered Voters,,,,"1,765",,,,
Williamson,0311,Registered Voters,,,,"1,984",,,,
Williamson,0312,Registered Voters,,,,"4,235",,,,
Williamson,0314,Registered Voters,,,,"3,214",,,,
Williamson,0330,Registered Voters,,,,"4,086",,,,
Williamson,0331,Registered Voters,,,,"3,580",,,,
Williamson,0332,Registered Voters,,,,"3,773",,,,
Williamson,0333,Registered Voters,,,,"3,724",,,,
Williamson,0337,Registered Voters,,,,"4,641",,,,
Williamson,0339,Registered Voters,,,,"2,823",,,,
Williamson,0341,Registered Voters,,,,"2,043",,,,
Williamson,0342,Registered Voters,,,,"1,162",,,,
Williamson,0343,Registered Voters,,,,"3,512",,,,
Williamson,0344,Registered Voters,,,,"3,158",,,,
Williamson,0345,Registered Voters,,,,"2,144",,,,
Williamson,0368,Registered Voters,,,,"3,251",,,,
Williamson,0369,Registered Voters,,,,"4,001",,,,
Williamson,0370,Registered Voters,,,,"4,799",,,,
Williamson,0371,Registered Voters,,,,"2,481",,,,
Williamson,0379,Registered Voters,,,,"4,675",,,,
Williamson,0381,Registered Voters,,,,"3,268",,,,
Williamson,0392,Registered Voters,,,,"4,791",,,,
