candidate,office,district,party,county,precinct,votes,early_voting,election_day,mail,provisional
,Ballots Cast,,,Bosque,Precinct 1,439,159,241,38,1
,Straight Party,,REP,Bosque,Precinct 1,226,96,103,26,1
,Straight Party,,DEM,Bosque,Precinct 1,32,5,24,3,0
,Straight Party,,LIB,Bosque,Precinct 1,0,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Bosque,Precinct 1,367,136,195,35,1
Beto O'Rourke,U.S. Senate,,DEM,Bosque,Precinct 1,64,21,40,3,0
Neal M Dikeman,U.S. Senate,,LIB,Bosque,Precinct 1,3,2,1,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 1,366,135,196,34,1
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 1,63,21,39,3,0
Desarae Lindsey,U.S. House,25,REP,Bosque,Precinct 1,3,1,2,0,0
Greg Abbott,Governor ,,REP,Bosque,Precinct 1,376,138,202,35,1
Lupe Valdez,Governor ,,DEM,Bosque,Precinct 1,55,18,34,3,0
Mark Jay Tippetts,Governor ,,LIB,Bosque,Precinct 1,4,2,2,0,0
Dan Patrick,Lieutenant Governor,,REP,Bosque,Precinct 1,350,133,181,35,1
Mike Collier,Lieutenant Governor,,DEM,Bosque,Precinct 1,77,24,50,3,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Bosque,Precinct 1,9,2,7,0,0
Ken Paxton,Attorney General ,,REP,Bosque,Precinct 1,359,132,191,35,1
Justin Nelson,Attorney General ,,DEM,Bosque,Precinct 1,65,20,42,3,0
Michael Ray Harris,Attorney General ,,LIB,Bosque,Precinct 1,9,5,4,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Bosque,Precinct 1,366,139,192,34,1
Joi Chevalier,Comptroller of Public Accounts,,DEM,Bosque,Precinct 1,53,13,37,3,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Bosque,Precinct 1,9,4,5,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Bosque,Precinct 1,360,132,194,33,1
Miguel Suazo,Commissioner of the General Land Office,,DEM,Bosque,Precinct 1,54,19,31,4,0
Matt Pina,Commissioner of the General Land Office,,LIB,Bosque,Precinct 1,18,6,12,0,0
Christi Craddick,Railroad Commissioner,,REP,Bosque,Precinct 1,370,139,195,35,1
Roman McAllen,Railroad Commissioner,,DEM,Bosque,Precinct 1,51,14,34,3,0
Mike Wright,Railroad Commissioner,,LIB,Bosque,Precinct 1,11,4,7,0,0
DeWayne Burns,State Representative ,58,REP,Bosque,Precinct 1,381,145,202,33,1
,Ballots Cast,,,Bosque,Precinct 2,477,175,260,42,0
,Straight Party,,REP,Bosque,Precinct 2,155,55,79,21,0
,Straight Party,,DEM,Bosque,Precinct 2,47,12,27,8,0
,Straight Party,,LIB,Bosque,Precinct 2,1,1,0,0,0
Ted Cruz,U.S. Senate,,REP,Bosque,Precinct 2,362,133,197,32,0
Beto O'Rourke,U.S. Senate,,DEM,Bosque,Precinct 2,102,37,56,9,0
Neal M Dikeman,U.S. Senate,,LIB,Bosque,Precinct 2,4,1,3,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 2,351,133,186,32,0
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 2,98,33,56,9,0
Desarae Lindsey,U.S. House,25,REP,Bosque,Precinct 2,7,4,3,0,0
Greg Abbott,Governor ,,REP,Bosque,Precinct 2,374,135,206,33,0
Lupe Valdez,Governor ,,DEM,Bosque,Precinct 2,81,32,40,9,0
Mark Jay Tippetts,Governor ,,LIB,Bosque,Precinct 2,8,3,5,0,0
Dan Patrick,Lieutenant Governor,,REP,Bosque,Precinct 2,349,125,191,33,0
Mike Collier,Lieutenant Governor,,DEM,Bosque,Precinct 2,101,38,54,9,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Bosque,Precinct 2,8,5,3,0,0
Ken Paxton,Attorney General ,,REP,Bosque,Precinct 2,341,126,184,31,0
Justin Nelson,Attorney General ,,DEM,Bosque,Precinct 2,104,37,58,9,0
Michael Ray Harris,Attorney General ,,LIB,Bosque,Precinct 2,14,5,8,1,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Bosque,Precinct 2,346,130,185,31,0
Joi Chevalier,Comptroller of Public Accounts,,DEM,Bosque,Precinct 2,92,32,51,9,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Bosque,Precinct 2,12,4,8,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Bosque,Precinct 2,343,126,185,32,0
Miguel Suazo,Commissioner of the General Land Office,,DEM,Bosque,Precinct 2,95,36,50,9,0
Matt Pina,Commissioner of the General Land Office,,LIB,Bosque,Precinct 2,14,5,9,0,0
Christi Craddick,Railroad Commissioner,,REP,Bosque,Precinct 2,348,129,187,32,0
Roman McAllen,Railroad Commissioner,,DEM,Bosque,Precinct 2,90,31,50,9,0
Mike Wright,Railroad Commissioner,,LIB,Bosque,Precinct 2,15,8,7,0,0
DeWayne Burns,State Representative ,58,REP,Bosque,Precinct 2,377,138,207,32,0
,Ballots Cast,,,Bosque,Precinct 3,647,434,178,35,0
,Straight Party,,REP,Bosque,Precinct 3,256,173,69,14,0
,Straight Party,,DEM,Bosque,Precinct 3,33,20,12,1,0
,Straight Party,,LIB,Bosque,Precinct 3,2,0,2,0,0
Ted Cruz,U.S. Senate,,REP,Bosque,Precinct 3,518,357,137,24,0
Beto O'Rourke,U.S. Senate,,DEM,Bosque,Precinct 3,113,67,36,10,0
Neal M Dikeman,U.S. Senate,,LIB,Bosque,Precinct 3,5,3,2,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 3,501,350,127,24,0
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 3,106,59,38,9,0
Desarae Lindsey,U.S. House,25,REP,Bosque,Precinct 3,13,9,3,1,0
Greg Abbott,Governor ,,REP,Bosque,Precinct 3,534,366,141,27,0
Lupe Valdez,Governor ,,DEM,Bosque,Precinct 3,93,59,27,7,0
Mark Jay Tippetts,Governor ,,LIB,Bosque,Precinct 3,7,2,5,0,0
Dan Patrick,Lieutenant Governor,,REP,Bosque,Precinct 3,497,341,130,26,0
Mike Collier,Lieutenant Governor,,DEM,Bosque,Precinct 3,119,74,37,8,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Bosque,Precinct 3,11,8,3,0,0
Ken Paxton,Attorney General ,,REP,Bosque,Precinct 3,488,335,128,25,0
Justin Nelson,Attorney General ,,DEM,Bosque,Precinct 3,117,72,37,8,0
Michael Ray Harris,Attorney General ,,LIB,Bosque,Precinct 3,18,11,6,1,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Bosque,Precinct 3,495,344,127,24,0
Joi Chevalier,Comptroller of Public Accounts,,DEM,Bosque,Precinct 3,98,56,32,10,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Bosque,Precinct 3,18,11,7,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Bosque,Precinct 3,506,347,132,27,0
Miguel Suazo,Commissioner of the General Land Office,,DEM,Bosque,Precinct 3,89,54,28,7,0
Matt Pina,Commissioner of the General Land Office,,LIB,Bosque,Precinct 3,26,17,9,0,0
Christi Craddick,Railroad Commissioner,,REP,Bosque,Precinct 3,498,342,132,24,0
Roman McAllen,Railroad Commissioner,,DEM,Bosque,Precinct 3,88,51,27,10,0
Mike Wright,Railroad Commissioner,,LIB,Bosque,Precinct 3,26,16,10,0,0
DeWayne Burns,State Representative ,58,REP,Bosque,Precinct 3,532,357,150,25,0
,Ballots Cast,,,Bosque,Precinct 4,311,197,92,21,1
,Straight Party,,REP,Bosque,Precinct 4,161,104,46,10,1
,Straight Party,,DEM,Bosque,Precinct 4,15,9,4,2,0
