county,precinct,office,district,party,candidate,votes,election_day,early_voting,provisional
Mitchell,1,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1127,0,0,0
Mitchell,2,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,302,0,0,0
Mitchell,25,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,763,0,0,0
Mitchell,3,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1119,0,0,0
Mitchell,4,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,717,0,0,0
Mitchell,46,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,462,0,0,0
Mitchell,1,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,261,121,140,0
Mitchell,2,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,76,59,17,0
Mitchell,25,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,94,39,55,0
Mitchell,3,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,200,122,78,0
Mitchell,4,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,260,183,77,0
Mitchell,46,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,145,82,63,0
Mitchell,1,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,246,115,131,0
Mitchell,2,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,74,58,16,0
Mitchell,25,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,83,32,51,0
Mitchell,3,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,177,109,68,0
Mitchell,4,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,230,160,70,0
Mitchell,46,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,135,74,61,0
Mitchell,1,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,15,6,9,0
Mitchell,2,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,2,1,1,0
Mitchell,25,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,11,7,4,0
Mitchell,3,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,23,13,10,0
Mitchell,4,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,30,23,7,0
Mitchell,46,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,10,8,2,0
Mitchell,1,U.S. Senate,,REP,Ted Cruz,201,95,106,0
Mitchell,2,U.S. Senate,,REP,Ted Cruz,72,58,14,0
Mitchell,25,U.S. Senate,,REP,Ted Cruz,64,29,35,0
Mitchell,3,U.S. Senate,,REP,Ted Cruz,150,97,53,0
Mitchell,4,U.S. Senate,,REP,Ted Cruz,176,123,53,0
Mitchell,46,U.S. Senate,,REP,Ted Cruz,120,67,53,0
Mitchell,1,U.S. Senate,,REP,Geraldine Sam,6,3,3,0
Mitchell,2,U.S. Senate,,REP,Geraldine Sam,0,0,0,0
Mitchell,25,U.S. Senate,,REP,Geraldine Sam,2,0,2,0
Mitchell,3,U.S. Senate,,REP,Geraldine Sam,3,2,1,0
Mitchell,4,U.S. Senate,,REP,Geraldine Sam,6,6,0,0
Mitchell,46,U.S. Senate,,REP,Geraldine Sam,3,2,1,0
Mitchell,1,U.S. Senate,,REP,"Bruce Jacobson, Jr.",8,3,5,0
Mitchell,2,U.S. Senate,,REP,"Bruce Jacobson, Jr.",2,0,2,0
Mitchell,25,U.S. Senate,,REP,"Bruce Jacobson, Jr.",3,0,3,0
Mitchell,3,U.S. Senate,,REP,"Bruce Jacobson, Jr.",5,1,4,0
Mitchell,4,U.S. Senate,,REP,"Bruce Jacobson, Jr.",7,4,3,0
Mitchell,46,U.S. Senate,,REP,"Bruce Jacobson, Jr.",2,0,2,0
Mitchell,1,U.S. Senate,,REP,Mary Miller,13,6,7,0
Mitchell,2,U.S. Senate,,REP,Mary Miller,0,0,0,0
