county,precinct,precinct_name,office,district,party,candidate,votes,election_day,early_voting
Live Oak,1,Argenta,Lieutenant Governor,,DEM,Michael  Cooper,4,2,2
Live Oak,1,Argenta,Lieutenant Governor,,DEM,Michael Edward Collier,4,3,1
Live Oak,10,West Three Rivers,Lieutenant Governor,,DEM,Michael  Cooper,4,3,1
Live Oak,10,West Three Rivers,Lieutenant Governor,,DEM,Michael Edward Collier,5,4,1
Live Oak,11,Simmons,Lieutenant Governor,,DEM,Michael  Cooper,0,0,0
Live Oak,11,Simmons,Lieutenant Governor,,DEM,Michael Edward Collier,0,0,0
Live Oak,5,Oakville,Lieutenant Governor,,DEM,Michael  Cooper,1,1,0
Live Oak,5,Oakville,Lieutenant Governor,,DEM,Michael Edward Collier,7,2,5
Live Oak,6,Ray Point,Lieutenant Governor,,DEM,Michael  Cooper,3,1,2
Live Oak,6,Ray Point,Lieutenant Governor,,DEM,Michael Edward Collier,2,1,1
Live Oak,7,Nell,Lieutenant Governor,,DEM,Michael  Cooper,0,0,0
Live Oak,7,Nell,Lieutenant Governor,,DEM,Michael Edward Collier,1,1,0
Live Oak,Pct. 12,Anna Rose,Lieutenant Governor,,DEM,Michael  Cooper,0,0,0
Live Oak,Pct. 12,Anna Rose,Lieutenant Governor,,DEM,Michael Edward Collier,0,0,0
Live Oak,Pct. 13,Swinney Switch,Lieutenant Governor,,DEM,Michael  Cooper,2,1,1
Live Oak,Pct. 13,Swinney Switch,Lieutenant Governor,,DEM,Michael Edward Collier,5,5,0
Live Oak,Pct. 14,Southwest Geo.West,Lieutenant Governor,,DEM,Michael  Cooper,8,4,4
Live Oak,Pct. 14,Southwest Geo.West,Lieutenant Governor,,DEM,Michael Edward Collier,9,3,6
Live Oak,Pct. 2,Lagarto,Lieutenant Governor,,DEM,Michael  Cooper,11,8,3
Live Oak,Pct. 2,Lagarto,Lieutenant Governor,,DEM,Michael Edward Collier,19,12,7
Live Oak,Pct. 3,East Geo. West,Lieutenant Governor,,DEM,Michael  Cooper,24,14,10
Live Oak,Pct. 3,East Geo. West,Lieutenant Governor,,DEM,Michael Edward Collier,14,10,4
Live Oak,Pct. 4,West Geo. West,Lieutenant Governor,,DEM,Michael  Cooper,8,6,2
