county,office,district,candidate,party,precinct,precinct_name,early_voting,election_day,votes
Camp,Lieutenant Governor,,Dan Patrick,REP,1001,Fire Station,52,77,129
Camp,Lieutenant Governor,,Scott Milder,REP,1001,Fire Station,89,75,164
Camp,Lieutenant Governor,,Dan Patrick,REP,2002,High School Auditorium,157,93,250
Camp,Lieutenant Governor,,Scott Milder,REP,2002,High School Auditorium,74,70,144
Camp,Lieutenant Governor,,Dan Patrick,REP,3003,Courthouse Basement,41,42,83
Camp,Lieutenant Governor,,Scott Milder,REP,3003,Courthouse Basement,38,18,56
Camp,Lieutenant Governor,,Dan Patrick,REP,4004,Courthouse First Floor,60,72,132
Camp,Lieutenant Governor,,Scott Milder,REP,4004,Courthouse First Floor,109,67,176
Camp,Comptroller of Public Accounts,,Glenn Hegar,REP,1001,Fire Station,101,112,213
Camp,Comptroller of Public Accounts,,Glenn Hegar,REP,2002,High School Auditorium,170,120,290
Camp,Comptroller of Public Accounts,,Glenn Hegar,REP,3003,Courthouse Basement,64,40,104
Camp,Comptroller of Public Accounts,,Glenn Hegar,REP,4004,Courthouse First Floor,124,104,228
Camp,Governor,,Barbara Krueger,REP,1001,Fire Station,14,10,24
Camp,Governor,,Gregory Abbott,REP,1001,Fire Station,109,140,249
Camp,Governor,,Larry Kilgore,REP,1001,Fire Station,0,1,1
Camp,Governor,,Barbara Krueger,REP,2002,High School Auditorium,15,6,21
Camp,Governor,,Gregory Abbott,REP,2002,High School Auditorium,203,153,356
Camp,Governor,,Larry Kilgore,REP,2002,High School Auditorium,2,0,2
Camp,Governor,,Barbara Krueger,REP,3003,Courthouse Basement,6,3,9
Camp,Governor,,Gregory Abbott,REP,3003,Courthouse Basement,69,56,125
Camp,Governor,,Larry Kilgore,REP,3003,Courthouse Basement,0,0,0
Camp,Governor,,Barbara Krueger,REP,4004,Courthouse First Floor,18,11,29
Camp,Governor,,Gregory Abbott,REP,4004,Courthouse First Floor,127,122,249
Camp,Governor,,Larry Kilgore,REP,4004,Courthouse First Floor,2,1,3
Camp,Attorney General,,Warren Paxton,REP,1001,Fire Station,104,121,225
Camp,Attorney General,,Warren Paxton,REP,2002,High School Auditorium,182,130,312
Camp,Attorney General,,Warren Paxton,REP,3003,Courthouse Basement,66,47,113
Camp,Attorney General,,Warren Paxton,REP,4004,Courthouse First Floor,126,107,233
Camp,Commissioner of Agriculture,,Jimmie Hogan,REP,1001,Fire Station,28,20,48
Camp,Commissioner of Agriculture,,Sidney Miller,REP,1001,Fire Station,72,89,161
Camp,Commissioner of Agriculture,,Trey Blocker,REP,1001,Fire Station,13,16,29
Camp,Commissioner of Agriculture,,Jimmie Hogan,REP,2002,High School Auditorium,50,35,85
Camp,Commissioner of Agriculture,,Sidney Miller,REP,2002,High School Auditorium,107,76,183
Camp,Commissioner of Agriculture,,Trey Blocker,REP,2002,High School Auditorium,33,15,48
Camp,Commissioner of Agriculture,,Jimmie Hogan,REP,3003,Courthouse Basement,14,13,27
Camp,Commissioner of Agriculture,,Sidney Miller,REP,3003,Courthouse Basement,45,40,85
Camp,Commissioner of Agriculture,,Trey Blocker,REP,3003,Courthouse Basement,9,2,11
Camp,Commissioner of Agriculture,,Jimmie Hogan,REP,4004,Courthouse First Floor,21,32,53
Camp,Commissioner of Agriculture,,Sidney Miller,REP,4004,Courthouse First Floor,96,78,174
Camp,Commissioner of Agriculture,,Trey Blocker,REP,4004,Courthouse First Floor,22,11,33
Camp,U.S. Senate,,Bruce Jacobson,REP,1001,Fire Station,4,2,6
Camp,U.S. Senate,,Geraldine Sam,REP,1001,Fire Station,0,2,2
Camp,U.S. Senate,,Mary Miller,REP,1001,Fire Station,8,12,20
Camp,U.S. Senate,,Rafael  Cruz,REP,1001,Fire Station,113,136,249
Camp,U.S. Senate,,Stefano de Stefano IV,REP,1001,Fire Station,2,1,3
Camp,U.S. Senate,,Bruce Jacobson,REP,2002,High School Auditorium,8,1,9
Camp,U.S. Senate,,Geraldine Sam,REP,2002,High School Auditorium,3,0,3
Camp,U.S. Senate,,Mary Miller,REP,2002,High School Auditorium,16,11,27
Camp,U.S. Senate,,Rafael  Cruz,REP,2002,High School Auditorium,190,150,340
Camp,U.S. Senate,,Stefano de Stefano IV,REP,2002,High School Auditorium,3,3,6
Camp,U.S. Senate,,Bruce Jacobson,REP,3003,Courthouse Basement,1,1,2
Camp,U.S. Senate,,Geraldine Sam,REP,3003,Courthouse Basement,1,0,1
Camp,U.S. Senate,,Mary Miller,REP,3003,Courthouse Basement,4,1,5
Camp,U.S. Senate,,Rafael  Cruz,REP,3003,Courthouse Basement,71,56,127
Camp,U.S. Senate,,Stefano de Stefano IV,REP,3003,Courthouse Basement,1,0,1
Camp,U.S. Senate,,Bruce Jacobson,REP,4004,Courthouse First Floor,3,4,7
Camp,U.S. Senate,,Geraldine Sam,REP,4004,Courthouse First Floor,2,3,5
Camp,U.S. Senate,,Mary Miller,REP,4004,Courthouse First Floor,17,13,30
