county,precinct,office,party,candidate,votes,election_day,early_voting
Hardeman,1,Governor,DEM,Adrian Ocegueda,1,0,1
Hardeman,1,Governor,DEM,"Cedric Wayne Davis, Sr.",0,0,0
Hardeman,1,Governor,DEM,Grady Yarbrough,2,1,1
Hardeman,1,Governor,DEM,Guadalupe Valdez,3,3,0
Hardeman,1,Governor,DEM,James Jolly Clark,1,0,1
Hardeman,1,Governor,DEM,Jeffrey Alan Payne,0,0,0
Hardeman,1,Governor,DEM,Joseph William Mumbach,0,0,0
Hardeman,1,Governor,DEM,Robert Andrew  White,2,1,1
Hardeman,1,Governor,DEM,Thomas John Wakely,0,0,0
Hardeman,2,Governor,DEM,Adrian Ocegueda,0,0,0
Hardeman,2,Governor,DEM,"Cedric Wayne Davis, Sr.",0,0,0
Hardeman,2,Governor,DEM,Grady Yarbrough,5,0,5
Hardeman,2,Governor,DEM,Guadalupe Valdez,1,0,1
Hardeman,2,Governor,DEM,James Jolly Clark,0,0,0
Hardeman,2,Governor,DEM,Jeffrey Alan Payne,0,0,0
Hardeman,2,Governor,DEM,Joseph William Mumbach,0,0,0
Hardeman,2,Governor,DEM,Robert Andrew  White,4,0,4
Hardeman,2,Governor,DEM,Thomas John Wakely,2,0,2
Hardeman,3,Governor,DEM,Adrian Ocegueda,0,0,0
Hardeman,3,Governor,DEM,"Cedric Wayne Davis, Sr.",0,0,0
Hardeman,3,Governor,DEM,Grady Yarbrough,3,2,1
Hardeman,3,Governor,DEM,Guadalupe Valdez,1,1,0
Hardeman,3,Governor,DEM,James Jolly Clark,1,0,1
Hardeman,3,Governor,DEM,Jeffrey Alan Payne,0,0,0
Hardeman,3,Governor,DEM,Joseph William Mumbach,2,1,1
Hardeman,3,Governor,DEM,Robert Andrew  White,6,4,2
Hardeman,3,Governor,DEM,Thomas John Wakely,0,0,0
Hardeman,4,Governor,DEM,Adrian Ocegueda,0,0,0
Hardeman,4,Governor,DEM,"Cedric Wayne Davis, Sr.",2,2,0
Hardeman,4,Governor,DEM,Grady Yarbrough,2,1,1
Hardeman,4,Governor,DEM,Guadalupe Valdez,2,2,0
Hardeman,4,Governor,DEM,James Jolly Clark,2,2,0
Hardeman,4,Governor,DEM,Jeffrey Alan Payne,0,0,0
Hardeman,4,Governor,DEM,Joseph William Mumbach,2,2,0
Hardeman,4,Governor,DEM,Robert Andrew  White,7,5,2
Hardeman,4,Governor,DEM,Thomas John Wakely,0,0,0
Hardeman,1,Commissioner of Agriculture,DEM,Kimberly Dawn Olson,9,5,4
Hardeman,2,Commissioner of Agriculture,DEM,Kimberly Dawn Olson,10,0,10
Hardeman,3,Commissioner of Agriculture,DEM,Kimberly Dawn Olson,13,7,6
Hardeman,4,Commissioner of Agriculture,DEM,Kimberly Dawn Olson,16,13,3
Hardeman,1,Comptroller of Public Accounts,DEM,Joi Lynne Chevalier,2,2,0
Hardeman,1,Comptroller of Public Accounts,DEM,Timothy Raymond Mahoney,7,3,4
Hardeman,2,Comptroller of Public Accounts,DEM,Joi Lynne Chevalier,3,0,3
Hardeman,2,Comptroller of Public Accounts,DEM,Timothy Raymond Mahoney,8,0,8
Hardeman,3,Comptroller of Public Accounts,DEM,Joi Lynne Chevalier,4,2,2
Hardeman,3,Comptroller of Public Accounts,DEM,Timothy Raymond Mahoney,10,6,4
Hardeman,4,Comptroller of Public Accounts,DEM,Joi Lynne Chevalier,6,3,3
Hardeman,4,Comptroller of Public Accounts,DEM,Timothy Raymond Mahoney,15,12,3
Hardeman,1,Railroad Commissioner,DEM,Christopher Cornell Spellmon,4,3,1
Hardeman,1,Railroad Commissioner,DEM,Roman James Alfred McAllen,4,1,3
Hardeman,2,Railroad Commissioner,DEM,Christopher Cornell Spellmon,5,0,5
Hardeman,2,Railroad Commissioner,DEM,Roman James Alfred McAllen,6,0,6
Hardeman,3,Railroad Commissioner,DEM,Christopher Cornell Spellmon,8,4,4
Hardeman,3,Railroad Commissioner,DEM,Roman James Alfred McAllen,6,4,2
Hardeman,4,Railroad Commissioner,DEM,Christopher Cornell Spellmon,13,10,3
Hardeman,4,Railroad Commissioner,DEM,Roman James Alfred McAllen,6,4,2
Hardeman,1,Commissioner of the General Land Office,DEM,Carl Allen Morgan,4,1,3
Hardeman,1,Commissioner of the General Land Office,DEM,Miguel Andrs Suazo,5,4,1
Hardeman,2,Commissioner of the General Land Office,DEM,Carl Allen Morgan,4,0,4
Hardeman,2,Commissioner of the General Land Office,DEM,Miguel Andrs Suazo,7,0,7
Hardeman,3,Commissioner of the General Land Office,DEM,Carl Allen Morgan,9,6,3
Hardeman,3,Commissioner of the General Land Office,DEM,Miguel Andrs Suazo,5,2,3
Hardeman,4,Commissioner of the General Land Office,DEM,Carl Allen Morgan,14,9,5
Hardeman,4,Commissioner of the General Land Office,DEM,Miguel Andrs Suazo,3,3,0
Hardeman,1,Attorney General,DEM,Justin Adatto  Nelson,9,5,4
Hardeman,2,Attorney General,DEM,Justin Adatto  Nelson,10,0,10
Hardeman,3,Attorney General,DEM,Justin Adatto  Nelson,13,7,6
Hardeman,4,Attorney General,DEM,Justin Adatto  Nelson,19,13,6
Hardeman,1,Lieutenant Governor,DEM,Michael  Cooper,2,1,1
Hardeman,1,Lieutenant Governor,DEM,Michael Edward Collier,6,4,2
Hardeman,2,Lieutenant Governor,DEM,Michael  Cooper,6,0,6
Hardeman,2,Lieutenant Governor,DEM,Michael Edward Collier,7,0,7
Hardeman,3,Lieutenant Governor,DEM,Michael  Cooper,8,4,4
