county,office,district,candidate,party,precinct,precinct_name,votes
Parmer,Attorney General,,Justin  Nelson,DEM,101,Friona Calvary Baptist Ch,120
Parmer,Attorney General,,Ken  Paxton,REP,101,Friona Calvary Baptist Ch,491
Parmer,Attorney General,,Michael Ray Harris,LIB,101,Friona Calvary Baptist Ch,11
Parmer,Attorney General,,Justin  Nelson,DEM,110,Early Vote,89
Parmer,Attorney General,,Ken  Paxton,REP,110,Early Vote,656
Parmer,Attorney General,,Michael Ray Harris,LIB,110,Early Vote,7
Parmer,Attorney General,,Justin  Nelson,DEM,201,Bovina EMS,109
Parmer,Attorney General,,Ken  Paxton,REP,201,Bovina EMS,153
Parmer,Attorney General,,Michael Ray Harris,LIB,201,Bovina EMS,7
Parmer,Attorney General,,Justin  Nelson,DEM,202,Friona Community Center,7
Parmer,Attorney General,,Ken  Paxton,REP,202,Friona Community Center,121
Parmer,Attorney General,,Michael Ray Harris,LIB,202,Friona Community Center,0
Parmer,Attorney General,,Justin  Nelson,DEM,203,Rhea,1
Parmer,Attorney General,,Ken  Paxton,REP,203,Rhea,42
Parmer,Attorney General,,Michael Ray Harris,LIB,203,Rhea,1
Parmer,Attorney General,,Justin  Nelson,DEM,301,Farwell,73
Parmer,Attorney General,,Ken  Paxton,REP,301,Farwell,417
Parmer,Attorney General,,Michael Ray Harris,LIB,301,Farwell,6
Parmer,Attorney General,,Justin  Nelson,DEM,302,Oklahoma Lane,6
Parmer,Attorney General,,Ken  Paxton,REP,302,Oklahoma Lane,126
Parmer,Attorney General,,Michael Ray Harris,LIB,302,Oklahoma Lane,1
Parmer,Attorney General,,Justin  Nelson,DEM,303,Bovina Ridgelea,4
Parmer,Attorney General,,Ken  Paxton,REP,303,Bovina Ridgelea,31
Parmer,Attorney General,,Michael Ray Harris,LIB,303,Bovina Ridgelea,0
Parmer,Attorney General,,Justin  Nelson,DEM,401,Lazbuddie,19
Parmer,Attorney General,,Ken  Paxton,REP,401,Lazbuddie,147
Parmer,Attorney General,,Michael Ray Harris,LIB,401,Lazbuddie,3
Parmer,Attorney General,,Justin  Nelson,DEM,402,Friona Library,52
Parmer,Attorney General,,Ken  Paxton,REP,402,Friona Library,81
Parmer,Attorney General,,Michael Ray Harris,LIB,402,Friona Library,4
Parmer,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri)  Jackson,DEM,101,Friona Calvary Baptist Ch,101
Parmer,"Presiding Judge, Court of Criminal Appeals",,Sharon  Keller,REP,101,Friona Calvary Baptist Ch,507
Parmer,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,101,Friona Calvary Baptist Ch,9
Parmer,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri)  Jackson,DEM,110,Early Vote,70
Parmer,"Presiding Judge, Court of Criminal Appeals",,Sharon  Keller,REP,110,Early Vote,666
