county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes
Potter,225,"County Commissioner, Precinct No. 2",,DEM,Mercy Murguia,5,27,13,45
Potter,225,"Justice of the Peace, Precinct No. 2",,DEM,Claudia Griego,4,28,14,46
Potter,225,County Chairman,,DEM,Steve Land,3,17,5,25
Potter,225,County Chairman,,DEM,Gentry Powell,2,9,8,19
Potter,225,Proposition #1 Right to a 21st Century Public Education,,DEM,FOR,5,27,13,45
Potter,225,Proposition #1 Right to a 21st Century Public Education,,DEM,AGAINST,0,1,0,1
Potter,225,Proposition #2 Student Loan Debt,,DEM,FOR,5,28,13,46
Potter,225,Proposition #2 Student Loan Debt,,DEM,AGAINST,0,1,1,2
Potter,225,Proposition #3 Right to Healthcare,,DEM,FOR,4,28,13,45
Potter,225,Proposition #3 Right to Healthcare,,DEM,AGAINST,1,1,1,3
Potter,225,Proposition #4 Right to Economic Security,,DEM,FOR,5,29,14,48
Potter,225,Proposition #4 Right to Economic Security,,DEM,AGAINST,0,0,1,1
Potter,225,Proposition #5 National Job Program,,DEM,FOR,4,26,11,41
Potter,225,Proposition #5 National Job Program,,DEM,AGAINST,1,2,4,7
Potter,225,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment",,DEM,FOR,5,28,15,48
Potter,225,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment",,DEM,AGAINST,0,0,0,0
Potter,225,Proposition #7 Right to Dignity & Respect,,DEM,FOR,5,28,14,47
Potter,225,Proposition #7 Right to Dignity & Respect,,DEM,AGAINST,0,0,1,1
Potter,225,Proposition #8 Right to Housing,,DEM,FOR,5,28,13,46
Potter,225,Proposition #8 Right to Housing,,DEM,AGAINST,0,0,2,2
Potter,225,Proposition #9 Right to Vote,,DEM,FOR,4,25,14,43
Potter,225,Proposition #9 Right to Vote,,DEM,AGAINST,1,3,1,5
Potter,225,Proposition #10 Right to a Fair Criminal Justice System,,DEM,FOR,5,27,13,45
Potter,225,Proposition #10 Right to a Fair Criminal Justice System,,DEM,AGAINST,0,1,1,2
Potter,225,Proposition #11 Immigrant Rights,,DEM,FOR,5,27,14,46
Potter,225,Proposition #11 Immigrant Rights,,DEM,AGAINST,0,1,1,2
Potter,225,Proposition #12 Right to Fair Taxation,,DEM,FOR,5,25,14,44
Potter,225,Proposition #12 Right to Fair Taxation,,DEM,AGAINST,0,2,1,3
Potter,321,U.S. Senate,,DEM,Beto O'Rourke,4,13,5,22
Potter,321,U.S. Senate,,DEM,Sema Hernandez,1,6,2,9
Potter,321,U.S. Senate,,DEM,Edward Kimbrough,6,1,2,9
Potter,321,U.S. House,13,DEM,Greg Sagan,10,20,9,39
Potter,321,Governor,,DEM,Joe Mumbach,1,1,0,2
Potter,321,Governor,,DEM,James Jolly Clark,0,2,1,3
Potter,321,Governor,,DEM,Andrew White,3,8,1,12
Potter,321,Governor,,DEM,Lupe Valdez,2,7,3,12
Potter,321,Governor,,DEM,Grady Yarbrough,1,0,1,2
Potter,321,Governor,,DEM,Tom Wakely,0,0,1,1
Potter,321,Governor,,DEM,Jeffrey Payne,1,0,0,1
Potter,321,Governor,,DEM,Adrian Ocegueda,0,0,0,0
Potter,321,Governor,,DEM,"Cedric Davis, Sr.",3,2,1,6
Potter,321,Lieutenant Governor,,DEM,Mike Collier,7,13,5,25
Potter,321,Lieutenant Governor,,DEM,Michael Cooper,4,6,3,13
Potter,321,Attorney General,,DEM,Justin Nelson,10,18,9,37
Potter,321,Comptroller of Public Accounts,,DEM,Tim Mahoney,3,9,4,16
Potter,321,Comptroller of Public Accounts,,DEM,Joi Chevalier,8,10,4,22
Potter,321,Commissioner of the General Land Office,,DEM,Tex Morgan,6,6,4,16
Potter,321,Commissioner of the General Land Office,,DEM,Miguel Suazo,5,11,4,20
Potter,321,Commissioner of Agriculture,,DEM,Kim Olson,10,19,9,38
Potter,321,Railroad Commissioner,,DEM,Roman McAllen,7,9,6,22
Potter,321,Railroad Commissioner,,DEM,Chris Spellmon,4,9,3,16
Potter,321,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,10,20,9,39
Potter,321,"Justice, Supreme Court, Place 4",,DEM,R. K. Sandill,10,20,9,39
Potter,321,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,10,19,9,38
Potter,321,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,10,20,9,39
Potter,321,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,10,19,9,38
Potter,321,County Chairman,,DEM,Steve Land,6,11,8,25
Potter,321,County Chairman,,DEM,Gentry Powell,4,7,0,11
Potter,321,Proposition #1 Right to a 21st Century Public Education,,DEM,FOR,10,18,7,35
Potter,321,Proposition #1 Right to a 21st Century Public Education,,DEM,AGAINST,1,1,1,3
Potter,321,Proposition #2 Student Loan Debt,,DEM,FOR,7,18,8,33
Potter,321,Proposition #2 Student Loan Debt,,DEM,AGAINST,3,1,1,5
Potter,321,Proposition #3 Right to Healthcare,,DEM,FOR,9,20,9,38
Potter,321,Proposition #3 Right to Healthcare,,DEM,AGAINST,1,0,0,1
Potter,321,Proposition #4 Right to Economic Security,,DEM,FOR,9,18,9,36
Potter,321,Proposition #4 Right to Economic Security,,DEM,AGAINST,1,0,0,1
Potter,321,Proposition #5 National Job Program,,DEM,FOR,6,19,9,34
Potter,321,Proposition #5 National Job Program,,DEM,AGAINST,3,0,0,3
Potter,321,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment",,DEM,FOR,10,20,9,39
Potter,321,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment",,DEM,AGAINST,0,0,0,0
Potter,321,Proposition #7 Right to Dignity & Respect,,DEM,FOR,9,20,9,38
Potter,321,Proposition #7 Right to Dignity & Respect,,DEM,AGAINST,0,0,0,0
Potter,321,Proposition #8 Right to Housing,,DEM,FOR,7,17,7,31
Potter,321,Proposition #8 Right to Housing,,DEM,AGAINST,4,1,2,7
Potter,321,Proposition #9 Right to Vote,,DEM,FOR,11,18,8,37
Potter,321,Proposition #9 Right to Vote,,DEM,AGAINST,0,1,1,2
Potter,321,Proposition #10 Right to a Fair Criminal Justice System,,DEM,FOR,9,19,9,37
Potter,321,Proposition #10 Right to a Fair Criminal Justice System,,DEM,AGAINST,2,1,0,3
Potter,321,Proposition #11 Immigrant Rights,,DEM,FOR,10,19,9,38
Potter,321,Proposition #11 Immigrant Rights,,DEM,AGAINST,1,0,0,1
Potter,321,Proposition #12 Right to Fair Taxation,,DEM,FOR,11,19,9,39
Potter,321,Proposition #12 Right to Fair Taxation,,DEM,AGAINST,0,1,0,1
Potter,322,U.S. Senate,,DEM,Beto O'Rourke,0,0,1,1
Potter,322,U.S. Senate,,DEM,Sema Hernandez,0,0,6,6
