county,office,district,party,candidate,incumbent,votes,pct
ANDERSON,U. S. Senator,,REP,Ted Cruz,True,5629,89.22
ANDERSON,U. S. Senator,,REP,Stefano de Stefano,False,84,1.33
ANDERSON,U. S. Senator,,REP,"Bruce Jacobson, Jr.",False,301,4.77
ANDERSON,U. S. Senator,,REP,Mary Miller,False,249,3.95
ANDERSON,U. S. Senator,,REP,Geraldine Sam,False,46,0.73
ANDERSON,U. S. Senator,,,Total,,6309,
ANDERSON,U. S. Representative,5,REP,Danny Campbell,False,201,3.38
ANDERSON,U. S. Representative,5,REP,Sam Deen,False,950,16.00
ANDERSON,U. S. Representative,5,REP,Lance Gooden,False,1576,26.54
ANDERSON,U. S. Representative,5,REP,Charles Lingerfelt,False,59,0.99
ANDERSON,U. S. Representative,5,REP,Bunni Pounds,False,1618,27.24
ANDERSON,U. S. Representative,5,REP,Kenneth Sheets,False,460,7.75
ANDERSON,U. S. Representative,5,REP,David Williams,False,334,5.62
ANDERSON,U. S. Representative,5,REP,Jason Wright,False,741,12.48
ANDERSON,U. S. Representative,5,,Total,,5939,
ANDERSON,Governor,,REP,Greg Abbott,True,5973,93.80
ANDERSON,Governor,,REP,SECEDE Kilgore,False,69,1.08
ANDERSON,Governor,,REP,Barbara Krueger,False,326,5.12
ANDERSON,Governor,,,Total,,6368,
ANDERSON,Lieutenant Governor,,REP,Scott Milder,False,1156,18.57
ANDERSON,Lieutenant Governor,,REP,Dan Patrick,True,5069,81.43
ANDERSON,Lieutenant Governor,,,Total,,6225,
ANDERSON,Attorney General,,REP,Ken Paxton,True,5562,100.00
ANDERSON,Attorney General,,,Total,,5562,
ANDERSON,Comptroller of Public Accounts,,REP,Glenn Hegar,True,5152,100.00
ANDERSON,Comptroller of Public Accounts,,,Total,,5152,
ANDERSON,Commissioner of the General Land Office,,REP,George P. Bush,True,3357,55.86
ANDERSON,Commissioner of the General Land Office,,REP,Davey Edwards,False,446,7.42
ANDERSON,Commissioner of the General Land Office,,REP,Jerry Patterson,False,1927,32.06
ANDERSON,Commissioner of the General Land Office,,REP,Rick Range,False,280,4.66
ANDERSON,Commissioner of the General Land Office,,,Total,,6010,
ANDERSON,Commissioner of Agriculture,,REP,Trey Blocker,False,1140,20.30
ANDERSON,Commissioner of Agriculture,,REP,Jim Hogan,False,1714,30.53
ANDERSON,Commissioner of Agriculture,,REP,Sid Miller,True,2761,49.17
ANDERSON,Commissioner of Agriculture,,,Total,,5615,
ANDERSON,Railroad Commissioner,,REP,Christi Craddick,True,4044,71.83
ANDERSON,Railroad Commissioner,,REP,Weston Martinez,False,1586,28.17
ANDERSON,Railroad Commissioner,,,Total,,5630,
ANDERSON,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,False,5117,100.00
ANDERSON,"Justice, Supreme Court, Place 2",,,Total,,5117,
ANDERSON,"Justice, Supreme Court, Place 4",,REP,John Devine,True,5117,100.00
ANDERSON,"Justice, Supreme Court, Place 4",,,Total,,5117,
ANDERSON,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,True,5085,100.00
ANDERSON,"Justice, Supreme Court, Place 6",,,Total,,5085,
ANDERSON,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,False,3338,61.18
ANDERSON,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,True,2118,38.82
ANDERSON,"Presiding Judge, Court of Criminal Appeals",,,Total,,5456,
ANDERSON,Judge Court of Criminal Appeals,7,REP,Barbara Parker Hervey,True,5005,100.00
ANDERSON,Judge Court of Criminal Appeals,7,,Total,,5005,
ANDERSON,Judge Court of Criminal Appeals,8,REP,Jay Brandon,False,1631,30.63
ANDERSON,Judge Court of Criminal Appeals,8,REP,Michelle Slaughter,False,2880,54.09
ANDERSON,Judge Court of Criminal Appeals,8,REP,Dib Waldrip,False,813,15.27
ANDERSON,Judge Court of Criminal Appeals,8,,Total,,5324,
ANDERSON,State Senator,3,REP,Robert Nichols,True,5334,100.00
ANDERSON,State Senator,3,,Total,,5334,
ANDERSON,State Representative,8,REP,Cody Harris,False,4238,65.97
ANDERSON,State Representative,8,REP,Thomas McNutt,False,1845,28.72
ANDERSON,State Representative,8,REP,Linda Timmerman,False,341,5.31
ANDERSON,State Representative,8,,Total,,6424,
ANDERSON,"Justice, 12th Court of Appeals District, Place 3",,REP,Greg Neeley,True,5061,100.00
ANDERSON,"Justice, 12th Court of Appeals District, Place 3",,,Total,,5061,
