county,precinct,office,district,party,candidate,election_day,early_voting,mail,votes
Lee,101,US Senator,,REP,Mary Miller,13,10,1,24
Lee,101,US Senator,,REP,"Bruce Jacobson, Jr.",13,8,2,23
Lee,101,US Senator,,REP,Ted Cruz,154,115,11,280
Lee,101,US Senator,,REP,Stefano de Stefano,1,2,0,3
Lee,101,US Senator,,REP,Geraldine Sam,1,2,0,3
Lee,101,US Senator,,DEM,Edward Kimbrough,10,9,3,22
Lee,101,US Senator,,DEM,Beto O'Rourke,12,14,1,27
Lee,101,US Senator,,DEM,Sema Hernandez,7,3,2,12
Lee,101,US Representative,10,REP,Michael T. McCaul,151,116,12,279
Lee,101,US Representative,10,REP,John W. Cook,26,20,2,48
Lee,101,US Representative,10,DEM,Matt Harris,4,5,1,10
Lee,101,US Representative,10,DEM,Mike Siegel,8,6,2,16
Lee,101,US Representative,10,DEM,Kevin Nelson,1,5,0,6
Lee,101,US Representative,10,DEM,Richie DeGrow,0,1,1,2
Lee,101,US Representative,10,DEM,Tawana WalteCadien,5,3,1,9
Lee,101,US Representative,10,DEM,Madeline K. Eden,4,3,0,7
Lee,101,US Representative,10,DEM,Tami Walker,6,4,1,11
Lee,101,Governor,,REP,Greg Abbott,167,126,13,306
Lee,101,Governor,,REP,Barbara Krueger,10,15,0,25
Lee,101,Governor,,REP,SECEDE Kilgore,3,2,1,6
Lee,101,Governor,,DEM,Jeffrey Payne,5,7,1,13
Lee,101,Governor,,DEM,Joe Mumbach,1,0,0,1
Lee,101,Governor,,DEM,Adrian Ocegueda,2,0,0,2
Lee,101,Governor,,DEM,"Cedric Davis, Sr.",2,3,1,6
Lee,101,Governor,,DEM,Andrew White,7,10,1,18
Lee,101,Governor,,DEM,Tom Wakely,1,0,0,1
Lee,101,Governor,,DEM,James Jolly Clark,0,0,0,0
Lee,101,Governor,,DEM,Lupe Valdez,7,6,2,15
Lee,101,Governor,,DEM,Grady Yarbrough,3,1,1,5
Lee,101,Lt. Governor,,REP,Scott Milder,56,42,1,99
Lee,101,Lt. Governor,,REP,Dan Patrick,121,96,13,230
Lee,101,Lt. Governor,,DEM,Mike Collier,11,14,2,27
Lee,101,Lt. Governor,,DEM,Michael Cooper,15,12,4,31
Lee,101,Attorney General,,REP,Ken Paxton,149,118,12,279
Lee,101,Attorney General,,DEM,Justin Nelson,26,22,5,53
Lee,101,Comptroller Public Accts,,REP,Glenn Hegar,146,113,12,271
Lee,101,Comptroller Public Accts,,DEM,Tim Mahoney,16,17,2,35
Lee,101,Comptroller Public Accts,,DEM,Joi Chevalier,9,7,3,19
Lee,101,Commissioner Gen Land Office,,REP,Davey Edwards,13,13,4,30
