office,district,candidate,incumbent,party,votes,pct
U. S. Senator,,Ted Cruz,TRUE,REP,1322724,85.36
U. S. Senator,,Stefano de Stefano,FALSE,REP,44456,2.87
U. S. Senator,,"Bruce Jacobson, Jr.",FALSE,REP,64791,4.18
U. S. Senator,,Mary Miller,FALSE,REP,94715,6.11
U. S. Senator,,Geraldine Sam,FALSE,REP,22887,1.48
U. S. Senator,,Total,,,1549573,
U. S. Representative,1,Anthony Culler,FALSE,REP,6526,8.97
U. S. Representative,1,Louie Gohmert,TRUE,REP,64241,88.33
U. S. Representative,1,Roshin Rowjee,FALSE,REP,1962,2.7
U. S. Representative,1,Total,,,72729,
U. S. Representative,2,David Balat,FALSE,REP,348,0.75
U. S. Representative,2,Dan Crenshaw,FALSE,REP,12679,27.42
U. S. Representative,2,Jonny Havens,FALSE,REP,936,2.02
U. S. Representative,2,Justin L. Lurie,FALSE,REP,425,0.92
U. S. Representative,2,Kevin Roberts,FALSE,REP,15273,33.03
U. S. Representative,2,Jon Spiers,FALSE,REP,418,0.9
U. S. Representative,2,Rick Walker,FALSE,REP,3320,7.18
U. S. Representative,2,Kathaleen Wall,FALSE,REP,12524,27.08
U. S. Representative,2,Malcolm Whittaker,FALSE,REP,322,0.7
U. S. Representative,2,Total,,,46245,
U. S. Representative,3,Alex Donkervoet,FALSE,REP,3197,5.93
U. S. Representative,3,David Niederkorn,FALSE,REP,5065,9.39
U. S. Representative,3,Van Taylor,FALSE,REP,45650,84.68
U. S. Representative,3,Total,,,53912,
U. S. Representative,4,John Cooper,FALSE,REP,10735,14.5
U. S. Representative,4,John Ratcliffe,TRUE,REP,63275,85.5
U. S. Representative,4,Total,,,74010,
U. S. Representative,5,Danny Campbell,FALSE,REP,1770,3.02
U. S. Representative,5,Sam Deen,FALSE,REP,10051,17.16
U. S. Representative,5,Lance Gooden,FALSE,REP,17551,29.97
U. S. Representative,5,Charles Lingerfelt,FALSE,REP,1022,1.75
U. S. Representative,5,Bunni Pounds,FALSE,REP,12851,21.95
U. S. Representative,5,Kenneth Sheets,FALSE,REP,7024,11.99
U. S. Representative,5,David Williams,FALSE,REP,1601,2.73
U. S. Representative,5,Jason Wright,FALSE,REP,6690,11.42
U. S. Representative,5,Total,,,58560,
U. S. Representative,6,Ken Cope,FALSE,REP,3540,7.7
U. S. Representative,6,Shawn Dandridge,FALSE,REP,518,1.13
U. S. Representative,6,Thomas Dillingham,FALSE,REP,544,1.18
U. S. Representative,6,Shannon Dubberly,FALSE,REP,2884,6.28
U. S. Representative,6,"J.K. ""Jake"" Ellzey",FALSE,REP,9999,21.76
U. S. Representative,6,Deborah Gagliardi,FALSE,REP,1676,3.65
U. S. Representative,6,Kevin Harrison,FALSE,REP,1771,3.85
U. S. Representative,6,Mel Hassell,FALSE,REP,268,0.58
U. S. Representative,6,Mark Mitchell,FALSE,REP,2152,4.68
U. S. Representative,6,Troy Ratterree,FALSE,REP,1858,4.04
U. S. Representative,6,Ron Wright,FALSE,REP,20750,45.15
U. S. Representative,6,Total,,,45960,
U. S. Representative,7,John Culberson,TRUE,REP,29052,76.11
U. S. Representative,7,Edward Ziegler,FALSE,REP,9117,23.89
U. S. Representative,7,Total,,,38169,
U. S. Representative,8,Kevin Brady,TRUE,REP,67593,100
U. S. Representative,8,Total,,,67593,
U. S. Representative,10,John W. Cook,FALSE,REP,10458,19.9
U. S. Representative,10,Michael T. McCaul,TRUE,REP,42088,80.1
U. S. Representative,10,Total,,,52546,
U. S. Representative,11,Mike Conaway,TRUE,REP,63526,82.96
U. S. Representative,11,Paul Myers,FALSE,REP,13049,17.04
U. S. Representative,11,Total,,,76575,
U. S. Representative,12,Kay Granger,TRUE,REP,49385,100
U. S. Representative,12,Total,,,49385,
U. S. Representative,13,Mac Thornberry,TRUE,REP,71018,100
U. S. Representative,13,Total,,,71018,
U. S. Representative,14,Keith Casey,FALSE,REP,2298,5.13
U. S. Representative,14,"Bill ""Sarge"" Sargent",FALSE,REP,8770,19.58
U. S. Representative,14,Randy Weber,TRUE,REP,33720,75.29
