county,precinct,precinct_name,office,district,party,candidate,votes,election_day,early_voting
Falls,101,METHODIST CHURCH HALL,Attorney General,,DEM,Justin  Nelson,130,62,68
Falls,101,METHODIST CHURCH HALL,Attorney General,,REP,Ken  Paxton,152,55,97
Falls,101,METHODIST CHURCH HALL,Attorney General,,LIB,Michael Ray Harris,5,1,4
Falls,104,OTTO COMMUNITY ,Attorney General,,DEM,Justin  Nelson,65,29,36
Falls,104,OTTO COMMUNITY ,Attorney General,,REP,Ken  Paxton,336,156,180
Falls,104,OTTO COMMUNITY ,Attorney General,,LIB,Michael Ray Harris,6,3,3
Falls,105,CHURCH OF CHRIST ANNEX,Attorney General,,DEM,Justin  Nelson,153,64,89
Falls,105,CHURCH OF CHRIST ANNEX,Attorney General,,REP,Ken  Paxton,264,90,174
Falls,105,CHURCH OF CHRIST ANNEX,Attorney General,,LIB,Michael Ray Harris,6,5,1
Falls,201,REAGAN BUILDING,Attorney General,,DEM,Justin  Nelson,62,21,41
Falls,201,REAGAN BUILDING,Attorney General,,REP,Ken  Paxton,236,84,152
Falls,201,REAGAN BUILDING,Attorney General,,LIB,Michael Ray Harris,1,0,1
Falls,203,DAVIS CHAPEL CHURCH,Attorney General,,DEM,Justin  Nelson,199,96,103
Falls,203,DAVIS CHAPEL CHURCH,Attorney General,,REP,Ken  Paxton,19,3,16
Falls,203,DAVIS CHAPEL CHURCH,Attorney General,,LIB,Michael Ray Harris,3,1,2
Falls,204,BTW ALUMNI,Attorney General,,DEM,Justin  Nelson,245,96,149
Falls,204,BTW ALUMNI,Attorney General,,REP,Ken  Paxton,70,23,47
Falls,204,BTW ALUMNI,Attorney General,,LIB,Michael Ray Harris,7,4,3
Falls,301,PLEASANT GROVE HALL,Attorney General,,DEM,Justin  Nelson,57,26,31
Falls,301,PLEASANT GROVE HALL,Attorney General,,REP,Ken  Paxton,256,127,129
Falls,301,PLEASANT GROVE HALL,Attorney General,,LIB,Michael Ray Harris,2,2,0
Falls,302,MARLIN HOUSING,Attorney General,,DEM,Justin  Nelson,43,17,26
Falls,302,MARLIN HOUSING,Attorney General,,REP,Ken  Paxton,107,33,74
Falls,302,MARLIN HOUSING,Attorney General,,LIB,Michael Ray Harris,4,0,4
Falls,303,WESTPHALIA HALL,Attorney General,,DEM,Justin  Nelson,38,25,13
Falls,303,WESTPHALIA HALL,Attorney General,,REP,Ken  Paxton,324,166,158
Falls,303,WESTPHALIA HALL,Attorney General,,LIB,Michael Ray Harris,7,2,5
Falls,304,D BROWN LIBRARY,Attorney General,,DEM,Justin  Nelson,137,95,42
Falls,304,D BROWN LIBRARY,Attorney General,,REP,Ken  Paxton,341,242,99
Falls,304,D BROWN LIBRARY,Attorney General,,LIB,Michael Ray Harris,6,3,3
Falls,403,CHILTON VOL DEPT,Attorney General,,DEM,Justin  Nelson,146,73,73
Falls,403,CHILTON VOL DEPT,Attorney General,,REP,Ken  Paxton,378,188,190
Falls,403,CHILTON VOL DEPT,Attorney General,,LIB,Michael Ray Harris,15,7,8
Falls,404,LOTT FIRE DEPT,Attorney General,,DEM,Justin  Nelson,88,68,20
Falls,404,LOTT FIRE DEPT,Attorney General,,REP,Ken  Paxton,346,255,91
Falls,404,LOTT FIRE DEPT,Attorney General,,LIB,Michael Ray Harris,8,5,3
Falls,405,GOLINDA CITY HALL,Attorney General,,DEM,Justin  Nelson,116,58,58
Falls,405,GOLINDA CITY HALL,Attorney General,,REP,Ken  Paxton,254,135,119
Falls,405,GOLINDA CITY HALL,Attorney General,,LIB,Michael Ray Harris,7,3,4
Falls,101,METHODIST CHURCH HALL,Commissioner of Agriculture,,DEM,Kim  Olson,133,65,68
Falls,101,METHODIST CHURCH HALL,Commissioner of Agriculture,,LIB,Richard Carpenter,2,0,2
Falls,101,METHODIST CHURCH HALL,Commissioner of Agriculture,,REP,Sid  Miller,153,53,100
Falls,104,OTTO COMMUNITY ,Commissioner of Agriculture,,DEM,Kim  Olson,61,27,34
Falls,104,OTTO COMMUNITY ,Commissioner of Agriculture,,LIB,Richard Carpenter,2,2,0
Falls,104,OTTO COMMUNITY ,Commissioner of Agriculture,,REP,Sid  Miller,345,161,184
Falls,105,CHURCH OF CHRIST ANNEX,Commissioner of Agriculture,,DEM,Kim  Olson,162,72,90
Falls,105,CHURCH OF CHRIST ANNEX,Commissioner of Agriculture,,LIB,Richard Carpenter,7,0,7
Falls,105,CHURCH OF CHRIST ANNEX,Commissioner of Agriculture,,REP,Sid  Miller,249,82,167
Falls,201,REAGAN BUILDING,Commissioner of Agriculture,,DEM,Kim  Olson,60,19,41
Falls,201,REAGAN BUILDING,Commissioner of Agriculture,,LIB,Richard Carpenter,3,2,1
Falls,201,REAGAN BUILDING,Commissioner of Agriculture,,REP,Sid  Miller,234,83,151
Falls,203,DAVIS CHAPEL CHURCH,Commissioner of Agriculture,,DEM,Kim  Olson,200,96,104
Falls,203,DAVIS CHAPEL CHURCH,Commissioner of Agriculture,,LIB,Richard Carpenter,2,1,1
Falls,203,DAVIS CHAPEL CHURCH,Commissioner of Agriculture,,REP,Sid  Miller,18,3,15
Falls,204,BTW ALUMNI,Commissioner of Agriculture,,DEM,Kim  Olson,249,100,149
Falls,204,BTW ALUMNI,Commissioner of Agriculture,,LIB,Richard Carpenter,5,1,4
Falls,204,BTW ALUMNI,Commissioner of Agriculture,,REP,Sid  Miller,69,24,45
Falls,301,PLEASANT GROVE HALL,Commissioner of Agriculture,,DEM,Kim  Olson,52,23,29
Falls,301,PLEASANT GROVE HALL,Commissioner of Agriculture,,LIB,Richard Carpenter,6,3,3
Falls,301,PLEASANT GROVE HALL,Commissioner of Agriculture,,REP,Sid  Miller,257,130,127
Falls,302,MARLIN HOUSING,Commissioner of Agriculture,,DEM,Kim  Olson,45,17,28
Falls,302,MARLIN HOUSING,Commissioner of Agriculture,,LIB,Richard Carpenter,1,1,0
Falls,302,MARLIN HOUSING,Commissioner of Agriculture,,REP,Sid  Miller,109,32,77
Falls,303,WESTPHALIA HALL,Commissioner of Agriculture,,DEM,Kim  Olson,39,27,12
Falls,303,WESTPHALIA HALL,Commissioner of Agriculture,,LIB,Richard Carpenter,6,2,4
Falls,303,WESTPHALIA HALL,Commissioner of Agriculture,,REP,Sid  Miller,322,163,159
Falls,304,D BROWN LIBRARY,Commissioner of Agriculture,,DEM,Kim  Olson,132,93,39
Falls,304,D BROWN LIBRARY,Commissioner of Agriculture,,LIB,Richard Carpenter,11,8,3
Falls,304,D BROWN LIBRARY,Commissioner of Agriculture,,REP,Sid  Miller,342,238,104
Falls,403,CHILTON VOL DEPT,Commissioner of Agriculture,,DEM,Kim  Olson,148,75,73
Falls,403,CHILTON VOL DEPT,Commissioner of Agriculture,,LIB,Richard Carpenter,11,4,7
Falls,403,CHILTON VOL DEPT,Commissioner of Agriculture,,REP,Sid  Miller,375,185,190
Falls,404,LOTT FIRE DEPT,Commissioner of Agriculture,,DEM,Kim  Olson,93,73,20
Falls,404,LOTT FIRE DEPT,Commissioner of Agriculture,,LIB,Richard Carpenter,6,3,3
Falls,404,LOTT FIRE DEPT,Commissioner of Agriculture,,REP,Sid  Miller,340,249,91
Falls,405,GOLINDA CITY HALL,Commissioner of Agriculture,,DEM,Kim  Olson,112,61,51
Falls,405,GOLINDA CITY HALL,Commissioner of Agriculture,,LIB,Richard Carpenter,10,5,5
Falls,405,GOLINDA CITY HALL,Commissioner of Agriculture,,REP,Sid  Miller,254,130,124
Falls,101,METHODIST CHURCH HALL,Commissioner of the General Land Office,,REP,George P.  Bush,161,59,102
Falls,101,METHODIST CHURCH HALL,Commissioner of the General Land Office,,LIB,Matt Pina,9,2,7
Falls,101,METHODIST CHURCH HALL,Commissioner of the General Land Office,,DEM,Miguel  Suazo,121,60,61
Falls,104,OTTO COMMUNITY ,Commissioner of the General Land Office,,REP,George P.  Bush,346,166,180
