county,precinct,office,district,party,candidate,votes,early_voting,election_day
Kenedy,1,Ballots Cast,,,,56,39,17
Kenedy,1,Straight Party,,REP,Republican Party,4,1,3
Kenedy,1,Straight Party,,,Over Votes,0,0,0
Kenedy,1,Straight Party,,,Under Votes,51,38,13
Kenedy,1,Straight Party,,DEM,Democratic Party,1,0,1
Kenedy,1,Straight Party,,LIB,Libertarian Party,0,0,0
Kenedy,1,U.S. Senate,,REP,Ted Cruz,31,26,5
Kenedy,1,U.S. Senate,,,Over Votes,0,0,0
Kenedy,1,U.S. Senate,,,Under Votes,9,7,2
Kenedy,1,U.S. Senate,,DEM,Beto O'Rourke,15,5,10
Kenedy,1,U.S. Senate,,LIB,Neal M. Dikeman,1,1,0
Kenedy,1,U.S. House,34,REP,Rey Gonzalez,17,12,5
Kenedy,1,U.S. House,34,,Over Votes,0,0,0
Kenedy,1,U.S. House,34,,Under Votes,18,13,5
Kenedy,1,U.S. House,34,DEM,Filemon B. Vela,21,14,7
Kenedy,1,Governor,,REP,Greg Abbott,31,23,8
Kenedy,1,Governor,,,Over Votes,0,0,0
Kenedy,1,Governor,,,Under Votes,11,8,3
Kenedy,1,Governor,,DEM,Lupe Valdez,13,7,6
Kenedy,1,Governor,,LIB,Mark Jay Tippetts,1,1,0
Kenedy,1,Lieutenant Governor,,REP,Dan Patrick,26,21,5
Kenedy,1,Lieutenant Governor,,,Over Votes,0,0,0
Kenedy,1,Lieutenant Governor,,,Under Votes,18,12,6
Kenedy,1,Lieutenant Governor,,DEM,Mike Collier,11,5,6
Kenedy,1,Lieutenant Governor,,LIB,Kerry Douglas McKennon,1,1,0
Kenedy,1,Attorney General,,REP,Ken Paxton,24,19,5
Kenedy,1,Attorney General,,,Over Votes,0,0,0
Kenedy,1,Attorney General,,,Under Votes,18,12,6
Kenedy,1,Attorney General,,DEM,Justin Nelson,12,6,6
Kenedy,1,Attorney General,,LIB,Michael Ray Harris,2,2,0
Kenedy,1,Comptroller of Public Accounts,,REP,Glenn Hegar,23,18,5
Kenedy,1,Comptroller of Public Accounts,,,Over Votes,0,0,0
Kenedy,1,Comptroller of Public Accounts,,,Under Votes,18,12,6
Kenedy,1,Comptroller of Public Accounts,,DEM,Joi Chevalier,12,7,5
Kenedy,1,Comptroller of Public Accounts,,LIB,Ben Sanders,3,2,1
Kenedy,1,Commissioner of the General Land Office,,REP,George P. Bush,27,21,6
Kenedy,1,Commissioner of the General Land Office,,,Over Votes,0,0,0
Kenedy,1,Commissioner of the General Land Office,,,Under Votes,16,10,6
Kenedy,1,Commissioner of the General Land Office,,DEM,Miguel Suazo,12,7,5
Kenedy,1,Commissioner of the General Land Office,,LIB,Matt Piña,1,1,0
Kenedy,1,Commissioner of Agriculture,,REP,Sid Miller,19,14,5
Kenedy,1,Commissioner of Agriculture,,,Over Votes,0,0,0
Kenedy,1,Commissioner of Agriculture,,,Under Votes,19,13,6
Kenedy,1,Commissioner of Agriculture,,DEM,Kim Olson,17,11,6
Kenedy,1,Commissioner of Agriculture,,LIB,Richard Carpenter,1,1,0
Kenedy,1,Railroad Commissioner,,REP,Christi Craddick,20,15,5
Kenedy,1,Railroad Commissioner,,,Over Votes,0,0,0
Kenedy,1,Railroad Commissioner,,,Under Votes,18,13,5
Kenedy,1,Railroad Commissioner,,DEM,Roman McAllen,17,10,7
Kenedy,1,Railroad Commissioner,,LIB,Mike Wright,1,1,0
Kenedy,1,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,22,17,5
Kenedy,1,"Justice, Supreme Court, Place 2",,,Over Votes,0,0,0
Kenedy,1,"Justice, Supreme Court, Place 2",,,Under Votes,20,14,6
Kenedy,1,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,14,8,6
Kenedy,1,"Justice, Supreme Court, Place 4",,REP,John Devine,23,18,5
Kenedy,1,"Justice, Supreme Court, Place 4",,,Over Votes,0,0,0
Kenedy,1,"Justice, Supreme Court, Place 4",,,Under Votes,20,14,6
Kenedy,1,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,13,7,6
Kenedy,1,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,23,18,5
Kenedy,1,"Justice, Supreme Court, Place 6",,,Over Votes,0,0,0
Kenedy,1,"Justice, Supreme Court, Place 6",,,Under Votes,20,14,6
Kenedy,1,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,13,7,6
Kenedy,1,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,21,17,4
Kenedy,1,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0
Kenedy,1,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,20,14,6
Kenedy,1,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,14,7,7
Kenedy,1,"Presiding Judge, Court of Criminal Appeals",,LIB,William Bryan Strange III,1,1,0
Kenedy,1,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,21,17,4
Kenedy,1,"Judge, Court of Criminal Appeals, Place 7",,,Over Votes,0,0,0
Kenedy,1,"Judge, Court of Criminal Appeals, Place 7",,,Under Votes,19,14,5
Kenedy,1,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,16,8,8
Kenedy,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,25,19,6
Kenedy,1,"Judge, Court of Criminal Appeals, Place 8",,,Over Votes,0,0,0
Kenedy,1,"Judge, Court of Criminal Appeals, Place 8",,,Under Votes,23,16,7
Kenedy,1,"Judge, Court of Criminal Appeals, Place 8",,LIB,Mark Ash,8,4,4
Kenedy,1,"Member, State Board of Education",2,REP,"Charles ""Tad"" Hasse",20,17,3
Kenedy,1,"Member, State Board of Education",2,,Over Votes,0,0,0
Kenedy,1,"Member, State Board of Education",2,,Under Votes,21,15,6
Kenedy,1,"Member, State Board of Education",2,DEM,"Ruben Cortez, Jr.",15,7,8
Kenedy,1,State Representative,No. 31,DEM,Ryan Guillen,27,20,7
Kenedy,1,State Representative,No. 31,,Over Votes,0,0,0
Kenedy,1,State Representative,No. 31,,Under Votes,29,19,10
Kenedy,1,"Chief Justice, 13th Court of Appeals District",,REP,Ernie Aliseda,20,16,4
Kenedy,1,"Chief Justice, 13th Court of Appeals District",,,Over Votes,0,0,0
Kenedy,1,"Chief Justice, 13th Court of Appeals District",,,Under Votes,18,12,6
Kenedy,1,"Chief Justice, 13th Court of Appeals District",,DEM,Dori Contreras,18,11,7
Kenedy,1,"Justice, 13th Court of Appeals District, Place No. 2",,REP,Greg Perkes,19,15,4
Kenedy,1,"Justice, 13th Court of Appeals District, Place No. 2",,,Over Votes,0,0,0
Kenedy,1,"Justice, 13th Court of Appeals District, Place No. 2",,,Under Votes,21,15,6
Kenedy,1,"Justice, 13th Court of Appeals District, Place No. 2",,DEM,Nora Longoria,16,9,7
Kenedy,1,"Justice, 13th Court of Appeals District, Place No. 4",,REP,Jaime Tijerina,32,24,8
Kenedy,1,"Justice, 13th Court of Appeals District, Place No. 4",,,Over Votes,0,0,0
Kenedy,1,"Justice, 13th Court of Appeals District, Place No. 4",,,Under Votes,15,10,5
Kenedy,1,"Justice, 13th Court of Appeals District, Place No. 4",,DEM,Rudy Delgado,9,5,4
Kenedy,1,"Justice, 13th Court of Appeals District, Place No. 5",,REP,Clarissa Silva,17,13,4
Kenedy,1,"Justice, 13th Court of Appeals District, Place No. 5",,,Over Votes,0,0,0
Kenedy,1,"Justice, 13th Court of Appeals District, Place No. 5",,,Under Votes,22,16,6
Kenedy,1,"Justice, 13th Court of Appeals District, Place No. 5",,DEM,Gina Benavides,17,10,7
Kenedy,1,"District Judge, 105th Judicial District",,REP,Jack W. Pulcher,27,20,7
Kenedy,1,"District Judge, 105th Judicial District",,,Over Votes,0,0,0
Kenedy,1,"District Judge, 105th Judicial District",,,Under Votes,16,11,5
