county,precinct,office,district,party,candidate,votes,election_day,early_voting
Lipscomb,202,Ballots Cast,,,,89,64,25
Lipscomb,202,Straight Party,,REP,Republican Party,44,34,10
Lipscomb,202,Straight Party,,,Over Votes,0,0,0
Lipscomb,202,Straight Party,,,Under Votes,42,29,13
Lipscomb,202,Straight Party,,DEM,Democratic Party,3,1,2
Lipscomb,202,Straight Party,,LIB,Libertarian Party,0,0,0
Lipscomb,202,U.S. Senate,,REP,Ted Cruz,83,62,21
Lipscomb,202,U.S. Senate,,,Over Votes,0,0,0
Lipscomb,202,U.S. Senate,,,Under Votes,1,1,0
Lipscomb,202,U.S. Senate,,DEM,Beto O'Rourke,5,1,4
Lipscomb,202,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0
Lipscomb,202,U.S. House,13,REP,Mac Thornberry,81,61,20
Lipscomb,202,U.S. House,13,,Over Votes,0,0,0
Lipscomb,202,U.S. House,13,,Under Votes,3,2,1
Lipscomb,202,U.S. House,13,DEM,Greg Sagan,5,1,4
Lipscomb,202,U.S. House,13,LIB,Calvin DeWeese,0,0,0
Lipscomb,202,Governor,,REP,Greg Abbott,79,59,20
Lipscomb,202,Governor,,,Over Votes,0,0,0
Lipscomb,202,Governor,,,Under Votes,3,2,1
Lipscomb,202,Governor,,DEM,Lupe Valdez,5,2,3
Lipscomb,202,Governor,,LIB,Mark Jay Tippetts,2,1,1
Lipscomb,202,Lieutenant Governor,,REP,Dan Patrick,69,52,17
Lipscomb,202,Lieutenant Governor,,,Over Votes,0,0,0
Lipscomb,202,Lieutenant Governor,,,Under Votes,1,1,0
Lipscomb,202,Lieutenant Governor,,DEM,Mike Collier,16,9,7
Lipscomb,202,Lieutenant Governor,,LIB,Kerry Douglas McKennon,3,2,1
Lipscomb,202,Attorney General,,REP,Ken Paxton,74,57,17
Lipscomb,202,Attorney General,,,Over Votes,0,0,0
Lipscomb,202,Attorney General,,,Under Votes,2,1,1
Lipscomb,202,Attorney General,,DEM,Justin Nelson,9,3,6
Lipscomb,202,Attorney General,,LIB,Michael Ray Harris,4,3,1
Lipscomb,202,Comptroller of Public Accounts,,REP,Glenn Hegar,76,57,19
Lipscomb,202,Comptroller of Public Accounts,,,Over Votes,0,0,0
Lipscomb,202,Comptroller of Public Accounts,,,Under Votes,4,2,2
Lipscomb,202,Comptroller of Public Accounts,,DEM,Joi Chevalier,5,2,3
Lipscomb,202,Comptroller of Public Accounts,,LIB,Ben Sanders,4,3,1
Lipscomb,202,Commissioner of the General Land Office,,REP,George P. Bush,81,60,21
Lipscomb,202,Commissioner of the General Land Office,,,Over Votes,0,0,0
Lipscomb,202,Commissioner of the General Land Office,,,Under Votes,2,1,1
Lipscomb,202,Commissioner of the General Land Office,,DEM,Miguel Suazo,5,2,3
Lipscomb,202,Commissioner of the General Land Office,,LIB,Matt Piña,1,1,0
Lipscomb,202,Commissioner of Agriculture,,REP,Sid Miller,75,57,18
Lipscomb,202,Commissioner of Agriculture,,,Over Votes,0,0,0
Lipscomb,202,Commissioner of Agriculture,,,Under Votes,3,2,1
Lipscomb,202,Commissioner of Agriculture,,DEM,Kim Olson,8,2,6
Lipscomb,202,Commissioner of Agriculture,,LIB,Richard Carpenter,3,3,0
Lipscomb,202,Railroad Commissioner,,REP,Christi Craddick,76,57,19
Lipscomb,202,Railroad Commissioner,,,Over Votes,0,0,0
Lipscomb,202,Railroad Commissioner,,,Under Votes,5,2,3
Lipscomb,202,Railroad Commissioner,,DEM,Roman McAllen,5,2,3
Lipscomb,202,Railroad Commissioner,,LIB,Mike Wright,3,3,0
Lipscomb,202,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,78,60,18
Lipscomb,202,"Justice, Supreme Court, Place 2",,,Over Votes,0,0,0
Lipscomb,202,"Justice, Supreme Court, Place 2",,,Under Votes,4,2,2
Lipscomb,202,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,7,2,5
Lipscomb,202,"Justice, Supreme Court, Place 4",,REP,John Devine,79,61,18
Lipscomb,202,"Justice, Supreme Court, Place 4",,,Over Votes,0,0,0
Lipscomb,202,"Justice, Supreme Court, Place 4",,,Under Votes,3,2,1
Lipscomb,202,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,7,1,6
Lipscomb,202,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,80,60,20
Lipscomb,202,"Justice, Supreme Court, Place 6",,,Over Votes,0,0,0
Lipscomb,202,"Justice, Supreme Court, Place 6",,,Under Votes,4,2,2
Lipscomb,202,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,5,2,3
Lipscomb,202,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,77,58,19
Lipscomb,202,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0
Lipscomb,202,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,3,2,1
Lipscomb,202,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,8,3,5
Lipscomb,202,"Presiding Judge, Court of Criminal Appeals",,LIB,William Bryan Strange III,1,1,0
Lipscomb,202,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,80,61,19
Lipscomb,202,"Judge, Court of Criminal Appeals, Place 7",,,Over Votes,0,0,0
Lipscomb,202,"Judge, Court of Criminal Appeals, Place 7",,,Under Votes,5,2,3
Lipscomb,202,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,4,1,3
Lipscomb,202,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,79,59,20
Lipscomb,202,"Judge, Court of Criminal Appeals, Place 8",,,Over Votes,0,0,0
Lipscomb,202,"Judge, Court of Criminal Appeals, Place 8",,,Under Votes,6,2,4
Lipscomb,202,"Judge, Court of Criminal Appeals, Place 8",,LIB,Mark Ash,4,3,1
Lipscomb,202,State Senator,No. 31,REP,Kel Seliger,79,58,21
Lipscomb,202,State Senator,No. 31,,Over Votes,0,0,0
Lipscomb,202,State Senator,No. 31,,Under Votes,6,3,3
Lipscomb,202,State Senator,No. 31,LIB,Jack B. Westbrook,4,3,1
Lipscomb,202,State Representative,No. 88,REP,Ken King,82,61,21
Lipscomb,202,State Representative,No. 88,,Over Votes,0,0,0
Lipscomb,202,State Representative,No. 88,,Under Votes,3,2,1
Lipscomb,202,State Representative,No. 88,DEM,Ezekiel Barron,4,1,3
Lipscomb,202,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Judy Parker,79,60,19
Lipscomb,202,"Justice, 7th Court of Appeals District, Place No. 2",,,Over Votes,0,0,0
Lipscomb,202,"Justice, 7th Court of Appeals District, Place No. 2",,,Under Votes,10,4,6
Lipscomb,202,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Pat Pirtle,78,59,19
Lipscomb,202,"Justice, 7th Court of Appeals District, Place No. 3",,,Over Votes,0,0,0
Lipscomb,202,"Justice, 7th Court of Appeals District, Place No. 3",,,Under Votes,11,5,6
Lipscomb,202,"District Judge, 31st Judicial District",,REP,Steven R. Emmert,77,59,18
Lipscomb,202,"District Judge, 31st Judicial District",,,Over Votes,0,0,0
Lipscomb,202,"District Judge, 31st Judicial District",,,Under Votes,12,5,7
Lipscomb,202,County Judge,,REP,Mickey Simpson,79,61,18
Lipscomb,202,County Judge,,,Over Votes,0,0,0
Lipscomb,202,County Judge,,,Under Votes,10,3,7
Lipscomb,202,County Judge,,,Kim Eggelston,0,0,0
Lipscomb,202,District and County Clerk,,REP,Kim Blau,81,59,22
Lipscomb,202,District and County Clerk,,,Over Votes,0,0,0
Lipscomb,202,District and County Clerk,,,Under Votes,8,5,3
Lipscomb,202,County Treasurer,,REP,Kimberly Long,82,60,22
Lipscomb,202,County Treasurer,,,Over Votes,0,0,0
Lipscomb,202,County Treasurer,,,Under Votes,7,4,3
Lipscomb,202,"County Commissioner, Precinct No. 2",,REP,Merle L. Miller,75,54,21
Lipscomb,202,"County Commissioner, Precinct No. 2",,,Over Votes,0,0,0
Lipscomb,202,"County Commissioner, Precinct No. 2",,,Under Votes,14,10,4
Lipscomb,202,Justice of the Peace,,REP,Nancy Shepherd,83,61,22
Lipscomb,202,Justice of the Peace,,,Over Votes,0,0,0
Lipscomb,202,Justice of the Peace,,,Under Votes,6,3,3
Lipscomb,303,Ballots Cast,,,,260,188,72
Lipscomb,303,Straight Party,,REP,Republican Party,146,108,38
Lipscomb,303,Straight Party,,,Over Votes,0,0,0
Lipscomb,303,Straight Party,,,Under Votes,97,70,27
Lipscomb,303,Straight Party,,DEM,Democratic Party,17,10,7
Lipscomb,303,Straight Party,,LIB,Libertarian Party,0,0,0
Lipscomb,303,U.S. Senate,,REP,Ted Cruz,229,168,61
Lipscomb,303,U.S. Senate,,,Over Votes,0,0,0
Lipscomb,303,U.S. Senate,,,Under Votes,5,4,1
Lipscomb,303,U.S. Senate,,DEM,Beto O'Rourke,25,15,10
Lipscomb,303,U.S. Senate,,LIB,Neal M. Dikeman,1,1,0
Lipscomb,303,U.S. House,13,REP,Mac Thornberry,234,173,61
Lipscomb,303,U.S. House,13,,Over Votes,0,0,0
Lipscomb,303,U.S. House,13,,Under Votes,1,1,0
Lipscomb,303,U.S. House,13,DEM,Greg Sagan,23,13,10
Lipscomb,303,U.S. House,13,LIB,Calvin DeWeese,2,1,1
Lipscomb,303,Governor,,REP,Greg Abbott,232,172,60
Lipscomb,303,Governor,,,Over Votes,0,0,0
Lipscomb,303,Governor,,,Under Votes,3,2,1
Lipscomb,303,Governor,,DEM,Lupe Valdez,24,13,11
Lipscomb,303,Governor,,LIB,Mark Jay Tippetts,1,1,0
Lipscomb,303,Lieutenant Governor,,REP,Dan Patrick,220,164,56
Lipscomb,303,Lieutenant Governor,,,Over Votes,0,0,0
Lipscomb,303,Lieutenant Governor,,,Under Votes,6,3,3
Lipscomb,303,Lieutenant Governor,,DEM,Mike Collier,32,20,12
Lipscomb,303,Lieutenant Governor,,LIB,Kerry Douglas McKennon,2,1,1
Lipscomb,303,Attorney General,,REP,Ken Paxton,224,166,58
Lipscomb,303,Attorney General,,,Over Votes,0,0,0
Lipscomb,303,Attorney General,,,Under Votes,6,3,3
Lipscomb,303,Attorney General,,DEM,Justin Nelson,26,16,10
Lipscomb,303,Attorney General,,LIB,Michael Ray Harris,4,3,1
Lipscomb,303,Comptroller of Public Accounts,,REP,Glenn Hegar,226,167,59
Lipscomb,303,Comptroller of Public Accounts,,,Over Votes,0,0,0
Lipscomb,303,Comptroller of Public Accounts,,,Under Votes,5,3,2
Lipscomb,303,Comptroller of Public Accounts,,DEM,Joi Chevalier,25,14,11
Lipscomb,303,Comptroller of Public Accounts,,LIB,Ben Sanders,4,4,0
Lipscomb,303,Commissioner of the General Land Office,,REP,George P. Bush,226,167,59
Lipscomb,303,Commissioner of the General Land Office,,,Over Votes,0,0,0
Lipscomb,303,Commissioner of the General Land Office,,,Under Votes,5,3,2
Lipscomb,303,Commissioner of the General Land Office,,DEM,Miguel Suazo,26,15,11
Lipscomb,303,Commissioner of the General Land Office,,LIB,Matt Piña,3,3,0
Lipscomb,303,Commissioner of Agriculture,,REP,Sid Miller,227,167,60
Lipscomb,303,Commissioner of Agriculture,,,Over Votes,0,0,0
Lipscomb,303,Commissioner of Agriculture,,,Under Votes,4,3,1
Lipscomb,303,Commissioner of Agriculture,,DEM,Kim Olson,26,16,10
Lipscomb,303,Commissioner of Agriculture,,LIB,Richard Carpenter,3,2,1
Lipscomb,303,Railroad Commissioner,,REP,Christi Craddick,228,167,61
Lipscomb,303,Railroad Commissioner,,,Over Votes,0,0,0
Lipscomb,303,Railroad Commissioner,,,Under Votes,5,4,1
Lipscomb,303,Railroad Commissioner,,DEM,Roman McAllen,25,15,10
Lipscomb,303,Railroad Commissioner,,LIB,Mike Wright,2,2,0
Lipscomb,303,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,224,167,57
