county,precinct,office,district,candidate,party,early_voting,election day,votes
Mills,1,Ballots Cast,,,,221,127,348
Mills,1,U.S. Senate,,Ted Cruz,,,,297
Mills,1,U.S. Senate,,Stefano de Stefano,,,,5
Mills,1,U.S. Senate,,Geraldine Sam,,,,0
Mills,1,U.S. Senate,,"Bruce Jacobson, Jr.",,,,6
Mills,1,U.S. Senate,,Mary Miller,,,,18
Mills,1,U.S. Senate,,Totals,,,,326
Mills,1,U.S. House,11,Paul Myers,,,,50
Mills,1,U.S. House,11,Mike Conaway,,,,268
Mills,1,U.S. House,11,Totals,,,,318
Mills,1,Governor,,Greg Abbott,,,,304
Mills,1,Governor,,Barbara Krueger,,,,21
Mills,1,Governor,,SECEDE Kilgore,,,,1
Mills,1,Governor,,Totals,,,,326
Mills,1,Lieutenant Governor,,Dan Patrick,,,,232
Mills,1,Lieutenant Governor,,Scott Milder,,,,93
Mills,1,Lieutenant Governor,,Totals,,,,325
Mills,1,Attorney General,,Ken Paxton,,,,274
Mills,1,Attorney General,,Totals,,,,274
Mills,1,Comptroller of Public Accounts,,Glenn Hegar,,,,265
Mills,1,Comptroller of Public Accounts,,Totals,,,,265
Mills,1,Commissioner of the General Land Office,,Davey Edwards,,,,28
Mills,1,Commissioner of the General Land Office,,Rick Range,,,,22
Mills,1,Commissioner of the General Land Office,,George P. Bush,,,,179
Mills,1,Commissioner of the General Land Office,,Jerry Patterson,,,,64
Mills,1,Commissioner of the General Land Office,,Totals,,,,293
Mills,1,Commissioner of Agriculture,,Sid Miller,,,,217
Mills,1,Commissioner of Agriculture,,Jim Hogan,,,,48
Mills,1,Commissioner of Agriculture,,Trey Blocker,,,,53
Mills,1,Commissioner of Agriculture,,Totals,,,,318
Mills,1,Railroad Commissioner,,Christi Craddick,,,,228
Mills,1,Railroad Commissioner,,Weston Martinez,,,,59
Mills,1,Railroad Commissioner,,Totals,,,,287
Mills,1,State Representative,59,Chris Evans,,,,99
Mills,1,State Representative,59,J.D. Sheffield,,,,228
Mills,1,State Representative,59,Totals,,,,327
Mills,2,Ballots Cast,,,,132,81,213
Mills,2,U.S. Senate,,Ted Cruz,,,,173
Mills,2,U.S. Senate,,Stefano de Stefano,,,,4
Mills,2,U.S. Senate,,Geraldine Sam,,,,1
Mills,2,U.S. Senate,,"Bruce Jacobson, Jr.",,,,1
Mills,2,U.S. Senate,,Mary Miller,,,,7
Mills,2,U.S. Senate,,Totals,,,,186
Mills,2,U.S. House,11,Paul Myers,,,,26
Mills,2,U.S. House,11,Mike Conaway,,,,162
Mills,2,U.S. House,11,Totals,,,,188
Mills,2,Governor,,Greg Abbott,,,,173
Mills,2,Governor,,Barbara Krueger,,,,15
Mills,2,Governor,,SECEDE Kilgore,,,,1
Mills,2,Governor,,Totals,,,,189
Mills,2,Lieutenant Governor,,Dan Patrick,,,,128
Mills,2,Lieutenant Governor,,Scott Milder,,,,64
Mills,2,Lieutenant Governor,,Totals,,,,192
Mills,2,Attorney General,,Ken Paxton,,,,164
Mills,2,Attorney General,,Totals,,,,164
Mills,2,Comptroller of Public Accounts,,Glenn Hegar,,,,159
Mills,2,Comptroller of Public Accounts,,Totals,,,,159
Mills,2,Commissioner of the General Land Office,,Davey Edwards,,,,27
Mills,2,Commissioner of the General Land Office,,Rick Range,,,,9
Mills,2,Commissioner of the General Land Office,,George P. Bush,,,,119
Mills,2,Commissioner of the General Land Office,,Jerry Patterson,,,,20
Mills,2,Commissioner of the General Land Office,,Totals,,,,175
Mills,2,Commissioner of Agriculture,,Sid Miller,,,,135
Mills,2,Commissioner of Agriculture,,Jim Hogan,,,,25
Mills,2,Commissioner of Agriculture,,Trey Blocker,,,,27
Mills,2,Commissioner of Agriculture,,Totals,,,,187
Mills,2,Railroad Commissioner,,Christi Craddick,,,,132
Mills,2,Railroad Commissioner,,Weston Martinez,,,,33
Mills,2,Railroad Commissioner,,Totals,,,,165
Mills,2,State Representative,59,Chris Evans,,,,60
Mills,2,State Representative,59,J.D. Sheffield,,,,132
Mills,2,State Representative,59,Totals,,,,192
Mills,4,Ballots Cast,,,,75,66,141
Mills,4,U.S. Senate,,Ted Cruz,,,,124
Mills,4,U.S. Senate,,Stefano de Stefano,,,,2
Mills,4,U.S. Senate,,Geraldine Sam,,,,1
Mills,4,U.S. Senate,,"Bruce Jacobson, Jr.",,,,3
Mills,4,U.S. Senate,,Mary Miller,,,,4
Mills,4,U.S. Senate,,Totals,,,,134
Mills,4,U.S. House,11,Paul Myers,,,,15
Mills,4,U.S. House,11,Mike Conaway,,,,121
Mills,4,U.S. House,11,Totals,,,,136
Mills,4,Governor,,Greg Abbott,,,,119
Mills,4,Governor,,Barbara Krueger,,,,17
Mills,4,Governor,,SECEDE Kilgore,,,,0
Mills,4,Governor,,Totals,,,,136
Mills,4,Lieutenant Governor,,Dan Patrick,,,,96
Mills,4,Lieutenant Governor,,Scott Milder,,,,37
Mills,4,Lieutenant Governor,,Totals,,,,133
Mills,4,Attorney General,,Ken Paxton,,,,112
Mills,4,Attorney General,,Totals,,,,112
Mills,4,Comptroller of Public Accounts,,Glenn Hegar,,,,108
Mills,4,Comptroller of Public Accounts,,Totals,,,,108
Mills,4,Commissioner of the General Land Office,,Davey Edwards,,,,9
Mills,4,Commissioner of the General Land Office,,Rick Range,,,,8
Mills,4,Commissioner of the General Land Office,,George P. Bush,,,,96
Mills,4,Commissioner of the General Land Office,,Jerry Patterson,,,,15
Mills,4,Commissioner of the General Land Office,,Totals,,,,128
Mills,4,Commissioner of Agriculture,,Sid Miller,,,,103
Mills,4,Commissioner of Agriculture,,Jim Hogan,,,,18
Mills,4,Commissioner of Agriculture,,Trey Blocker,,,,15
Mills,4,Commissioner of Agriculture,,Totals,,,,136
Mills,4,Railroad Commissioner,,Christi Craddick,,,,104
Mills,4,Railroad Commissioner,,Weston Martinez,,,,20
Mills,4,Railroad Commissioner,,Totals,,,,124
Mills,4,State Representative,59,Chris Evans,,,,38
Mills,4,State Representative,59,J.D. Sheffield,,,,98
Mills,4,State Representative,59,Totals,,,,136
Mills,6,Ballots Cast,,,,21,60,81
Mills,6,U.S. Senate,,Ted Cruz,,,,67
Mills,6,U.S. Senate,,Stefano de Stefano,,,,0
Mills,6,U.S. Senate,,Geraldine Sam,,,,0
Mills,6,U.S. Senate,,"Bruce Jacobson, Jr.",,,,2
Mills,6,U.S. Senate,,Mary Miller,,,,5
Mills,6,U.S. Senate,,Totals,,,,74
Mills,6,U.S. House,11,Paul Myers,,,,11
Mills,6,U.S. House,11,Mike Conaway,,,,61
Mills,6,U.S. House,11,Totals,,,,72
Mills,6,Governor,,Greg Abbott,,,,72
Mills,6,Governor,,Barbara Krueger,,,,4
Mills,6,Governor,,SECEDE Kilgore,,,,0
Mills,6,Governor,,Totals,,,,76
Mills,6,Lieutenant Governor,,Dan Patrick,,,,52
Mills,6,Lieutenant Governor,,Scott Milder,,,,19
Mills,6,Lieutenant Governor,,Totals,,,,71
Mills,6,Attorney General,,Ken Paxton,,,,60
Mills,6,Attorney General,,Totals,,,,60
Mills,6,Comptroller of Public Accounts,,Glenn Hegar,,,,57
Mills,6,Comptroller of Public Accounts,,Totals,,,,57
Mills,6,Commissioner of the General Land Office,,Davey Edwards,,,,8
Mills,6,Commissioner of the General Land Office,,Rick Range,,,,3
Mills,6,Commissioner of the General Land Office,,George P. Bush,,,,48
Mills,6,Commissioner of the General Land Office,,Jerry Patterson,,,,5
Mills,6,Commissioner of the General Land Office,,Totals,,,,64
Mills,6,Commissioner of Agriculture,,Sid Miller,,,,56
Mills,6,Commissioner of Agriculture,,Jim Hogan,,,,11
Mills,6,Commissioner of Agriculture,,Trey Blocker,,,,7
Mills,6,Commissioner of Agriculture,,Totals,,,,74
Mills,6,Railroad Commissioner,,Christi Craddick,,,,53
Mills,6,Railroad Commissioner,,Weston Martinez,,,,5
Mills,6,Railroad Commissioner,,Totals,,,,58
Mills,6,State Representative,59,Chris Evans,,,,14
Mills,6,State Representative,59,J.D. Sheffield,,,,63
Mills,6,State Representative,59,Totals,,,,77
Mills,8,Ballots Cast,,,,81,109,190
Mills,8,U.S. Senate,,Ted Cruz,,,,152
Mills,8,U.S. Senate,,Stefano de Stefano,,,,4
Mills,8,U.S. Senate,,Geraldine Sam,,,,2
Mills,8,U.S. Senate,,"Bruce Jacobson, Jr.",,,,11
Mills,8,U.S. Senate,,Mary Miller,,,,7
Mills,8,U.S. Senate,,Totals,,,,176
Mills,8,U.S. House,11,Paul Myers,,,,29
Mills,8,U.S. House,11,Mike Conaway,,,,148
Mills,8,U.S. House,11,Totals,,,,177
Mills,8,Governor,,Greg Abbott,,,,160
Mills,8,Governor,,Barbara Krueger,,,,18
Mills,8,Governor,,SECEDE Kilgore,,,,2
Mills,8,Governor,,Totals,,,,180
Mills,8,Lieutenant Governor,,Dan Patrick,,,,132
Mills,8,Lieutenant Governor,,Scott Milder,,,,49
Mills,8,Lieutenant Governor,,Totals,,,,181
Mills,8,Attorney General,,Ken Paxton,,,,161
Mills,8,Attorney General,,Totals,,,,161
Mills,8,Comptroller of Public Accounts,,Glenn Hegar,,,,153
Mills,8,Comptroller of Public Accounts,,Totals,,,,153
Mills,8,Commissioner of the General Land Office,,Davey Edwards,,,,23
Mills,8,Commissioner of the General Land Office,,Rick Range,,,,14
Mills,8,Commissioner of the General Land Office,,George P. Bush,,,,97
Mills,8,Commissioner of the General Land Office,,Jerry Patterson,,,,35
Mills,8,Commissioner of the General Land Office,,Totals,,,,169
Mills,8,Commissioner of Agriculture,,Sid Miller,,,,131
Mills,8,Commissioner of Agriculture,,Jim Hogan,,,,24
Mills,8,Commissioner of Agriculture,,Trey Blocker,,,,19
Mills,8,Commissioner of Agriculture,,Totals,,,,174
Mills,8,Railroad Commissioner,,Christi Craddick,,,,136
Mills,8,Railroad Commissioner,,Weston Martinez,,,,23
Mills,8,Railroad Commissioner,,Totals,,,,159
Mills,8,State Representative,59,Chris Evans,,,,68
Mills,8,State Representative,59,J.D. Sheffield,,,,111
Mills,8,State Representative,59,Totals,,,,179
Mills,9,Ballots Cast,,,,137,102,239
Mills,9,U.S. Senate,,Ted Cruz,,,,202
Mills,9,U.S. Senate,,Stefano de Stefano,,,,4
Mills,9,U.S. Senate,,Geraldine Sam,,,,1
Mills,9,U.S. Senate,,"Bruce Jacobson, Jr.",,,,7
Mills,9,U.S. Senate,,Mary Miller,,,,10
Mills,9,U.S. Senate,,Totals,,,,224
Mills,9,U.S. House,11,Paul Myers,,,,35
Mills,9,U.S. House,11,Mike Conaway,,,,173
Mills,9,U.S. House,11,Totals,,,,208
Mills,9,Governor,,Greg Abbott,,,,203
Mills,9,Governor,,Barbara Krueger,,,,14
Mills,9,Governor,,SECEDE Kilgore,,,,7
Mills,9,Governor,,Totals,,,,224
Mills,9,Lieutenant Governor,,Dan Patrick,,,,161
Mills,9,Lieutenant Governor,,Scott Milder,,,,52
Mills,9,Lieutenant Governor,,Totals,,,,213
Mills,9,Attorney General,,Ken Paxton,,,,176
Mills,9,Attorney General,,Totals,,,,176
Mills,9,Comptroller of Public Accounts,,Glenn Hegar,,,,169
Mills,9,Comptroller of Public Accounts,,Totals,,,,169
Mills,9,Commissioner of the General Land Office,,Davey Edwards,,,,20
Mills,9,Commissioner of the General Land Office,,Rick Range,,,,9
Mills,9,Commissioner of the General Land Office,,George P. Bush,,,,121
Mills,9,Commissioner of the General Land Office,,Jerry Patterson,,,,36
Mills,9,Commissioner of the General Land Office,,Totals,,,,186
Mills,9,Commissioner of Agriculture,,Sid Miller,,,,158
Mills,9,Commissioner of Agriculture,,Jim Hogan,,,,27
Mills,9,Commissioner of Agriculture,,Trey Blocker,,,,30
Mills,9,Commissioner of Agriculture,,Totals,,,,215
Mills,9,Railroad Commissioner,,Christi Craddick,,,,154
Mills,9,Railroad Commissioner,,Weston Martinez,,,,27
Mills,9,Railroad Commissioner,,Totals,,,,181
Mills,9,State Representative,59,Chris Evans,,,,63
