candidate,office,district,party,county,precinct,absentee,early_voting,election_day,votes
,Straight Party,,REP,Aransas,1,40,527,176,743
,Straight Party,,DEM,Aransas,1,14,95,42,151
,Straight Party,,LIB,Aransas,1,0,0,1,1
,Straight Party,,IND,Aransas,1,0,16,6,22
Ted Cruz,U.S. Senate,,REP,Aransas,1,69,637,230,936
Beto O'Rourke,U.S. Senate,,DEM,Aransas,1,25,148,64,237
Neal M Dikeman,U.S. Senate,,LIB,Aransas,1,0,6,3,9
Michael Cloud,U.S. House,27,REP,Aransas,1,62,634,227,923
Eric Holguin,U.S. House,27,DEM,Aransas,1,25,138,56,219
Daniel Tinus,U.S. House,27,LIB,Aransas,1,0,4,3,7
James Duerr,U.S. House,27,IND,Aransas,1,0,11,6,17
Greg Abbott,Governor ,,REP,Aransas,1,71,657,242,970
Lupe Valdez,Governor ,,DEM,Aransas,1,23,125,51,199
Mark Jay Tippetts,Governor ,,LIB,Aransas,1,0,9,3,12
Dan Patrick,Lieutenant Governor,,REP,Aransas,1,65,629,222,916
Mike Collier,Lieutenant Governor,,DEM,Aransas,1,28,149,68,245
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Aransas,1,1,12,4,17
Ken Paxton,Attorney General ,,REP,Aransas,1,67,619,223,909
Justin Nelson,Attorney General ,,DEM,Aransas,1,26,153,64,243
Michael Ray Harris,Attorney General ,,LIB,Aransas,1,1,11,7,19
Glenn Hegar,Comptroller of Public Accounts,,REP,Aransas,1,69,641,222,932
Joi Chevalier,Comptroller of Public Accounts,,DEM,Aransas,1,22,127,55,204
Ben Sanders,Comptroller of Public Accounts,,LIB,Aransas,1,1,14,13,28
George P. Bush,Commissioner of the General Land Office,,REP,Aransas,1,67,630,230,927
Miguel Suazo,Commissioner of the General Land Office,,DEM,Aransas,1,22,129,56,207
Matt Pina,Commissioner of the General Land Office,,LIB,Aransas,1,4,27,8,39
Christi Craddick,Railroad Commissioner,,REP,Aransas,1,67,636,224,927
Roman McAllen,Railroad Commissioner,,DEM,Aransas,1,25,134,60,219
Mike Wright,Railroad Commissioner,,LIB,Aransas,1,2,12,7,21
Geanie W Morrison,State Representative,30,REP,Aransas,1,58,648,233,939
Robin Hayter,State Representative,30,DEM,Aransas,1,22,140,60,222
,Straight Party,,REP,Aransas,1A,27,285,141,453
,Straight Party,,DEM,Aransas,1A,5,74,41,120
,Straight Party,,LIB,Aransas,1A,0,2,1,3
,Straight Party,,IND,Aransas,1A,0,2,0,2
Ted Cruz,U.S. Senate,,REP,Aransas,1A,43,333,174,550
