candidate,office,district,party,county,precinct,absentee,early_voting,election_day,votes
Beto O'Rourke,U.S. Senate,,DEM,Aransas,1A,8,90,56,154
Neal M Dikeman,U.S. Senate,,LIB,Aransas,1A,0,3,2,5
Michael Cloud,U.S. House,27,REP,Aransas,1A,40,329,174,543
Eric Holguin,U.S. House,27,DEM,Aransas,1A,8,86,53,147
Daniel Tinus,U.S. House,27,LIB,Aransas,1A,0,3,4,7
James Duerr,U.S. House,27,IND,Aransas,1A,0,7,1,8
Greg Abbott,Governor ,,REP,Aransas,1A,43,345,185,573
Lupe Valdez,Governor ,,DEM,Aransas,1A,8,82,45,135
Mark Jay Tippetts,Governor ,,LIB,Aransas,1A,0,1,2,3
Dan Patrick,Lieutenant Governor,,REP,Aransas,1A,43,330,176,549
Mike Collier,Lieutenant Governor,,DEM,Aransas,1A,8,88,52,148
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Aransas,1A,0,8,4,12
Ken Paxton,Attorney General ,,REP,Aransas,1A,43,321,177,541
Justin Nelson,Attorney General ,,DEM,Aransas,1A,8,92,52,152
Michael Ray Harris,Attorney General ,,LIB,Aransas,1A,0,15,4,19
Glenn Hegar,Comptroller of Public Accounts,,REP,Aransas,1A,42,337,174,553
Joi Chevalier,Comptroller of Public Accounts,,DEM,Aransas,1A,8,83,51,142
Ben Sanders,Comptroller of Public Accounts,,LIB,Aransas,1A,1,4,7,12
George P. Bush,Commissioner of the General Land Office,,REP,Aransas,1A,39,313,166,518
Miguel Suazo,Commissioner of the General Land Office,,DEM,Aransas,1A,8,87,46,141
Matt Pina,Commissioner of the General Land Office,,LIB,Aransas,1A,2,27,20,49
Christi Craddick,Railroad Commissioner,,REP,Aransas,1A,41,335,168,544
Roman McAllen,Railroad Commissioner,,DEM,Aransas,1A,8,84,52,144
Mike Wright,Railroad Commissioner,,LIB,Aransas,1A,1,7,7,15
Geanie W Morrison,State Representative,30,REP,Aransas,1A,37,338,175,550
Robin Hayter,State Representative,30,DEM,Aransas,1A,8,87,53,148
,Straight Party,,REP,Aransas,2,56,539,183,778
,Straight Party,,DEM,Aransas,2,33,210,126,369
,Straight Party,,LIB,Aransas,2,0,3,2,5
,Straight Party,,IND,Aransas,2,0,20,21,41
Ted Cruz,U.S. Senate,,REP,Aransas,2,81,686,250,1017
Beto O'Rourke,U.S. Senate,,DEM,Aransas,2,63,273,175,511
Neal M Dikeman,U.S. Senate,,LIB,Aransas,2,1,7,4,12
Michael Cloud,U.S. House,27,REP,Aransas,2,87,679,245,1011
Eric Holguin,U.S. House,27,DEM,Aransas,2,59,251,163,473
Daniel Tinus,U.S. House,27,LIB,Aransas,2,1,11,2,14
James Duerr,U.S. House,27,IND,Aransas,2,0,21,17,38
Greg Abbott,Governor ,,REP,Aransas,2,89,708,285,1082
Lupe Valdez,Governor ,,DEM,Aransas,2,59,240,138,437
Mark Jay Tippetts,Governor ,,LIB,Aransas,2,1,13,4,18
Dan Patrick,Lieutenant Governor,,REP,Aransas,2,84,666,244,994
Mike Collier,Lieutenant Governor,,DEM,Aransas,2,61,273,165,499
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Aransas,2,3,18,10,31
Ken Paxton,Attorney General ,,REP,Aransas,2,84,661,250,995
Justin Nelson,Attorney General ,,DEM,Aransas,2,62,267,160,489
Michael Ray Harris,Attorney General ,,LIB,Aransas,2,2,28,12,42
Glenn Hegar,Comptroller of Public Accounts,,REP,Aransas,2,86,685,253,1024
Joi Chevalier,Comptroller of Public Accounts,,DEM,Aransas,2,57,241,149,447
Ben Sanders,Comptroller of Public Accounts,,LIB,Aransas,2,4,26,16,46
George P. Bush,Commissioner of the General Land Office,,REP,Aransas,2,88,673,253,1014
Miguel Suazo,Commissioner of the General Land Office,,DEM,Aransas,2,58,240,155,453
Matt Pina,Commissioner of the General Land Office,,LIB,Aransas,2,2,40,14,56
Christi Craddick,Railroad Commissioner,,REP,Aransas,2,86,675,254,1015
Roman McAllen,Railroad Commissioner,,DEM,Aransas,2,60,249,151,460
Mike Wright,Railroad Commissioner,,LIB,Aransas,2,2,30,13,45
Geanie W Morrison,State Representative,30,REP,Aransas,2,83,698,256,1037
Robin Hayter,State Representative,30,DEM,Aransas,2,57,261,165,483
,Straight Party,,REP,Aransas,3,158,1107,210,1475
,Straight Party,,DEM,Aransas,3,36,241,64,341
,Straight Party,,LIB,Aransas,3,0,1,3,4
,Straight Party,,IND,Aransas,3,0,33,10,43
Ted Cruz,U.S. Senate,,REP,Aransas,3,220,1393,282,1895
Beto O'Rourke,U.S. Senate,,DEM,Aransas,3,82,440,125,647
Neal M Dikeman,U.S. Senate,,LIB,Aransas,3,2,7,3,12
Michael Cloud,U.S. House,27,REP,Aransas,3,220,1413,292,1925
Eric Holguin,U.S. House,27,DEM,Aransas,3,79,382,99,560
Daniel Tinus,U.S. House,27,LIB,Aransas,3,1,9,5,15
James Duerr,U.S. House,27,IND,Aransas,3,4,27,11,42
Greg Abbott,Governor ,,REP,Aransas,3,233,1476,311,2020
Lupe Valdez,Governor ,,DEM,Aransas,3,74,341,85,500
Mark Jay Tippetts,Governor ,,LIB,Aransas,3,2,17,12,31
Dan Patrick,Lieutenant Governor,,REP,Aransas,3,222,1362,277,1861
Mike Collier,Lieutenant Governor,,DEM,Aransas,3,81,435,114,630
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Aransas,3,4,26,10,40
Ken Paxton,Attorney General ,,REP,Aransas,3,222,1379,274,1875
Justin Nelson,Attorney General ,,DEM,Aransas,3,82,419,117,618
Michael Ray Harris,Attorney General ,,LIB,Aransas,3,3,31,14,48
Glenn Hegar,Comptroller of Public Accounts,,REP,Aransas,3,225,1436,286,1947
Joi Chevalier,Comptroller of Public Accounts,,DEM,Aransas,3,74,337,96,507
Ben Sanders,Comptroller of Public Accounts,,LIB,Aransas,3,5,41,17,63
George P. Bush,Commissioner of the General Land Office,,REP,Aransas,3,228,1430,301,1959
Miguel Suazo,Commissioner of the General Land Office,,DEM,Aransas,3,71,336,88,495
Matt Pina,Commissioner of the General Land Office,,LIB,Aransas,3,5,56,15,76
Christi Craddick,Railroad Commissioner,,REP,Aransas,3,227,1414,286,1927
Roman McAllen,Railroad Commissioner,,DEM,Aransas,3,72,360,94,526
Mike Wright,Railroad Commissioner,,LIB,Aransas,3,3,41,19,63
Geanie W Morrison,State Representative,30,REP,Aransas,3,221,1436,292,1949
Robin Hayter,State Representative,30,DEM,Aransas,3,75,376,105,556
,Straight Party,,REP,Aransas,4,113,909,296,1318
,Straight Party,,DEM,Aransas,4,38,186,56,280
,Straight Party,,LIB,Aransas,4,0,7,0,7
,Straight Party,,IND,Aransas,4,0,40,13,53
Ted Cruz,U.S. Senate,,REP,Aransas,4,184,1164,378,1726
Beto O'Rourke,U.S. Senate,,DEM,Aransas,4,96,356,100,552
Neal M Dikeman,U.S. Senate,,LIB,Aransas,4,2,11,3,16
Michael Cloud,U.S. House,27,REP,Aransas,4,174,1164,384,1722
Eric Holguin,U.S. House,27,DEM,Aransas,4,96,325,71,492
Daniel Tinus,U.S. House,27,LIB,Aransas,4,1,11,4,16
James Duerr,U.S. House,27,IND,Aransas,4,1,24,18,43
Greg Abbott,Governor ,,REP,Aransas,4,202,1235,415,1852
Lupe Valdez,Governor ,,DEM,Aransas,4,79,272,59,410
Mark Jay Tippetts,Governor ,,LIB,Aransas,4,4,24,8,36
Dan Patrick,Lieutenant Governor,,REP,Aransas,4,187,1134,366,1687
Mike Collier,Lieutenant Governor,,DEM,Aransas,4,97,347,94,538
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Aransas,4,1,36,17,54
Ken Paxton,Attorney General ,,REP,Aransas,4,181,1132,373,1686
Justin Nelson,Attorney General ,,DEM,Aransas,4,99,350,87,536
Michael Ray Harris,Attorney General ,,LIB,Aransas,4,2,31,15,48
Glenn Hegar,Comptroller of Public Accounts,,REP,Aransas,4,193,1200,387,1780
Joi Chevalier,Comptroller of Public Accounts,,DEM,Aransas,4,86,279,76,441
Ben Sanders,Comptroller of Public Accounts,,LIB,Aransas,4,5,38,13,56
George P. Bush,Commissioner of the General Land Office,,REP,Aransas,4,188,1181,380,1749
Miguel Suazo,Commissioner of the General Land Office,,DEM,Aransas,4,89,287,74,450
Matt Pina,Commissioner of the General Land Office,,LIB,Aransas,4,5,52,23,80
Christi Craddick,Railroad Commissioner,,REP,Aransas,4,187,1177,385,1749
Roman McAllen,Railroad Commissioner,,DEM,Aransas,4,91,287,72,450
Mike Wright,Railroad Commissioner,,LIB,Aransas,4,3,42,16,61
Geanie W Morrison,State Representative,30,REP,Aransas,4,176,1198,387,1761
Robin Hayter,State Representative,30,DEM,Aransas,4,86,320,85,491
,Straight Party,,REP,Aransas,4A,33,302,96,431
,Straight Party,,DEM,Aransas,4A,7,63,20,90
,Straight Party,,LIB,Aransas,4A,0,1,0,1
,Straight Party,,IND,Aransas,4A,0,5,3,8
Ted Cruz,U.S. Senate,,REP,Aransas,4A,48,376,129,553
Beto O'Rourke,U.S. Senate,,DEM,Aransas,4A,18,98,30,146
Neal M Dikeman,U.S. Senate,,LIB,Aransas,4A,0,1,1,2
Michael Cloud,U.S. House,27,REP,Aransas,4A,47,380,125,552
Eric Holguin,U.S. House,27,DEM,Aransas,4A,17,88,25,130
Daniel Tinus,U.S. House,27,LIB,Aransas,4A,0,3,1,4
James Duerr,U.S. House,27,IND,Aransas,4A,0,3,6,9
Greg Abbott,Governor ,,REP,Aransas,4A,51,390,137,578
Lupe Valdez,Governor ,,DEM,Aransas,4A,15,81,20,116
Mark Jay Tippetts,Governor ,,LIB,Aransas,4A,0,6,2,8
Dan Patrick,Lieutenant Governor,,REP,Aransas,4A,48,378,124,550
Mike Collier,Lieutenant Governor,,DEM,Aransas,4A,18,95,30,143
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Aransas,4A,0,4,3,7
Ken Paxton,Attorney General ,,REP,Aransas,4A,50,373,121,544
Justin Nelson,Attorney General ,,DEM,Aransas,4A,15,95,33,143
Michael Ray Harris,Attorney General ,,LIB,Aransas,4A,1,6,2,9
Glenn Hegar,Comptroller of Public Accounts,,REP,Aransas,4A,51,385,128,564
Joi Chevalier,Comptroller of Public Accounts,,DEM,Aransas,4A,13,85,23,121
Ben Sanders,Comptroller of Public Accounts,,LIB,Aransas,4A,1,7,7,15
George P. Bush,Commissioner of the General Land Office,,REP,Aransas,4A,52,372,129,553
Miguel Suazo,Commissioner of the General Land Office,,DEM,Aransas,4A,10,90,25,125
Matt Pina,Commissioner of the General Land Office,,LIB,Aransas,4A,3,11,5,13
Christi Craddick,Railroad Commissioner,,REP,Aransas,4A,51,386,130,567
Roman McAllen,Railroad Commissioner,,DEM,Aransas,4A,15,83,25,123
Mike Wright,Railroad Commissioner,,LIB,Aransas,4A,0,6,4,10
Geanie W Morrison,State Representative,30,REP,Aransas,4A,45,380,135,560
Robin Hayter,State Representative,30,DEM,Aransas,4A,14,93,23,130
