county,office,district,party,candidate,incumbent,votes,pct
ANDERSON,U. S. Senator,,DEM,Edward Kimbrough,False,334,38.48
ANDERSON,U. S. Senator,,DEM,Beto O'Rourke,False,330,38.02
ANDERSON,U. S. Senator,,DEM,Sema Hernandez,False,204,23.50
ANDERSON,U. S. Senator,,,Total,,868,
ANDERSON,U. S. Representative,5,DEM,Dan Wood,False,758,100.00
ANDERSON,U. S. Representative,5,,Total,,758,
ANDERSON,Governor,,DEM,James Jolly Clark,False,26,2.94
ANDERSON,Governor,,DEM,"Cedric Davis, Sr.",False,97,10.96
ANDERSON,Governor,,DEM,Joe Mumbach,False,8,0.90
ANDERSON,Governor,,DEM,Adrian Ocegueda,False,20,2.26
ANDERSON,Governor,,DEM,Jeffrey Payne,False,54,6.10
ANDERSON,Governor,,DEM,Lupe Valdez,False,361,40.79
ANDERSON,Governor,,DEM,Tom Wakely,False,59,6.67
ANDERSON,Governor,,DEM,Andrew White,False,157,17.74
ANDERSON,Governor,,DEM,Grady Yarbrough,False,103,11.64
ANDERSON,Governor,,,Total,,885,
ANDERSON,Lieutenant Governor,,DEM,Mike Collier,False,371,43.85
ANDERSON,Lieutenant Governor,,DEM,Michael Cooper,False,475,56.15
ANDERSON,Lieutenant Governor,,,Total,,846,
ANDERSON,Attorney General,,DEM,Justin Nelson,False,747,100.00
ANDERSON,Attorney General,,,Total,,747,
ANDERSON,Comptroller of Public Accounts,,DEM,Joi Chevalier,False,361,43.08
ANDERSON,Comptroller of Public Accounts,,DEM,Tim Mahoney,False,477,56.92
ANDERSON,Comptroller of Public Accounts,,,Total,,838,
ANDERSON,Commissioner of the General Land Office,,DEM,Tex Morgan,False,355,41.76
ANDERSON,Commissioner of the General Land Office,,DEM,Miguel Suazo,False,495,58.24
ANDERSON,Commissioner of the General Land Office,,,Total,,850,
ANDERSON,Commissioner of Agriculture,,DEM,Kim Olson,False,776,100.00
ANDERSON,Commissioner of Agriculture,,,Total,,776,
ANDERSON,Railroad Commissioner,,DEM,Roman McAllen,False,431,52.37
ANDERSON,Railroad Commissioner,,DEM,Chris Spellmon,False,392,47.63
ANDERSON,Railroad Commissioner,,,Total,,823,
ANDERSON,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,False,779,100.00
ANDERSON,"Justice, Supreme Court, Place 2",,,Total,,779,
ANDERSON,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,False,776,100.00
ANDERSON,"Justice, Supreme Court, Place 4",,,Total,,776,
