county,precinct,office,district,party,candidate,votes,election_day,early_voting,mail,provisional,limited
Kleberg,0001 Precinct 11,,,,Registered Voters,1819,,,,,
Kleberg,0001 Precinct 11,,,,Ballots Cast,940,287,547,64,1,41
Kleberg,0001 Precinct 11,Straight Party,,REP,Republican Party,213,69,126,14,0,4
Kleberg,0001 Precinct 11,Straight Party,,DEM,Democratic Party,131,35,77,16,1,2
Kleberg,0001 Precinct 11,Straight Party,,LIB,Libertarian Party,7,2,5,0,0,0
Kleberg,0001 Precinct 11,U.S. Senate,,REP,Ted Cruz,531,167,320,27,0,17
Kleberg,0001 Precinct 11,U.S. Senate,,DEM,Beto O'Rourke,394,119,220,31,1,23
Kleberg,0001 Precinct 11,U.S. Senate,,LIB,Neal M. Dikeman,11,1,5,4,0,1
Kleberg,0001 Precinct 11,U.S. House,34,REP,Rey Gonzalez,521,160,325,33,0,3
Kleberg,0001 Precinct 11,U.S. House,34,DEM,Filemon B. Vela,375,117,213,30,1,14
Kleberg,0001 Precinct 11,Governor,,REP,Greg Abbott,603,198,355,34,0,16
Kleberg,0001 Precinct 11,Governor,,DEM,Lupe Valdez,314,86,177,28,1,22
Kleberg,0001 Precinct 11,Governor,,LIB,Mark Jay Tippetts,18,2,12,1,0,3
Kleberg,0001 Precinct 11,Lieutenant Governor,,REP,Dan Patrick,521,158,320,28,0,15
Kleberg,0001 Precinct 11,Lieutenant Governor,,DEM,Mike Collier,362,111,193,31,1,26
Kleberg,0001 Precinct 11,Lieutenant Governor,,LIB,Kerry Douglas McKennon,33,6,23,4,0,0
Kleberg,0001 Precinct 11,Attorney General,,REP,Ken Paxton,518,157,317,28,0,16
Kleberg,0001 Precinct 11,Attorney General,,DEM,Justin Nelson,358,111,189,32,1,25
Kleberg,0001 Precinct 11,Attorney General,,LIB,Michael Ray Harris,37,7,27,3,0,0
Kleberg,0001 Precinct 11,Comptroller of Public Accounts,,REP,Glenn Hegar,512,153,312,29,0,18
Kleberg,0001 Precinct 11,Comptroller of Public Accounts,,DEM,Joi Chevalier,338,105,179,32,1,21
Kleberg,0001 Precinct 11,Commissioner of the General Land Office,,REP,George P. Bush,553,167,338,31,0,17
Kleberg,0001 Precinct 11,Commissioner of the General Land Office,,DEM,Miguel Suazo,330,101,174,31,1,23
Kleberg,0001 Precinct 11,Commissioner of the General Land Office,,LIB,Matt Pina,36,9,25,1,0,1
Kleberg,0001 Precinct 11,Commissioner of Agriculture,,REP,Sid Miller,499,141,309,33,0,16
Kleberg,0001 Precinct 11,Commissioner of Agriculture,,DEM,Kim Olson,365,118,192,29,1,25
Kleberg,0001 Precinct 11,Commissioner of Agriculture,,LIB,Richard Carpenter,36,12,24,0,0,0
Kleberg,0001 Precinct 11,Railroad Commissioner,,REP,Christi Craddick,514,146,327,26,0,15
Kleberg,0001 Precinct 11,Railroad Commissioner,,DEM,Roman McAllen,342,110,179,28,1,24
Kleberg,0001 Precinct 11,Railroad Commissioner,,LIB,Mike Wright,39,12,22,3,0,2
Kleberg,0001 Precinct 11,State Representative,43,REP,J.M. Lozano,590,180,374,31,0,5
Kleberg,0001 Precinct 11,State Representative,43,DEM,Dee Ann Torres Miller,301,102,166,27,1,5
Kleberg,0002 Precinct 12,,,,Registered Voters,1309,,,,,
Kleberg,0002 Precinct 12,,,,Ballots Cast,673,213,414,42,4,0
Kleberg,0002 Precinct 12,Straight Party,,REP,Republican Party,157,42,104,9,2,0
Kleberg,0002 Precinct 12,Straight Party,,DEM,Democratic Party,100,41,50,8,1,0
Kleberg,0002 Precinct 12,Straight Party,,LIB,Libertarian Party,4,2,2,0,0,0
Kleberg,0002 Precinct 12,U.S. Senate,,REP,Ted Cruz,413,121,270,20,2,0
Kleberg,0002 Precinct 12,U.S. Senate,,DEM,Beto O'Rourke,250,90,140,19,1,0
Kleberg,0002 Precinct 12,U.S. Senate,,LIB,Neal M. Dikeman,6,0,3,2,1,0
Kleberg,0002 Precinct 12,U.S. House,34,REP,Rey Gonzalez,393,116,255,20,2,0
Kleberg,0002 Precinct 12,U.S. House,34,DEM,Filemon B. Vela,261,91,148,20,2,0
Kleberg,0002 Precinct 12,Governor,,REP,Greg Abbott,462,144,290,25,3,0
Kleberg,0002 Precinct 12,Governor,,DEM,Lupe Valdez,197,68,112,16,1,0
Kleberg,0002 Precinct 12,Governor,,LIB,Mark Jay Tippetts,8,0,8,0,0,0
Kleberg,0002 Precinct 12,Lieutenant Governor,,REP,Dan Patrick,408,119,266,20,3,0
Kleberg,0002 Precinct 12,Lieutenant Governor,,DEM,Mike Collier,235,86,128,20,1,0
Kleberg,0002 Precinct 12,Lieutenant Governor,,LIB,Kerry Douglas McKennon,10,2,7,1,0,0
Kleberg,0002 Precinct 12,Attorney General,,REP,Ken Paxton,398,121,256,19,2,0
Kleberg,0002 Precinct 12,Attorney General,,DEM,Justin Nelson,242,83,136,21,2,0
Kleberg,0002 Precinct 12,Attorney General,,LIB,Michael Ray Harris,14,4,9,1,0,0
Kleberg,0002 Precinct 12,Comptroller of Public Accounts,,REP,Glenn Hegar,397,116,261,18,2,0
Kleberg,0002 Precinct 12,Comptroller of Public Accounts,,DEM,Joi Chevalier,219,76,121,21,1,0
Kleberg,0002 Precinct 12,Commissioner of the General Land Office,,REP,George P. Bush,416,120,270,24,2,0
Kleberg,0002 Precinct 12,Commissioner of the General Land Office,,DEM,Miguel Suazo,218,80,121,16,1,0
Kleberg,0002 Precinct 12,Commissioner of the General Land Office,,LIB,Matt Pina,19,6,11,1,1,0
Kleberg,0002 Precinct 12,Commissioner of Agriculture,,REP,Sid Miller,391,116,254,19,2,0
Kleberg,0002 Precinct 12,Commissioner of Agriculture,,DEM,Kim Olson,244,84,136,22,2,0
Kleberg,0002 Precinct 12,Commissioner of Agriculture,,LIB,Richard Carpenter,11,4,6,1,0,0
Kleberg,0002 Precinct 12,Railroad Commissioner,,REP,Christi Craddick,390,112,254,22,2,0
Kleberg,0002 Precinct 12,Railroad Commissioner,,DEM,Roman McAllen,227,79,128,18,2,0
Kleberg,0002 Precinct 12,Railroad Commissioner,,LIB,Mike Wright,27,12,14,1,0,0
Kleberg,0002 Precinct 12,State Representative,43,REP,J.M. Lozano,458,136,295,24,3,0
Kleberg,0002 Precinct 12,State Representative,43,DEM,Dee Ann Torres Miller,206,74,114,17,1,0
Kleberg,0003 Precinct 13,,,,Registered Voters,1342,,,,,
Kleberg,0003 Precinct 13,,,,Ballots Cast,720,241,414,62,3,0
Kleberg,0003 Precinct 13,Straight Party,,REP,Republican Party,130,46,76,7,1,0
Kleberg,0003 Precinct 13,Straight Party,,DEM,Democratic Party,189,67,101,20,1,0
Kleberg,0003 Precinct 13,Straight Party,,LIB,Libertarian Party,4,2,2,0,0,0
Kleberg,0003 Precinct 13,U.S. Senate,,REP,Ted Cruz,286,95,169,21,1,0
Kleberg,0003 Precinct 13,U.S. Senate,,DEM,Beto O'Rourke,418,139,238,39,2,0
Kleberg,0003 Precinct 13,U.S. Senate,,LIB,Neal M. Dikeman,7,4,3,0,0,0
Kleberg,0003 Precinct 13,U.S. House,34,REP,Rey Gonzalez,278,97,162,18,1,0
Kleberg,0003 Precinct 13,U.S. House,34,DEM,Filemon B. Vela,420,137,237,44,2,0
Kleberg,0003 Precinct 13,Governor,,REP,Greg Abbott,354,127,201,24,2,0
Kleberg,0003 Precinct 13,Governor,,DEM,Lupe Valdez,351,108,204,38,1,0
Kleberg,0003 Precinct 13,Governor,,LIB,Mark Jay Tippetts,7,4,3,0,0,0
