county,precinct,precinct_name,office,district,candidate,party,early_voting,election_day,votes
Bee,1,Community Affairs,Attorney General,,Justin  Nelson,DEM,262,130,392
Bee,1,Community Affairs,Attorney General,,Ken  Paxton,REP,439,121,560
Bee,1,Community Affairs,Attorney General,,Michael Ray Harris,LIB,15,10,25
Bee,1-PTSD,Comm. Affairs,Attorney General,,Justin  Nelson,DEM,0,0,0
Bee,1-PTSD,Comm. Affairs,Attorney General,,Ken  Paxton,REP,2,0,2
Bee,1-PTSD,Comm. Affairs,Attorney General,,Michael Ray Harris,LIB,0,0,0
Bee,10,St. James,Attorney General,,Justin  Nelson,DEM,169,138,307
Bee,10,St. James,Attorney General,,Ken  Paxton,REP,123,69,192
Bee,10,St. James,Attorney General,,Michael Ray Harris,LIB,13,8,21
Bee,11,Mineral Baptist ,Attorney General,,Justin  Nelson,DEM,20,27,47
Bee,11,Mineral Baptist ,Attorney General,,Ken  Paxton,REP,36,53,89
Bee,11,Mineral Baptist ,Attorney General,,Michael Ray Harris,LIB,3,0,3
Bee,12,Pettus Comm. Ctr.,Attorney General,,Justin  Nelson,DEM,25,29,54
Bee,12,Pettus Comm. Ctr.,Attorney General,,Ken  Paxton,REP,63,53,116
Bee,12,Pettus Comm. Ctr.,Attorney General,,Michael Ray Harris,LIB,0,2,2
Bee,13,Bee Co. Expo,Attorney General,,Justin  Nelson,DEM,122,82,204
Bee,13,Bee Co. Expo,Attorney General,,Ken  Paxton,REP,256,116,372
Bee,13,Bee Co. Expo,Attorney General,,Michael Ray Harris,LIB,11,8,19
Bee,13-STSD,Bee Co. Expo,Attorney General,,Justin  Nelson,DEM,4,6,10
Bee,13-STSD,Bee Co. Expo,Attorney General,,Ken  Paxton,REP,34,17,51
Bee,13-STSD,Bee Co. Expo,Attorney General,,Michael Ray Harris,LIB,0,0,0
Bee,14,Skidmore Cath. Church,Attorney General,,Justin  Nelson,DEM,34,15,49
Bee,14,Skidmore Cath. Church,Attorney General,,Ken  Paxton,REP,27,25,52
Bee,14,Skidmore Cath. Church,Attorney General,,Michael Ray Harris,LIB,1,0,1
Bee,14-MISD,Skidmore Cath. Church,Attorney General,,Justin  Nelson,DEM,1,3,4
Bee,14-MISD,Skidmore Cath. Church,Attorney General,,Ken  Paxton,REP,13,14,27
Bee,14-MISD,Skidmore Cath. Church,Attorney General,,Michael Ray Harris,LIB,0,0,0
Bee,16,Faith Lutheran,Attorney General,,Justin  Nelson,DEM,141,61,202
Bee,16,Faith Lutheran,Attorney General,,Ken  Paxton,REP,217,69,286
Bee,16,Faith Lutheran,Attorney General,,Michael Ray Harris,LIB,16,5,21
Bee,17,Police Training Ctr,Attorney General,,Justin  Nelson,DEM,174,70,244
Bee,17,Police Training Ctr,Attorney General,,Ken  Paxton,REP,186,64,250
Bee,17,Police Training Ctr,Attorney General,,Michael Ray Harris,LIB,2,6,8
Bee,18,Newman Catholic Stu Ctr,Attorney General,,Justin  Nelson,DEM,186,70,256
Bee,18,Newman Catholic Stu Ctr,Attorney General,,Ken  Paxton,REP,517,148,665
Bee,18,Newman Catholic Stu Ctr,Attorney General,,Michael Ray Harris,LIB,20,7,27
Bee,18-PTSD,Newman Catholic Stu Ctr,Attorney General,,Justin  Nelson,DEM,1,0,1
Bee,18-PTSD,Newman Catholic Stu Ctr,Attorney General,,Ken  Paxton,REP,6,0,6
Bee,18-PTSD,Newman Catholic Stu Ctr,Attorney General,,Michael Ray Harris,LIB,0,0,0
Bee,19,Police Training Ctr,Attorney General,,Justin  Nelson,DEM,102,54,156
Bee,19,Police Training Ctr,Attorney General,,Ken  Paxton,REP,40,24,64
Bee,19,Police Training Ctr,Attorney General,,Michael Ray Harris,LIB,4,3,7
Bee,2,Mineral Baptist ,Attorney General,,Justin  Nelson,DEM,6,3,9
Bee,2,Mineral Baptist ,Attorney General,,Ken  Paxton,REP,41,31,72
Bee,2,Mineral Baptist ,Attorney General,,Michael Ray Harris,LIB,0,0,0
Bee,2-PTSD,Mineral Baptist ,Attorney General,,Justin  Nelson,DEM,4,1,5
Bee,2-PTSD,Mineral Baptist ,Attorney General,,Ken  Paxton,REP,42,37,79
