county,precinct,office,district,candidate,party,early_voting,election_day,votes
Menard,2,Railroad Commissioner,,Christi Craddick,REP,93,52,145
Menard,2,Railroad Commissioner,,Roman McAllen,DEM,16,10,26
Menard,2,Railroad Commissioner,,Mike Wright,LIB,3,2,5
Menard,2,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,,91,52,143
Menard,2,"Justice, Supreme Court, Place 2",,Steven Kirkland,,20,12,32
Menard,2,"Justice, Supreme Court, Place 4",,John Devine,,91,52,143
Menard,2,"Justice, Supreme Court, Place 4",,R.K. Sandill,,20,12,32
Menard,2,"Justice, Supreme Court, Place 6",,Jeff Brown,,92,51,143
Menard,2,"Justice, Supreme Court, Place 6",,Kathy Cheng,,19,11,30
Menard,2,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,,90,50,140
Menard,2,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,,19,10,29
Menard,2,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,,2,0,2
Menard,2,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,,94,49,143
Menard,2,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,,17,11,28
Menard,2,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,,94,50,144
Menard,2,"Judge, Court of Criminal Appeals, Place 8",,Mark Ash,,8,5,13
Menard,2,State Representative,53,Andrew S. Murr,REP,99,54,153
Menard,2,State Representative,53,Stephanie Lochte Ertel,DEM,15,8,23
Menard,2,"Justice, 4th Court of Appeals District, Place No. 2",,Marialyn Barnard,,91,51,142
Menard,2,"Justice, 4th Court of Appeals District, Place No. 2",,Beth Watkins,,19,9,28
Menard,2,"Justice, 4th Court of Appeals District, Place No. 3",,Jason Pulliam,,94,48,142
Menard,2,"Justice, 4th Court of Appeals District, Place No. 3",,Patricia O'Connell Alvarez,,17,12,29
Menard,2,"Justice, 4th Court of Appeals District, Place No. 4",,Patrick Ballantyne,,91,48,139
Menard,2,"Justice, 4th Court of Appeals District, Place No. 4",,Luz Elena Chapa,,19,12,31
Menard,2,"Justice, 4th Court of Appeals District, Place No. 5",,Rebecca Simmons,,92,49,141
Menard,2,"Justice, 4th Court of Appeals District, Place No. 5",,Liza Rodriguez,,19,11,30
Menard,2,"Justice, 4th Court of Appeals District, Place No. 7",,Shane Stolarczyk,,89,48,137
Menard,2,"Justice, 4th Court of Appeals District, Place No. 7",,Rebeca Martinez,,21,12,33
Menard,2,"District Judge, 452nd Judicial District",,"Robert R. ""Rob"" Hofmann",,105,59,164
Menard,2,"District Attorney, 452nd Judicial District",,Tonya Spaeth Ahlschwede,,101,59,160
Menard,3,Straight Party,,Republican Party,REP,99,26,125
Menard,3,Straight Party,,Democratic Party,DEM,20,3,23
Menard,3,Straight Party,,Libertarian Party,LIB,0,0,0
Menard,3,U.S. Senate,,Ted Cruz,REP,134,38,172
Menard,3,U.S. Senate,,Beto O'Rourke,DEM,27,6,33
Menard,3,U.S. Senate,,Neal M. Dikeman,LIB,1,2,3
Menard,3,U.S. House,11,Mike Conaway,REP,138,43,181
Menard,3,U.S. House,11,Jennie Lou Leeder,DEM,24,3,27
Menard,3,U.S. House,11,Rhett Rosenquest Smith,LIB,1,0,1
Menard,3,Governor,,Greg Abbott,REP,135,40,175
Menard,3,Governor,,Lupe Valdez,DEM,27,4,31
Menard,3,Governor,,Mark Jay Tippetts,LIB,0,0,0
Menard,3,Lieutenant Governor,,Dan Patrick,REP,127,34,161
Menard,3,Lieutenant Governor,,Mike Collier,DEM,28,7,35
Menard,3,Lieutenant Governor,,Kerry Douglas McKennon,LIB,5,4,9
Menard,3,Attorney General,,Ken Paxton,REP,129,35,164
Menard,3,Attorney General,,Justin Nelson,DEM,31,8,39
Menard,3,Attorney General,,Michael Ray Harris,LIB,1,0,1
Menard,3,Comptroller of Public Accounts,,Glenn Hegar,REP,129,36,165
Menard,3,Comptroller of Public Accounts,,Joi Chevalier,DEM,29,6,35
Menard,3,Comptroller of Public Accounts,,Ben Sanders,LIB,3,0,3
Menard,3,Commissioner of the General Land Office,,George P. Bush,REP,129,38,167
Menard,3,Commissioner of the General Land Office,,Miguel Suazo,DEM,31,7,38
Menard,3,Commissioner of the General Land Office,,Matt Pi–a,LIB,2,0,2
Menard,3,Commissioner of Agriculture,,Sid Miller,REP,130,36,166
Menard,3,Commissioner of Agriculture,,Kim Olson,DEM,29,8,37
Menard,3,Commissioner of Agriculture,,Richard Carpenter,LIB,4,1,5
Menard,3,Railroad Commissioner,,Christi Craddick,REP,129,37,166
Menard,3,Railroad Commissioner,,Roman McAllen,DEM,28,6,34
Menard,3,Railroad Commissioner,,Mike Wright,LIB,3,1,4
Menard,3,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,,133,37,170
Menard,3,"Justice, Supreme Court, Place 2",,Steven Kirkland,,28,6,34
Menard,3,"Justice, Supreme Court, Place 4",,John Devine,,133,37,170
Menard,3,"Justice, Supreme Court, Place 4",,R.K. Sandill,,28,6,34
Menard,3,"Justice, Supreme Court, Place 6",,Jeff Brown,,132,35,167
Menard,3,"Justice, Supreme Court, Place 6",,Kathy Cheng,,29,7,36
Menard,3,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,,132,36,168
Menard,3,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,,28,6,34
Menard,3,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,,1,0,1
Menard,3,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,,132,37,169
Menard,3,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,,28,6,34
Menard,3,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,,133,38,171
Menard,3,"Judge, Court of Criminal Appeals, Place 8",,Mark Ash,,7,3,10
Menard,3,State Representative,53,Andrew S. Murr,REP,136,39,175
Menard,3,State Representative,53,Stephanie Lochte Ertel,DEM,26,5,31
Menard,3,"Justice, 4th Court of Appeals District, Place No. 2",,Marialyn Barnard,,132,35,167
Menard,3,"Justice, 4th Court of Appeals District, Place No. 2",,Beth Watkins,,28,6,34
Menard,3,"Justice, 4th Court of Appeals District, Place No. 3",,Jason Pulliam,,133,34,167
Menard,3,"Justice, 4th Court of Appeals District, Place No. 3",,Patricia O'Connell Alvarez,,27,7,34
Menard,3,"Justice, 4th Court of Appeals District, Place No. 4",,Patrick Ballantyne,,131,34,165
Menard,3,"Justice, 4th Court of Appeals District, Place No. 4",,Luz Elena Chapa,,29,7,36
Menard,3,"Justice, 4th Court of Appeals District, Place No. 5",,Rebecca Simmons,,132,35,167
Menard,3,"Justice, 4th Court of Appeals District, Place No. 5",,Liza Rodriguez,,28,6,34
Menard,3,"Justice, 4th Court of Appeals District, Place No. 7",,Shane Stolarczyk,,132,34,166
Menard,3,"Justice, 4th Court of Appeals District, Place No. 7",,Rebeca Martinez,,28,7,35
Menard,3,"District Judge, 452nd Judicial District",,"Robert R. ""Rob"" Hofmann",,140,40,180
Menard,3,"District Attorney, 452nd Judicial District",,Tonya Spaeth Ahlschwede,,140,41,181
Menard,4,Straight Party,,Republican Party,REP,44,23,67
Menard,4,Straight Party,,Democratic Party,DEM,10,4,14
Menard,4,Straight Party,,Libertarian Party,LIB,0,0,0
Menard,4,U.S. Senate,,Ted Cruz,REP,73,36,109
Menard,4,U.S. Senate,,Beto O'Rourke,DEM,19,8,27
Menard,4,U.S. Senate,,Neal M. Dikeman,LIB,1,0,1
Menard,4,U.S. House,11,Mike Conaway,REP,76,39,115
Menard,4,U.S. House,11,Jennie Lou Leeder,DEM,17,4,21
Menard,4,U.S. House,11,Rhett Rosenquest Smith,LIB,1,1,2
Menard,4,Governor,,Greg Abbott,REP,77,39,116
Menard,4,Governor,,Lupe Valdez,DEM,16,4,20
Menard,4,Governor,,Mark Jay Tippetts,LIB,1,1,2
Menard,4,Lieutenant Governor,,Dan Patrick,REP,69,34,103
Menard,4,Lieutenant Governor,,Mike Collier,DEM,20,10,30
Menard,4,Lieutenant Governor,,Kerry Douglas McKennon,LIB,3,0,3
Menard,4,Attorney General,,Ken Paxton,REP,71,35,106
Menard,4,Attorney General,,Justin Nelson,DEM,17,8,25
Menard,4,Attorney General,,Michael Ray Harris,LIB,2,1,3
Menard,4,Comptroller of Public Accounts,,Glenn Hegar,REP,72,38,110
Menard,4,Comptroller of Public Accounts,,Joi Chevalier,DEM,16,5,21
Menard,4,Comptroller of Public Accounts,,Ben Sanders,LIB,3,1,4
Menard,4,Commissioner of the General Land Office,,George P. Bush,REP,71,39,110
Menard,4,Commissioner of the General Land Office,,Miguel Suazo,DEM,15,5,20
Menard,4,Commissioner of the General Land Office,,Matt Pi–a,LIB,6,0,6
Menard,4,Commissioner of Agriculture,,Sid Miller,REP,76,36,112
Menard,4,Commissioner of Agriculture,,Kim Olson,DEM,16,7,23
Menard,4,Commissioner of Agriculture,,Richard Carpenter,LIB,2,0,2
Menard,4,Railroad Commissioner,,Christi Craddick,REP,74,36,110
Menard,4,Railroad Commissioner,,Roman McAllen,DEM,15,7,22
Menard,4,Railroad Commissioner,,Mike Wright,LIB,3,1,4
Menard,4,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,,72,36,108
Menard,4,"Justice, Supreme Court, Place 2",,Steven Kirkland,,18,7,25
Menard,4,"Justice, Supreme Court, Place 4",,John Devine,,75,37,112
Menard,4,"Justice, Supreme Court, Place 4",,R.K. Sandill,,16,5,21
Menard,4,"Justice, Supreme Court, Place 6",,Jeff Brown,,74,37,111
Menard,4,"Justice, Supreme Court, Place 6",,Kathy Cheng,,17,6,23
Menard,4,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,,73,36,109
Menard,4,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,,16,7,23
Menard,4,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,,2,0,2
Menard,4,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,,74,36,110
Menard,4,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,,17,7,24
Menard,4,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,,74,36,110
Menard,4,"Judge, Court of Criminal Appeals, Place 8",,Mark Ash,,6,3,9
Menard,4,State Representative,53,Andrew S. Murr,REP,79,37,116
Menard,4,State Representative,53,Stephanie Lochte Ertel,DEM,14,6,20
Menard,4,"Justice, 4th Court of Appeals District, Place No. 2",,Marialyn Barnard,,73,36,109
Menard,4,"Justice, 4th Court of Appeals District, Place No. 2",,Beth Watkins,,18,7,25
Menard,4,"Justice, 4th Court of Appeals District, Place No. 3",,Jason Pulliam,,75,36,111
Menard,4,"Justice, 4th Court of Appeals District, Place No. 3",,Patricia O'Connell Alvarez,,16,7,23
Menard,4,"Justice, 4th Court of Appeals District, Place No. 4",,Patrick Ballantyne,,75,37,112
