county,precinct,office,district,party,candidate,election_day,early_voting,votes
Hansford,1,Straight Party,,REP,Republican,101,119,220
Hansford,1,Straight Party,,DEM,Democratic,6,4,10
Hansford,1,Straight Party,,LIB,Libertarian,1,0,1
Hansford,1,U.S. Senate,,REP,Ted Cruz,162,187,349
Hansford,1,U.S. Senate,,DEM,Beto O'Rourke,24,4,28
Hansford,1,U.S. Senate,,LIB,Neal M. Dikeman,2,0,2
Hansford,1,U.S. House,13,REP,Mac Thornberry,162,183,345
Hansford,1,U.S. House,13,DEM,Greg Sagan,15,12,27
Hansford,1,U.S. House,13,LIB,Calvin DeWeese,6,3,9
Hansford,1,Governor,,REP,Greg Abbott,158,184,342
Hansford,1,Governor,,DEM,Lupe Valdez,24,11,35
Hansford,1,Governor,,LIB,Mark Jay Tippetts,6,1,7
Hansford,1,Lieutenant Governor,,REP,Dan Patrick,145,169,314
Hansford,1,Lieutenant Governor,,DEM,Mike Collier,26,25,51
Hansford,1,Lieutenant Governor,,LIB,Kerry Douglas McKennon,8,3,11
Hansford,1,Attorney General,,REP,Ken Paxton,152,174,326
Hansford,1,Attorney General,,DEM,Justin Nelson,19,21,40
Hansford,1,Attorney General,,LIB,Michael Ray Harris,8,1,9
Hansford,1,Comptroller of Public Accounts,,REP,Glenn Hegar,150,179,329
Hansford,1,Comptroller of Public Accounts,,DEM,Joi Chevalier,15,10,25
Hansford,1,Comptroller of Public Accounts,,LIB,Ben Sanders,12,2,14
Hansford,1,Commissioner of The General Land Office,,REP,George P. Bush,152,180,332
Hansford,1,Commissioner of The General Land Office,,DEM,Miguel Suazo,18,9,27
Hansford,1,Commissioner of The General Land Office,,LIB,Matt Pina,8,6,14
Hansford,1,Commissioner of Agriculture,,REP,Sid Miller,150,177,327
Hansford,1,Commissioner of Agriculture,,DEM,Kim Olson,24,15,39
Hansford,1,Commissioner of Agriculture,,LIB,Richard Carpenter,5,3,8
Hansford,1,Railroad Commissioner,,REP,Christi Craddick,151,185,336
Hansford,1,Railroad Commissioner,,DEM,Roman McAllen,18,10,28
Hansford,1,Railroad Commissioner,,LIB,Mike Wright,10,2,12
Hansford,1,State Senate,31,REP,Kel Seliger,160,182,342
Hansford,1,State Senate,31,LIB,Jack B. Westbrook,16,7,23
Hansford,1,State Representative,88,REP,Ken King,158,183,341
Hansford,1,State Representative,88,DEM,Ezekiel Barron,24,11,35
Hansford,2,Straight Party,,REP,Republican,8,8,16
Hansford,2,Straight Party,,DEM,Democratic,0,0,0
Hansford,2,Straight Party,,LIB,Libertarian,0,0,0
Hansford,2,U.S. Senate,,REP,Ted Cruz,10,12,22
Hansford,2,U.S. Senate,,DEM,Beto O'Rourke,2,6,8
Hansford,2,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0
Hansford,2,U.S. House,13,REP,Mac Thornberry,11,14,25
Hansford,2,U.S. House,13,DEM,Greg Sagan,1,4,5
Hansford,2,U.S. House,13,LIB,Calvin DeWeese,0,0,0
Hansford,2,Governor,,REP,Greg Abbott,12,13,25
Hansford,2,Governor,,DEM,Lupe Valdez,0,4,4
Hansford,2,Governor,,LIB,Mark Jay Tippetts,1,1,2
Hansford,2,Lieutenant Governor,,REP,Dan Patrick,11,12,23
Hansford,2,Lieutenant Governor,,DEM,Mike Collier,2,5,7
