county,precinct,precinct_name,office,district,party,candidate,votes,election_day,early_voting
Delta,1,NEW LIFE BAPTIST CHURCH,Comptroller of Public Accounts,,REP,Glenn Hegar,195,77,118
Delta,10,PECAN GAP COMMUNITY CTR,Comptroller of Public Accounts,,REP,Glenn Hegar,99,57,42
Delta,3,DELTA CO CIVIC CENTER,Comptroller of Public Accounts,,REP,Glenn Hegar,77,23,54
Delta,4,FIRST BAPTIST CHURCH,Comptroller of Public Accounts,,REP,Glenn Hegar,120,33,87
Delta,5,KLONDIKE COMMUNITY CENTER,Comptroller of Public Accounts,,REP,Glenn Hegar,177,92,85
Delta,7,ENLOE COMMUNITY CENTER,Comptroller of Public Accounts,,REP,Glenn Hegar,69,44,25
Delta,9,EAST DELTA COMMUNITY CTR,Comptroller of Public Accounts,,REP,Glenn Hegar,76,49,27
Delta,1,NEW LIFE BAPTIST CHURCH,U.S. Senate,,REP,Bruce Jacobson,19,9,10
Delta,1,NEW LIFE BAPTIST CHURCH,U.S. Senate,,REP,Geraldine Sam,2,1,1
Delta,1,NEW LIFE BAPTIST CHURCH,U.S. Senate,,REP,Mary Miller,19,7,12
Delta,1,NEW LIFE BAPTIST CHURCH,U.S. Senate,,REP,Rafael  Cruz,214,84,130
Delta,1,NEW LIFE BAPTIST CHURCH,U.S. Senate,,REP,Stefano de Stefano IV,3,0,3
Delta,10,PECAN GAP COMMUNITY CTR,U.S. Senate,,REP,Bruce Jacobson,7,5,2
Delta,10,PECAN GAP COMMUNITY CTR,U.S. Senate,,REP,Geraldine Sam,4,3,1
Delta,10,PECAN GAP COMMUNITY CTR,U.S. Senate,,REP,Mary Miller,10,4,6
Delta,10,PECAN GAP COMMUNITY CTR,U.S. Senate,,REP,Rafael  Cruz,94,54,40
Delta,10,PECAN GAP COMMUNITY CTR,U.S. Senate,,REP,Stefano de Stefano IV,3,3,0
Delta,3,DELTA CO CIVIC CENTER,U.S. Senate,,REP,Bruce Jacobson,7,1,6
Delta,3,DELTA CO CIVIC CENTER,U.S. Senate,,REP,Geraldine Sam,0,0,0
Delta,3,DELTA CO CIVIC CENTER,U.S. Senate,,REP,Mary Miller,7,3,4
Delta,3,DELTA CO CIVIC CENTER,U.S. Senate,,REP,Rafael  Cruz,82,30,52
Delta,3,DELTA CO CIVIC CENTER,U.S. Senate,,REP,Stefano de Stefano IV,1,0,1
Delta,4,FIRST BAPTIST CHURCH,U.S. Senate,,REP,Bruce Jacobson,6,2,4
Delta,4,FIRST BAPTIST CHURCH,U.S. Senate,,REP,Geraldine Sam,3,0,3
Delta,4,FIRST BAPTIST CHURCH,U.S. Senate,,REP,Mary Miller,9,3,6
Delta,4,FIRST BAPTIST CHURCH,U.S. Senate,,REP,Rafael  Cruz,138,40,98
Delta,4,FIRST BAPTIST CHURCH,U.S. Senate,,REP,Stefano de Stefano IV,0,0,0
Delta,5,KLONDIKE COMMUNITY CENTER,U.S. Senate,,REP,Bruce Jacobson,14,7,7
Delta,5,KLONDIKE COMMUNITY CENTER,U.S. Senate,,REP,Geraldine Sam,5,3,2
Delta,5,KLONDIKE COMMUNITY CENTER,U.S. Senate,,REP,Mary Miller,23,11,12
Delta,5,KLONDIKE COMMUNITY CENTER,U.S. Senate,,REP,Rafael  Cruz,167,89,78
Delta,5,KLONDIKE COMMUNITY CENTER,U.S. Senate,,REP,Stefano de Stefano IV,4,2,2
Delta,7,ENLOE COMMUNITY CENTER,U.S. Senate,,REP,Bruce Jacobson,0,0,0
Delta,7,ENLOE COMMUNITY CENTER,U.S. Senate,,REP,Geraldine Sam,2,0,2
Delta,7,ENLOE COMMUNITY CENTER,U.S. Senate,,REP,Mary Miller,9,5,4
Delta,7,ENLOE COMMUNITY CENTER,U.S. Senate,,REP,Rafael  Cruz,71,46,25
Delta,7,ENLOE COMMUNITY CENTER,U.S. Senate,,REP,Stefano de Stefano IV,1,1,0
Delta,9,EAST DELTA COMMUNITY CTR,U.S. Senate,,REP,Bruce Jacobson,6,6,0
Delta,9,EAST DELTA COMMUNITY CTR,U.S. Senate,,REP,Geraldine Sam,0,0,0
Delta,9,EAST DELTA COMMUNITY CTR,U.S. Senate,,REP,Mary Miller,5,5,0
Delta,9,EAST DELTA COMMUNITY CTR,U.S. Senate,,REP,Rafael  Cruz,87,57,30
Delta,9,EAST DELTA COMMUNITY CTR,U.S. Senate,,REP,Stefano de Stefano IV,0,0,0
Delta,1,NEW LIFE BAPTIST CHURCH,Lieutenant Governor,,REP,Dan Patrick,161,60,101
Delta,1,NEW LIFE BAPTIST CHURCH,Lieutenant Governor,,REP,Scott Milder,139,53,86
Delta,10,PECAN GAP COMMUNITY CTR,Lieutenant Governor,,REP,Dan Patrick,86,50,36
Delta,10,PECAN GAP COMMUNITY CTR,Lieutenant Governor,,REP,Scott Milder,31,19,12
Delta,3,DELTA CO CIVIC CENTER,Lieutenant Governor,,REP,Dan Patrick,67,22,45
