county,precinct,office,district,party,candidate,votes,election_day,early_voting,mail,provisional
Wilson,Box 101,US Senator,,REP,Geraldine Sam,6,3,3,0,0
Wilson,Box 101,US Senator,,REP,Mary Miller,20,12,8,0,0
Wilson,Box 101,US Senator,,REP,"Bruce Jacobson, Jr.",11,3,4,4,0
Wilson,Box 101,US Senator,,REP,Stefano de Stefano,6,2,4,0,0
Wilson,Box 101,US Senator,,REP,Ted Cruz,203,102,79,22,0
Wilson,Box 101,US Senator,,DEM,Edward Kimbrough,10,5,3,2,0
Wilson,Box 101,US Senator,,DEM,Sema Hernandez,23,12,3,8,0
Wilson,Box 101,US Senator,,DEM,Beto O'Rourke,74,39,25,10,0
Wilson,Box 101,US Representative,28,DEM,Henry Cuellar,93,49,26,18,0
Wilson,Box 101,Governor,,REP,SECEDE Kilgore,4,3,1,0,0
Wilson,Box 101,Governor,,REP,Greg Abbott,233,117,90,26,0
Wilson,Box 101,Governor,,REP,Barbara Krueger,15,7,8,0,0
Wilson,Box 101,Governor,,DEM,Joe Mumbach,3,2,1,0,0
Wilson,Box 101,Governor,,DEM,Lupe Valdez,51,25,16,10,0
Wilson,Box 101,Governor,,DEM,Tom Wakely,5,4,1,0,0
Wilson,Box 101,Governor,,DEM,Grady Yarbrough,8,3,0,5,0
Wilson,Box 101,Governor,,DEM,"Cedric Davis, Sr.",2,1,0,1,0
Wilson,Box 101,Governor,,DEM,Jeffrey Payne,3,3,0,0,0
Wilson,Box 101,Governor,,DEM,Andrew White,24,13,8,3,0
Wilson,Box 101,Governor,,DEM,James Jolly Clark,4,1,3,0,0
Wilson,Box 101,Governor,,DEM,Adrian Ocegueda,5,3,1,1,0
Wilson,Box 101,Lt. Governor,,REP,Scott Milder,41,19,19,3,0
Wilson,Box 101,Lt. Governor,,REP,Dan Patrick,210,107,80,23,0
Wilson,Box 101,Lt. Governor,,DEM,Mike Collier,62,30,22,10,0
Wilson,Box 101,Lt. Governor,,DEM,Michael Cooper,40,22,8,10,0
Wilson,Box 101,Attorney General,,REP,Ken Paxton,216,113,80,23,0
Wilson,Box 101,Attorney General,,DEM,Justin Nelson,97,49,28,20,0
Wilson,Box 101,Comptroller Public Accts,,REP,Glenn Hegar,201,104,76,21,0
Wilson,Box 101,Comptroller Public Accts,,DEM,Tim Mahoney,49,23,16,10,0
Wilson,Box 101,Comptroller Public Accts,,DEM,Joi Chevalier,51,27,14,10,0
Wilson,Box 101,Commissioner Gen Land Office,,REP,Jerry Patterson,80,34,36,10,0
Wilson,Box 101,Commissioner Gen Land Office,,REP,Rick Range,22,11,9,2,0
Wilson,Box 101,Commissioner Gen Land Office,,REP,Davey Edwards,12,7,5,0,0
Wilson,Box 101,Commissioner Gen Land Office,,REP,George P. Bush,134,71,49,14,0
Wilson,Box 101,Commissioner Gen Land Office,,DEM,Miguel Suazo,72,36,20,16,0
Wilson,Box 101,Commissioner Gen Land Office,,DEM,Tex Morgan,30,17,9,4,0
Wilson,Box 101,Commissioner of Agriculture,,REP,Trey Blocker,53,20,26,7,0
Wilson,Box 101,Commissioner of Agriculture,,REP,Sid Miller,134,73,51,10,0
Wilson,Box 101,Commissioner of Agriculture,,REP,Jim Hogan,44,21,18,5,0
Wilson,Box 101,Commissioner of Agriculture,,DEM,Kim Olson,100,50,30,20,0
Wilson,Box 101,Railroad Commissioner,,REP,Christi Craddick,173,93,66,14,0
Wilson,Box 101,Railroad Commissioner,,REP,Weston Martinez,59,24,25,10,0
Wilson,Box 101,Railroad Commissioner,,DEM,Chris Spellmon,47,23,16,8,0
Wilson,Box 101,Railroad Commissioner,,DEM,Roman McAllen,51,27,12,12,0
Wilson,Box 101,Justice Supreme Ct P2,,REP,Jimmy Blacklock,203,102,78,23,0
Wilson,Box 101,Justice Supreme Ct P2,,DEM,Steven Kirkland,98,51,28,19,0
Wilson,Box 101,Justice Supreme Ct P4,,REP,John Devine,203,102,78,23,0
