candidate,office,district,party,county,precinct,votes
,Ballots Cast,,,Morris,Precinct 101,290
,Straight Party,,REP,Morris,Precinct 101,51
,Straight Party,,DEM,Morris,Precinct 101,180
,Straight Party,,LIB,Morris,Precinct 101,0
Ted Cruz,U.S. Senate,,REP,Morris,Precinct 101,71
Beto O'Rourke,U.S. Senate,,DEM,Morris,Precinct 101,212
Neal M. Dikeman ,U.S. Senate,,LIB,Morris,Precinct 101,0
John Ratcliffe,U.S. House,4,REP,Morris,Precinct 101,73
Catherine Krantz,U.S. House,4,DEM,Morris,Precinct 101,210
Ken Ashby,U.S. House,4,LIB,Morris,Precinct 101,1
Gregg Abbott,Governor,,REP,Morris,Precinct 101,76
Lupe Valdez,Governor,,DEM,Morris,Precinct 101,204
Mark Jay Tippetts ,Governor,,LIB,Morris,Precinct 101,4
Dan Patrick,Lieutenant Governor,,REP,Morris,Precinct 101,66
Mike Collier,Lieutenant Governor,,DEM,Morris,Precinct 101,221
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Morris,Precinct 101,0
Ken Paxton ,Attorney General,,REP,Morris,Precinct 101,70
Justin Nelson,Attorney General,,DEM,Morris,Precinct 101,213
Michael Ray Harris,Attorney General,,LIB,Morris,Precinct 101,3
Glenn Hegar,Comptroller of Public Accounts,,REP,Morris,Precinct 101,69
Joi Chevalier ,Comptroller of Public Accounts,,DEM,Morris,Precinct 101,213
Ben Sanders,Comptroller of Public Accounts,,LIB,Morris,Precinct 101,4
George P. Bush,Commissioner of the General Land Office,,REP,Morris,Precinct 101,75
Miguel Suazo,Commissioner of the General Land Office,,DEM,Morris,Precinct 101,208
Matt Pina,Commissioner of the General Land Office,,LIB,Morris,Precinct 101,3
Sid Miller,Commissioner of Agriculture,,REP,Morris,Precinct 101,71
Kim Olson,Commissioner of Agriculture,,DEM,Morris,Precinct 101,213
Richard Carpenter,Commissioner of Agriculture,,LIB,Morris,Precinct 101,1
Christi Craddick,Railroad Commissioner,,REP,Morris,Precinct 101,70
Roman McAllen,Railroad Commissioner,,DEM,Morris,Precinct 101,214
Mike Wright ,Railroad Commissioner,,LIB,Morris,Precinct 101,3
Cole Hefner,State Representative,5,REP,Morris,Precinct 101,75
Bill Liebbe,State Representative,5,DEM,Morris,Precinct 101,212
,Ballots Cast,,,Morris,Precinct 102,211
,Straight Party,,REP,Morris,Precinct 102,46
,Straight Party,,DEM,Morris,Precinct 102,107
,Straight Party,,LIB,Morris,Precinct 102,2
Ted Cruz,U.S. Senate,,REP,Morris,Precinct 102,79
Beto O'Rourke,U.S. Senate,,DEM,Morris,Precinct 102,130
Neal M. Dikeman ,U.S. Senate,,LIB,Morris,Precinct 102,1
John Ratcliffe,U.S. House,4,REP,Morris,Precinct 102,77
Catherine Krantz,U.S. House,4,DEM,Morris,Precinct 102,130
Ken Ashby,U.S. House,4,LIB,Morris,Precinct 102,2
Gregg Abbott,Governor,,REP,Morris,Precinct 102,86
Lupe Valdez,Governor,,DEM,Morris,Precinct 102,122
Mark Jay Tippetts ,Governor,,LIB,Morris,Precinct 102,2
Dan Patrick,Lieutenant Governor,,REP,Morris,Precinct 102,75
Mike Collier,Lieutenant Governor,,DEM,Morris,Precinct 102,130
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Morris,Precinct 102,2
