county,precinct,office,district,party,candidate,votes,election_day,early_voting
Henderson,1A,Ballots Cast,,,,859,203,656
Henderson,1A,Straight Party,,,Over Votes,0,0,0
Henderson,1A,Straight Party,,,Under Votes,249,69,180
Henderson,1A,Straight Party,,REP,Republican Party,530,116,414
Henderson,1A,Straight Party,,DEM,Democratic Party,80,18,62
Henderson,1A,Straight Party,,LIB,Libertarian Party,0,0,0
Henderson,1A,U.S. Senate,,,Over Votes,0,0,0
Henderson,1A,U.S. Senate,,,Under Votes,22,5,17
Henderson,1A,U.S. Senate,,REP,Ted Cruz,679,154,525
Henderson,1A,U.S. Senate,,DEM,Beto O'Rourke,152,39,113
Henderson,1A,U.S. Senate,,LIB,Neal M. Dikeman,6,5,1
Henderson,1A,U.S. House,5,,Over Votes,0,0,0
Henderson,1A,U.S. House,5,,Under Votes,22,8,14
Henderson,1A,U.S. House,5,REP,Lance Gooden,693,163,530
Henderson,1A,U.S. House,5,DEM,Dan Wood,143,31,112
Henderson,1A,U.S. House,5,,PHIL GRAY,1,1,0
Henderson,1A,Governor,,,Over Votes,0,0,0
Henderson,1A,Governor,,,Under Votes,16,4,12
Henderson,1A,Governor,,REP,Greg Abbott,707,164,543
Henderson,1A,Governor,,DEM,Lupe Valdez,124,29,95
Henderson,1A,Governor,,LIB,Mark Jay Tippetts,12,6,6
Henderson,1A,Lieutenant Governor,,,Over Votes,0,0,0
Henderson,1A,Lieutenant Governor,,,Under Votes,18,6,12
Henderson,1A,Lieutenant Governor,,REP,Dan Patrick,686,156,530
Henderson,1A,Lieutenant Governor,,DEM,Mike Collier,140,33,107
Henderson,1A,Lieutenant Governor,,LIB,Kerry Douglas McKennon,15,8,7
Henderson,1A,Attorney General,,,Over Votes,0,0,0
Henderson,1A,Attorney General,,,Under Votes,14,3,11
Henderson,1A,Attorney General,,REP,Ken Paxton,673,153,520
Henderson,1A,Attorney General,,DEM,Justin Nelson,162,39,123
Henderson,1A,Attorney General,,LIB,Michael Ray Harris,10,8,2
Henderson,1A,Comptroller of Public Accounts,,,Over Votes,0,0,0
Henderson,1A,Comptroller of Public Accounts,,,Under Votes,15,4,11
Henderson,1A,Comptroller of Public Accounts,,REP,Glenn Hegar,689,154,535
Henderson,1A,Comptroller of Public Accounts,,DEM,Joi Chevalier,137,36,101
Henderson,1A,Comptroller of Public Accounts,,LIB,Ben Sanders,18,9,9
Henderson,1A,Commissioner of the General Land Office,,,Over Votes,0,0,0
Henderson,1A,Commissioner of the General Land Office,,,Under Votes,13,4,9
Henderson,1A,Commissioner of the General Land Office,,REP,George P. Bush,693,157,536
Henderson,1A,Commissioner of the General Land Office,,DEM,Miguel Suazo,129,31,98
Henderson,1A,Commissioner of the General Land Office,,LIB,Matt Pi̱a,24,11,13
Henderson,1A,Commissioner of Agriculture,,,Over Votes,0,0,0
Henderson,1A,Commissioner of Agriculture,,,Under Votes,17,3,14
Henderson,1A,Commissioner of Agriculture,,REP,Sid Miller,679,152,527
Henderson,1A,Commissioner of Agriculture,,DEM,Kim Olson,152,40,112
