county,precinct,office,district,party,candidate,votes,election_day,early_voting
Hardin,Precinct 3,U.S. Senate,,REP,Ted Cruz,293,162,131
Hardin,Precinct 3,U.S. Senate,,DEM,Beto O'Rourke,13,8,5
Hardin,Precinct 3,U.S. Senate,,LIB,Neal M Dikeman,2,1,1
Hardin,Precinct 3,U.S. House,36,REP,Brian Babin,293,162,131
Hardin,Precinct 3,U.S. House,36,DEM,Dayna Steele,15,9,6
Hardin,Precinct 3,Governor ,,REP,Greg Abbott,295,165,130
Hardin,Precinct 3,Governor ,,DEM,Lupe Valdez,12,6,6
Hardin,Precinct 3,Governor ,,LIB,Mark Jay Tippetts,1,0,1
Hardin,Precinct 3,Lieutenant Governor,,REP,Dan Patrick,281,154,127
Hardin,Precinct 3,Lieutenant Governor,,DEM,Mike Collier,19,11,8
Hardin,Precinct 3,Lieutenant Governor,,LIB,Kerry Douglas McKennon,5,4,1
Hardin,Precinct 3,Attorney General,,REP,Ken Paxton,288,159,129
Hardin,Precinct 3,Attorney General,,DEM,Justin Nelson,15,9,6
Hardin,Precinct 3,Attorney General,,LIB,Michael Ray Harris,4,2,2
Hardin,Precinct 3,Comptroller of Public Accounts,,REP,Glenn Hegar,287,158,129
Hardin,Precinct 3,Comptroller of Public Accounts,,DEM,Joi Chevalier,14,8,6
Hardin,Precinct 3,Comptroller of Public Accounts,,LIB,Ben Sanders,4,3,1
Hardin,Precinct 3,Commissioner of the General Land Office,,REP,George P Bush,283,156,127
Hardin,Precinct 3,Commissioner of the General Land Office,,DEM,Miguel Suazo,15,8,7
Hardin,Precinct 3,Commissioner of the General Land Office,,LIB,Matt Pina ,6,4,2
Hardin,Precinct 3,Railroad Commissioner,,REP,Christi Craddick,287,158,129
Hardin,Precinct 3,Railroad Commissioner,,DEM,Roman McAllen,14,8,6
Hardin,Precinct 3,Railroad Commissioner,,LIB,Mike Wright,4,3,1
Hardin,Precinct 3,State Senate,3,REP,Robert Nichols,287,158,129
Hardin,Precinct 3,State Senate,3,DEM,Shirley Layton,18,11,7
Hardin,Precinct 3,State Senate,3,LIB,Bruce Quarles,1,0,1
Hardin,Precinct 3,State Representative,19,REP,James White,292,161,131
Hardin,Precinct 3,State Representative,19,DEM,Sherry Williams,14,8,6
Hardin,Precinct 4,Ballots Cast,,,,,,433
Hardin,Precinct 4,Straight Party,,REP,,262,193,69
Hardin,Precinct 4,Straight Party,,DEM,,20,12,8
Hardin,Precinct 4,Straight Party,,LIB,,0,0,0
Hardin,Precinct 4,U.S. Senate,,REP,Ted Cruz,394,288,106
Hardin,Precinct 4,U.S. Senate,,DEM,Beto O'Rourke,35,22,13
Hardin,Precinct 4,U.S. Senate,,LIB,Neal M Dikeman,2,2,0
Hardin,Precinct 4,U.S. House,36,REP,Brian Babin,391,285,106
Hardin,Precinct 4,U.S. House,36,DEM,Dayna Steele,37,24,13
Hardin,Precinct 4,Governor ,,REP,Greg Abbott,400,292,108
Hardin,Precinct 4,Governor ,,DEM,Lupe Valdez,29,17,12
Hardin,Precinct 4,Governor ,,LIB,Mark Jay Tippetts,1,1,0
Hardin,Precinct 4,Lieutenant Governor,,REP,Dan Patrick,393,288,105
Hardin,Precinct 4,Lieutenant Governor,,DEM,Mike Collier,33,19,14
Hardin,Precinct 4,Lieutenant Governor,,LIB,Kerry Douglas McKennon,2,1,1
Hardin,Precinct 4,Attorney General,,REP,Ken Paxton,386,282,104
Hardin,Precinct 4,Attorney General,,DEM,Justin Nelson,39,25,14
Hardin,Precinct 4,Attorney General,,LIB,Michael Ray Harris,4,2,2
Hardin,Precinct 4,Comptroller of Public Accounts,,REP,Glenn Hegar,388,283,105
Hardin,Precinct 4,Comptroller of Public Accounts,,DEM,Joi Chevalier,33,21,12
Hardin,Precinct 4,Comptroller of Public Accounts,,LIB,Ben Sanders,5,3,2
Hardin,Precinct 4,Commissioner of the General Land Office,,REP,George P Bush,382,277,105
Hardin,Precinct 4,Commissioner of the General Land Office,,DEM,Miguel Suazo,35,22,13
Hardin,Precinct 4,Commissioner of the General Land Office,,LIB,Matt Pina ,10,8,2
Hardin,Precinct 4,Railroad Commissioner,,REP,Christi Craddick,384,280,104
Hardin,Precinct 4,Railroad Commissioner,,DEM,Roman McAllen,37,22,15
Hardin,Precinct 4,Railroad Commissioner,,LIB,Mike Wright,5,5,0
Hardin,Precinct 4,State Senate,3,REP,Robert Nichols,393,287,106
Hardin,Precinct 4,State Senate,3,DEM,Shirley Layton,32,18,14
Hardin,Precinct 4,State Senate,3,LIB,Bruce Quarles,4,4,0
Hardin,Precinct 4,State Representative,19,REP,James White,395,289,106
Hardin,Precinct 4,State Representative,19,DEM,Sherry Williams,35,21,14
Hardin,Precinct 5,Ballots Cast,,,,,,357
Hardin,Precinct 5,Straight Party,,REP,,219,131,88
Hardin,Precinct 5,Straight Party,,DEM,,6,1,5
Hardin,Precinct 5,Straight Party,,LIB,,0,0,0
Hardin,Precinct 5,U.S. Senate,,REP,Ted Cruz,314,188,126
Hardin,Precinct 5,U.S. Senate,,DEM,Beto O'Rourke,16,7,9
Hardin,Precinct 5,U.S. Senate,,LIB,Neal M Dikeman,0,0,0
Hardin,Precinct 5,U.S. House,36,REP,Brian Babin,313,187,126
Hardin,Precinct 5,U.S. House,36,DEM,Dayna Steele,15,7,8
Hardin,Precinct 5,Governor ,,REP,Greg Abbott,317,188,129
Hardin,Precinct 5,Governor ,,DEM,Lupe Valdez,11,5,6
Hardin,Precinct 5,Governor ,,LIB,Mark Jay Tippetts,2,2,0
Hardin,Precinct 5,Lieutenant Governor,,REP,Dan Patrick,277,153,124
Hardin,Precinct 5,Lieutenant Governor,,DEM,Mike Collier,24,14,10
Hardin,Precinct 5,Lieutenant Governor,,LIB,Kerry Douglas McKennon,5,4,1
Hardin,Precinct 5,Attorney General,,REP,Ken Paxton,286,161,125
Hardin,Precinct 5,Attorney General,,DEM,Justin Nelson,19,10,9
Hardin,Precinct 5,Attorney General,,LIB,Michael Ray Harris,6,5,1
Hardin,Precinct 5,Comptroller of Public Accounts,,REP,Glenn Hegar,297,172,125
Hardin,Precinct 5,Comptroller of Public Accounts,,DEM,Joi Chevalier,15,7,8
Hardin,Precinct 5,Comptroller of Public Accounts,,LIB,Ben Sanders,3,1,2
Hardin,Precinct 5,Commissioner of the General Land Office,,REP,George P Bush,297,173,124
Hardin,Precinct 5,Commissioner of the General Land Office,,DEM,Miguel Suazo,16,9,7
Hardin,Precinct 5,Commissioner of the General Land Office,,LIB,Matt Pina ,5,1,4
Hardin,Precinct 5,Railroad Commissioner,,REP,Christi Craddick,295,170,125
Hardin,Precinct 5,Railroad Commissioner,,DEM,Roman McAllen,18,11,7
Hardin,Precinct 5,Railroad Commissioner,,LIB,Mike Wright,5,3,2
Hardin,Precinct 5,State Senate,3,REP,Robert Nichols,260,134,126
Hardin,Precinct 5,State Senate,3,DEM,Shirley Layton,24,15,9
Hardin,Precinct 5,State Senate,3,LIB,Bruce Quarles,2,2,0
Hardin,Precinct 5,State Representative,19,REP,James White,266,140,126
Hardin,Precinct 5,State Representative,19,DEM,Sherry Williams,25,17,8
Hardin,Precinct 6,Ballots Cast,,,,,,1556
Hardin,Precinct 6,Straight Party,,REP,,1013,367,646
Hardin,Precinct 6,Straight Party,,DEM,,95,33,62
Hardin,Precinct 6,Straight Party,,LIB,,6,1,5
Hardin,Precinct 6,U.S. Senate,,REP,Ted Cruz,1358,507,851
Hardin,Precinct 6,U.S. Senate,,DEM,Beto O'Rourke,180,69,111
Hardin,Precinct 6,U.S. Senate,,LIB,Neal M Dikeman,9,4,5
Hardin,Precinct 6,U.S. House,36,REP,Brian Babin,1378,519,859
Hardin,Precinct 6,U.S. House,36,DEM,Dayna Steele,164,60,104
Hardin,Precinct 6,Governor ,,REP,Greg Abbott,1397,530,867
Hardin,Precinct 6,Governor ,,DEM,Lupe Valdez,136,45,91
Hardin,Precinct 6,Governor ,,LIB,Mark Jay Tippetts,15,6,9
Hardin,Precinct 6,Lieutenant Governor,,REP,Dan Patrick,1334,496,838
Hardin,Precinct 6,Lieutenant Governor,,DEM,Mike Collier,176,68,108
Hardin,Precinct 6,Lieutenant Governor,,LIB,Kerry Douglas McKennon,30,14,16
Hardin,Precinct 6,Attorney General,,REP,Ken Paxton,1341,500,841
Hardin,Precinct 6,Attorney General,,DEM,Justin Nelson,164,60,104
Hardin,Precinct 6,Attorney General,,LIB,Michael Ray Harris,30,15,15
Hardin,Precinct 6,Comptroller of Public Accounts,,REP,Glenn Hegar,1344,503,841
Hardin,Precinct 6,Comptroller of Public Accounts,,DEM,Joi Chevalier,152,55,97
Hardin,Precinct 6,Comptroller of Public Accounts,,LIB,Ben Sanders,33,14,19
Hardin,Precinct 6,Commissioner of the General Land Office,,REP,George P Bush,1321,498,823
Hardin,Precinct 6,Commissioner of the General Land Office,,DEM,Miguel Suazo,151,49,102
Hardin,Precinct 6,Commissioner of the General Land Office,,LIB,Matt Pina ,58,25,33
Hardin,Precinct 6,Railroad Commissioner,,REP,Christi Craddick,1342,497,845
Hardin,Precinct 6,Railroad Commissioner,,DEM,Roman McAllen,153,55,98
Hardin,Precinct 6,Railroad Commissioner,,LIB,Mike Wright,28,17,11
Hardin,Precinct 6,State Senate,3,REP,Robert Nichols,1350,504,846
Hardin,Precinct 6,State Senate,3,DEM,Shirley Layton,164,57,107
Hardin,Precinct 6,State Senate,3,LIB,Bruce Quarles,20,12,8
Hardin,Precinct 6,State Representative,19,REP,James White,1378,517,861
Hardin,Precinct 6,State Representative,19,DEM,Sherry Williams,159,57,102
Hardin,Precinct 7 - ISD,Ballots Cast,,,,,,435
Hardin,Precinct 7 - ISD,Straight Party,,REP,,259,86,173
Hardin,Precinct 7 - ISD,Straight Party,,DEM,,14,4,10
Hardin,Precinct 7 - ISD,Straight Party,,LIB,,2,2,0
Hardin,Precinct 7 - ISD,U.S. Senate,,REP,Ted Cruz,403,140,263
Hardin,Precinct 7 - ISD,U.S. Senate,,DEM,Beto O'Rourke,26,8,18
Hardin,Precinct 7 - ISD,U.S. Senate,,LIB,Neal M Dikeman,1,1,0
Hardin,Precinct 7 - ISD,U.S. House,36,REP,Brian Babin,403,141,262
Hardin,Precinct 7 - ISD,U.S. House,36,DEM,Dayna Steele,26,7,19
Hardin,Precinct 7 - ISD,Governor ,,REP,Greg Abbott,406,142,264
Hardin,Precinct 7 - ISD,Governor ,,DEM,Lupe Valdez,22,6,16
Hardin,Precinct 7 - ISD,Governor ,,LIB,Mark Jay Tippetts,2,1,1
Hardin,Precinct 7 - ISD,Lieutenant Governor,,REP,Dan Patrick,397,138,259
Hardin,Precinct 7 - ISD,Lieutenant Governor,,DEM,Mike Collier,30,11,19
Hardin,Precinct 7 - ISD,Lieutenant Governor,,LIB,Kerry Douglas McKennon,4,1,3
Hardin,Precinct 7 - ISD,Attorney General,,REP,Ken Paxton,398,140,258
Hardin,Precinct 7 - ISD,Attorney General,,DEM,Justin Nelson,30,8,22
Hardin,Precinct 7 - ISD,Attorney General,,LIB,Michael Ray Harris,3,2,1
Hardin,Precinct 7 - ISD,Comptroller of Public Accounts,,REP,Glenn Hegar,392,137,258
Hardin,Precinct 7 - ISD,Comptroller of Public Accounts,,DEM,Joi Chevalier,29,9,20
Hardin,Precinct 7 - ISD,Comptroller of Public Accounts,,LIB,Ben Sanders,2,1,1
Hardin,Precinct 7 - ISD,Commissioner of the General Land Office,,REP,George P Bush,392,138,254
Hardin,Precinct 7 - ISD,Commissioner of the General Land Office,,DEM,Miguel Suazo,27,8,19
Hardin,Precinct 7 - ISD,Commissioner of the General Land Office,,LIB,Matt Pina ,10,4,6
Hardin,Precinct 7 - ISD,Railroad Commissioner,,REP,Christi Craddick,398,137,261
Hardin,Precinct 7 - ISD,Railroad Commissioner,,DEM,Roman McAllen,26,8,18
Hardin,Precinct 7 - ISD,Railroad Commissioner,,LIB,Mike Wright,5,4,1
Hardin,Precinct 7 - ISD,State Senate,3,REP,Robert Nichols,400,139,261
Hardin,Precinct 7 - ISD,State Senate,3,DEM,Shirley Layton,28,8,20
Hardin,Precinct 7 - ISD,State Senate,3,LIB,Bruce Quarles,1,1,0
Hardin,Precinct 7 - ISD,State Representative,19,REP,James White,400,139,261
Hardin,Precinct 7 - ISD,State Representative,19,DEM,Sherry Williams,27,10,17
Hardin,Precinct 8 - ISD,Ballots Cast,,,,,,436
Hardin,Precinct 8 - ISD,Straight Party,,REP,,269,117,152
Hardin,Precinct 8 - ISD,Straight Party,,DEM,,22,9,13
Hardin,Precinct 8 - ISD,Straight Party,,LIB,,0,0,0
Hardin,Precinct 8 - ISD,U.S. Senate,,REP,Ted Cruz,386,172,214
Hardin,Precinct 8 - ISD,U.S. Senate,,DEM,Beto O'Rourke,46,23,23
Hardin,Precinct 8 - ISD,U.S. Senate,,LIB,Neal M Dikeman,2,0,2
Hardin,Precinct 8 - ISD,U.S. House,36,REP,Brian Babin,390,175,215
Hardin,Precinct 8 - ISD,U.S. House,36,DEM,Dayna Steele,44,20,24
Hardin,Precinct 8 - ISD,Governor ,,REP,Greg Abbott,395,177,218
Hardin,Precinct 8 - ISD,Governor ,,DEM,Lupe Valdez,38,18,20
Hardin,Precinct 8 - ISD,Governor ,,LIB,Mark Jay Tippetts,1,0,1
Hardin,Precinct 8 - ISD,Lieutenant Governor,,REP,Dan Patrick,390,176,214
Hardin,Precinct 8 - ISD,Lieutenant Governor,,DEM,Mike Collier,41,17,24
Hardin,Precinct 8 - ISD,Lieutenant Governor,,LIB,Kerry Douglas McKennon,2,2,0
Hardin,Precinct 8 - ISD,Attorney General,,REP,Ken Paxton,386,173,213
Hardin,Precinct 8 - ISD,Attorney General,,DEM,Justin Nelson,43,19,24
Hardin,Precinct 8 - ISD,Attorney General,,LIB,Michael Ray Harris,2,2,0
Hardin,Precinct 8 - ISD,Comptroller of Public Accounts,,REP,Glenn Hegar,382,170,212
Hardin,Precinct 8 - ISD,Comptroller of Public Accounts,,DEM,Joi Chevalier,45,20,25
Hardin,Precinct 8 - ISD,Comptroller of Public Accounts,,LIB,Ben Sanders,6,4,2
Hardin,Precinct 8 - ISD,Commissioner of the General Land Office,,REP,George P Bush,381,172,209
Hardin,Precinct 8 - ISD,Commissioner of the General Land Office,,DEM,Miguel Suazo,40,18,22
Hardin,Precinct 8 - ISD,Commissioner of the General Land Office,,LIB,Matt Pina ,11,5,6
Hardin,Precinct 8 - ISD,Railroad Commissioner,,REP,Christi Craddick,392,176,216
Hardin,Precinct 8 - ISD,Railroad Commissioner,,DEM,Roman McAllen,36,15,21
Hardin,Precinct 8 - ISD,Railroad Commissioner,,LIB,Mike Wright,5,3,2
Hardin,Precinct 8 - ISD,State Senate,3,REP,Robert Nichols,389,175,214
Hardin,Precinct 8 - ISD,State Senate,3,DEM,Shirley Layton,42,18,24
Hardin,Precinct 8 - ISD,State Senate,3,LIB,Bruce Quarles,2,1,1
Hardin,Precinct 8 - ISD,State Representative,19,REP,James White,391,177,214
Hardin,Precinct 8 - ISD,State Representative,19,DEM,Sherry Williams,44,19,25
Hardin,Precinct 9,Ballots Cast,,,,,,1300
Hardin,Precinct 9,Straight Party,,REP,,694,275,419
Hardin,Precinct 9,Straight Party,,DEM,,154,78,76
Hardin,Precinct 9,Straight Party,,LIB,,5,3,2
Hardin,Precinct 9,U.S. Senate,,REP,Ted Cruz,1031,419,612
Hardin,Precinct 9,U.S. Senate,,DEM,Beto O'Rourke,263,122,141
Hardin,Precinct 9,U.S. Senate,,LIB,Neal M Dikeman,3,2,1
Hardin,Precinct 9,U.S. House,36,REP,Brian Babin,1045,428,617
Hardin,Precinct 9,U.S. House,36,DEM,Dayna Steele,247,112,135
Hardin,Precinct 9,Governor ,,REP,Greg Abbott,1052,429,623
Hardin,Precinct 9,Governor ,,DEM,Lupe Valdez,231,106,125
Hardin,Precinct 9,Governor ,,LIB,Mark Jay Tippetts,12,5,7
Hardin,Precinct 9,Lieutenant Governor,,REP,Dan Patrick,996,403,593
Hardin,Precinct 9,Lieutenant Governor,,DEM,Mike Collier,272,124,148
Hardin,Precinct 9,Lieutenant Governor,,LIB,Kerry Douglas McKennon,25,14,11
Hardin,Precinct 9,Attorney General,,REP,Ken Paxton,1004,407,597
Hardin,Precinct 9,Attorney General,,DEM,Justin Nelson,271,125,146
Hardin,Precinct 9,Attorney General,,LIB,Michael Ray Harris,17,9,8
Hardin,Precinct 9,Comptroller of Public Accounts,,REP,Glenn Hegar,1022,413,609
