county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional
Nolan,PRECINCT 1,U.S. Senate,,REP,Ted Cruz,131,,,
Nolan,PRECINCT 2,U.S. Senate,,REP,Ted Cruz,265,,,
Nolan,PRECINCT 3,U.S. Senate,,REP,Ted Cruz,196,,,
Nolan,PRECINCT 4,U.S. Senate,,REP,Ted Cruz,172,,,
Nolan,PRECINCT 5,U.S. Senate,,REP,Ted Cruz,42,,,
Nolan,PRECINCT 6,U.S. Senate,,REP,Ted Cruz,143,,,
Nolan,PRECINCT 7,U.S. Senate,,REP,Ted Cruz,79,,,
Nolan,PRECINCT 8,U.S. Senate,,REP,Ted Cruz,56,,,
Nolan,PRECINCT 9,U.S. Senate,,REP,Ted Cruz,332,,,
Nolan,PRECINCT 1,U.S. Senate,,REP,"Bruce Jacobson, Jr.",10,,,
Nolan,PRECINCT 2,U.S. Senate,,REP,"Bruce Jacobson, Jr.",28,,,
Nolan,PRECINCT 3,U.S. Senate,,REP,"Bruce Jacobson, Jr.",12,,,
Nolan,PRECINCT 4,U.S. Senate,,REP,"Bruce Jacobson, Jr.",14,,,
Nolan,PRECINCT 5,U.S. Senate,,REP,"Bruce Jacobson, Jr.",2,,,
Nolan,PRECINCT 6,U.S. Senate,,REP,"Bruce Jacobson, Jr.",10,,,
Nolan,PRECINCT 7,U.S. Senate,,REP,"Bruce Jacobson, Jr.",5,,,
Nolan,PRECINCT 8,U.S. Senate,,REP,"Bruce Jacobson, Jr.",4,,,
Nolan,PRECINCT 9,U.S. Senate,,REP,"Bruce Jacobson, Jr.",26,,,
Nolan,PRECINCT 1,U.S. Senate,,REP,Mary Miller,7,,,
Nolan,PRECINCT 2,U.S. Senate,,REP,Mary Miller,14,,,
Nolan,PRECINCT 3,U.S. Senate,,REP,Mary Miller,10,,,
Nolan,PRECINCT 4,U.S. Senate,,REP,Mary Miller,15,,,
Nolan,PRECINCT 5,U.S. Senate,,REP,Mary Miller,2,,,
Nolan,PRECINCT 6,U.S. Senate,,REP,Mary Miller,5,,,
Nolan,PRECINCT 7,U.S. Senate,,REP,Mary Miller,4,,,
Nolan,PRECINCT 8,U.S. Senate,,REP,Mary Miller,2,,,
Nolan,PRECINCT 9,U.S. Senate,,REP,Mary Miller,22,,,
Nolan,PRECINCT 1,U.S. Senate,,REP,Geraldine Sam,4,,,
Nolan,PRECINCT 2,U.S. Senate,,REP,Geraldine Sam,0,,,
Nolan,PRECINCT 3,U.S. Senate,,REP,Geraldine Sam,2,,,
Nolan,PRECINCT 4,U.S. Senate,,REP,Geraldine Sam,2,,,
Nolan,PRECINCT 5,U.S. Senate,,REP,Geraldine Sam,0,,,
