county,precinct,office,district,party,candidate,votes,early_votes,election_day
Coryell,101,United States Senator,,REP,"Bruce Jacobson, Jr.",20,12,8
Coryell,101,United States Senator,,REP,Ted Cruz,335,173,162
Coryell,101,United States Senator,,REP,Stefano de Stefano,1,0,1
Coryell,101,United States Senator,,REP,Over Votes,0,0,0
Coryell,101,United States Senator,,REP,Under Votes,11,8,3
Coryell,101,Registered Voters,,REP,,5669,,
Coryell,101,Ballots Cast,,REP,,561,264,2
Coryell,101,United States Senator,,REP,Geraldine Sam,6,4,2
Coryell,101,United States Senator,,REP,Over Votes,0,0,0
Coryell,101,United States Senator,,REP,Under Votes,11,8,3
Coryell,101,United States Senator,,REP,Mary Miller,30,13,17
Coryell,101,United States Representative,25,REP,Roger Williams,351,182,169
Coryell,101,United States Representative,25,REP,Over Votes,0,0,0
Coryell,101,United States Representative,25,REP,Under Votes,52,28,24
Coryell,101,Governor,,REP,Barbara Krueger,25,8,17
Coryell,101,Governor,,REP,SECEDE Kilgore,5,2,3
Coryell,101,Governor,,REP,Greg Abbott,358,188,170
Coryell,101,Lieutenant Governor,,REP,Dan Patrick,321,172,149
Coryell,101,Lieutenant Governor,,REP,Scott Milder,69,29,40
Coryell,101,Lieutenant Governor,,REP,Over Votes,0,0,0
Coryell,101,Lieutenant Governor,,REP,Under Votes,13,9,4
Coryell,101,Attorney General,,REP,Ken Paxton,351,182,169
Coryell,101,Comptroller of Public Accounts,,REP,Glenn Hegar,338,174,164
Coryell,101,Comptroller of Public Accounts,,REP,Over Votes,0,0,0
Coryell,101,Comptroller of Public Accounts,,REP,Under Votes,65,36,29
Coryell,101,Commissioner of the General Land Office,,REP,Davey Edwards,27,14,13
Coryell,101,Commissioner of the General Land Office,,REP,Over Votes,0,0,0
Coryell,101,Commissioner of the General Land Office,,REP,Under Votes,25,12,13
Coryell,101,Commissioner of the General Land Office,,REP,Jerry Patterson,90,46,44
Coryell,101,Commissioner of the General Land Office,,REP,George P. Bush,249,132,117
Coryell,101,Commissioner of the General Land Office,,REP,Rick Range,12,6,6
Coryell,101,Commissioner of Agriculture,,REP,Sid Miller,266,139,127
Coryell,101,Commissioner of Agriculture,,REP,Trey Blocker,50,28,22
Coryell,101,Commissioner of Agriculture,,REP,Jim Hogan,62,31,31
Coryell,101,Railroad Commissioner,,REP,Weston Martinez,108,60,48
Coryell,101,Railroad Commissioner,,REP,Christi Craddick,254,132,122
Coryell,101,Railroad Commissioner,,REP,Over Votes,0,0,0
Coryell,101,Railroad Commissioner,,REP,Under Votes,41,18,23
Coryell,101,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,335,173,162
Coryell,101,"Justice, Supreme Court, Place 2",,REP,Over Votes,0,0,0
Coryell,101,"Justice, Supreme Court, Place 2",,REP,Under Votes,68,37,31
Coryell,101,"Justice, Supreme Court, Place 4",,REP,John Devine,336,174,162
Coryell,101,"Justice, Supreme Court, Place 4",,REP,Over Votes,0,0,0
Coryell,101,"Justice, Supreme Court, Place 4",,REP,Under Votes,67,36,31
Coryell,101,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,332,173,159
Coryell,101,"Justice, Supreme Court, Place 6",,REP,Over Votes,0,0,0
Coryell,101,"Justice, Supreme Court, Place 6",,REP,Under Votes,71,37,34
Coryell,101,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,208,105,103
Coryell,101,"Presiding Judge, Court of Criminal Appeals",,REP,Over Votes,0,0,0
Coryell,101,"Presiding Judge, Court of Criminal Appeals",,REP,Under Votes,50,29,21
Coryell,101,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,145,76,69
Coryell,101,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,328,170,158
Coryell,101,"Judge, Court of Criminal Appeals, Place 7",,REP,Over Votes,0,0,0
Coryell,101,"Judge, Court of Criminal Appeals, Place 7",,REP,Under Votes,75,40,35
Coryell,101,"Judge, Court of Criminal Appeals, Place 8",,REP,Jay Brandon,140,73,67
Coryell,101,"Judge, Court of Criminal Appeals, Place 8",,REP,Dib Waldrip,50,24,26
Coryell,101,"Judge, Court of Criminal Appeals, Place 8",,REP,Over Votes,0,0,0
Coryell,101,"Judge, Court of Criminal Appeals, Place 8",,REP,Under Votes,60,34,26
Coryell,101,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,153,79,74
Coryell,101,State Representative,59,REP,J.D. Sheffield,242,124,118
Coryell,101,State Representative,59,REP,Over Votes,0,0,0
Coryell,101,State Representative,59,REP,Under Votes,15,10,5
Coryell,101,State Representative,59,REP,Chris Evans,146,76,70
Coryell,101,"Chief Justice, 10th Court of Appeals District",,REP,Tom Gray,334,171,163
Coryell,101,"Chief Justice, 10th Court of Appeals District",,REP,Over Votes,0,0,0
Coryell,101,"Chief Justice, 10th Court of Appeals District",,REP,Under Votes,69,39,30
Coryell,101,"District Judge, 440th Judicial District",,REP,Grant Kinsey,335,173,162
Coryell,101,"District Judge, 440th Judicial District",,REP,Over Votes,0,0,0
Coryell,101,"District Judge, 440th Judicial District",,REP,Under Votes,68,37,31
Coryell,101,County Judge,,REP,Alan Mathis,59,36,23
Coryell,101,County Judge,,REP,Over Votes,0,0,0
Coryell,101,County Judge,,REP,Under Votes,19,6,13
Coryell,101,County Judge,,REP,John Derrick,36,21,15
Coryell,101,County Judge,,REP,Roger Miller,56,26,30
Coryell,101,County Judge,,REP,Allen Wayne Avery,16,2,14
Coryell,101,County Judge,,REP,Janice Gray,85,55,30
Coryell,101,County Judge,,REP,Bob Harrell,132,64,68
Coryell,101,"Judge, County Court at Law",,REP,John R. Lee,330,173,157
Coryell,101,"Judge, County Court at Law",,REP,Over Votes,0,0,0
Coryell,101,"Judge, County Court at Law",,REP,Under Votes,73,37,36
Coryell,101,District Clerk,,REP,Jeremy Pruitt,120,52,68
Coryell,101,District Clerk,,REP,Over Votes,0,0,0
Coryell,101,District Clerk,,REP,Under Votes,42,16,26
Coryell,101,District Clerk,,REP,Becky Moore,179,101,78
Coryell,101,District Clerk,,REP,Joey Acfalle,17,9,8
Coryell,101,District Clerk,,REP,Kelly Caldwell Bragewitz,45,32,13
Coryell,101,County Clerk,,REP,Barbara Simpson,345,178,167
Coryell,101,County Clerk,,REP,Over Votes,0,0,0
Coryell,101,County Clerk,,REP,Under Votes,58,32,26
