candidate,office,district,party,county,precinct,early_voting,election_day,votes
,Registered Voters,,,Borden,1A,61,61,122
,Ballots Cast,,,Borden,1A,27,20,47
,Straight Party,,REP,Borden,1A,10,5,15
,Straight Party,,DEM,Borden,1A,1,1,2
,Straight Party,,LIB,Borden,1A,0,0,0
Ted Cruz,U.S. Senate,,REP,Borden,1A,25,17,42
Beto O'Rourke,U.S. Senate,,DEM,Borden,1A,2,3,5
Neal M Dikeman,U.S. Senate,,LIB,Borden,1A,0,0,0
Jodey Arrington ,U.S. House,19,REP,Borden,1A,25,17,42
Miguel Levario ,U.S. House,19,DEM,Borden,1A,2,2,4
Greg Abbott,Governor ,,REP,Borden,1A,24,15,39
Lupe Valdez,Governor ,,DEM,Borden,1A,2,3,5
Mark Jay Tippetts,Governor ,,LIB,Borden,1A,0,1,1
Dan Patrick,Lieutenant Governor,,REP,Borden,1A,14,12,26
Mike Collier,Lieutenant Governor,,DEM,Borden,1A,13,6,19
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Borden,1A,0,0,0
Ken Paxton,Attorney General ,,REP,Borden,1A,18,13,31
Justin Nelson,Attorney General ,,DEM,Borden,1A,9,4,13
Michael Ray Harris,Attorney General ,,LIB,Borden,1A,0,2,2
Glenn Hegar,Comptroller of Public Accounts,,REP,Borden,1A,22,14,36
Joi Chevalier,Comptroller of Public Accounts,,DEM,Borden,1A,3,2,5
Ben Sanders,Comptroller of Public Accounts,,LIB,Borden,1A,2,0,2
George P. Bush,Commissioner of the General Land Office,,REP,Borden,1A,23,13,36
Miguel Suazo,Commissioner of the General Land Office,,DEM,Borden,1A,4,3,7
Matt Pina,Commissioner of the General Land Office,,LIB,Borden,1A,0,1,1
Christi Craddick,Railroad Commissioner,,REP,Borden,1A,23,15,38
Roman McAllen,Railroad Commissioner,,DEM,Borden,1A,2,2,4
Mike Wright,Railroad Commissioner,,LIB,Borden,1A,2,0,2
Dustin Burrows ,State Representative ,83,REP,Borden,1A,21,15,36
Drew Landry ,State Representative ,83,DEM,Borden,1A,6,4,10
,Registered Voters,,,Borden,1B,71,71,142
,Ballots Cast,,,Borden,1B,18,31,49
,Straight Party,,REP,Borden,1B,10,20,30
,Straight Party,,DEM,Borden,1B,2,0,2
,Straight Party,,LIB,Borden,1B,0,0,0
Ted Cruz,U.S. Senate,,REP,Borden,1B,13,27,40
Beto O'Rourke,U.S. Senate,,DEM,Borden,1B,4,3,7
Neal M Dikeman,U.S. Senate,,LIB,Borden,1B,0,1,1
Jodey Arrington ,U.S. House,19,REP,Borden,1B,14,30,44
Miguel Levario ,U.S. House,19,DEM,Borden,1B,3,0,3
Greg Abbott,Governor ,,REP,Borden,1B,13,28,41
Lupe Valdez,Governor ,,DEM,Borden,1B,5,2,7
Mark Jay Tippetts,Governor ,,LIB,Borden,1B,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Borden,1B,13,23,36
Mike Collier,Lieutenant Governor,,DEM,Borden,1B,5,5,10
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Borden,1B,0,1,1
Ken Paxton,Attorney General ,,REP,Borden,1B,12,27,39
Justin Nelson,Attorney General ,,DEM,Borden,1B,5,1,6
Michael Ray Harris,Attorney General ,,LIB,Borden,1B,1,3,4
Glenn Hegar,Comptroller of Public Accounts,,REP,Borden,1B,13,25,38
Joi Chevalier,Comptroller of Public Accounts,,DEM,Borden,1B,4,0,4
Ben Sanders,Comptroller of Public Accounts,,LIB,Borden,1B,0,3,3
George P. Bush,Commissioner of the General Land Office,,REP,Borden,1B,13,28,41
Miguel Suazo,Commissioner of the General Land Office,,DEM,Borden,1B,5,0,5
Matt Pina,Commissioner of the General Land Office,,LIB,Borden,1B,0,1,1
Christi Craddick,Railroad Commissioner,,REP,Borden,1B,13,26,39
Roman McAllen,Railroad Commissioner,,DEM,Borden,1B,5,1,6
Mike Wright,Railroad Commissioner,,LIB,Borden,1B,0,1,1
Dustin Burrows ,State Representative ,83,REP,Borden,1B,13,27,40
Drew Landry ,State Representative ,83,DEM,Borden,1B,5,1,6
,Registered Voters,,,Borden,2A,108,108,216
,Ballots Cast,,,Borden,2A,29,40,69
,Straight Party,,REP,Borden,2A,16,24,40
,Straight Party,,DEM,Borden,2A,1,0,1
,Straight Party,,LIB,Borden,2A,0,0,0
Ted Cruz,U.S. Senate,,REP,Borden,2A,27,38,65
Beto O'Rourke,U.S. Senate,,DEM,Borden,2A,2,2,4
Neal M Dikeman,U.S. Senate,,LIB,Borden,2A,0,0,0
Jodey Arrington ,U.S. House,19,REP,Borden,2A,27,38,65
Miguel Levario ,U.S. House,19,DEM,Borden,2A,2,1,3
Greg Abbott,Governor ,,REP,Borden,2A,27,40,67
Lupe Valdez,Governor ,,DEM,Borden,2A,2,0,2
Mark Jay Tippetts,Governor ,,LIB,Borden,2A,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Borden,2A,27,36,63
Mike Collier,Lieutenant Governor,,DEM,Borden,2A,2,2,4
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Borden,2A,0,0,0
Ken Paxton,Attorney General ,,REP,Borden,2A,27,35,62
Justin Nelson,Attorney General ,,DEM,Borden,2A,2,3,5
Michael Ray Harris,Attorney General ,,LIB,Borden,2A,0,1,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Borden,2A,26,32,58
Joi Chevalier,Comptroller of Public Accounts,,DEM,Borden,2A,2,0,2
Ben Sanders,Comptroller of Public Accounts,,LIB,Borden,2A,1,2,3
George P. Bush,Commissioner of the General Land Office,,REP,Borden,2A,23,33,56
Miguel Suazo,Commissioner of the General Land Office,,DEM,Borden,2A,3,1,4
Matt Pina,Commissioner of the General Land Office,,LIB,Borden,2A,1,2,3
Christi Craddick,Railroad Commissioner,,REP,Borden,2A,26,33,59
Roman McAllen,Railroad Commissioner,,DEM,Borden,2A,3,2,5
Mike Wright,Railroad Commissioner,,LIB,Borden,2A,0,0,0
Dustin Burrows ,State Representative ,83,REP,Borden,2A,27,34,61
Drew Landry ,State Representative ,83,DEM,Borden,2A,2,4,6
,Registered Voters,,,Borden,2B,43,43,86
,Ballots Cast,,,Borden,2B,11,12,23
,Straight Party,,REP,Borden,2B,8,9,17
,Straight Party,,DEM,Borden,2B,0,1,1
,Straight Party,,LIB,Borden,2B,0,0,0
Ted Cruz,U.S. Senate,,REP,Borden,2B,11,10,21
Beto O'Rourke,U.S. Senate,,DEM,Borden,2B,0,2,2
Neal M Dikeman,U.S. Senate,,LIB,Borden,2B,0,0,0
Jodey Arrington ,U.S. House,19,REP,Borden,2B,11,11,22
Miguel Levario ,U.S. House,19,DEM,Borden,2B,0,1,1
Greg Abbott,Governor ,,REP,Borden,2B,11,11,22
Lupe Valdez,Governor ,,DEM,Borden,2B,0,1,1
Mark Jay Tippetts,Governor ,,LIB,Borden,2B,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Borden,2B,10,11,21
Mike Collier,Lieutenant Governor,,DEM,Borden,2B,1,1,2
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Borden,2B,0,0,0
Ken Paxton,Attorney General ,,REP,Borden,2B,8,11,19
Justin Nelson,Attorney General ,,DEM,Borden,2B,1,1,2
Michael Ray Harris,Attorney General ,,LIB,Borden,2B,1,0,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Borden,2B,11,11,22
Joi Chevalier,Comptroller of Public Accounts,,DEM,Borden,2B,0,1,1
